      6    246    185          Itext Imax Icore

      Akmal, Pandariphande & Ravenhall: A18 + dv + UIX* model (the best one)

     Rho          Press           nbar            Ye            Ymu             Yn              Yp            Yla            Ysm            Ys0            Ysp           mstp            mstn           mstla          mstsm          msts0         mstsp
    g/cm3         dyne/cm2        #/fm3         [A_cell]       [A_ion]          [Z]

  0.6204E+16     0.5027E+37     0.1910E+01     0.1878E+00     0.1713E+00     0.6409E+00     0.3591E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4027E+01     0.2464E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.6143E+16     0.4952E+37     0.1900E+01     0.1874E+00     0.1709E+00     0.6417E+00     0.3583E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3986E+01     0.2442E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.6082E+16     0.4878E+37     0.1890E+01     0.1870E+00     0.1705E+00     0.6425E+00     0.3575E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3945E+01     0.2420E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.6021E+16     0.4804E+37     0.1880E+01     0.1866E+00     0.1701E+00     0.6433E+00     0.3567E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3904E+01     0.2399E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5961E+16     0.4731E+37     0.1870E+01     0.1863E+00     0.1696E+00     0.6441E+00     0.3559E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3863E+01     0.2377E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5901E+16     0.4659E+37     0.1860E+01     0.1859E+00     0.1692E+00     0.6450E+00     0.3550E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3823E+01     0.2356E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5841E+16     0.4587E+37     0.1850E+01     0.1855E+00     0.1687E+00     0.6458E+00     0.3542E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3783E+01     0.2334E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5782E+16     0.4516E+37     0.1840E+01     0.1851E+00     0.1683E+00     0.6466E+00     0.3534E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3743E+01     0.2313E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5724E+16     0.4446E+37     0.1830E+01     0.1847E+00     0.1679E+00     0.6474E+00     0.3525E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3703E+01     0.2292E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5666E+16     0.4377E+37     0.1820E+01     0.1843E+00     0.1674E+00     0.6483E+00     0.3517E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3664E+01     0.2271E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5608E+16     0.4308E+37     0.1810E+01     0.1839E+00     0.1670E+00     0.6492E+00     0.3508E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3625E+01     0.2251E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5551E+16     0.4240E+37     0.1800E+01     0.1835E+00     0.1665E+00     0.6500E+00     0.3500E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3586E+01     0.2230E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5494E+16     0.4173E+37     0.1790E+01     0.1831E+00     0.1661E+00     0.6509E+00     0.3491E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3548E+01     0.2210E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5438E+16     0.4106E+37     0.1780E+01     0.1827E+00     0.1656E+00     0.6518E+00     0.3483E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3509E+01     0.2190E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5382E+16     0.4040E+37     0.1770E+01     0.1822E+00     0.1651E+00     0.6526E+00     0.3474E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3471E+01     0.2170E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5326E+16     0.3975E+37     0.1760E+01     0.1818E+00     0.1646E+00     0.6535E+00     0.3465E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3434E+01     0.2150E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5271E+16     0.3911E+37     0.1750E+01     0.1814E+00     0.1642E+00     0.6544E+00     0.3456E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3396E+01     0.2130E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5216E+16     0.3847E+37     0.1740E+01     0.1810E+00     0.1637E+00     0.6553E+00     0.3447E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3359E+01     0.2110E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5162E+16     0.3784E+37     0.1730E+01     0.1806E+00     0.1632E+00     0.6562E+00     0.3438E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3322E+01     0.2091E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5108E+16     0.3721E+37     0.1720E+01     0.1801E+00     0.1627E+00     0.6571E+00     0.3429E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3286E+01     0.2071E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5054E+16     0.3659E+37     0.1710E+01     0.1797E+00     0.1623E+00     0.6581E+00     0.3419E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3249E+01     0.2052E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.5001E+16     0.3598E+37     0.1700E+01     0.1792E+00     0.1618E+00     0.6590E+00     0.3410E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3213E+01     0.2033E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4948E+16     0.3538E+37     0.1690E+01     0.1788E+00     0.1613E+00     0.6599E+00     0.3401E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3177E+01     0.2014E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4896E+16     0.3478E+37     0.1680E+01     0.1784E+00     0.1608E+00     0.6609E+00     0.3391E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3142E+01     0.1996E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4844E+16     0.3419E+37     0.1670E+01     0.1779E+00     0.1603E+00     0.6618E+00     0.3382E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3106E+01     0.1977E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4792E+16     0.3360E+37     0.1660E+01     0.1775E+00     0.1598E+00     0.6628E+00     0.3372E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3071E+01     0.1959E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4741E+16     0.3303E+37     0.1650E+01     0.1770E+00     0.1593E+00     0.6637E+00     0.3363E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3036E+01     0.1940E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4690E+16     0.3245E+37     0.1640E+01     0.1766E+00     0.1587E+00     0.6647E+00     0.3353E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3002E+01     0.1922E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4640E+16     0.3189E+37     0.1630E+01     0.1761E+00     0.1582E+00     0.6657E+00     0.3343E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2968E+01     0.1904E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4590E+16     0.3133E+37     0.1620E+01     0.1756E+00     0.1577E+00     0.6667E+00     0.3333E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2934E+01     0.1886E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4540E+16     0.3078E+37     0.1610E+01     0.1751E+00     0.1572E+00     0.6677E+00     0.3323E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2900E+01     0.1869E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4491E+16     0.3023E+37     0.1600E+01     0.1747E+00     0.1566E+00     0.6687E+00     0.3313E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2866E+01     0.1851E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4442E+16     0.2969E+37     0.1590E+01     0.1742E+00     0.1561E+00     0.6697E+00     0.3303E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2833E+01     0.1834E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4393E+16     0.2916E+37     0.1580E+01     0.1737E+00     0.1556E+00     0.6707E+00     0.3293E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2800E+01     0.1817E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4345E+16     0.2863E+37     0.1570E+01     0.1732E+00     0.1550E+00     0.6718E+00     0.3282E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2768E+01     0.1799E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4297E+16     0.2811E+37     0.1560E+01     0.1727E+00     0.1545E+00     0.6728E+00     0.3272E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2735E+01     0.1783E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
  0.4250E+16     0.2760E+37     0.1550E+01     0.1722E+00     0.1539E+00     0.6738E+00     0.3262E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2703E+01     0.1766E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
