      6    418    279          Itext Imax Icore

	BM165 without hyperons Bednarek et al. A&A 2012

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]													
																		
3.0521860E+15	1.4748409E+36	1.2368948E+00	9.5324556E-02	7.8106833E-02	8.2656861E-01	1.7343139E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	4.0156721E-01	5.6005909E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
3.0186938E+15	1.4414377E+36	1.2280327E+00	9.5341853E-02	7.8043045E-02	8.2661510E-01	1.7338490E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	4.0074553E-01	5.5935572E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.9855405E+15	1.4089087E+36	1.2191902E+00	9.5358998E-02	7.7978379E-02	8.2666262E-01	1.7333738E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9992846E-01	5.5865598E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.9527497E+15	1.3772384E+36	1.2103756E+00	9.5375931E-02	7.7912787E-02	8.2671128E-01	1.7328872E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9911709E-01	5.5795967E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.9203403E+15	1.3464085E+36	1.2015958E+00	9.5392653E-02	7.7846360E-02	8.2676098E-01	1.7323901E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9831234E-01	5.5726664E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.8883265E+15	1.3163988E+36	1.1928564E+00	9.5409133E-02	7.7779106E-02	8.2681176E-01	1.7318824E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9751500E-01	5.5657674E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.8567187E+15	1.2871874E+36	1.1841623E+00	9.5425349E-02	7.7711035E-02	8.2686361E-01	1.7313639E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9672575E-01	5.5588988E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.8255239E+15	1.2587513E+36	1.1755174E+00	9.5441305E-02	7.7642218E-02	8.2691648E-01	1.7308352E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9594515E-01	5.5520595E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.7947461E+15	1.2310670E+36	1.1669248E+00	9.5456949E-02	7.7572580E-02	8.2697047E-01	1.7302953E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9517361E-01	5.5452485E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.7643867E+15	1.2041104E+36	1.1583870E+00	9.5472315E-02	7.7502247E-02	8.2702544E-01	1.7297456E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9441155E-01	5.5384656E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.7344452E+15	1.1778575E+36	1.1499057E+00	9.5487338E-02	7.7431101E-02	8.2708156E-01	1.7291844E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9365922E-01	5.5317099E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.7049191E+15	1.1522843E+36	1.1414823E+00	9.5502055E-02	7.7359259E-02	8.2713868E-01	1.7286132E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9291688E-01	5.5249816E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.6758044E+15	1.1273670E+36	1.1331175E+00	9.5516421E-02	7.7286641E-02	8.2719694E-01	1.7280306E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9218466E-01	5.5182803E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.6470958E+15	1.1030826E+36	1.1248118E+00	9.5530447E-02	7.7213293E-02	8.2725626E-01	1.7274374E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9146271E-01	5.5116061E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.6187873E+15	1.0794083E+36	1.1165652E+00	9.5544116E-02	7.7139190E-02	8.2731669E-01	1.7268331E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9075111E-01	5.5049594E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.5908718E+15	1.0563220E+36	1.1083775E+00	9.5557415E-02	7.7064317E-02	8.2737826E-01	1.7262173E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.9004991E-01	5.4983403E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.5633416E+15	1.0338024E+36	1.1002483E+00	9.5570350E-02	7.6988696E-02	8.2744095E-01	1.7255905E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8935912E-01	5.4917494E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.5361885E+15	1.0118289E+36	1.0921768E+00	9.5582886E-02	7.6912256E-02	8.2750485E-01	1.7249515E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8867876E-01	5.4851874E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.5094040E+15	9.9038143E+35	1.0841622E+00	9.5595053E-02	7.6835065E-02	8.2756988E-01	1.7243012E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8800881E-01	5.4786549E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.4829793E+15	9.6944101E+35	1.0762035E+00	9.5606793E-02	7.6757003E-02	8.2763620E-01	1.7236380E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8734923E-01	5.4721527E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.4569054E+15	9.4898920E+35	1.0682994E+00	9.5618157E-02	7.6678174E-02	8.2770367E-01	1.7229633E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8670002E-01	5.4656818E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.4311732E+15	9.2900839E+35	1.0604489E+00	9.5629068E-02	7.6598417E-02	8.2777251E-01	1.7222749E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8606109E-01	5.4592433E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.4057735E+15	9.0948168E+35	1.0526505E+00	9.5639593E-02	7.6517866E-02	8.2784254E-01	1.7215746E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8543242E-01	5.4528382E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.3806973E+15	8.9039293E+35	1.0449028E+00	9.5649641E-02	7.6436328E-02	8.2791403E-01	1.7208597E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8481393E-01	5.4464679E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.3559353E+15	8.7172668E+35	1.0372045E+00	9.5659290E-02	7.6353960E-02	8.2798675E-01	1.7201325E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8420561E-01	5.4401336E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.3314785E+15	8.5346818E+35	1.0295539E+00	9.5668437E-02	7.6270543E-02	8.2806102E-01	1.7193898E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8360739E-01	5.4338369E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.3073181E+15	8.3560331E+35	1.0219496E+00	9.5677169E-02	7.6186248E-02	8.2813658E-01	1.7186342E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.8301921E-01	5.4275790E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
