      6    418    279          Itext Imax Icore

	BM165 WITH hyperons Bednarek et al. A&A 2012

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]													

3.0521860E+15	1.4748409E+36	1.2368948E+00	2.5122254E-02	1.4632816E-02	5.1379903E-01	1.7021026E-01	1.8553553E-01	8.9604826E-02	0.0000000E+00	0.0000000E+00	4.0850361E-02	0.0000000E+00	4.0156721E-01	5.6005909E-01	5.5575715E-01	6.4252285E-01	0.0000000E+00	0.0000000E+00	6.5295984E-01	0.0000000E+00
3.0186938E+15	1.4414377E+36	1.2280327E+00	2.5435257E-02	1.4848448E-02	5.1473455E-01	1.7002230E-01	1.8550455E-01	8.8810631E-02	0.0000000E+00	0.0000000E+00	4.0927968E-02	0.0000000E+00	4.0074553E-01	5.5935572E-01	5.5629900E-01	6.4311958E-01	0.0000000E+00	0.0000000E+00	6.5445819E-01	0.0000000E+00
2.9855405E+15	1.4089087E+36	1.2191902E+00	2.5751039E-02	1.5065921E-02	5.1568530E-01	1.6983312E-01	1.8546541E-01	8.8008526E-02	0.0000000E+00	0.0000000E+00	4.1007637E-02	0.0000000E+00	3.9992846E-01	5.5865598E-01	5.5684475E-01	6.4371915E-01	0.0000000E+00	0.0000000E+00	6.5595981E-01	0.0000000E+00
2.9527497E+15	1.3772384E+36	1.2103756E+00	2.6068899E-02	1.5284681E-02	5.1664810E-01	1.6964322E-01	1.8541903E-01	8.7197835E-02	0.0000000E+00	0.0000000E+00	4.1091810E-02	0.0000000E+00	3.9911709E-01	5.5795967E-01	5.5739339E-01	6.4431964E-01	0.0000000E+00	0.0000000E+00	6.5746226E-01	0.0000000E+00
2.9203403E+15	1.3464085E+36	1.2015958E+00	2.6388210E-02	1.5504228E-02	5.1762018E-01	1.6945304E-01	1.8536618E-01	8.6377977E-02	0.0000000E+00	0.0000000E+00	4.1182622E-02	0.0000000E+00	3.9831234E-01	5.5726664E-01	5.5794403E-01	6.4491938E-01	0.0000000E+00	0.0000000E+00	6.5896340E-01	0.0000000E+00
2.8883265E+15	1.3163988E+36	1.1928564E+00	2.6708413E-02	1.5724117E-02	5.1859912E-01	1.6926292E-01	1.8530757E-01	8.5548463E-02	0.0000000E+00	0.0000000E+00	4.1281925E-02	0.0000000E+00	3.9751500E-01	5.5657674E-01	5.5849592E-01	6.4551695E-01	0.0000000E+00	0.0000000E+00	6.6046139E-01	0.0000000E+00
2.8567187E+15	1.2871874E+36	1.1841623E+00	2.7029020E-02	1.5943954E-02	5.1958285E-01	1.6907317E-01	1.8524379E-01	8.4708883E-02	0.0000000E+00	0.0000000E+00	4.1391308E-02	0.0000000E+00	3.9672575E-01	5.5588988E-01	5.5904841E-01	6.4611111E-01	0.0000000E+00	0.0000000E+00	6.6195464E-01	0.0000000E+00
2.8255239E+15	1.2587513E+36	1.1755174E+00	2.7349600E-02	1.6163394E-02	5.2056961E-01	1.6888402E-01	1.8517534E-01	8.3858901E-02	0.0000000E+00	0.0000000E+00	4.1512124E-02	0.0000000E+00	3.9594515E-01	5.5520595E-01	5.5960096E-01	6.4670084E-01	0.0000000E+00	0.0000000E+00	6.6344184E-01	0.0000000E+00
2.7947461E+15	1.2310670E+36	1.1669248E+00	2.7669782E-02	1.6382134E-02	5.2155794E-01	1.6869567E-01	1.8510264E-01	8.2998242E-02	0.0000000E+00	0.0000000E+00	4.1645511E-02	0.0000000E+00	3.9517361E-01	5.5452485E-01	5.6015310E-01	6.4728532E-01	0.0000000E+00	0.0000000E+00	6.6492192E-01	0.0000000E+00
2.7643867E+15	1.2041104E+36	1.1583870E+00	2.7989247E-02	1.6599913E-02	5.2254661E-01	1.6850826E-01	1.8502603E-01	8.2126689E-02	0.0000000E+00	0.0000000E+00	4.1792411E-02	0.0000000E+00	3.9441155E-01	5.5384656E-01	5.6070447E-01	6.4786384E-01	0.0000000E+00	0.0000000E+00	6.6639397E-01	0.0000000E+00
2.7344452E+15	1.1778575E+36	1.1499057E+00	2.8307723E-02	1.6816505E-02	5.2353466E-01	1.6832190E-01	1.8494577E-01	8.1244073E-02	0.0000000E+00	0.0000000E+00	4.1953597E-02	0.0000000E+00	3.9365922E-01	5.5317099E-01	5.6125478E-01	6.4843590E-01	0.0000000E+00	0.0000000E+00	6.6785731E-01	0.0000000E+00
2.7049191E+15	1.1522843E+36	1.1414823E+00	2.8624982E-02	1.7031721E-02	5.2452131E-01	1.6813665E-01	1.8486208E-01	8.0350266E-02	0.0000000E+00	0.0000000E+00	4.2129685E-02	0.0000000E+00	3.9291688E-01	5.5249816E-01	5.6180378E-01	6.4900105E-01	0.0000000E+00	0.0000000E+00	6.6931136E-01	0.0000000E+00
2.6758044E+15	1.1273670E+36	1.1331175E+00	2.8940836E-02	1.7245400E-02	5.2550599E-01	1.6795257E-01	1.8477510E-01	7.9445180E-02	0.0000000E+00	0.0000000E+00	4.2321156E-02	0.0000000E+00	3.9218466E-01	5.5182803E-01	5.6235134E-01	6.4955904E-01	0.0000000E+00	0.0000000E+00	6.7075577E-01	0.0000000E+00
2.6470958E+15	1.1030826E+36	1.1248118E+00	2.9255131E-02	1.7457411E-02	5.2648828E-01	1.6776967E-01	1.8468492E-01	7.8528756E-02	0.0000000E+00	0.0000000E+00	4.2528371E-02	0.0000000E+00	3.9146271E-01	5.5116061E-01	5.6289732E-01	6.5010965E-01	0.0000000E+00	0.0000000E+00	6.7219023E-01	0.0000000E+00
2.6187873E+15	1.0794083E+36	1.1165652E+00	2.9567747E-02	1.7667647E-02	5.2746793E-01	1.6758794E-01	1.8459159E-01	7.7600965E-02	0.0000000E+00	0.0000000E+00	4.2751582E-02	0.0000000E+00	3.9075111E-01	5.5049594E-01	5.6344168E-01	6.5065278E-01	0.0000000E+00	0.0000000E+00	6.7361459E-01	0.0000000E+00
2.5908718E+15	1.0563220E+36	1.1083775E+00	2.9878591E-02	1.7876022E-02	5.2844479E-01	1.6740736E-01	1.8449510E-01	7.6661798E-02	0.0000000E+00	0.0000000E+00	4.2990950E-02	0.0000000E+00	3.9004991E-01	5.4983403E-01	5.6398439E-01	6.5118840E-01	0.0000000E+00	0.0000000E+00	6.7502880E-01	0.0000000E+00
2.5633416E+15	1.0338024E+36	1.1002483E+00	3.0187597E-02	1.8082475E-02	5.2941888E-01	1.6722789E-01	1.8439541E-01	7.5711268E-02	0.0000000E+00	0.0000000E+00	4.3246551E-02	0.0000000E+00	3.8935912E-01	5.4917494E-01	5.6452548E-01	6.5171657E-01	0.0000000E+00	0.0000000E+00	6.7643288E-01	0.0000000E+00
2.5361885E+15	1.0118289E+36	1.0921768E+00	3.0494723E-02	1.8286958E-02	5.3039027E-01	1.6704948E-01	1.8429246E-01	7.4749406E-02	0.0000000E+00	0.0000000E+00	4.3518388E-02	0.0000000E+00	3.8867876E-01	5.4851874E-01	5.6506501E-01	6.5223737E-01	0.0000000E+00	0.0000000E+00	6.7782692E-01	0.0000000E+00
2.5094040E+15	9.9038143E+35	1.0841622E+00	3.0799947E-02	1.8489444E-02	5.3135916E-01	1.6687205E-01	1.8418613E-01	7.3776257E-02	0.0000000E+00	0.0000000E+00	4.3806403E-02	0.0000000E+00	3.8800881E-01	5.4786549E-01	5.6560307E-01	6.5275095E-01	0.0000000E+00	0.0000000E+00	6.7921107E-01	0.0000000E+00
2.4829793E+15	9.6944101E+35	1.0762035E+00	3.1103267E-02	1.8689918E-02	5.3232582E-01	1.6669554E-01	1.8407629E-01	7.2791876E-02	0.0000000E+00	0.0000000E+00	4.4110477E-02	0.0000000E+00	3.8734923E-01	5.4721527E-01	5.6613977E-01	6.5325751E-01	0.0000000E+00	0.0000000E+00	6.8058554E-01	0.0000000E+00
2.4569054E+15	9.4898920E+35	1.0682994E+00	3.1404697E-02	1.8888380E-02	5.3329060E-01	1.6651986E-01	1.8396276E-01	7.1796334E-02	0.0000000E+00	0.0000000E+00	4.4430444E-02	0.0000000E+00	3.8670002E-01	5.4656818E-01	5.6667525E-01	6.5375728E-01	0.0000000E+00	0.0000000E+00	6.8195062E-01	0.0000000E+00
2.4311732E+15	9.2900839E+35	1.0604489E+00	3.1704268E-02	1.9084843E-02	5.3425392E-01	1.6634491E-01	1.8384537E-01	7.0789706E-02	0.0000000E+00	0.0000000E+00	4.4766093E-02	0.0000000E+00	3.8606109E-01	5.4592433E-01	5.6720968E-01	6.5425054E-01	0.0000000E+00	0.0000000E+00	6.8330660E-01	0.0000000E+00
2.4057735E+15	9.0948168E+35	1.0526505E+00	3.2002022E-02	1.9279328E-02	5.3521625E-01	1.6617060E-01	1.8372390E-01	6.9772078E-02	0.0000000E+00	0.0000000E+00	4.5117172E-02	0.0000000E+00	3.8543242E-01	5.4528382E-01	5.6774323E-01	6.5473759E-01	0.0000000E+00	0.0000000E+00	6.8465384E-01	0.0000000E+00
2.3806973E+15	8.9039293E+35	1.0449028E+00	3.2298018E-02	1.9471870E-02	5.3617813E-01	1.6599683E-01	1.8359811E-01	6.8743543E-02	0.0000000E+00	0.0000000E+00	4.5483395E-02	0.0000000E+00	3.8481393E-01	5.4464679E-01	5.6827612E-01	6.5521873E-01	0.0000000E+00	0.0000000E+00	6.8599270E-01	0.0000000E+00
2.3559353E+15	8.7172668E+35	1.0372045E+00	3.2592323E-02	1.9662509E-02	5.3714013E-01	1.6582348E-01	1.8346775E-01	6.7704201E-02	0.0000000E+00	0.0000000E+00	4.5864443E-02	0.0000000E+00	3.8420561E-01	5.4401336E-01	5.6880854E-01	6.5569433E-01	0.0000000E+00	0.0000000E+00	6.8732357E-01	0.0000000E+00
2.3314785E+15	8.5346818E+35	1.0295539E+00	3.2885016E-02	1.9851297E-02	5.3810287E-01	1.6565044E-01	1.8333256E-01	6.6654155E-02	0.0000000E+00	0.0000000E+00	4.6259971E-02	0.0000000E+00	3.8360739E-01	5.4338369E-01	5.6934075E-01	6.5616474E-01	0.0000000E+00	0.0000000E+00	6.8864689E-01	0.0000000E+00
2.3073181E+15	8.3560331E+35	1.0219496E+00	3.3176187E-02	2.0038291E-02	5.3906704E-01	1.6547760E-01	1.8319225E-01	6.5593515E-02	0.0000000E+00	0.0000000E+00	4.6669604E-02	0.0000000E+00	3.8301921E-01	5.4275790E-01	5.6987297E-01	6.5663036E-01	0.0000000E+00	0.0000000E+00	6.8996312E-01	0.0000000E+00
