#       rho                     pressure          baryon number density             ne                     nmu
#       cgs                        cgs                   fm-3                   fm-3                   fm-3               
  0.1954000000000000E+07  0.6177865759700603E+23  0.1177044673876719E-08  0.6768007565148519E-11  0.0000000000000000E+00
  0.2032160000000000E+07  0.6561905010383930E+23  0.1224124663435356E-08  0.7038717561441556E-11  0.0000000000000000E+00
  0.2113446400000000E+07  0.6969137365034428E+23  0.1273087740508321E-08  0.7320255315538340E-11  0.0000000000000000E+00
  0.2197984256000000E+07  0.7400925141521971E+23  0.1324009221949465E-08  0.7613053899723552E-11  0.0000000000000000E+00
  0.2285903626240000E+07  0.7858708602138629E+23  0.1376967436911494E-08  0.7917563707030886E-11  0.0000000000000000E+00
  0.2377339771289600E+07  0.8344010305706393E+23  0.1432043847317536E-08  0.8234253143957071E-11  0.0000000000000000E+00
  0.2472433362141184E+07  0.8858439697374161E+23  0.1489323173150491E-08  0.8563609350878308E-11  0.0000000000000000E+00
  0.2571330696626831E+07  0.9403697948839467E+23  0.1548893522752791E-08  0.8906138951276844E-11  0.0000000000000000E+00
  0.2674183924491905E+07  0.9981583062393005E+23  0.1610846528336954E-08  0.9262368830929780E-11  0.0000000000000000E+00
  0.2781151281471581E+07  0.1059399525289762E+24  0.1675277486915269E-08  0.9632846948258212E-11  0.0000000000000000E+00
  0.2892397332730444E+07  0.1124294262254651E+24  0.1742285506865331E-08  0.1001814317708271E-10  0.0000000000000000E+00
  0.3008093226039662E+07  0.1193054714403751E+24  0.1811973660356767E-08  0.1041885018308105E-10  0.0000000000000000E+00
  0.3128416955081249E+07  0.1265905096861143E+24  0.1884449141873544E-08  0.1083558433529575E-10  0.0000000000000000E+00
  0.3253553633284499E+07  0.1343082307627131E+24  0.1959823433075579E-08  0.1126898665409303E-10  0.0000000000000000E+00
  0.3383695778615879E+07  0.1424836628641018E+24  0.2038212474253153E-08  0.1171972379703076E-10  0.0000000000000000E+00
  0.3519043609760514E+07  0.1511432464802158E+24  0.2119736842637738E-08  0.1218848908415115E-10  0.0000000000000000E+00
  0.3659805354150935E+07  0.1603149122969077E+24  0.2204521937843413E-08  0.1267600356427485E-10  0.0000000000000000E+00
  0.3806197568316972E+07  0.1700281633059479E+24  0.2292698174723967E-08  0.1318301712393567E-10  0.0000000000000000E+00
  0.3958445471049652E+07  0.1803141613488192E+24  0.2384401183942236E-08  0.1371030964066120E-10  0.0000000000000000E+00
  0.4116783289891638E+07  0.1912058183294919E+24  0.2479772020560028E-08  0.1425869218237232E-10  0.0000000000000000E+00
  0.4281454621487304E+07  0.2027378923437039E+24  0.2578957380969360E-08  0.1482900825474600E-10  0.0000000000000000E+00
  0.4452712806346796E+07  0.2149470889853536E+24  0.2682109828498510E-08  0.1542213509845875E-10  0.0000000000000000E+00
  0.4630821318600668E+07  0.2278721681040039E+24  0.2789388028039766E-08  0.1603898503830573E-10  0.0000000000000000E+00
  0.4816054171344695E+07  0.2415540563019827E+24  0.2900956990059587E-08  0.1668050688626941E-10  0.0000000000000000E+00
  0.5008696338198483E+07  0.2560359654745150E+24  0.3016988324366333E-08  0.1734768740069503E-10  0.0000000000000000E+00
  0.5209044191726423E+07  0.2713635177121929E+24  0.3137660504025691E-08  0.1804155280381637E-10  0.0000000000000000E+00
  0.5417405959395480E+07  0.2875848769017198E+24  0.3263159139829574E-08  0.1876317035996484E-10  0.0000000000000000E+00
  0.5634102197771300E+07  0.3047508873783761E+24  0.3393677265740417E-08  0.1951365001688819E-10  0.0000000000000000E+00
  0.5859466285682152E+07  0.3229152200020180E+24  0.3529415635749744E-08  0.2029414611270247E-10  0.0000000000000000E+00
  0.6093844937109439E+07  0.3421345260478413E+24  0.3670583032607349E-08  0.2110585915110119E-10  0.0000000000000000E+00
  0.6337598734593816E+07  0.3624685993234375E+24  0.3817396588895725E-08  0.2195003764755106E-10  0.0000000000000000E+00
  0.6591102683977569E+07  0.3839805469451368E+24  0.3970082120943348E-08  0.2282798004931250E-10  0.0000000000000000E+00
  0.6854746791336671E+07  0.4067369692289015E+24  0.4128874476090119E-08  0.2374103673223675E-10  0.0000000000000000E+00
  0.7128936662990139E+07  0.4308081491751992E+24  0.4294017893838824E-08  0.2469061207740915E-10  0.0000000000000000E+00
