      6    291         itext   idata
 Output of the Ioffe code for BSk

 NSCool Input Crust
   Rho        Press       nbar       [A_cell]    [A_ion]     [Z]


   139603636184940.31        4.5836617233619463E+032   8.4071217417645366E-002   931.27727744000003        1167.8279785200000        27.958660689999999     
   132955843985657.44        4.1699548044286748E+032   8.0067826112043217E-002   962.89141252000002        1093.9288870099999        29.077536559999999     
   126624613319673.75        3.8562150368319225E+032   7.6255072487660197E-002   993.86744170999998        1026.7144277600000        30.156416839999999     
   120594869828260.70        3.5955838544301474E+032   7.2623878559676378E-002   1024.1394538899999        965.36766001000001        31.193687409999999     
   114852256979295.91        3.3612525150643792E+032   6.9165598628263214E-002   1053.6450035099999        909.20589571000005        32.188241740000002     
   109383101885043.72        3.1428646562389130E+032   6.5871998693584011E-002   1082.3252304299999        857.65366731999995        33.139428150000001     
   104174382747660.69        2.9380572823379399E+032   6.2735236851032397E-002   1110.1249573699999        810.22172907000004        34.046996649999997     
   99213697854914.938        2.7469075893393290E+032   5.9747844620030847E-002   1136.9927658500001        766.49067789000003        34.911046720000002     
   94489236052299.938        2.5696365371261813E+032   5.6902709161934142E-002   1162.8810515900000        726.09812147000002        35.731977329999999     
   89989748621238.031        2.4060106168559844E+032   5.4193056344699182E-002   1187.7460605100000        688.72857744999999        36.510439929999997     
   85704522496417.172        2.2553609244573144E+032   5.1612434613999218E-002   1211.5479060900000        654.10548150000000        37.247295080000001     
   81623354758492.547        2.1167466930061165E+032   4.9154699632380207E-002   1234.2505695699999        621.98482864000005        37.943572930000002     
   77736528341421.469        1.9891066985293825E+032   4.6813999649885918E-002   1255.8218836599999        592.15008335000005        38.600437800000002     
   74034788896591.875        1.8713646376897096E+032   4.4584761571319916E-002   1276.2335011400000        564.40807862999998        39.219156689999998     
   70509322758658.922        1.7624926288274849E+032   4.2461677686971344E-002   1295.4608493400001        538.58568875000003        39.801071759999999     
   67151735960627.547        1.6615447198169557E+032   4.0439693035210805E-002   1313.4830715900000        514.52710945000001        40.347576429999997     
   63954034248216.711        1.5676710426078234E+032   3.8513993366867429E-002   1330.2829566500000        492.09161734999998        40.860094959999998     
   60908604045920.672        1.4801202913473999E+032   3.6679993682730880E-002   1345.8468573700000        471.15170912999997        41.340065119999998     
   58008194329448.258        1.3982355929877666E+032   3.4933327316886552E-002   1360.1645993499999        451.59154314000000        41.788923689999997     
   55245899361379.289        1.3214469602540576E+032   3.3269835539891955E-002   1373.2293809099999        433.30562347000000        42.208094570000000     
   52615142248932.656        1.2492622679770031E+032   3.1685557657039953E-002   1385.0376650000001        416.19767937000000        42.598978989999999     
   50109659284697.766        1.1812578965170952E+032   3.0176721578133295E-002   1395.5890643900000        400.17970343000002        42.962947849999999     
   47723485033045.492        1.1170696887956240E+032   2.8739734836317421E-002   1404.8862207499999        385.17111946000000        43.301335559999998     
   45450938126709.992        1.0563845624374222E+032   2.7371176034588020E-002   1412.9346786000001        371.09805734999998        43.615435519999998     
   43286607739723.797        9.9893293425716268E+031   2.6067786699607635E-002   1419.7427550600000        357.89271685000000        43.906496709999999     
   41225340704498.852        9.4448200507582889E+031   2.4826463523435840E-002   1425.3214060900000        345.49280585000002        44.175721390000000     
