     6      814     itext   idata											
																								
Haensel & Zdunik (2008) EOS: 																							
																								
   rho             P		    n         A_cell   A_ion       Z				
 (g/cm3)		(dynes/cm2)     (#/fm3)																

1.3093657E+14  4.0633317E+32  7.7417443E-02   1233.6341       77.610292       40.000000    
1.2502437E+14  3.7846132E+32  7.3934888E-02   1237.3552       133.19822       40.000000    
1.1911435E+14  3.5343923E+32  7.0452333E-02   1238.5644       168.56746       40.000000    
1.1320639E+14  3.2951793E+32  6.6969778E-02   1237.3169       190.75938       40.000000    
1.0730039E+14  3.0605601E+32  6.3487222E-02   1233.6667       204.92480       40.000000    
1.0139627E+14  2.8304497E+32  6.0004667E-02   1227.6660       214.14075       40.000000    
   9.54950e+13   2.48120e+32   5.65740e-02     448      72      13
   9.31790e+13   2.42470e+32   5.52040e-02     448      72      13
   9.23260e+13   2.40250e+32   5.46990e-02     448      72      13
   9.16730e+13   2.40250e+32   5.43140e-02     448      75      14
   9.05550e+13   2.36950e+32   5.36520e-02     448      76      14
   8.87940e+13   2.31550e+32   5.26110e-02     448      77      14
   8.71330e+13   2.26280e+32   5.16290e-02     448      77      14
   8.63330e+13   2.23690e+32   5.11570e-02     448      78      14
   8.59270e+13   2.23690e+32   5.09170e-02     448      83      15
   8.51480e+13   2.21130e+32   5.04560e-02     448      83      15
   8.36260e+13   2.16100e+32   4.95570e-02     448      84      15
   8.21350e+13   2.11180e+32   4.86760e-02     448      84      15
   8.06570e+13   2.06370e+32   4.78020e-02     448      84      15
   7.91940e+13   2.01680e+32   4.69380e-02     448      85      15
   7.77470e+13   1.97080e+32   4.60820e-02     448      85      15
   7.63160e+13   1.92600e+32   4.52360e-02     448      85      15
   7.49010e+13   1.88210e+32   4.44000e-02     448      86      15
   7.35040e+13   1.83930e+32   4.35740e-02     448      86      15
   7.30530e+13   1.82560e+32   4.33070e-02     448      86      15
   7.26380e+13   1.82560e+32   4.30620e-02     448      91      16
   7.17150e+13   1.79740e+32   4.25160e-02     448      91      16
   7.03610e+13   1.75650e+32   4.17150e-02     448      92      16
   6.90250e+13   1.71650e+32   4.09250e-02     448      92      16
   6.77090e+13   1.67750e+32   4.01480e-02     448      92      16
   6.64130e+13   1.63930e+32   3.93810e-02     448      92      16
   6.51380e+13   1.60200e+32   3.86270e-02     448      92      16
   6.38840e+13   1.56550e+32   3.78850e-02     448      92      16
   6.26500e+13   1.52990e+32   3.71560e-02     448      92      16
   6.14380e+13   1.49500e+32   3.64380e-02     448      92      16
   6.02450e+13   1.46100e+32   3.57330e-02     448      92      16
   5.90760e+13   1.42780e+32   3.50410e-02     448      92      16
   5.79160e+13   1.39530e+32   3.43550e-02     448      92      16
   5.67930e+13   1.36350e+32   3.36900e-02     448      92      16
   5.56800e+13   1.33250e+32   3.30320e-02     448      92      16
   5.45950e+13   1.30210e+32   3.23900e-02     448      92      16
   5.35340e+13   1.27250e+32   3.17620e-02     448      92      16
   5.24870e+13   1.24350e+32   3.11420e-02     448      92      16
   5.14610e+13   1.21520e+32   3.05360e-02     448      92      16
   5.04560e+13   1.18760e+32   2.99400e-02     448      91      16
   4.94700e+13   1.16050e+32   2.93570e-02     448      91      16
   4.85050e+13   1.13410e+32   2.87850e-02     448      91      16
   4.75590e+13   1.10830e+32   2.82250e-02     448      91      16
   4.66320e+13   1.08310e+32   2.76770e-02     448      91      16
   4.57240e+13   1.05840e+32   2.71390e-02     448      90      16
   4.48340e+13   1.03430e+32   2.66130e-02     448      90      16
   4.39640e+13   1.01080e+32   2.60970e-02     448      90      16
   4.31110e+13   9.87760e+31   2.55920e-02     448      90      16
   4.22760e+13   9.65280e+31   2.50980e-02     448      90      16
   4.14580e+13   9.43310e+31   2.46130e-02     448      89      16
   4.06580e+13   9.21830e+31   2.41390e-02     448      89      16
   3.98740e+13   9.00850e+31   2.36750e-02     448      89      16
   3.91080e+13   8.80350e+31   2.32210e-02     448      89      16
   3.83540e+13   8.60310e+31   2.27750e-02     448      88      16
   3.76150e+13   8.40720e+31   2.23370e-02     448      88      16
   3.68990e+13   8.21590e+31   2.19130e-02     448      88      16
   3.61970e+13   8.02880e+31   2.14970e-02     448      87      16
   3.55030e+13   7.84610e+31   2.10860e-02     448      87      16
   3.48290e+13   7.66750e+31   2.06870e-02     448      87      16
   3.41700e+13   7.49300e+31   2.02960e-02     448      87      16
   3.35290e+13   7.32240e+31   1.99160e-02     448      86      16
   3.28960e+13   7.15570e+31   1.95410e-02     448      86      16
   3.22760e+13   6.99280e+31   1.91740e-02     448      86      16
   3.16700e+13   6.83370e+31   1.88150e-02     448      85      16
   3.10770e+13   6.67810e+31   1.84630e-02     448      85      16
   3.04960e+13   6.52610e+31   1.81190e-02     448      85      16
   2.99280e+13   6.37750e+31   1.77820e-02     448      85      16
   2.93710e+13   6.23240e+31   1.74520e-02     448      84      16
   2.88260e+13   6.09050e+31   1.71290e-02     448      84      16
   2.82920e+13   5.95190e+31   1.68120e-02     448      84      16
   2.77700e+13   5.81640e+31   1.65030e-02     448      83      16
   2.72580e+13   5.68400e+31   1.61990e-02     448      83      16
   2.67580e+13   5.55460e+31   1.59020e-02     448      83      16
   2.62670e+13   5.42820e+31   1.56110e-02     448      83      16
   2.57870e+13   5.30460e+31   1.53270e-02     448      82      16
   2.53160e+13   5.18390e+31   1.50480e-02     448      82      16
   2.48560e+13   5.06590e+31   1.47740e-02     448      82      16
   2.44040e+13   4.95050e+31   1.45070e-02     448      81      16
   2.39620e+13   4.83790e+31   1.42450e-02     448      81      16
   2.35300e+13   4.72770e+31   1.39880e-02     448      81      16
   2.31050e+13   4.62010e+31   1.37360e-02     448      81      16
   2.26900e+13   4.51500e+31   1.34900e-02     448      80      16
   2.22830e+13   4.41220e+31   1.32480e-02     448      80      16
   2.18840e+13   4.31170e+31   1.30120e-02     448      80      16
   2.14930e+13   4.21360e+31   1.27800e-02     448      79      16
   2.11100e+13   4.11770e+31   1.25530e-02     448      79      16
   2.07350e+13   4.02400e+31   1.23300e-02     448      79      16
   2.03670e+13   3.93240e+31   1.21120e-02     448      79      16
   2.00060e+13   3.84280e+31   1.18980e-02     448      78      16
   1.96530e+13   3.75540e+31   1.16880e-02     448      78      16
   1.93070e+13   3.66990e+31   1.14820e-02     448      78      16
   1.89670e+13   3.58640e+31   1.12810e-02     448      78      16
   1.86350e+13   3.50470e+31   1.10840e-02     448      77      16
   1.83080e+13   3.42490e+31   1.08900e-02     448      77      16
   1.79890e+13   3.34700e+31   1.07000e-02     448      77      16
   1.76750e+13   3.27080e+31   1.05140e-02     448      77      16
   1.73670e+13   3.19630e+31   1.03310e-02     448      76      16
   1.64930e+13   3.19630e+31   9.81110e-03     224      65      14
   1.64040e+13   3.17380e+31   9.75860e-03     224      65      14
   1.61200e+13   3.10150e+31   9.59000e-03     224      64      14
   1.58420e+13   3.03090e+31   9.42450e-03     224      64      14
   1.55680e+13   2.96190e+31   9.26210e-03     224      64      14
   1.53000e+13   2.89450e+31   9.10270e-03     224      64      14
   1.50360e+13   2.82860e+31   8.94620e-03     224      64      14
   1.47780e+13   2.76420e+31   8.79270e-03     224      63      14
   1.45240e+13   2.70130e+31   8.64200e-03     224      63      14
   1.42750e+13   2.63980e+31   8.49410e-03     224      63      14
   1.40300e+13   2.57970e+31   8.34890e-03     224      63      14
   1.37900e+13   2.52100e+31   8.20640e-03     224      63      14
   1.35550e+13   2.46360e+31   8.06650e-03     224      63      14
   1.33230e+13   2.40760e+31   7.92910e-03     224      63      14
   1.30960e+13   2.35280e+31   7.79430e-03     224      62      14
   1.28740e+13   2.29920e+31   7.66190e-03     224      62      14
   1.26550e+13   2.24690e+31   7.53200e-03     224      62      14
   1.24400e+13   2.19570e+31   7.40440e-03     224      62      14
   1.22290e+13   2.14570e+31   7.27910e-03     224      62      14
   1.20220e+13   2.09690e+31   7.15610e-03     224      62      14
   1.18190e+13   2.04920e+31   7.03530e-03     224      61      14
   1.16190e+13   2.00250e+31   6.91670e-03     224      61      14
   1.14230e+13   1.95690e+31   6.80020e-03     224      61      14
   1.12310e+13   1.91240e+31   6.68590e-03     224      61      14
   1.10420e+13   1.86890e+31   6.57350e-03     224      61      14
   1.08560e+13   1.82630e+31   6.46320e-03     224      61      14
   1.06740e+13   1.78470e+31   6.35490e-03     224      61      14
   1.04950e+13   1.74410e+31   6.24850e-03     224      60      14
   1.03190e+13   1.70440e+31   6.14400e-03     224      60      14
   1.01460e+13   1.66560e+31   6.04140e-03     224      60      14
   9.97650e+12   1.62770e+31   5.94060e-03     224      60      14
   9.81000e+12   1.59070e+31   5.84150e-03     224      60      14
   9.64630e+12   1.55440e+31   5.74430e-03     224      60      14
   9.48560e+12   1.51910e+31   5.64870e-03     224      60      14
   9.32770e+12   1.48450e+31   5.55480e-03     224      60      14
   9.17260e+12   1.45070e+31   5.46260e-03     224      59      14
   9.02020e+12   1.41770e+31   5.37210e-03     224      59      14
   8.87050e+12   1.38540e+31   5.28310e-03     224      59      14
   8.72350e+12   1.35390e+31   5.19560e-03     224      59      14
   8.57900e+12   1.32300e+31   5.10970e-03     224      59      14
   8.43700e+12   1.29290e+31   5.02530e-03     224      59      14
   8.29760e+12   1.26350e+31   4.94240e-03     224      59      14
   8.16060e+12   1.23470e+31   4.86090e-03     224      59      14
   8.02590e+12   1.20660e+31   4.78080e-03     224      58      14
   7.89360e+12   1.17920e+31   4.70220e-03     224      58      14
   7.76360e+12   1.15230e+31   4.62480e-03     224      58      14
   7.63590e+12   1.12610e+31   4.54890e-03     224      58      14
   7.51030e+12   1.10050e+31   4.47420e-03     224      58      14
   7.38700e+12   1.07540e+31   4.40080e-03     224      58      14
   7.26580e+12   1.05090e+31   4.32870e-03     224      58      14
   7.14670e+12   1.02700e+31   4.25790e-03     224      58      14
   7.02960e+12   1.00360e+31   4.18820e-03     224      58      14
   6.91450e+12   9.80790e+30   4.11980e-03     224      57      14
   6.80140e+12   9.58460e+30   4.05250e-03     224      57      14
   6.69030e+12   9.36650e+30   3.98640e-03     224      57      14
   6.58100e+12   9.15330e+30   3.92140e-03     224      57      14
   6.47370e+12   8.94490e+30   3.85750e-03     224      57      14
   6.36810e+12   8.74130e+30   3.79470e-03     224      57      14
   6.34290e+12   8.69280e+30   3.77970e-03     224      57      14
   6.16290e+12   8.69280e+30   3.67260e-03     224      64      16
   6.08630e+12   8.54230e+30   3.62700e-03     224      64      16
   5.98670e+12   8.34790e+30   3.56780e-03     224      64      16
   5.88880e+12   8.15790e+30   3.50950e-03     224      64      16
   5.79260e+12   7.97220e+30   3.45220e-03     224      64      16
   5.69790e+12   7.79070e+30   3.39590e-03     224      64      16
   5.60490e+12   7.61340e+30   3.34060e-03     224      64      16
   5.51350e+12   7.44010e+30   3.28620e-03     224      63      16
   5.42360e+12   7.27070e+30   3.23270e-03     224      63      16
   5.33530e+12   7.10520e+30   3.18010e-03     224      63      16
   5.24840e+12   6.94350e+30   3.12840e-03     224      63      16
   5.16300e+12   6.78540e+30   3.07750e-03     224      63      16
   5.07900e+12   6.63100e+30   3.02760e-03     224      63      16
   4.99650e+12   6.48000e+30   2.97840e-03     224      63      16
   4.91530e+12   6.33250e+30   2.93010e-03     224      63      16
   4.83550e+12   6.18840e+30   2.88260e-03     224      63      16
   4.75710e+12   6.04750e+30   2.83590e-03     224      63      16
   4.67990e+12   5.90980e+30   2.79000e-03     224      63      16
   4.60410e+12   5.77530e+30   2.74480e-03     224      62      16
   3.73030e+12   5.77530e+30   2.22380e-03     112      53      14
   3.70890e+12   5.73000e+30   2.21100e-03     112      53      14
   3.64680e+12   5.59950e+30   2.17410e-03     112      52      14
   3.58580e+12   5.47210e+30   2.13780e-03     112      52      14
   3.52590e+12   5.34750e+30   2.10210e-03     112      52      14
   3.46700e+12   5.22580e+30   2.06710e-03     112      52      14
   3.40900e+12   5.10680e+30   2.03260e-03     112      52      14
   3.35210e+12   4.99060e+30   1.99870e-03     112      52      14
   3.29610e+12   4.87700e+30   1.96540e-03     112      52      14
   3.24110e+12   4.76600e+30   1.93260e-03     112      52      14
   3.18700e+12   4.65750e+30   1.90040e-03     112      52      14
   3.13380e+12   4.55150e+30   1.86870e-03     112      52      14
   3.08150e+12   4.44790e+30   1.83760e-03     112      52      14
   3.03010e+12   4.34660e+30   1.80700e-03     112      52      14
   2.97950e+12   4.24770e+30   1.77690e-03     112      52      14
   2.92980e+12   4.15100e+30   1.74730e-03     112      52      14
   2.88100e+12   4.05650e+30   1.71820e-03     112      52      14
   2.83290e+12   3.96420e+30   1.68960e-03     112      52      14
   2.78570e+12   3.87390e+30   1.66140e-03     112      52      14
   2.73930e+12   3.78570e+30   1.63380e-03     112      52      14
   2.69360e+12   3.69960e+30   1.60660e-03     112      52      14
   2.64870e+12   3.61540e+30   1.57990e-03     112      51      14
   2.60460e+12   3.53310e+30   1.55360e-03     112      51      14
   2.56120e+12   3.45260e+30   1.52780e-03     112      51      14
   2.51860e+12   3.37400e+30   1.50240e-03     112      51      14
   2.47670e+12   3.29720e+30   1.47740e-03     112      51      14
   2.43540e+12   3.22220e+30   1.45280e-03     112      51      14
   2.39490e+12   3.14880e+30   1.42870e-03     112      51      14
   2.35500e+12   3.07720e+30   1.40490e-03     112      51      14
   2.31580e+12   3.00710e+30   1.38160e-03     112      51      14
   2.27730e+12   2.93870e+30   1.35860e-03     112      51      14
   2.23940e+12   2.87180e+30   1.33610e-03     112      51      14
   2.20220e+12   2.80640e+30   1.31390e-03     112      51      14
   2.16560e+12   2.74250e+30   1.29210e-03     112      51      14
   2.12950e+12   2.68010e+30   1.27060e-03     112      51      14
   2.09410e+12   2.61910e+30   1.24950e-03     112      51      14
   2.05930e+12   2.55950e+30   1.22880e-03     112      51      14
   2.04910e+12   2.54200e+30   1.22270e-03     112      51      14
   1.21760e+12   2.54200e+30   7.26500e-04      56      48      14
   1.20290e+12   2.50120e+30   7.17750e-04      56      48      14
   1.18230e+12   2.44430e+30   7.05480e-04      56      48      14
   1.16200e+12   2.38860e+30   6.93420e-04      56      48      14
   1.14210e+12   2.33430e+30   6.81560e-04      56      48      14
   1.12250e+12   2.28110e+30   6.69910e-04      56      48      14
   1.10330e+12   2.22920e+30   6.58460e-04      56      48      14
   1.08440e+12   2.17850e+30   6.47200e-04      56      48      14
   1.06580e+12   2.12890e+30   6.36140e-04      56      48      14
   1.04760e+12   2.08040e+30   6.25260e-04      56      48      14
   1.02960e+12   2.03310e+30   6.14580e-04      56      48      14
   1.01200e+12   1.98680e+30   6.04070e-04      56      48      14
   9.94660e+11   1.94160e+30   5.93740e-04      56      48      14
   9.77620e+11   1.89740e+30   5.83590e-04      56      48      14
   9.60870e+11   1.85420e+30   5.73620e-04      56      48      14
   9.44410e+11   1.81200e+30   5.63810e-04      56      48      14
   9.28240e+11   1.77070e+30   5.54180e-04      56      48      14
   9.12340e+11   1.73040e+30   5.44700e-04      56      48      14
   8.96710e+11   1.69100e+30   5.35390e-04      56      48      14
   8.81350e+11   1.65250e+30   5.26240e-04      56      48      14
   8.66260e+11   1.61490e+30   5.17250e-04      56      48      14
   8.51420e+11   1.57820e+30   5.08400e-04      56      48      14
   8.36840e+11   1.54220e+30   4.99710e-04      56      48      14
   8.22510e+11   1.50710e+30   4.91170e-04      56      48      14
   8.08420e+11   1.47280e+30   4.82780e-04      56      48      14
   7.94570e+11   1.43930e+30   4.74520e-04      56      48      14
   7.80970e+11   1.40650e+30   4.66410e-04      56      48      14
   7.67590e+11   1.37450e+30   4.58440e-04      56      48      14
   7.54450e+11   1.34320e+30   4.50610e-04      56      48      14
   7.41530e+11   1.31270e+30   4.42900e-04      56      48      14
   7.28830e+11   1.28280e+30   4.35330e-04      56      48      14
   7.16350e+11   1.25360e+30   4.27890e-04      56      48      14
   7.04080e+11   1.22500e+30   4.20580e-04      56      48      14
   6.92020e+11   1.19720e+30   4.13390e-04      56      48      14
   6.86200e+11   1.18370e+30   4.09920e-04      56      48      14
   6.04230e+11   1.18370e+30   3.61030e-04      56      54      16
   5.98910e+11   1.16990e+30   3.57860e-04      56      54      16
   5.88640e+11   1.14330e+30   3.51730e-04      56      54      16
   5.78540e+11   1.11730e+30   3.45710e-04      56      53      16
   5.68620e+11   1.09180e+30   3.39790e-04      56      53      16
   5.58870e+11   1.06700e+30   3.33980e-04      56      53      16
   5.49280e+11   1.04270e+30   3.28260e-04      56      53      16
   5.39860e+11   1.01890e+30   3.22640e-04      56      53      16
   5.30610e+11   9.95750e+29   3.17120e-04      56      53      16
   5.21510e+11   9.73090e+29   3.11690e-04      56      53      16
   5.12560e+11   9.50940e+29   3.06360e-04      56      53      16
   5.08220e+11   9.40230e+29   3.03770e-04      56      53      16
   4.78620e+11   9.40230e+29   2.86120e-04      56      56      17
   4.74430e+11   9.29290e+29   2.83620e-04      56      56      17
   4.66290e+11   9.08140e+29   2.78760e-04      56      56      17
   4.58300e+11   8.87470e+29   2.73990e-04      56      56      17
   4.50430e+11   8.67260e+29   2.69300e-04      56      56      17
   4.42710e+11   8.47520e+29   2.64690e-04      56      56      17
   4.35170e+11   8.28380e+29   2.60190e-04      56      56      17
   4.10950e+11   8.28380e+29   2.45740e-04      56      56      18
   4.10900e+11   8.28230e+29   2.45710e-04      56      56      18
   4.03850e+11   8.09380e+29   2.41500e-04      56      56      18
   3.96920e+11   7.90950e+29   2.37370e-04      56      56      18
   3.90110e+11   7.72950e+29   2.33300e-04      56      56      18
   3.83420e+11   7.55360e+29   2.29310e-04      56      56      18
   3.76840e+11   7.38160e+29   2.25390e-04      56      56      18
   3.70380e+11   7.21360e+29   2.21530e-04      56      56      18
   3.64020e+11   7.04940e+29   2.17740e-04      56      56      18
   3.57780e+11   6.88890e+29   2.14010e-04      56      56      18
   3.51640e+11   6.73210e+29   2.10350e-04      56      56      18
   3.45610e+11   6.57890e+29   2.06740e-04      56      56      18
   3.39680e+11   6.42910e+29   2.03210e-04      56      56      18
   3.33860e+11   6.28280e+29   1.99730e-04      56      56      18
   3.28130e+11   6.13980e+29   1.96310e-04      56      56      18
   3.22500e+11   6.00000e+29   1.92950e-04      56      56      18
   3.18910e+11   5.73000e+29   1.90840e-04      56      56      18
   3.13440e+11   5.59950e+29   1.87570e-04      56      56      18
   3.08070e+11   5.47210e+29   1.84360e-04      56      56      18
   3.02780e+11   5.34750e+29   1.81200e-04      56      56      18
   2.97590e+11   5.22580e+29   1.78100e-04      56      56      18
   2.92490e+11   5.10680e+29   1.75050e-04      56      56      18
   2.87470e+11   4.99060e+29   1.72060e-04      56      56      18
   2.82540e+11   4.87700e+29   1.69110e-04      56      56      18
   2.77690e+11   4.76600e+29   1.66220e-04      56      56      18
   2.72930e+11   4.65750e+29   1.63370e-04      56      56      18
   2.68250e+11   4.55150e+29   1.60580e-04      56      56      18
   2.63650e+11   4.44790e+29   1.57830e-04      56      56      18
   2.59130e+11   4.34660e+29   1.55130e-04      56      56      18
   2.54690e+11   4.24770e+29   1.52470e-04      56      56      18
   2.50320e+11   4.15100e+29   1.49860e-04      56      56      18
   2.46030e+11   4.05650e+29   1.47300e-04      56      56      18
   2.41810e+11   3.96420e+29   1.44770e-04      56      56      18
   2.37660e+11   3.87390e+29   1.42300e-04      56      56      18
   2.33590e+11   3.78570e+29   1.39860e-04      56      56      18
