     6      982     itext   idata											
																								
Haensel & Zdunik (2008) EOS: 																																											
   rho             P		    n         A_cell   A_ion       Z				
 (g/cm3)		(dynes/cm2)     (#/fm3)																

 
1.3093657E+14  4.0633317E+32  7.7417443E-02   1233.6341       77.610292       40.000000    
1.2502437E+14  3.7846132E+32  7.3934888E-02   1237.3552       133.19822       40.000000    
1.1911435E+14  3.5343923E+32  7.0452333E-02   1238.5644       168.56746       40.000000    
1.1320639E+14  3.2951793E+32  6.6969778E-02   1237.3169       190.75938       40.000000    
1.0730039E+14  3.0605601E+32  6.3487222E-02   1233.6667       204.92480       40.000000    
1.0139627E+14  2.8304497E+32  6.0004667E-02   1227.6660       214.14075       40.000000    
   8.20450e+13   2.48030e+32   4.86290e-02     448      75      15
   8.07480e+13   2.42380e+32   4.78630e-02     448      75      15
   7.94660e+13   2.36870e+32   4.71050e-02     448      75      15
   7.81970e+13   2.31480e+32   4.63550e-02     448      76      15
   7.69520e+13   2.26210e+32   4.56200e-02     448      76      15
   7.57200e+13   2.21060e+32   4.48910e-02     448      76      15
   7.44970e+13   2.16030e+32   4.41690e-02     448      76      15
   7.32890e+13   2.11110e+32   4.34550e-02     448      76      15
   7.20850e+13   2.06300e+32   4.27430e-02     448      76      15
   7.09050e+13   2.01610e+32   4.20460e-02     448      76      15
   6.97440e+13   1.97020e+32   4.13590e-02     448      76      15
   6.85960e+13   1.92530e+32   4.06810e-02     448      76      15
   6.74650e+13   1.88150e+32   4.00120e-02     448      76      15
   6.63490e+13   1.83870e+32   3.93520e-02     448      76      15
   6.52480e+13   1.79680e+32   3.87010e-02     448      77      15
   6.41610e+13   1.75590e+32   3.80580e-02     448      77      15
   6.30980e+13   1.71590e+32   3.74300e-02     448      77      15
   6.20500e+13   1.67690e+32   3.68100e-02     448      77      15
   6.10040e+13   1.63870e+32   3.61910e-02     448      77      15
   5.99720e+13   1.60140e+32   3.55800e-02     448      77      15
   5.89640e+13   1.56500e+32   3.49840e-02     448      77      15
   5.79770e+13   1.52930e+32   3.44000e-02     448      77      15
   5.69990e+13   1.49450e+32   3.38220e-02     448      77      15
   5.60340e+13   1.46050e+32   3.32500e-02     448      77      15
   5.50840e+13   1.42730e+32   3.26890e-02     448      77      15
   5.41490e+13   1.39480e+32   3.21350e-02     448      76      15
   5.32290e+13   1.36300e+32   3.15910e-02     448      76      15
   5.23230e+13   1.33200e+32   3.10540e-02     448      76      15
   5.14310e+13   1.30170e+32   3.05270e-02     448      76      15
   5.09750e+13   1.28620e+32   3.02560e-02     448      76      15
   5.08260e+13   1.28620e+32   3.01680e-02     448      81      16
   5.04060e+13   1.27210e+32   2.99200e-02     448      81      16
   4.95450e+13   1.24310e+32   2.94100e-02     448      81      16
   4.86970e+13   1.21480e+32   2.89080e-02     448      81      16
   4.78630e+13   1.18710e+32   2.84150e-02     448      81      16
   4.70430e+13   1.16010e+32   2.79290e-02     448      80      16
   4.62370e+13   1.13370e+32   2.74510e-02     448      80      16
   4.54440e+13   1.10790e+32   2.69820e-02     448      80      16
   4.46640e+13   1.08270e+32   2.65200e-02     448      80      16
   4.38980e+13   1.05800e+32   2.60660e-02     448      80      16
   4.31440e+13   1.03400e+32   2.56200e-02     448      80      16
   4.24040e+13   1.01040e+32   2.51810e-02     448      80      16
   4.16750e+13   9.87430e+31   2.47500e-02     448      80      16
   4.09600e+13   9.64950e+31   2.43260e-02     448      80      16
   4.02570e+13   9.42980e+31   2.39100e-02     448      79      16
   3.95650e+13   9.21520e+31   2.35000e-02     448      79      16
   3.88800e+13   9.00540e+31   2.30940e-02     448      79      16
   3.82130e+13   8.80040e+31   2.26990e-02     448      79      16
   3.75560e+13   8.60010e+31   2.23100e-02     448      79      16
   3.69160e+13   8.40440e+31   2.19300e-02     448      79      16
   3.62830e+13   8.21300e+31   2.15550e-02     448      79      16
   3.56570e+13   8.02610e+31   2.11840e-02     448      78      16
   3.50460e+13   7.84340e+31   2.08220e-02     448      78      16
   3.44460e+13   7.66490e+31   2.04670e-02     448      78      16
   3.38600e+13   7.49040e+31   2.01190e-02     448      78      16
   3.32810e+13   7.31990e+31   1.97760e-02     448      78      16
   3.27120e+13   7.15330e+31   1.94380e-02     448      78      16
   3.21520e+13   6.99040e+31   1.91070e-02     448      78      16
   3.16030e+13   6.83130e+31   1.87810e-02     448      77      16
   3.10630e+13   6.67580e+31   1.84610e-02     448      77      16
   3.05330e+13   6.52390e+31   1.81470e-02     448      77      16
   3.00120e+13   6.37540e+31   1.78380e-02     448      77      16
   2.95010e+13   6.23020e+31   1.75350e-02     448      77      16
   2.89980e+13   6.08840e+31   1.72370e-02     448      77      16
   2.85050e+13   5.94980e+31   1.69440e-02     448      76      16
   2.80200e+13   5.81440e+31   1.66570e-02     448      76      16
   2.75440e+13   5.68200e+31   1.63740e-02     448      76      16
   2.70760e+13   5.55270e+31   1.60970e-02     448      76      16
   2.66170e+13   5.42630e+31   1.58240e-02     448      76      16
   2.61650e+13   5.30280e+31   1.55570e-02     448      76      16
   2.57220e+13   5.18210e+31   1.52940e-02     448      75      16
   2.52870e+13   5.06410e+31   1.50350e-02     448      75      16
   2.48590e+13   4.94890e+31   1.47820e-02     448      75      16
   2.44390e+13   4.83620e+31   1.45320e-02     448      75      16
   2.40270e+13   4.72610e+31   1.42880e-02     448      75      16
   2.36220e+13   4.61850e+31   1.40470e-02     448      75      16
   2.32240e+13   4.51340e+31   1.38110e-02     448      75      16
   2.28330e+13   4.41070e+31   1.35790e-02     448      74      16
   2.24480e+13   4.31030e+31   1.33510e-02     448      74      16
   2.20710e+13   4.21220e+31   1.31270e-02     448      74      16
   2.17010e+13   4.11630e+31   1.29070e-02     448      74      16
   2.13370e+13   4.02260e+31   1.26910e-02     448      74      16
   2.09790e+13   3.93100e+31   1.24790e-02     448      74      16
   2.06280e+13   3.84150e+31   1.22700e-02     448      73      16
   2.02830e+13   3.75410e+31   1.20650e-02     448      73      16
   1.99440e+13   3.66860e+31   1.18640e-02     448      73      16
   1.96110e+13   3.58510e+31   1.16670e-02     448      73      16
   1.92840e+13   3.50350e+31   1.14720e-02     448      73      16
   1.89620e+13   3.42380e+31   1.12820e-02     448      73      16
   1.86470e+13   3.34580e+31   1.10940e-02     448      73      16
   1.83360e+13   3.26970e+31   1.09100e-02     448      72      16
   1.80320e+13   3.19520e+31   1.07290e-02     448      72      16
   1.77320e+13   3.12250e+31   1.05510e-02     448      72      16
   1.74380e+13   3.05140e+31   1.03760e-02     448      72      16
   1.71490e+13   2.98200e+31   1.02050e-02     448      72      16
   1.68650e+13   2.91410e+31   1.00360e-02     448      72      16
   1.65860e+13   2.84780e+31   9.87060e-03     448      71      16
   1.63120e+13   2.78290e+31   9.70770e-03     448      71      16
   1.60430e+13   2.71960e+31   9.54780e-03     448      71      16
   1.57780e+13   2.65770e+31   9.39060e-03     448      71      16
   1.55180e+13   2.59720e+31   9.23610e-03     448      71      16
   1.52630e+13   2.53810e+31   9.08430e-03     448      71      16
   1.50120e+13   2.48030e+31   8.93510e-03     448      71      16
   1.47650e+13   2.42380e+31   8.78850e-03     448      70      16
   1.45220e+13   2.36870e+31   8.64450e-03     448      70      16
   1.42840e+13   2.31480e+31   8.50290e-03     448      70      16
   1.40500e+13   2.26210e+31   8.36380e-03     448      70      16
   1.31860e+13   2.26210e+31   7.84930e-03     224      60      14
   1.31200e+13   2.24650e+31   7.81000e-03     224      60      14
   1.29020e+13   2.19530e+31   7.68040e-03     224      60      14
   1.26880e+13   2.14540e+31   7.55310e-03     224      60      14
   1.24770e+13   2.09650e+31   7.42800e-03     224      60      14
   1.22700e+13   2.04880e+31   7.30500e-03     224      60      14
   1.20670e+13   2.00220e+31   7.18420e-03     224      59      14
   1.18670e+13   1.95660e+31   7.06540e-03     224      59      14
   1.16700e+13   1.91210e+31   6.94870e-03     224      59      14
   1.14770e+13   1.86850e+31   6.83390e-03     224      59      14
   1.12880e+13   1.82600e+31   6.72110e-03     224      59      14
   1.11010e+13   1.78440e+31   6.61030e-03     224      59      14
   1.09180e+13   1.74380e+31   6.50140e-03     224      59      14
   1.07380e+13   1.70410e+31   6.39430e-03     224      59      14
   1.05610e+13   1.66530e+31   6.28900e-03     224      59      14
   1.03870e+13   1.62740e+31   6.18560e-03     224      59      14
   1.02160e+13   1.59040e+31   6.08390e-03     224      58      14
   1.00470e+13   1.55420e+31   5.98390e-03     224      58      14
   9.88210e+12   1.51880e+31   5.88560e-03     224      58      14
   9.71960e+12   1.48420e+31   5.78900e-03     224      58      14
   9.56000e+12   1.45040e+31   5.69410e-03     224      58      14
   9.40300e+12   1.41740e+31   5.60070e-03     224      58      14
   9.24870e+12   1.38520e+31   5.50900e-03     224      58      14
   9.09700e+12   1.35360e+31   5.41880e-03     224      58      14
   8.94790e+12   1.32280e+31   5.33010e-03     224      58      14
   8.80130e+12   1.29270e+31   5.24290e-03     224      58      14
   8.65720e+12   1.26330e+31   5.15720e-03     224      57      14
   8.51550e+12   1.23450e+31   5.07300e-03     224      57      14
   8.37630e+12   1.20640e+31   4.99010e-03     224      57      14
   8.23940e+12   1.17900e+31   4.90870e-03     224      57      14
   8.10480e+12   1.15210e+31   4.82860e-03     224      57      14
   7.97250e+12   1.12590e+31   4.74990e-03     224      57      14
   7.84230e+12   1.10030e+31   4.67250e-03     224      57      14
   7.71440e+12   1.07520e+31   4.59640e-03     224      57      14
   7.58870e+12   1.05080e+31   4.52160e-03     224      57      14
   7.46500e+12   1.02680e+31   4.44800e-03     224      57      14
   7.34350e+12   1.00350e+31   4.37570e-03     224      57      14
   7.22400e+12   9.80620e+30   4.30460e-03     224      57      14
   7.10640e+12   9.58300e+30   4.23470e-03     224      56      14
   6.99090e+12   9.36490e+30   4.16590e-03     224      56      14
   6.87730e+12   9.15170e+30   4.09830e-03     224      56      14
   6.76560e+12   8.94340e+30   4.03190e-03     224      56      14
   6.65570e+12   8.73980e+30   3.96650e-03     224      56      14
   6.54770e+12   8.54090e+30   3.90220e-03     224      56      14
   6.44150e+12   8.34650e+30   3.83900e-03     224      56      14
   6.33710e+12   8.15650e+30   3.77690e-03     224      56      14
   6.23440e+12   7.97080e+30   3.71570e-03     224      56      14
   6.13340e+12   7.78940e+30   3.65560e-03     224      56      14
   6.03410e+12   7.61210e+30   3.59650e-03     224      56      14
   5.93650e+12   7.43880e+30   3.53840e-03     224      56      14
   5.84040e+12   7.26950e+30   3.48120e-03     224      56      14
   5.74600e+12   7.10400e+30   3.42500e-03     224      55      14
   5.71930e+12   7.05750e+30   3.40920e-03     224      55      14
   5.52540e+12   7.05750e+30   3.29370e-03     224      63      16
   5.46100e+12   6.94230e+30   3.25540e-03     224      62      16
   5.37220e+12   6.78430e+30   3.20250e-03     224      62      16
   5.28490e+12   6.62980e+30   3.15050e-03     224      62      16
   5.19900e+12   6.47890e+30   3.09940e-03     224      62      16
   5.11450e+12   6.33140e+30   3.04910e-03     224      62      16
   5.03150e+12   6.18730e+30   2.99970e-03     224      62      16
   4.94980e+12   6.04650e+30   2.95100e-03     224      62      16
   4.86950e+12   5.90880e+30   2.90320e-03     224      62      16
   4.79050e+12   5.77430e+30   2.85620e-03     224      62      16
   4.71280e+12   5.64290e+30   2.80990e-03     224      62      16
   4.63640e+12   5.51450e+30   2.76440e-03     224      62      16
   4.56130e+12   5.38890e+30   2.71970e-03     224      62      16
   4.48740e+12   5.26630e+30   2.67570e-03     224      62      16
   4.41480e+12   5.14640e+30   2.63240e-03     224      61      16
   3.48960e+12   5.14640e+30   2.08070e-03     112      52      14
   3.47470e+12   5.11650e+30   2.07180e-03     112      52      14
   3.41660e+12   5.00000e+30   2.03720e-03     112      52      14
   3.35940e+12   4.88620e+30   2.00320e-03     112      52      14
   3.30320e+12   4.77500e+30   1.96970e-03     112      52      14
   3.24790e+12   4.66630e+30   1.93680e-03     112      52      14
   3.19360e+12   4.56010e+30   1.90450e-03     112      52      14
   3.14020e+12   4.45630e+30   1.87270e-03     112      52      14
   3.08770e+12   4.35480e+30   1.84140e-03     112      52      14
   3.03610e+12   4.25570e+30   1.81070e-03     112      52      14
   2.98530e+12   4.15880e+30   1.78040e-03     112      52      14
   2.93540e+12   4.06420e+30   1.75070e-03     112      52      14
   2.88630e+12   3.97160e+30   1.72150e-03     112      52      14
   2.83810e+12   3.88120e+30   1.69280e-03     112      52      14
   2.79070e+12   3.79290e+30   1.66450e-03     112      52      14
   2.74410e+12   3.70660e+30   1.63680e-03     112      52      14
   2.69820e+12   3.62220e+30   1.60940e-03     112      51      14
   2.65310e+12   3.53970e+30   1.58260e-03     112      51      14
   2.60880e+12   3.45920e+30   1.55620e-03     112      51      14
   2.56530e+12   3.38040e+30   1.53030e-03     112      51      14
   2.52240e+12   3.30350e+30   1.50470e-03     112      51      14
   2.48030e+12   3.22830e+30   1.47960e-03     112      51      14
   2.43890e+12   3.15480e+30   1.45500e-03     112      51      14
   2.39820e+12   3.08300e+30   1.43070e-03     112      51      14
   2.35820e+12   3.01280e+30   1.40690e-03     112      51      14
   2.31880e+12   2.94420e+30   1.38340e-03     112      51      14
   2.28010e+12   2.87720e+30   1.36040e-03     112      51      14
   2.24210e+12   2.81170e+30   1.33770e-03     112      51      14
   2.20460e+12   2.74770e+30   1.31540e-03     112      51      14
   2.16790e+12   2.68520e+30   1.29350e-03     112      51      14
   2.13170e+12   2.62400e+30   1.27190e-03     112      51      14
   2.09610e+12   2.56430e+30   1.25080e-03     112      51      14
   2.06130e+12   2.50620e+30   1.23000e-03     112      51      14
   1.20590e+12   2.50620e+30   7.19580e-04      56      48      14
   1.20580e+12   2.50590e+30   7.19520e-04      56      48      14
   1.18520e+12   2.44890e+30   7.07220e-04      56      48      14
   1.16490e+12   2.39320e+30   6.95120e-04      56      48      14
   1.14490e+12   2.33870e+30   6.83240e-04      56      48      14
   1.12530e+12   2.28540e+30   6.71550e-04      56      48      14
   1.10600e+12   2.23340e+30   6.60070e-04      56      48      14
   1.08700e+12   2.18260e+30   6.48780e-04      56      48      14
   1.06840e+12   2.13290e+30   6.37690e-04      56      48      14
   1.05010e+12   2.08430e+30   6.26790e-04      56      48      14
   1.03210e+12   2.03690e+30   6.16070e-04      56      48      14
   1.01440e+12   1.99050e+30   6.05540e-04      56      48      14
   9.97050e+11   1.94520e+30   5.95180e-04      56      48      14
   9.79970e+11   1.90090e+30   5.85010e-04      56      48      14
   9.63180e+11   1.85770e+30   5.75000e-04      56      48      14
   9.46680e+11   1.81540e+30   5.65170e-04      56      48      14
   9.30460e+11   1.77410e+30   5.55510e-04      56      48      14
   9.14520e+11   1.73370e+30   5.46010e-04      56      48      14
   8.98850e+11   1.69420e+30   5.36680e-04      56      48      14
   8.83450e+11   1.65570e+30   5.27500e-04      56      48      14
   8.68310e+11   1.61800e+30   5.18480e-04      56      48      14
   8.53440e+11   1.58110e+30   5.09620e-04      56      48      14
   8.38820e+11   1.54510e+30   5.00900e-04      56      48      14
   8.24450e+11   1.51000e+30   4.92340e-04      56      48      14
   8.10330e+11   1.47560e+30   4.83920e-04      56      48      14
   7.96450e+11   1.44200e+30   4.75650e-04      56      48      14
   7.82800e+11   1.40920e+30   4.67520e-04      56      48      14
   7.69390e+11   1.37710e+30   4.59520e-04      56      48      14
   7.56210e+11   1.34580e+30   4.51670e-04      56      48      14
   7.43260e+11   1.31510e+30   4.43950e-04      56      48      14
   7.30530e+11   1.28520e+30   4.36360e-04      56      48      14
   7.18020e+11   1.25590e+30   4.28900e-04      56      48      14
   7.05720e+11   1.22740e+30   4.21560e-04      56      48      14
   7.00990e+11   1.21640e+30   4.18740e-04      56      48      14
   6.16820e+11   1.21640e+30   3.68540e-04      56      54      16
   6.10340e+11   1.19940e+30   3.64680e-04      56      54      16
   5.99870e+11   1.17210e+30   3.58430e-04      56      54      16
   5.89580e+11   1.14540e+30   3.52300e-04      56      54      16
   5.79470e+11   1.11940e+30   3.46270e-04      56      54      16
   5.69530e+11   1.09390e+30   3.40340e-04      56      54      16
   5.59760e+11   1.06900e+30   3.34520e-04      56      54      16
   5.50160e+11   1.04460e+30   3.28790e-04      56      54      16
   5.40720e+11   1.02090e+30   3.23160e-04      56      54      16
   5.31450e+11   9.97630e+29   3.17630e-04      56      54      16
   5.22340e+11   9.74920e+29   3.12200e-04      56      54      16
   5.13380e+11   9.52730e+29   3.06850e-04      56      54      16
   5.05100e+11   9.32340e+29   3.01920e-04      56      54      16
   4.75600e+11   9.32340e+29   2.84320e-04      56      56      17
   4.75100e+11   9.31040e+29   2.84020e-04      56      56      17
   4.66950e+11   9.09850e+29   2.79160e-04      56      56      17
   4.58940e+11   8.89140e+29   2.74380e-04      56      56      17
   4.51070e+11   8.68900e+29   2.69680e-04      56      56      17
   4.43330e+11   8.49120e+29   2.65070e-04      56      56      17
   4.35730e+11   8.29790e+29   2.60530e-04      56      56      17
   4.28250e+11   8.10910e+29   2.56070e-04      56      56      17
   4.23240e+11   7.98300e+29   2.53080e-04      56      56      17
   3.99680e+11   7.98300e+29   2.39020e-04      56      56      18
   3.97480e+11   7.92450e+29   2.37700e-04      56      56      18
   3.90660e+11   7.74410e+29   2.33630e-04      56      56      18
   3.83960e+11   7.56780e+29   2.29640e-04      56      56      18
   3.77370e+11   7.39550e+29   2.25700e-04      56      56      18
   3.70900e+11   7.22720e+29   2.21840e-04      56      56      18
   3.64530e+11   7.06270e+29   2.18040e-04      56      56      18
   3.58280e+11   6.90190e+29   2.14310e-04      56      56      18
   3.52140e+11   6.74480e+29   2.10640e-04      56      56      18
   3.46100e+11   6.59130e+29   2.07040e-04      56      56      18
   3.40160e+11   6.44120e+29   2.03490e-04      56      56      18
   3.34330e+11   6.29460e+29   2.00010e-04      56      56      18
   3.28590e+11   6.15130e+29   1.96590e-04      56      56      18
   3.22960e+11   6.01130e+29   1.93220e-04      56      56      18
   3.17420e+11   5.87450e+29   1.89910e-04      56      56      18
   3.11970e+11   5.74080e+29   1.86660e-04      56      56      18
   3.06620e+11   5.61010e+29   1.83470e-04      56      56      18
   3.01360e+11   5.48240e+29   1.80330e-04      56      56      18
   2.96190e+11   5.35760e+29   1.77240e-04      56      56      18
   2.91110e+11   5.23560e+29   1.74210e-04      56      56      18
   2.86120e+11   5.11650e+29   1.71230e-04      56      56      18
   2.81220e+11   5.00000e+29   1.68290e-04      56      56      18
   2.72930e+11   4.65750e+29   1.63370e-04      56      56      18
   2.68250e+11   4.55150e+29   1.60580e-04      56      56      18
   2.63650e+11   4.44790e+29   1.57830e-04      56      56      18
   2.59130e+11   4.34660e+29   1.55130e-04      56      56      18
   2.54680e+11   4.24770e+29   1.52470e-04      56      56      18
   2.50320e+11   4.15100e+29   1.49860e-04      56      56      18
   2.46020e+11   4.05650e+29   1.47300e-04      56      56      18
   2.41810e+11   3.96420e+29   1.44780e-04      56      56      18
   2.37660e+11   3.87390e+29   1.42300e-04      56      56      18
   2.33580e+11   3.78570e+29   1.39860e-04      56      56      18
   2.29580e+11   3.69960e+29   1.37470e-04      56      56      18
   2.25640e+11   3.61540e+29   1.35120e-04      56      56      18
   2.21770e+11   3.53310e+29   1.32800e-04      56      56      18
   2.17970e+11   3.45260e+29   1.30530e-04      56      56      18
   2.17740e+11   3.44770e+29   1.30390e-04      56      56      18
