     6      734     itext   idata											
																								
Haensel & Zdunik (2008) EOS: Fe compression, with pycnonuclear allowed																								
																								
   rho             P		    n         A_cell   A_ion       Z				
 (g/cm3)		(dynes/cm2)     (#/fm3)																

   1.58300e+13   1.69890e+32   9.47210e-03     448      67      12
   3.94720e+13   1.66020e+32   2.34600e-02     448      60      12
   5.21050e+13   1.62240e+32   3.09340e-02     448      57      12
   5.72370e+13   1.58550e+32   3.39700e-02     448      56      12
   5.79620e+13   1.54940e+32   3.43990e-02     448      55      12
   5.70010e+13   1.51410e+32   3.38300e-02     448      56      12
   5.61990e+13   1.47970e+32   3.33550e-02     448      56      12
   5.54260e+13   1.44600e+32   3.28990e-02     448      56      12
   5.46350e+13   1.41310e+32   3.24300e-02     448      56      12
   5.38650e+13   1.38090e+32   3.19750e-02     448      56      12
   5.31010e+13   1.34950e+32   3.15220e-02     448      57      12
   5.23460e+13   1.31870e+32   3.10750e-02     448      57      12
   5.16000e+13   1.28870e+32   3.06340e-02     448      57      12
   5.08620e+13   1.25940e+32   3.01970e-02     448      57      12
   5.01340e+13   1.23070e+32   2.97660e-02     448      57      12
   4.94140e+13   1.20270e+32   2.93400e-02     448      58      12
   4.87030e+13   1.17530e+32   2.89190e-02     448      58      12
   4.80000e+13   1.14860e+32   2.85030e-02     448      58      12
   4.73070e+13   1.12240e+32   2.80920e-02     448      58      12
   4.66210e+13   1.09690e+32   2.76850e-02     448      58      12
   4.59450e+13   1.07190e+32   2.72850e-02     448      59      12
   4.52740e+13   1.04750e+32   2.68880e-02     448      59      12
   4.46130e+13   1.02370e+32   2.64960e-02     448      59      12
   4.39770e+13   1.00040e+32   2.61190e-02     448      59      12
   4.32400e+13   9.77600e+31   2.56830e-02     448      59      12
   4.25270e+13   9.55350e+31   2.52600e-02     448      58      12
   4.19260e+13   9.33600e+31   2.49050e-02     448      58      12
   4.12990e+13   9.12350e+31   2.45330e-02     448      58      12
   4.05740e+13   8.91580e+31   2.41040e-02     448      57      12
   3.99390e+13   8.71290e+31   2.37270e-02     448      57      12
   3.93760e+13   8.51460e+31   2.33930e-02     448      58      12
   3.87430e+13   8.32070e+31   2.30180e-02     448      57      12
   3.80600e+13   8.13130e+31   2.26140e-02     448      56      12
   3.74930e+13   7.94620e+31   2.22780e-02     448      56      12
   3.69520e+13   7.76540e+31   2.19570e-02     448      57      12
   3.63130e+13   7.58860e+31   2.15780e-02     448      56      12
   3.57000e+13   7.41590e+31   2.12150e-02     448      55      12
   3.51750e+13   7.24710e+31   2.09040e-02     448      55      12
   3.46440e+13   7.08210e+31   2.05880e-02     448      55      12
   3.41310e+13   6.92090e+31   2.02840e-02     448      56      12
   3.35290e+13   6.76330e+31   1.99270e-02     448      55      12
   3.29660e+13   6.60940e+31   1.95940e-02     448      54      12
   3.24810e+13   6.45890e+31   1.93060e-02     448      54      12
   3.19830e+13   6.31190e+31   1.90110e-02     448      54      12
   3.14950e+13   6.16820e+31   1.87210e-02     448      55      12
   3.10290e+13   6.02780e+31   1.84450e-02     448      55      12
   3.04860e+13   5.89060e+31   1.81230e-02     448      54      12
   2.99570e+13   5.75650e+31   1.78090e-02     448      53      12
   2.95120e+13   5.62550e+31   1.75450e-02     448      53      12
   2.90570e+13   5.49750e+31   1.72750e-02     448      53      12
   2.90480e+13   5.49490e+31   1.72700e-02     448      53      12
   2.83890e+13   5.37230e+31   1.68790e-02     448      61      14
   2.79500e+13   5.25000e+31   1.66180e-02     448      61      14
   2.75160e+13   5.13050e+31   1.63610e-02     448      61      14
   2.70980e+13   5.01370e+31   1.61130e-02     448      61      14
   2.66700e+13   4.89960e+31   1.58590e-02     448      61      14
   2.61740e+13   4.78810e+31   1.55650e-02     448      60      14
   2.57520e+13   4.67910e+31   1.53140e-02     448      60      14
   2.53610e+13   4.57260e+31   1.50820e-02     448      60      14
   2.49640e+13   4.46850e+31   1.48470e-02     448      60      14
   2.45750e+13   4.36680e+31   1.46160e-02     448      60      14
   2.41930e+13   4.26740e+31   1.43890e-02     448      60      14
   2.38250e+13   4.17020e+31   1.41700e-02     448      60      14
   2.33930e+13   4.07530e+31   1.39140e-02     448      59      14
   2.29850e+13   3.98260e+31   1.36710e-02     448      59      14
   2.26360e+13   3.89190e+31   1.34650e-02     448      59      14
   2.22800e+13   3.80330e+31   1.32530e-02     448      59      14
   2.19320e+13   3.71670e+31   1.30470e-02     448      59      14
   2.15860e+13   3.63210e+31   1.28410e-02     448      59      14
   2.12580e+13   3.54950e+31   1.26460e-02     448      59      14
   2.08960e+13   3.46870e+31   1.24310e-02     448      59      14
   2.05070e+13   3.38970e+31   1.22010e-02     448      57      14
   2.02160e+13   3.31950e+31   1.20280e-02     448      57      14
   1.99920e+13   3.31250e+31   1.18950e-02     448      65      16
   1.96690e+13   3.23710e+31   1.17030e-02     448      65      16
   1.93650e+13   3.16350e+31   1.15220e-02     448      65      16
   1.90570e+13   3.09140e+31   1.13390e-02     448      65      16
   1.87570e+13   3.02110e+31   1.11610e-02     448      65      16
   1.84610e+13   2.95230e+31   1.09850e-02     448      65      16
   1.81690e+13   2.88510e+31   1.08120e-02     448      66      16
   1.78800e+13   2.81940e+31   1.06400e-02     448      66      16
   1.76050e+13   2.75530e+31   1.04770e-02     448      66      16
   1.73040e+13   2.69250e+31   1.02980e-02     448      65      16
   1.69800e+13   2.63120e+31   1.01050e-02     448      64      16
   1.67130e+13   2.57140e+31   9.94680e-03     448      64      16
   1.64500e+13   2.51280e+31   9.79070e-03     448      64      16
   1.61880e+13   2.45560e+31   9.63510e-03     448      64      16
   1.59320e+13   2.39970e+31   9.48290e-03     448      64      16
   1.56790e+13   2.34510e+31   9.33270e-03     448      64      16
   1.54310e+13   2.29170e+31   9.18500e-03     448      64      16
   1.51860e+13   2.23960e+31   9.03980e-03     448      64      16
   1.49430e+13   2.18860e+31   8.89540e-03     448      64      16
   1.47130e+13   2.13880e+31   8.75860e-03     448      65      16
   1.44620e+13   2.09010e+31   8.60920e-03     448      64      16
   1.41890e+13   2.04250e+31   8.44690e-03     448      63      16
   1.39640e+13   1.99600e+31   8.31360e-03     448      63      16
   1.37440e+13   1.95060e+31   8.18290e-03     448      63      16
   1.35250e+13   1.90620e+31   8.05240e-03     448      63      16
   1.33100e+13   1.86280e+31   7.92490e-03     448      63      16
   1.30990e+13   1.82040e+31   7.79910e-03     448      63      16
   1.28910e+13   1.77890e+31   7.67530e-03     448      63      16
   1.26860e+13   1.73840e+31   7.55340e-03     448      63      16
   1.24840e+13   1.69890e+31   7.43380e-03     448      63      16
   1.22840e+13   1.66020e+31   7.31480e-03     448      63      16
   1.20930e+13   1.62240e+31   7.20080e-03     448      63      16
   1.16850e+13   1.60920e+31   6.95750e-03     224      39      10
   1.14510e+13   1.57250e+31   6.81850e-03     224      38      10
   1.12780e+13   1.53680e+31   6.71560e-03     224      39      10
   1.10960e+13   1.50180e+31   6.60740e-03     224      39      10
   1.09180e+13   1.46760e+31   6.50170e-03     224      39      10
   1.07430e+13   1.43420e+31   6.39800e-03     224      39      10
   1.05710e+13   1.40150e+31   6.29560e-03     224      39      10
   1.04020e+13   1.36960e+31   6.19500e-03     224      39      10
   1.02360e+13   1.33850e+31   6.09600e-03     224      39      10
   1.00720e+13   1.30800e+31   5.99860e-03     224      39      10
   9.91060e+12   1.27820e+31   5.90270e-03     224      39      10
   9.75200e+12   1.24910e+31   5.80830e-03     224      39      10
   9.59590e+12   1.22070e+31   5.71550e-03     224      39      10
   9.44230e+12   1.19290e+31   5.62420e-03     224      39      10
   9.29110e+12   1.16570e+31   5.53430e-03     224      39      10
   9.14240e+12   1.13920e+31   5.44580e-03     224      39      10
   8.99610e+12   1.11330e+31   5.35880e-03     224      39      10
   8.85210e+12   1.08790e+31   5.27310e-03     224      39      10
   8.81030e+12   1.08060e+31   5.24820e-03     224      39      10
   8.38430e+12   1.06320e+31   4.99480e-03     224      45      12
   8.24980e+12   1.03900e+31   4.91480e-03     224      45      12
   8.11700e+12   1.01530e+31   4.83580e-03     224      45      12
   7.98630e+12   9.92210e+30   4.75800e-03     224      45      12
   7.85780e+12   9.69630e+30   4.68160e-03     224      45      12
   7.73130e+12   9.47550e+30   4.60630e-03     224      45      12
   7.60690e+12   9.25990e+30   4.53230e-03     224      45      12
   7.48450e+12   9.04910e+30   4.45950e-03     224      45      12
   7.36410e+12   8.84310e+30   4.38780e-03     224      45      12
   7.24560e+12   8.64180e+30   4.31730e-03     224      45      12
   7.12900e+12   8.44510e+30   4.24790e-03     224      45      12
   7.01430e+12   8.25290e+30   4.17970e-03     224      45      12
   6.90150e+12   8.06500e+30   4.11250e-03     224      45      12
   6.79040e+12   7.88140e+30   4.04650e-03     224      45      12
   6.78570e+12   7.87360e+30   4.04360e-03     224      45      12
   6.41350e+12   7.70200e+30   3.82210e-03     224      51      14
   6.30870e+12   7.52670e+30   3.75970e-03     224      51      14
   6.20700e+12   7.35540e+30   3.69920e-03     224      51      14
   6.10650e+12   7.18790e+30   3.63940e-03     224      51      14
   6.00780e+12   7.02430e+30   3.58060e-03     224      51      14
   5.91060e+12   6.86440e+30   3.52280e-03     224      51      14
   5.81510e+12   6.70820e+30   3.46590e-03     224      51      14
   5.72100e+12   6.55550e+30   3.40990e-03     224      51      14
   5.62850e+12   6.40630e+30   3.35490e-03     224      51      14
   5.53750e+12   6.26040e+30   3.30070e-03     224      51      14
   5.44800e+12   6.11790e+30   3.24740e-03     224      51      14
   5.42900e+12   6.08770e+30   3.23610e-03     224      51      14
   5.14450e+12   5.97870e+30   3.06670e-03     224      58      16
   5.04810e+12   5.84260e+30   3.00930e-03     224      57      16
   4.96980e+12   5.70960e+30   2.96270e-03     224      57      16
   4.88820e+12   5.57960e+30   2.91410e-03     224      57      16
   4.80880e+12   5.45260e+30   2.86680e-03     224      57      16
   4.73070e+12   5.32850e+30   2.82030e-03     224      57      16
   4.65380e+12   5.20720e+30   2.77460e-03     224      57      16
   4.57820e+12   5.08870e+30   2.72950e-03     224      57      16
   4.50380e+12   4.97280e+30   2.68520e-03     224      57      16
   4.43070e+12   4.85960e+30   2.64170e-03     224      57      16
   4.35870e+12   4.74900e+30   2.59880e-03     224      57      16
   4.28790e+12   4.64090e+30   2.55660e-03     224      57      16
   4.21820e+12   4.53530e+30   2.51520e-03     224      57      16
   4.14970e+12   4.43200e+30   2.47440e-03     224      57      16
   4.08230e+12   4.33120e+30   2.43420e-03     224      57      16
   4.01600e+12   4.23260e+30   2.39470e-03     224      57      16
   3.65890e+12   4.21360e+30   2.18160e-03     112      36      10
   3.59880e+12   4.11760e+30   2.14580e-03     112      36      10
   3.53970e+12   4.02390e+30   2.11060e-03     112      36      10
   3.48160e+12   3.93230e+30   2.07600e-03     112      36      10
   3.42440e+12   3.84280e+30   2.04200e-03     112      36      10
   3.36820e+12   3.75530e+30   2.00850e-03     112      36      10
   3.31290e+12   3.66990e+30   1.97550e-03     112      36      10
   3.25850e+12   3.58630e+30   1.94310e-03     112      36      10
   3.20500e+12   3.50470e+30   1.91130e-03     112      36      10
   3.15240e+12   3.42490e+30   1.87990e-03     112      36      10
   3.10060e+12   3.34690e+30   1.84910e-03     112      36      10
   3.07630e+12   3.31050e+30   1.83460e-03     112      36      10
   2.78070e+12   3.27080e+30   1.65850e-03     112      42      12
   2.73470e+12   3.19630e+30   1.63110e-03     112      42      12
   2.68940e+12   3.12350e+30   1.60410e-03     112      42      12
   2.64480e+12   3.05240e+30   1.57760e-03     112      42      12
   2.60100e+12   2.98300e+30   1.55150e-03     112      42      12
   2.55790e+12   2.91510e+30   1.52580e-03     112      42      12
   2.51550e+12   2.84870e+30   1.50060e-03     112      42      12
   2.47390e+12   2.78390e+30   1.47570e-03     112      42      12
   2.45180e+12   2.74970e+30   1.46260e-03     112      42      12
   2.22260e+12   2.72050e+30   1.32600e-03     112      48      14
   2.18550e+12   2.65860e+30   1.30390e-03     112      48      14
   2.14900e+12   2.59810e+30   1.28210e-03     112      48      14
   2.11310e+12   2.53890e+30   1.26080e-03     112      48      14
   2.07780e+12   2.48110e+30   1.23970e-03     112      48      14
   2.04320e+12   2.42460e+30   1.21910e-03     112      48      14
   2.01740e+12   2.38290e+30   1.20370e-03     112      48      14
   1.85280e+12   2.36950e+30   1.10560e-03     112      56      16
   1.81800e+12   2.31550e+30   1.08490e-03     112      55      16
   1.77930e+12   2.26280e+30   1.06180e-03     112      54      16
   1.74980e+12   2.21130e+30   1.04430e-03     112      54      16
   1.72070e+12   2.16100e+30   1.02690e-03     112      54      16
   1.69160e+12   2.11180e+30   1.00960e-03     112      54      16
   1.66330e+12   2.06370e+30   9.92680e-04     112      54      16
   1.63530e+12   2.01670e+30   9.76010e-04     112      54      16
   1.60790e+12   1.97080e+30   9.59640e-04     112      54      16
   1.35140e+12   1.95450e+30   8.06450e-04      56      34      10
   1.32850e+12   1.91000e+30   7.92790e-04      56      34      10
   1.30590e+12   1.86650e+30   7.79370e-04      56      34      10
   1.28380e+12   1.82400e+30   7.66170e-04      56      34      10
   1.26200e+12   1.78250e+30   7.53190e-04      56      34      10
   1.24060e+12   1.74190e+30   7.40430e-04      56      34      10
   1.23970e+12   1.74020e+30   7.39890e-04      56      34      10
   1.04920e+12   1.70230e+30   6.26340e-04      56      40      12
   1.03130e+12   1.66350e+30   6.15680e-04      56      40      12
   1.01370e+12   1.62570e+30   6.05190e-04      56      40      12
   9.96410e+11   1.58870e+30   5.94890e-04      56      40      12
   9.91870e+11   1.57900e+30   5.92180e-04      56      40      12
   8.55060e+11   1.55250e+30   5.10620e-04      56      46      14
   8.40420e+11   1.51720e+30   5.01900e-04      56      46      14
   8.26040e+11   1.48260e+30   4.93320e-04      56      46      14
   8.16870e+11   1.46070e+30   4.87860e-04      56      46      14
   7.17650e+11   1.44890e+30   4.28700e-04      56      52      16
   7.05350e+11   1.41590e+30   4.21360e-04      56      52      16
   6.93250e+11   1.38370e+30   4.14150e-04      56      52      16
   6.81370e+11   1.35220e+30   4.07070e-04      56      52      16
   6.69690e+11   1.32140e+30   4.00100e-04      56      52      16
   6.58200e+11   1.29130e+30   3.93260e-04      56      52      16
   6.46920e+11   1.26190e+30   3.86530e-04      56      52      16
   6.35830e+11   1.23320e+30   3.79920e-04      56      52      16
   6.33210e+11   1.22640e+30   3.78360e-04      56      52      16
   5.57560e+11   1.20510e+30   3.33240e-04      56      56      18
   5.47990e+11   1.17770e+30   3.27540e-04      56      56      18
   5.38590e+11   1.15090e+30   3.21930e-04      56      56      18
   5.29350e+11   1.12470e+30   3.16420e-04      56      56      18
   5.20270e+11   1.09910e+30   3.11010e-04      56      56      18
   5.11350e+11   1.07410e+30   3.05680e-04      56      56      18
   5.02580e+11   1.04960e+30   3.00450e-04      56      56      18
   4.93960e+11   1.02570e+30   2.95310e-04      56      56      18
   4.85480e+11   1.00240e+30   2.90260e-04      56      56      18
   4.77160e+11   9.79560e+29   2.85290e-04      56      56      18
   4.68970e+11   9.57260e+29   2.80410e-04      56      56      18
   4.60930e+11   9.35470e+29   2.75610e-04      56      56      18
   4.53020e+11   9.14180e+29   2.70890e-04      56      56      18
   4.45250e+11   8.93370e+29   2.66250e-04      56      56      18
   4.37610e+11   8.73030e+29   2.61700e-04      56      56      18
   4.30110e+11   8.53160e+29   2.57220e-04      56      56      18
   4.22730e+11   8.33740e+29   2.52820e-04      56      56      18
   4.15480e+11   8.14760e+29   2.48490e-04      56      56      18
   4.08350e+11   7.96210e+29   2.44240e-04      56      56      18
   4.01350e+11   7.78090e+29   2.40060e-04      56      56      18
   3.94470e+11   7.60380e+29   2.35950e-04      56      56      18
   3.87700e+11   7.43070e+29   2.31910e-04      56      56      18
   3.81050e+11   7.26160e+29   2.27940e-04      56      56      18
   3.74520e+11   7.09630e+29   2.24040e-04      56      56      18
   3.68090e+11   6.93470e+29   2.20210e-04      56      56      18
   3.61780e+11   6.77690e+29   2.16440e-04      56      56      18
   3.55580e+11   6.62260e+29   2.12730e-04      56      56      18
   3.49480e+11   6.47190e+29   2.09090e-04      56      56      18
   3.43490e+11   6.32460e+29   2.05510e-04      56      56      18
   3.37600e+11   6.18060e+29   2.02000e-04      56      56      18
   3.31810e+11   6.03990e+29   1.98540e-04      56      56      18
   3.26120e+11   5.90240e+29   1.95140e-04      56      56      18
   3.20520e+11   5.76810e+29   1.91800e-04      56      56      18
   3.15030e+11   5.63680e+29   1.88520e-04      56      56      18
   3.09630e+11   5.50850e+29   1.85290e-04      56      56      18
   3.04320e+11   5.38310e+29   1.82120e-04      56      56      18
   2.99100e+11   5.26050e+29   1.79010e-04      56      56      18
   2.93970e+11   5.14080e+29   1.75940e-04      56      56      18
   2.88930e+11   5.02380e+29   1.72930e-04      56      56      18
   2.83970e+11   4.90940e+29   1.69970e-04      56      56      18
   2.79110e+11   4.79770e+29   1.67060e-04      56      56      18
   2.76800e+11   4.74500e+29   1.65690e-04      56      56      18
   2.47290e+11   4.68850e+29   1.48050e-04      56      56      20
   2.43050e+11   4.58170e+29   1.45510e-04      56      56      20
   2.38880e+11   4.47740e+29   1.43020e-04      56      56      20
   2.34780e+11   4.37550e+29   1.40570e-04      56      56      20
   2.30750e+11   4.27590e+29   1.38170e-04      56      56      20
   2.26800e+11   4.17860e+29   1.35800e-04      56      56      20
   2.22910e+11   4.08350e+29   1.33480e-04      56      56      20
   2.19090e+11   3.99050e+29   1.31190e-04      56      56      20
   2.15330e+11   3.89970e+29   1.28950e-04      56      56      20
   2.11640e+11   3.81090e+29   1.26740e-04      56      56      20
   2.08010e+11   3.72420e+29   1.24570e-04      56      56      20
   2.04440e+11   3.63940e+29   1.22440e-04      56      56      20
   2.00930e+11   3.55660e+29   1.20350e-04      56      56      20
   1.97490e+11   3.47560e+29   1.18290e-04      56      56      20
   1.94100e+11   3.39650e+29   1.16260e-04      56      56      20
   1.90770e+11   3.31920e+29   1.14270e-04      56      56      20
   1.87500e+11   3.24360e+29   1.12320e-04      56      56      20
   1.84290e+11   3.16980e+29   1.10390e-04      56      56      20
   1.81130e+11   3.09760e+29   1.08510e-04      56      56      20
   1.78020e+11   3.02710e+29   1.06650e-04      56      56      20
   1.74970e+11   2.95820e+29   1.04820e-04      56      56      20
   1.71970e+11   2.89090e+29   1.03030e-04      56      56      20
   1.69020e+11   2.82510e+29   1.01270e-04      56      56      20
   1.66120e+11   2.76080e+29   9.95330e-05      56      56      20
   1.63280e+11   2.69790e+29   9.78300e-05      56      56      20
   1.60480e+11   2.63650e+29   9.61560e-05      56      56      20
   1.57730e+11   2.57650e+29   9.45100e-05      56      56      20
   1.55020e+11   2.51790e+29   9.28930e-05      56      56      20
   1.52360e+11   2.46050e+29   9.13030e-05      56      56      20
   1.49750e+11   2.40450e+29   8.97410e-05      56      56      20
   1.47180e+11   2.34980e+29   8.82050e-05      56      56      20
   1.44660e+11   2.29630e+29   8.66960e-05      56      56      20
   1.42180e+11   2.24400e+29   8.52120e-05      56      56      20
   1.39740e+11   2.19300e+29   8.37540e-05      56      56      20
   1.37350e+11   2.14300e+29   8.23200e-05      56      56      20
   1.34990e+11   2.09430e+29   8.09120e-05      56      56      20
   1.32680e+11   2.04660e+29   7.95270e-05      56      56      20
   1.30410e+11   2.00000e+29   7.81660e-05      56      56      20
