#     Accreting EOS, Mackie-Baym
#      P            ro           nbar        hcell      Ncell   N   Z      nnuc          nout         energ     log(tpyc)    miun-      miun+      miuno      miuel
  0.16022E+26   0.89663E+08   0.54035E-07   931.0118      56   30  26   0.96490E-09    0.0000        0.0000       0.126E+04 -14.81     -5.571      0.000      1.348    
  0.19226E+26   0.10237E+09   0.61693E-07   931.0464      56   30  26   0.11017E-08    0.0000        0.0000       0.123E+04 -14.81     -5.571      0.000      1.425    
  0.24033E+26   0.12046E+09   0.72588E-07   931.0912      56   30  26   0.12962E-08    0.0000        0.0000       0.119E+04 -14.81     -5.571      0.000      1.526    
  0.32044E+26   0.14865E+09   0.89572E-07   931.1530      56   30  26   0.15995E-08    0.0000        0.0000       0.114E+04 -14.81     -5.571      0.000      1.665    
  0.48066E+26   0.20014E+09   0.12059E-06   931.2486      56   30  26   0.21534E-08    0.0000        0.0000       0.107E+04 -14.81     -5.571      0.000      1.880    
  0.64088E+26   0.24732E+09   0.14901E-06   931.3229      56   30  26   0.26609E-08    0.0000        0.0000       0.103E+04 -14.81     -5.571      0.000      2.047    
  0.80109E+26   0.29155E+09   0.17565E-06   931.3846      56   30  26   0.31366E-08    0.0000        0.0000        994.     -14.81     -5.571      0.000      2.185    
  0.96131E+26   0.33357E+09   0.20095E-06   931.4378      56   30  26   0.35884E-08    0.0000        0.0000        967.     -14.81     -5.570      0.000      2.305    
  0.11215E+27   0.37383E+09   0.22520E-06   931.4848      56   30  26   0.40214E-08    0.0000        0.0000        945.     -14.81     -5.570      0.000      2.410    
  0.12818E+27   0.41265E+09   0.24858E-06   931.5270      56   30  26   0.44389E-08    0.0000        0.0000        926.     -14.81     -5.570      0.000      2.505    
  0.14420E+27   0.45026E+09   0.27122E-06   931.5655      56   30  26   0.48433E-08    0.0000        0.0000        909.     -14.81     -5.570      0.000      2.591    
  0.16022E+27   0.48682E+09   0.29324E-06   931.6009      56   30  26   0.52364E-08    0.0000        0.0000        894.     -14.81     -5.570      0.000      2.671    
  0.19226E+27   0.55729E+09   0.33567E-06   931.6646      56   30  26   0.59942E-08    0.0000        0.0000        870.     -14.81     -5.570      0.000      2.814    
  0.24033E+27   0.65769E+09   0.39612E-06   931.7467      56   30  26   0.70736E-08    0.0000        0.0000        840.     -14.81     -5.570      0.000      2.998    
  0.32044E+27   0.81448E+09   0.49051E-06   931.8598      56   30  26   0.87591E-08    0.0000        0.0000        802.     -14.81     -5.570      0.000      3.252    
  0.48066E+27   0.11014E+10   0.66321E-06   932.0340      56   30  26   0.11843E-07    0.0000        0.0000        752.     -14.81     -5.570      0.000      3.643    
  0.64088E+27   0.13647E+10   0.82169E-06   932.1690      56   30  26   0.14673E-07    0.0000        0.0000        718.     -14.81     -5.570      0.000      3.946    
  0.65170E+27   0.13819E+10   0.83201E-06   932.1772      56   30  26   0.14857E-07    0.0000        0.0000        716.     -14.81     -5.570      0.000      3.964    
  0.65170E+27   0.14946E+10   0.89987E-06   932.1404      56   32  24   0.16069E-07    0.0000      -0.36802E-01    648.     -8.636     -6.659      0.000      3.962    
