#mu_b [MeV]	pr[MeV/fm3]	e[MeV/fm3]	n_b[1/fm3]	n_n[1/fm3]	n_p[1/fm3]	m_n/M_n	 m_p/M_n	n_e[1/fm3]	n_mu[1/fm3]	n_u[1/fm3]	n_d[1/fm3]	n_s[1/fm3]	mu_e [MeV]	Y_p
929.963	9.13352e-10	9.29872e-06	1e-08	5.63041e-09	4.36959e-09	1	1	4.36959e-09	0	0	0	0	1.1089	0.436959
929.974	1.03251e-09	1.01959e-05	1.09648e-08	6.17529e-09	4.78949e-09	1	1	4.78949e-09	0	0	0	0	1.1362	0.436807
929.986	1.16788e-09	1.11797e-05	1.20226e-08	6.77299e-09	5.24966e-09	1	1	5.24966e-09	0	0	0	0	1.16451	0.436647
929.997	1.32166e-09	1.22584e-05	1.31826e-08	7.42863e-09	5.75393e-09	1	1	5.75393e-09	0	0	0	0	1.19387	0.43648
930.01	1.50072e-09	1.34412e-05	1.44544e-08	8.14784e-09	6.30656e-09	1	1	6.30656e-09	0	0	0	0	1.2243	0.436307
930.022	1.69974e-09	1.47382e-05	1.58489e-08	8.93681e-09	6.91212e-09	1	1	6.91212e-09	0	0	0	0	1.25584	0.436125
930.036	1.9256e-09	1.61602e-05	1.7378e-08	9.80232e-09	7.57569e-09	1	1	7.57569e-09	0	0	0	0	1.28851	0.435935
930.049	2.18193e-09	1.77195e-05	1.90546e-08	1.07518e-08	8.30281e-09	1	1	8.30281e-09	0	0	0	0	1.32235	0.435738
930.064	2.47278e-09	1.94293e-05	2.0893e-08	1.17934e-08	9.09956e-09	1	1	9.09956e-09	0	0	0	0	1.35739	0.435532
930.079	2.80277e-09	2.13041e-05	2.29087e-08	1.29361e-08	9.97258e-09	1	1	9.97258e-09	0	0	0	0	1.39366	0.435319
930.094	3.17712e-09	2.33597e-05	2.51189e-08	1.41897e-08	1.09291e-08	1	1	1.09291e-08	0	0	0	0	1.4312	0.435097
930.11	3.6017e-09	2.56138e-05	2.75423e-08	1.55651e-08	1.19772e-08	1	1	1.19772e-08	0	0	0	0	1.47005	0.434866
930.126	4.08306e-09	2.80853e-05	3.01995e-08	1.7074e-08	1.31255e-08	1	1	1.31255e-08	0	0	0	0	1.51023	0.434627
930.143	4.61837e-09	3.07953e-05	3.31131e-08	1.87295e-08	1.43836e-08	1	1	1.43836e-08	0	0	0	0	1.55179	0.434378
930.161	5.23683e-09	3.37669e-05	3.63078e-08	2.05458e-08	1.5762e-08	1	1	1.5762e-08	0	0	0	0	1.59478	0.434122
930.18	5.93818e-09	3.70252e-05	3.98107e-08	2.25386e-08	1.72721e-08	1	1	1.72721e-08	0	0	0	0	1.63921	0.433856
930.199	6.73346e-09	4.05979e-05	4.36516e-08	2.47251e-08	1.89265e-08	1	1	1.89265e-08	0	0	0	0	1.68515	0.433581
930.218	7.63518e-09	4.45154e-05	4.7863e-08	2.71242e-08	2.07389e-08	1	1	2.07389e-08	0	0	0	0	1.73263	0.433296
930.239	8.65755e-09	4.8811e-05	5.24807e-08	2.97565e-08	2.27243e-08	1	1	2.27243e-08	0	0	0	0	1.78169	0.433002
930.26	9.81665e-09	5.3521e-05	5.7544e-08	3.26449e-08	2.48991e-08	1	1	2.48991e-08	0	0	0	0	1.83239	0.432697
930.281	1.11282e-08	5.86857e-05	6.30957e-08	3.58142e-08	2.72815e-08	1	1	2.72815e-08	0	0	0	0	1.88475	0.432383
930.304	1.261e-08	6.43487e-05	6.91831e-08	3.92921e-08	2.9891e-08	1	1	2.9891e-08	0	0	0	0	1.93884	0.432057
930.327	1.42858e-08	7.05582e-05	7.58578e-08	4.31085e-08	3.27493e-08	1	1	3.27493e-08	0	0	0	0	1.99471	0.43172
930.351	1.61818e-08	7.7367e-05	8.31764e-08	4.72965e-08	3.58799e-08	1	1	3.58799e-08	0	0	0	0	2.05239	0.431371
930.375	1.83268e-08	8.48329e-05	9.12011e-08	5.18924e-08	3.93087e-08	1	1	3.93087e-08	0	0	0	0	2.11195	0.431012
930.401	2.07539e-08	9.30193e-05	1e-07	5.6936e-08	4.3064e-08	1	1	4.3064e-08	0	0	0	0	2.17343	0.43064
930.427	2.35004e-08	0.000101996	1.09648e-07	6.24711e-08	4.71767e-08	1	1	4.71767e-08	0	0	0	0	2.2369	0.430257
930.454	2.66085e-08	0.000111839	1.20226e-07	6.85457e-08	5.16807e-08	1	1	5.16807e-08	0	0	0	0	2.30241	0.429862
930.482	3.0126e-08	0.000122631	1.31826e-07	7.52127e-08	5.6613e-08	1	1	5.6613e-08	0	0	0	0	2.37002	0.429454
930.511	3.41073e-08	0.000134466	1.44544e-07	8.25298e-08	6.20141e-08	1	1	6.20141e-08	0	0	0	0	2.43978	0.429033
930.541	3.86125e-08	0.000147442	1.58489e-07	9.05609e-08	6.79284e-08	1	1	6.79284e-08	0	0	0	0	2.51176	0.428599
930.571	4.3702e-08	0.000161671	1.7378e-07	9.9376e-08	7.44041e-08	1	1	7.44041e-08	0	0	0	0	2.58602	0.428151
930.603	4.94563e-08	0.000177273	1.90546e-07	1.09052e-07	8.14943e-08	1	1	8.14943e-08	0	0	0	0	2.66263	0.427688
930.636	5.59648e-08	0.000194381	2.0893e-07	1.19673e-07	8.9257e-08	1	1	8.9257e-08	0	0	0	0	2.74166	0.427211
930.669	6.33283e-08	0.000213141	2.29087e-07	1.31331e-07	9.77557e-08	1	1	9.77557e-08	0	0	0	0	2.82316	0.426719
930.704	7.16466e-08	0.000233711	2.51189e-07	1.44129e-07	1.0706e-07	1	1	1.0706e-07	0	0	0	0	2.90723	0.426213
930.74	8.10333e-08	0.000256266	2.75423e-07	1.58178e-07	1.17245e-07	1	1	1.17245e-07	0	0	0	0	2.99392	0.425691
930.776	9.16384e-08	0.000280998	3.01995e-07	1.73601e-07	1.28395e-07	1	1	1.28395e-07	0	0	0	0	3.08331	0.425154
930.814	1.03599e-07	0.000308118	3.31131e-07	1.90533e-07	1.40599e-07	1	1	1.40599e-07	0	0	0	0	3.17549	0.424601
930.853	1.17062e-07	0.000337855	3.63078e-07	2.09122e-07	1.53956e-07	1	1	1.53956e-07	0	0	0	0	3.27052	0.424029
930.893	1.32243e-07	0.000370463	3.98107e-07	2.29532e-07	1.68575e-07	1	1	1.68575e-07	0	0	0	0	3.36849	0.423441
930.934	1.49373e-07	0.000406218	4.36516e-07	2.51942e-07	1.84574e-07	1	1	1.84574e-07	0	0	0	0	3.46949	0.422834
930.976	1.68711e-07	0.000445424	4.7863e-07	2.76548e-07	2.02082e-07	1	1	2.02082e-07	0	0	0	0	3.5736	0.42221
931.019	1.90549e-07	0.000488415	5.24807e-07	3.03566e-07	2.21242e-07	1	1	2.21242e-07	0	0	0	0	3.6809	0.421567
931.064	2.15197e-07	0.000535556	5.7544e-07	3.33234e-07	2.42206e-07	1	1	2.42206e-07	0	0	0	0	3.7915	0.420905
