      6    1696    1550         Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

4.1984383E+15	1.5840667E+36	1.5990000E+00	4.2363432E-03	2.8316539E-04	2.2250935E-01	1.8323318E-01	3.2502306E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7871368E-01	9.0520738E-02	4.3847231E-01	4.6633578E-01	6.8416593E-01	7.0241380E-01	7.0530002E-01	7.0713829E-01	8.4424040E-01	8.2775259E-01
4.1947111E+15	1.5820212E+36	1.5980000E+00	4.2513148E-03	2.8835495E-04	2.2260554E-01	1.8326373E-01	3.2500383E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7872406E-01	9.0402843E-02	4.3842863E-01	4.6632659E-01	6.8415112E-01	7.0245391E-01	7.0534030E-01	7.0717867E-01	8.4424641E-01	8.2773403E-01
4.1909853E+15	1.5799771E+36	1.5970000E+00	4.2663232E-03	2.9358275E-04	2.2270185E-01	1.8329433E-01	3.2498456E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7873442E-01	9.0284844E-02	4.3838499E-01	4.6631746E-01	6.8413634E-01	7.0249405E-01	7.0538061E-01	7.0721909E-01	8.4425243E-01	8.2771547E-01
4.1872609E+15	1.5779343E+36	1.5960000E+00	4.2813684E-03	2.9884875E-04	2.2279830E-01	1.8332497E-01	3.2496525E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7874475E-01	9.0166740E-02	4.3834140E-01	4.6630839E-01	6.8412158E-01	7.0253423E-01	7.0542095E-01	7.0725953E-01	8.4425847E-01	8.2769691E-01
4.1835380E+15	1.5758928E+36	1.5950000E+00	4.2964507E-03	3.0415288E-04	2.2289487E-01	1.8335565E-01	3.2494589E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7875505E-01	9.0048532E-02	4.3829785E-01	4.6629936E-01	6.8410685E-01	7.0257444E-01	7.0546133E-01	7.0730001E-01	8.4426451E-01	8.2767835E-01
4.1798164E+15	1.5738528E+36	1.5940000E+00	4.3115699E-03	3.0949511E-04	2.2299157E-01	1.8338639E-01	3.2492650E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7876532E-01	8.9930220E-02	4.3825435E-01	4.6629039E-01	6.8409214E-01	7.0261467E-01	7.0550173E-01	7.0734052E-01	8.4427056E-01	8.2765980E-01
4.1760963E+15	1.5718141E+36	1.5930000E+00	4.3267263E-03	3.1487537E-04	2.2308840E-01	1.8341717E-01	3.2490706E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7877557E-01	8.9811803E-02	4.3821089E-01	4.6628147E-01	6.8407745E-01	7.0265494E-01	7.0554216E-01	7.0738106E-01	8.4427662E-01	8.2764126E-01
4.1723777E+15	1.5697767E+36	1.5920000E+00	4.3419198E-03	3.2029362E-04	2.2318536E-01	1.8344799E-01	3.2488758E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7878578E-01	8.9693281E-02	4.3816748E-01	4.6627260E-01	6.8406279E-01	7.0269524E-01	7.0558263E-01	7.0742163E-01	8.4428269E-01	8.2762272E-01
4.1686604E+15	1.5677407E+36	1.5910000E+00	4.3571506E-03	3.2574982E-04	2.2328245E-01	1.8347887E-01	3.2486806E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7879597E-01	8.9574654E-02	4.3812412E-01	4.6626379E-01	6.8404815E-01	7.0273558E-01	7.0562313E-01	7.0746223E-01	8.4428876E-01	8.2760418E-01
4.1649446E+15	1.5657061E+36	1.5900000E+00	4.3724186E-03	3.3124393E-04	2.2337967E-01	1.8350979E-01	3.2484850E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7880613E-01	8.9455922E-02	4.3808080E-01	4.6625503E-01	6.8403354E-01	7.0277594E-01	7.0566365E-01	7.0750287E-01	8.4429485E-01	8.2758564E-01
4.1612302E+15	1.5636728E+36	1.5890000E+00	4.3877241E-03	3.3677590E-04	2.2347702E-01	1.8354075E-01	3.2482889E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7881625E-01	8.9337085E-02	4.3803753E-01	4.6624633E-01	6.8401896E-01	7.0281633E-01	7.0570421E-01	7.0754353E-01	8.4430095E-01	8.2756711E-01
