      6    204    142          Itext Imax Icore

	GM3 EOS

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]	

 0.388229E+16   0.175618E+37   0.150000E+01   0.235150E+00   0.102072E+00   0.662778E+00   0.337222E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.537920E-01   0.537920E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.384362E+16   0.173069E+37   0.149000E+01   0.234900E+00   0.101852E+00   0.663248E+00   0.336752E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.540322E-01   0.540322E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.380514E+16   0.170539E+37   0.148000E+01   0.234650E+00   0.101629E+00   0.663721E+00   0.336279E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.542752E-01   0.542752E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.376684E+16   0.168025E+37   0.147000E+01   0.234390E+00   0.101408E+00   0.664201E+00   0.335799E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.545211E-01   0.545211E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.372874E+16   0.165529E+37   0.146000E+01   0.234140E+00   0.101178E+00   0.664682E+00   0.335318E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.547700E-01   0.547700E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.369082E+16   0.163051E+37   0.145000E+01   0.233880E+00   0.100949E+00   0.665170E+00   0.334830E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.550218E-01   0.550218E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.365309E+16   0.160590E+37   0.144000E+01   0.233620E+00   0.100717E+00   0.665662E+00   0.334338E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.552766E-01   0.552766E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.361556E+16   0.158147E+37   0.143000E+01   0.233360E+00   0.100481E+00   0.666159E+00   0.333841E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.555346E-01   0.555346E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.357820E+16   0.155721E+37   0.142000E+01   0.233090E+00   0.100248E+00   0.666662E+00   0.333338E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.557957E-01   0.557957E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.354105E+16   0.153313E+37   0.141000E+01   0.232830E+00   0.100003E+00   0.667167E+00   0.332833E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.560600E-01   0.560600E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.350407E+16   0.150923E+37   0.140000E+01   0.232550E+00   0.997679E-01   0.667682E+00   0.332318E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.563277E-01   0.563277E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.346728E+16   0.148550E+37   0.139000E+01   0.232280E+00   0.995216E-01   0.668198E+00   0.331802E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.565986E-01   0.565986E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.343068E+16   0.146195E+37   0.138000E+01   0.232000E+00   0.992774E-01   0.668722E+00   0.331278E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.568730E-01   0.568730E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.339427E+16   0.143857E+37   0.137000E+01   0.231720E+00   0.990288E-01   0.669251E+00   0.330749E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.571508E-01   0.571508E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.335805E+16   0.141538E+37   0.136000E+01   0.231440E+00   0.987756E-01   0.669784E+00   0.330216E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.574322E-01   0.574322E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.332202E+16   0.139236E+37   0.135000E+01   0.231160E+00   0.985179E-01   0.670322E+00   0.329678E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.577171E-01   0.577171E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.328618E+16   0.136952E+37   0.134000E+01   0.230870E+00   0.982618E-01   0.670868E+00   0.329132E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.580058E-01   0.580058E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.325052E+16   0.134686E+37   0.133000E+01   0.230580E+00   0.980010E-01   0.671419E+00   0.328581E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.582982E-01   0.582982E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.321505E+16   0.132437E+37   0.132000E+01   0.230280E+00   0.977415E-01   0.671978E+00   0.328022E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.585944E-01   0.585944E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.317976E+16   0.130207E+37   0.131000E+01   0.229980E+00   0.974771E-01   0.672543E+00   0.327457E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.588945E-01   0.588945E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.314467E+16   0.127994E+37   0.130000E+01   0.229680E+00   0.972077E-01   0.673112E+00   0.326888E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.591986E-01   0.591986E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.310977E+16   0.125800E+37   0.129000E+01   0.229380E+00   0.969331E-01   0.673687E+00   0.326313E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.595068E-01   0.595068E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.307504E+16   0.123623E+37   0.128000E+01   0.229070E+00   0.966594E-01   0.674270E+00   0.325730E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.598190E-01   0.598190E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.304051E+16   0.121465E+37   0.127000E+01   0.228760E+00   0.963804E-01   0.674860E+00   0.325140E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.601355E-01   0.601355E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.300617E+16   0.119324E+37   0.126000E+01   0.228440E+00   0.961022E-01   0.675458E+00   0.324542E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.604564E-01   0.604564E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.297201E+16   0.117202E+37   0.125000E+01   0.228120E+00   0.958183E-01   0.676061E+00   0.323939E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.607816E-01   0.607816E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.293804E+16   0.115098E+37   0.124000E+01   0.227800E+00   0.955287E-01   0.676671E+00   0.323329E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.611112E-01   0.611112E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.290425E+16   0.113012E+37   0.123000E+01   0.227470E+00   0.952395E-01   0.677290E+00   0.322710E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.614455E-01   0.614455E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.287065E+16   0.110945E+37   0.122000E+01   0.227140E+00   0.949443E-01   0.677916E+00   0.322084E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.617844E-01   0.617844E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.283724E+16   0.108895E+37   0.121000E+01   0.226800E+00   0.946492E-01   0.678550E+00   0.321450E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.621282E-01   0.621282E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.280402E+16   0.106864E+37   0.120000E+01   0.226460E+00   0.943479E-01   0.679192E+00   0.320808E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.624767E-01   0.624767E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.277098E+16   0.104851E+37   0.119000E+01   0.226120E+00   0.940402E-01   0.679840E+00   0.320160E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.628302E-01   0.628302E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.273813E+16   0.102857E+37   0.118000E+01   0.225770E+00   0.937321E-01   0.680498E+00   0.319502E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.631889E-01   0.631889E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
