  6    261   200          Itext Imax Icore

     IST EOS (set B param2)+ NZD-NV crust

   Rho        Press       nbar       Ye         Ymu        Yn         Yp         Yla        Ysm        Ys0        Ysp       mstp       mstn       mstla      mstsm      msts0      mstsp
  g/cm3     dyne/cm2     #/fm3     [A_cell]    [A_ion]     [Z]

    0.84933E+16    0.20241E+38   1.92591   0.33174   0   0.66826   0.33174   0   0   0   0   2.32937   2.32937   0   0   0   0
    0.84370E+16    0.19941E+38   1.92240   0.33084   0   0.66916   0.33084   0   0   0   0   2.32298   2.32298   0   0   0   0
    0.83807E+16    0.19644E+38   1.91885   0.32994   0   0.67006   0.32994   0   0   0   0   2.31659   2.31659   0   0   0   0
    0.83246E+16    0.19351E+38   1.91526   0.32903   0   0.67097   0.32903   0   0   0   0   2.31020   2.31020   0   0   0   0
    0.82685E+16    0.19060E+38   1.91165   0.32812   0   0.67188   0.32812   0   0   0   0   2.30381   2.30381   0   0   0   0
    0.82126E+16    0.18772E+38   1.90800   0.32720   0   0.67280   0.32720   0   0   0   0   2.29742   2.29742   0   0   0   0
    0.81568E+16    0.18488E+38   1.90432   0.32627   0   0.67373   0.32627   0   0   0   0   2.29103   2.29103   0   0   0   0
    0.81011E+16    0.18206E+38   1.90061   0.32534   0   0.67466   0.32534   0   0   0   0   2.28464   2.28464   0   0   0   0
    0.80455E+16    0.17928E+38   1.89686   0.32440   0   0.67560   0.32440   0   0   0   0   2.27825   2.27825   0   0   0   0
    0.79900E+16    0.17653E+38   1.89308   0.32345   0   0.67655   0.32345   0   0   0   0   2.27186   2.27186   0   0   0   0
    0.79346E+16    0.17380E+38   1.88926   0.32250   0   0.67750   0.32250   0   0   0   0   2.26547   2.26547   0   0   0   0
    0.78793E+16    0.17111E+38   1.88541   0.32155   0   0.67845   0.32155   0   0   0   0   2.25908   2.25908   0   0   0   0
    0.78242E+16    0.16844E+38   1.88153   0.32058   0   0.67942   0.32058   0   0   0   0   2.25269   2.25269   0   0   0   0
    0.77691E+16    0.16580E+38   1.87761   0.31962   0   0.68038   0.31962   0   0   0   0   2.24630   2.24630   0   0   0   0
    0.77142E+16    0.16320E+38   1.87365   0.31864   0   0.68136   0.31864   0   0   0   0   2.23991   2.23991   0   0   0   0
    0.76593E+16    0.16062E+38   1.86966   0.31766   0   0.68234   0.31766   0   0   0   0   2.23352   2.23352   0   0   0   0
    0.76046E+16    0.15807E+38   1.86563   0.31667   0   0.68333   0.31667   0   0   0   0   2.22713   2.22713   0   0   0   0
    0.75500E+16    0.15555E+38   1.86156   0.31567   0   0.68433   0.31567   0   0   0   0   2.22074   2.22074   0   0   0   0
    0.74956E+16    0.15306E+38   1.85746   0.31467   0   0.68533   0.31467   0   0   0   0   2.21435   2.21435   0   0   0   0
    0.74412E+16    0.15059E+38   1.85332   0.31366   0   0.68634   0.31366   0   0   0   0   2.20796   2.20796   0   0   0   0
    0.73870E+16    0.14816E+38   1.84914   0.31265   0   0.68735   0.31265   0   0   0   0   2.20157   2.20157   0   0   0   0
    0.73328E+16    0.14575E+38   1.84493   0.31163   0   0.68837   0.31163   0   0   0   0   2.19518   2.19518   0   0   0   0
    0.72788E+16    0.14337E+38   1.84067   0.31060   0   0.68940   0.31060   0   0   0   0   2.18879   2.18879   0   0   0   0
    0.72249E+16    0.14101E+38   1.83638   0.30956   0   0.69044   0.30956   0   0   0   0   2.18240   2.18240   0   0   0   0
    0.71712E+16    0.13869E+38   1.83204   0.30852   0   0.69148   0.30852   0   0   0   0   2.17601   2.17601   0   0   0   0
    0.71175E+16    0.13639E+38   1.82767   0.30747   0   0.69253   0.30747   0   0   0   0   2.16962   2.16962   0   0   0   0
    0.70640E+16    0.13412E+38   1.82326   0.30641   0   0.69359   0.30641   0   0   0   0   2.16323   2.16323   0   0   0   0
    0.70106E+16    0.13187E+38   1.81881   0.30535   0   0.69465   0.30535   0   0   0   0   2.15684   2.15684   0   0   0   0
    0.69573E+16    0.12965E+38   1.81431   0.30428   0   0.69572   0.30428   0   0   0   0   2.15045   2.15045   0   0   0   0
    0.69042E+16    0.12746E+38   1.80978   0.30320   0   0.69680   0.30320   0   0   0   0   2.14406   2.14406   0   0   0   0
    0.68512E+16    0.12529E+38   1.80520   0.30212   0   0.69788   0.30212   0   0   0   0   2.13767   2.13767   0   0   0   0
    0.67983E+16    0.12315E+38   1.80058   0.30103   0   0.69897   0.30103   0   0   0   0   2.13128   2.13128   0   0   0   0
    0.67455E+16    0.12103E+38   1.79592   0.29993   0   0.70007   0.29993   0   0   0   0   2.12489   2.12489   0   0   0   0
    0.66929E+16    0.11895E+38   1.79121   0.29882   0   0.70118   0.29882   0   0   0   0   2.11850   2.11850   0   0   0   0
    0.66404E+16    0.11688E+38   1.78647   0.29770   0   0.70230   0.29770   0   0   0   0   2.11212   2.11212   0   0   0   0
    0.65880E+16    0.11484E+38   1.78168   0.29658   0   0.70342   0.29658   0   0   0   0   2.10573   2.10573   0   0   0   0
    0.65357E+16    0.11283E+38   1.77684   0.29545   0   0.70455   0.29545   0   0   0   0   2.09934   2.09934   0   0   0   0
    0.64836E+16    0.11084E+38   1.77196   0.29432   0   0.70568   0.29432   0   0   0   0   2.09295   2.09295   0   0   0   0
    0.64316E+16    0.10887E+38   1.76704   0.29317   0   0.70683   0.29317   0   0   0   0   2.08656   2.08656   0   0   0   0
    0.63798E+16    0.10693E+38   1.76207   0.29202   0   0.70798   0.29202   0   0   0   0   2.08017   2.08017   0   0   0   0
    0.63281E+16    0.10502E+38   1.75705   0.29086   0   0.70914   0.29086   0   0   0   0   2.07378   2.07378   0   0   0   0
    0.62765E+16    0.10312E+38   1.75199   0.28969   0   0.71031   0.28969   0   0   0   0   2.06739   2.06739   0   0   0   0
    0.62250E+16    0.10125E+38   1.74688   0.28851   0   0.71149   0.28851   0   0   0   0   2.06100   2.06100   0   0   0   0
    0.61737E+16    0.99410E+37   1.74173   0.28733   0   0.71267   0.28733   0   0   0   0   2.05461   2.05461   0   0   0   0
    0.61226E+16    0.97588E+37   1.73653   0.28614   0   0.71386   0.28614   0   0   0   0   2.04822   2.04822   0   0   0   0
    0.60715E+16    0.95791E+37   1.73128   0.28494   0   0.71506   0.28494   0   0   0   0   2.04183   2.04183   0   0   0   0
    0.60206E+16    0.94016E+37   1.72598   0.28373   0   0.71627   0.28373   0   0   0   0   2.03544   2.03544   0   0   0   0
    0.59699E+16    0.92264E+37   1.72063   0.28251   0   0.71749   0.28251   0   0   0   0   2.02905   2.02905   0   0   0   0
    0.59193E+16    0.90535E+37   1.71524   0.28128   0   0.71872   0.28128   0   0   0   0   2.02266   2.02266   0   0   0   0
    0.58688E+16    0.88829E+37   1.70979   0.28005   0   0.71995   0.28005   0   0   0   0   2.01627   2.01627   0   0   0   0
    0.58185E+16    0.87145E+37   1.70430   0.27881   0   0.72119   0.27881   0   0   0   0   2.00988   2.00988   0   0   0   0
    0.57683E+16    0.85484E+37   1.69875   0.27756   0   0.72244   0.27756   0   0   0   0   2.00349   2.00349   0   0   0   0
    0.57183E+16    0.83845E+37   1.69316   0.27630   0   0.72370   0.27630   0   0   0   0   1.99710   1.99710   0   0   0   0
    0.56684E+16    0.82227E+37   1.68751   0.27503   0   0.72497   0.27503   0   0   0   0   1.99071   1.99071   0   0   0   0
    0.56187E+16    0.80632E+37   1.68181   0.27376   0   0.72624   0.27376   0   0   0   0   1.98432   1.98432   0   0   0   0
    0.55691E+16    0.79058E+37   1.67606   0.27247   0   0.72753   0.27247   0   0   0   0   1.97793   1.97793   0   0   0   0
    0.55196E+16    0.77505E+37   1.67026   0.27118   0   0.72882   0.27118   0   0   0   0   1.97154   1.97154   0   0   0   0
    0.54703E+16    0.75974E+37   1.66440   0.26988   0   0.73012   0.26988   0   0   0   0   1.96515   1.96515   0   0   0   0
    0.54212E+16    0.74463E+37   1.65849   0.26856   0   0.73144   0.26856   0   0   0   0   1.95876   1.95876   0   0   0   0
    0.53722E+16    0.72974E+37   1.65253   0.26724   0   0.73276   0.26724   0   0   0   0   1.95237   1.95237   0   0   0   0
    0.53234E+16    0.71505E+37   1.64651   0.26591   0   0.73409   0.26591   0   0   0   0   1.94598   1.94598   0   0   0   0
    0.52747E+16    0.70057E+37   1.64043   0.26458   0   0.73542   0.26458   0   0   0   0   1.93959   1.93959   0   0   0   0
    0.52262E+16    0.68630E+37   1.63431   0.26323   0   0.73677   0.26323   0   0   0   0   1.93320   1.93320   0   0   0   0
    0.51778E+16    0.67222E+37   1.62812   0.26187   0   0.73813   0.26187   0   0   0   0   1.92681   1.92681   0   0   0   0
    0.51296E+16    0.65835E+37   1.62188   0.26051   0   0.73949   0.26051   0   0   0   0   1.92042   1.92042   0   0   0   0
    0.50815E+16    0.64468E+37   1.61558   0.25913   0   0.74087   0.25913   0   0   0   0   1.91403   1.91403   0   0   0   0
    0.50336E+16    0.63120E+37   1.60923   0.25774   0   0.74225   0.25775   0   0   0   0   1.90764   1.90764   0   0   0   0
    0.49859E+16    0.61792E+37   1.60282   0.25635   0   0.74365   0.25635   0   0   0   0   1.90125   1.90125   0   0   0   0
    0.49383E+16    0.60483E+37   1.59635   0.25495   0   0.74505   0.25495   0   0   0   0   1.89486   1.89486   0   0   0   0
    0.48909E+16    0.59194E+37   1.58982   0.25353   0   0.74647   0.25353   0   0   0   0   1.88847   1.88847   0   0   0   0
    0.48436E+16    0.57924E+37   1.58323   0.25211   0   0.74789   0.25211   0   0   0   0   1.88208   1.88208   0   0   0   0
    0.47965E+16    0.56672E+37   1.57658   0.25068   0   0.74932   0.25068   0   0   0   0   1.87569   1.87569   0   0   0   0
    0.47496E+16    0.55439E+37   1.56988   0.24924   0   0.75076   0.24924   0   0   0   0   1.86930   1.86930   0   0   0   0
    0.47028E+16    0.54225E+37   1.56311   0.24778   0   0.75222   0.24778   0   0   0   0   1.86291   1.86291   0   0   0   0
    0.46562E+16    0.53030E+37   1.55628   0.24632   0   0.75368   0.24632   0   0   0   0   1.85652   1.85652   0   0   0   0
    0.46097E+16    0.51852E+37   1.54939   0.24485   0   0.75515   0.24485   0   0   0   0   1.85013   1.85013   0   0   0   0
    0.45635E+16    0.50693E+37   1.54244   0.24337   0   0.75663   0.24337   0   0   0   0   1.84374   1.84374   0   0   0   0
    0.45174E+16    0.49551E+37   1.53543   0.24188   0   0.75812   0.24188   0   0   0   0   1.83735   1.83735   0   0   0   0
    0.44714E+16    0.48428E+37   1.52835   0.24038   0   0.75962   0.24038   0   0   0   0   1.83097   1.83097   0   0   0   0
    0.44257E+16    0.47322E+37   1.52121   0.23886   0   0.76114   0.23886   0   0   0   0   1.82458   1.82458   0   0   0   0
