      6    1789    1650      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

4.5979327E+15	1.5809253E+36	1.6990000E+00	2.8052237E-02	1.9046907E-02	3.0279194E-01	2.2372017E-01	2.1617047E-01	9.1563643E-03	0.0000000E+00	0.0000000E+00	1.6746466E-01	8.0696388E-02	4.7130130E-01	5.2060856E-01	5.0525895E-01	5.0998384E-01	4.9587793E-01	4.9717036E-01	5.1871765E-01	4.8539070E-01
4.5941917E+15	1.5792660E+36	1.6980000E+00	2.8056675E-02	1.9047505E-02	3.0283358E-01	2.2371400E-01	2.1619718E-01	9.1254842E-03	0.0000000E+00	0.0000000E+00	1.6748433E-01	8.0645424E-02	4.7120502E-01	5.2053074E-01	5.0525643E-01	5.0999588E-01	4.9593390E-01	4.9722648E-01	5.1878178E-01	4.8544203E-01
4.5904517E+15	1.5776075E+36	1.6970000E+00	2.8061149E-02	1.9048131E-02	3.0287531E-01	2.2370785E-01	2.1622391E-01	9.0946066E-03	0.0000000E+00	0.0000000E+00	1.6750397E-01	8.0594351E-02	4.7110874E-01	5.2045294E-01	5.0525395E-01	5.1000796E-01	4.9598992E-01	4.9728265E-01	5.1884598E-01	4.8549341E-01
4.5867129E+15	1.5759496E+36	1.6960000E+00	2.8065661E-02	1.9048787E-02	3.0291713E-01	2.2370174E-01	2.1625066E-01	9.0637316E-03	0.0000000E+00	0.0000000E+00	1.6752356E-01	8.0543167E-02	4.7101246E-01	5.2037515E-01	5.0525152E-01	5.1002010E-01	4.9604600E-01	4.9733887E-01	5.1891025E-01	4.8554487E-01
4.5829751E+15	1.5742924E+36	1.6950000E+00	2.8070210E-02	1.9049472E-02	3.0295904E-01	2.2369566E-01	2.1627744E-01	9.0328592E-03	0.0000000E+00	0.0000000E+00	1.6754312E-01	8.0491874E-02	4.7091618E-01	5.2029736E-01	5.0524913E-01	5.1003228E-01	4.9610213E-01	4.9739515E-01	5.1897460E-01	4.8559638E-01
4.5792384E+15	1.5726359E+36	1.6940000E+00	2.8074797E-02	1.9050186E-02	3.0300105E-01	2.2368962E-01	2.1630424E-01	9.0019896E-03	0.0000000E+00	0.0000000E+00	1.6756264E-01	8.0440471E-02	4.7081990E-01	5.2021959E-01	5.0524678E-01	5.1004451E-01	4.9615832E-01	4.9745148E-01	5.1903901E-01	4.8564796E-01
4.5755028E+15	1.5709801E+36	1.6930000E+00	2.8079421E-02	1.9050930E-02	3.0304314E-01	2.2368360E-01	2.1633105E-01	8.9711228E-03	0.0000000E+00	0.0000000E+00	1.6758213E-01	8.0388957E-02	4.7072362E-01	5.2014183E-01	5.0524447E-01	5.1005679E-01	4.9621456E-01	4.9750787E-01	5.1910350E-01	4.8569960E-01
4.5717682E+15	1.5693250E+36	1.6920000E+00	2.8084083E-02	1.9051704E-02	3.0308532E-01	2.2367762E-01	2.1635790E-01	8.9402590E-03	0.0000000E+00	0.0000000E+00	1.6760157E-01	8.0337333E-02	4.7062734E-01	5.2006409E-01	5.0524221E-01	5.1006911E-01	4.9627086E-01	4.9756432E-01	5.1916806E-01	4.8575131E-01
4.5680348E+15	1.5676706E+36	1.6910000E+00	2.8088783E-02	1.9052507E-02	3.0312760E-01	2.2367167E-01	2.1638476E-01	8.9093982E-03	0.0000000E+00	0.0000000E+00	1.6762098E-01	8.0285598E-02	4.7053107E-01	5.1998635E-01	5.0523998E-01	5.1008149E-01	4.9632721E-01	4.9762082E-01	5.1923268E-01	4.8580308E-01
4.5643025E+15	1.5660169E+36	1.6900000E+00	2.8093520E-02	1.9053340E-02	3.0316996E-01	2.2366575E-01	2.1641164E-01	8.8785405E-03	0.0000000E+00	0.0000000E+00	1.6764035E-01	8.0233752E-02	4.7043479E-01	5.1990863E-01	5.0523781E-01	5.1009391E-01	4.9638362E-01	4.9767737E-01	5.1929739E-01	4.8585492E-01
4.5605712E+15	1.5643638E+36	1.6890000E+00	2.8098295E-02	1.9054202E-02	3.0321242E-01	2.2365987E-01	2.1643855E-01	8.8476860E-03	0.0000000E+00	0.0000000E+00	1.6765969E-01	8.0181795E-02	4.7033852E-01	5.1983092E-01	5.0523567E-01	5.1010638E-01	4.9644008E-01	4.9773398E-01	5.1936216E-01	4.8590682E-01
