# File from M. Beznogov- HHJ EOS from Kaminker et al. (2014)- EOS used in Beznogov & Yakovlev MNRAS 447 (2015)
#    rho             P           nb             ne             nmu 
#    g/cm^3            dyn/cm^2    fm-3           fm-3           fm-3
 2.622002e+04  4.967982e+19  1.579004e-11  7.331902e-12  0.000000e+00
 6.587005e+04  2.430972e+20  3.966781e-11  1.841936e-11  0.000000e+00
 1.654002e+05  1.151012e+21  9.960614e-11  4.625186e-11  0.000000e+00
 4.156004e+05  5.265990e+21  2.502800e-10  1.162209e-10  0.000000e+00
 1.043999e+06  2.317982e+22  6.287111e-10  2.919684e-10  0.000000e+00
 2.622002e+06  9.755061e+22  1.579004e-09  7.332924e-10  0.000000e+00
 6.588006e+06  3.911002e+23  3.967384e-09  1.841667e-09  0.000000e+00
 8.293006e+06  5.258998e+23  4.994158e-09  2.317605e-09  0.000000e+00
 1.655000e+07  1.435000e+24  9.966636e-09  4.616878e-09  0.000000e+00
 3.301999e+07  3.833002e+24  1.988510e-08  9.176771e-09  0.000000e+00
 6.589007e+07  1.006000e+25  3.967986e-08  1.819435e-08  0.000000e+00
 1.315001e+08  2.604000e+25  7.919110e-08  3.596758e-08  0.000000e+00
 2.624001e+08  6.675995e+25  1.580209e-07  7.086060e-08  0.000000e+00
 3.304000e+08  8.737999e+25  1.989714e-07  8.877921e-08  0.000000e+00
 5.237005e+08  1.629000e+26  3.153793e-07  1.391656e-07  0.000000e+00
 8.300992e+08  3.028998e+26  4.998976e-07  2.178245e-07  0.000000e+00
 1.044999e+09  4.129001e+26  6.293133e-07  2.723399e-07  0.000000e+00
 1.316000e+09  5.036003e+26  7.925132e-07  3.404862e-07  0.000000e+00
 1.657002e+09  6.859998e+26  9.978680e-07  4.254519e-07  0.000000e+00
 2.626002e+09  1.272000e+27  1.581413e-06  6.632739e-07  0.000000e+00
 4.164003e+09  2.355998e+27  2.507618e-06  1.032969e-06  0.000000e+00
 6.601004e+09  4.362003e+27  3.975212e-06  1.605727e-06  0.000000e+00
 8.312009e+09  5.662002e+27  5.005600e-06  2.000974e-06  0.000000e+00
 1.046001e+10  7.702009e+27  6.299155e-06  2.490998e-06  0.000000e+00
 1.317999e+10  1.047999e+28  7.937176e-06  3.103503e-06  0.000000e+00
 1.658999e+10  1.425000e+28  9.990725e-06  3.861128e-06  0.000000e+00
 2.089999e+10  1.938001e+28  1.258627e-05  4.805476e-06  0.000000e+00
 2.631001e+10  2.503001e+28  1.584424e-05  5.973899e-06  0.000000e+00
 3.312997e+10  3.404004e+28  1.995134e-05  7.425103e-06  0.000000e+00
 4.171997e+10  4.627996e+28  2.512435e-05  9.225040e-06  0.000000e+00
 5.253999e+10  5.949000e+28  3.164031e-05  1.145650e-05  0.000000e+00
 6.616998e+10  8.089003e+28  3.984848e-05  1.422168e-05  0.000000e+00
 8.331995e+10  1.100001e+29  5.017644e-05  1.764250e-05  0.000000e+00
 1.048999e+11  1.494999e+29  6.317221e-05  2.187232e-05  0.000000e+00
 1.321999e+11  2.032998e+29  7.961265e-05  2.712734e-05  0.000000e+00
 1.663999e+11  2.597000e+29  1.002084e-04  3.358887e-05  0.000000e+00
 1.844000e+11  2.891998e+29  1.110482e-04  3.694398e-05  0.000000e+00
 2.095999e+11  3.290001e+29  1.262240e-04  4.159525e-05  0.000000e+00
 2.640000e+11  4.473001e+29  1.589844e-04  5.147884e-05  0.000000e+00
 3.325003e+11  5.815995e+29  2.002360e-04  6.367141e-05  0.000000e+00
 4.188003e+11  7.537998e+29  2.522071e-04  7.871037e-05  0.000000e+00
 4.298996e+11  7.805002e+29  2.588917e-04  8.062227e-05  0.000000e+00
 4.460001e+11  7.890000e+29  2.685873e-04  6.061639e-05  0.000000e+00
 5.228005e+11  8.351991e+29  3.148373e-04  6.304583e-05  0.000000e+00
 6.609993e+11  9.098001e+29  3.980632e-04  6.712967e-05  0.000000e+00
 7.648918e+11  9.935689e+29  4.606287e-04  7.001664e-05  0.000000e+00
 8.196794e+11  1.058476e+30  4.936217e-04  7.148882e-05  0.000000e+00
 8.783892e+11  1.125405e+30  5.289775e-04  7.303317e-05  0.000000e+00
 9.413020e+11  1.194359e+30  5.668652e-04  7.465382e-05  0.000000e+00
 1.008721e+12  1.265368e+30  6.074659e-04  7.635518e-05  0.000000e+00
 1.080968e+12  1.338502e+30  6.509738e-04  7.814191e-05  0.000000e+00
 1.158388e+12  1.413862e+30  6.975969e-04  8.001899e-05  0.000000e+00
 1.241349e+12  1.491612e+30  7.475581e-04  8.199174e-05  0.000000e+00
 1.330252e+12  1.571973e+30  8.010963e-04  8.406582e-05  0.000000e+00
 1.425519e+12  1.655225e+30  8.584675e-04  8.624729e-05  0.000000e+00
 1.527608e+12  1.741743e+30  9.199458e-04  8.854262e-05  0.000000e+00
 1.637001e+12  1.831981e+30  9.858253e-04  9.095874e-05  0.000000e+00
 1.754228e+12  1.926491e+30  1.056421e-03  9.350306e-05  0.000000e+00
 1.879849e+12  2.025947e+30  1.132070e-03  9.618351e-05  0.000000e+00
 2.014457e+12  2.131140e+30  1.213134e-03  9.900863e-05  0.000000e+00
 2.158704e+12  2.243004e+30  1.300002e-03  1.019875e-04  0.000000e+00
 2.313279e+12  2.362626e+30  1.393087e-03  1.051300e-04  0.000000e+00
 2.478917e+12  2.491260e+30  1.492836e-03  1.084467e-04  0.000000e+00
 2.656409e+12  2.630347e+30  1.599725e-03  1.119488e-04  0.000000e+00
 2.846610e+12  2.781538e+30  1.714266e-03  1.156485e-04  0.000000e+00
 3.050423e+12  2.946707e+30  1.837006e-03  1.195590e-04  0.000000e+00
 3.268827e+12  3.127973e+30  1.968533e-03  1.236944e-04  0.000000e+00
 3.502870e+12  3.327722e+30  2.109476e-03  1.280699e-04  0.000000e+00
 3.753669e+12  3.548649e+30  2.260509e-03  1.327020e-04  0.000000e+00
 4.022416e+12  3.793779e+30  2.422355e-03  1.376083e-04  0.000000e+00
 4.310414e+12  4.066474e+30  2.595788e-03  1.428081e-04  0.000000e+00
 4.619022e+12  4.370529e+30  2.781639e-03  1.483220e-04  0.000000e+00
 4.949736e+12  4.710131e+30  2.980797e-03  1.541723e-04  0.000000e+00
 5.304128e+12  5.089979e+30  3.194216e-03  1.603834e-04  0.000000e+00
 5.683894e+12  5.515260e+30  3.422918e-03  1.669813e-04  0.000000e+00
 6.090851e+12  5.991782e+30  3.667998e-03  1.739946e-04  0.000000e+00
 6.526976e+12  6.525939e+30  3.930630e-03  1.814539e-04  0.000000e+00
 6.994312e+12  7.124855e+30  4.212073e-03  1.893926e-04  0.000000e+00
 7.495144e+12  7.796416e+30  4.513674e-03  1.978471e-04  0.000000e+00
 8.031839e+12  8.549328e+30  4.836880e-03  2.068565e-04  0.000000e+00
 8.606984e+12  9.393274e+30  5.183240e-03  2.164637e-04  0.000000e+00
 9.223335e+12  1.033889e+31  5.554414e-03  2.267152e-04  0.000000e+00
 9.883847e+12  1.139798e+31  5.952182e-03  2.376613e-04  0.000000e+00
 1.059167e+13  1.258360e+31  6.378451e-03  2.493572e-04  0.000000e+00
 1.135024e+13  1.391016e+31  6.835267e-03  2.618626e-04  0.000000e+00
 1.216316e+13  1.539352e+31  7.324822e-03  2.752428e-04  0.000000e+00
 1.303435e+13  1.705132e+31  7.849464e-03  2.895687e-04  0.000000e+00
 1.396799e+13  1.890292e+31  8.411713e-03  3.049175e-04  0.000000e+00
 1.496855e+13  2.096974e+31  9.014267e-03  3.213737e-04  0.000000e+00
 1.604085e+13  2.327555e+31  9.660019e-03  3.390290e-04  0.000000e+00
 1.719003e+13  2.584640e+31  1.035207e-02  3.579836e-04  0.000000e+00
 1.842162e+13  2.871131e+31  1.109375e-02  3.783464e-04  0.000000e+00
 1.974153e+13  3.190230e+31  1.188862e-02  4.002364e-04  0.000000e+00
 2.115610e+13  3.545480e+31  1.274050e-02  4.237830e-04  0.000000e+00
 2.267215e+13  3.940815e+31  1.365348e-02  4.491270e-04  0.000000e+00
 2.429695e+13  4.380574e+31  1.463196e-02  4.764218e-04  0.000000e+00
 2.603833e+13  4.869619e+31  1.568064e-02  5.058338e-04  0.000000e+00
 2.790465e+13  5.413324e+31  1.680456e-02  5.375437e-04  0.000000e+00
 2.990492e+13  6.017693e+31  1.800915e-02  5.717473e-04  0.000000e+00
