      6    632    492      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

6.6806424E+15	2.2231629E+36	2.4951000E+00	6.9848449E-04	0.0000000E+00	1.9267961E-01	1.7304930E-01	3.2245080E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7235082E-01	1.3946947E-01	1.0842292E-01	1.0827361E-01	6.8675643E-01	8.5680505E-01	8.5697137E-01	8.5584191E-01	1.0286322E+00	1.0280024E+00
6.6623079E+15	2.2142707E+36	2.4901000E+00	7.1051194E-04	0.0000000E+00	1.9283939E-01	1.7310049E-01	3.2243366E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7238997E-01	1.3923650E-01	1.0867828E-01	1.0852862E-01	6.8684605E-01	8.5684593E-01	8.5701243E-01	8.5588307E-01	1.0286240E+00	1.0279941E+00
6.6439931E+15	2.2053963E+36	2.4851000E+00	7.2269022E-04	0.0000000E+00	1.9299983E-01	1.7315193E-01	3.2241625E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7242924E-01	1.3900274E-01	1.0893438E-01	1.0878436E-01	6.8693594E-01	8.5688694E-01	8.5705360E-01	8.5592435E-01	1.0286158E+00	1.0279859E+00
6.6256983E+15	2.1965396E+36	2.4801000E+00	7.3502061E-04	0.0000000E+00	1.9316095E-01	1.7320364E-01	3.2239859E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7246861E-01	1.3876821E-01	1.0919120E-01	1.0904083E-01	6.8702607E-01	8.5692806E-01	8.5709489E-01	8.5596575E-01	1.0286075E+00	1.0279776E+00
6.6074233E+15	2.1877007E+36	2.4751000E+00	7.4750440E-04	0.0000000E+00	1.9332275E-01	1.7325560E-01	3.2238065E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7250810E-01	1.3853289E-01	1.0944877E-01	1.0929805E-01	6.8711647E-01	8.5696930E-01	8.5713630E-01	8.5600726E-01	1.0285993E+00	1.0279693E+00
6.5891681E+15	2.1788795E+36	2.4701000E+00	7.6014288E-04	0.0000000E+00	1.9348523E-01	1.7330784E-01	3.2236245E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7254769E-01	1.3829679E-01	1.0970708E-01	1.0955600E-01	6.8720713E-01	8.5701066E-01	8.5717783E-01	8.5604890E-01	1.0285910E+00	1.0279610E+00
6.5709328E+15	2.1700761E+36	2.4651000E+00	7.7293736E-04	0.0000000E+00	1.9364840E-01	1.7336033E-01	3.2234398E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7258740E-01	1.3805989E-01	1.0996613E-01	1.0981469E-01	6.8729805E-01	8.5705214E-01	8.5721948E-01	8.5609066E-01	1.0285827E+00	1.0279526E+00
6.5527173E+15	2.1612905E+36	2.4601000E+00	7.8588916E-04	0.0000000E+00	1.9381225E-01	1.7341310E-01	3.2232524E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7262721E-01	1.3782220E-01	1.1022593E-01	1.1007413E-01	6.8738923E-01	8.5709373E-01	8.5726125E-01	8.5613253E-01	1.0285743E+00	1.0279442E+00
6.5345217E+15	2.1525226E+36	2.4551000E+00	7.9899959E-04	0.0000000E+00	1.9397681E-01	1.7346613E-01	3.2230622E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7266713E-01	1.3758371E-01	1.1048648E-01	1.1033433E-01	6.8748068E-01	8.5713545E-01	8.5730314E-01	8.5617453E-01	1.0285660E+00	1.0279358E+00
6.5163459E+15	2.1437725E+36	2.4501000E+00	8.1226997E-04	0.0000000E+00	1.9414206E-01	1.7351943E-01	3.2228693E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7270716E-01	1.3734442E-01	1.1074779E-01	1.1059527E-01	6.8757239E-01	8.5717729E-01	8.5734515E-01	8.5621665E-01	1.0285576E+00	1.0279274E+00
6.4981900E+15	2.1350402E+36	2.4451000E+00	8.2570166E-04	0.0000000E+00	1.9430801E-01	1.7357301E-01	3.2226736E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7274731E-01	1.3710432E-01	1.1100985E-01	1.1085698E-01	6.8766437E-01	8.5721925E-01	8.5738728E-01	8.5625890E-01	1.0285492E+00	1.0279190E+00
