      6    632    492      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

8.3219905E+15	3.3471019E+36	2.4951000E+00	2.3279462E-03	4.5867305E-05	3.7583011E-02	4.4202767E-02	5.2852730E-01	5.4886946E-02	6.9501096E-02	8.5322937E-02	7.7012572E-02	1.0296338E-01	4.7773459E-01	4.7707669E-01	2.3224827E-01	5.3114494E-01	5.2997312E-01	5.2799138E-01	6.2720398E-01	6.2474255E-01
8.2973507E+15	3.3318819E+36	2.4901000E+00	2.2886457E-03	3.4575256E-05	3.7900110E-02	4.4493900E-02	5.2888302E-01	5.4607902E-02	6.9146444E-02	8.4884993E-02	7.7094212E-02	1.0298942E-01	4.7689324E-01	4.7623650E-01	2.3268514E-01	5.3141157E-01	5.3024085E-01	5.2825981E-01	6.2741613E-01	6.2495567E-01
8.2727417E+15	3.3166966E+36	2.4851000E+00	2.2495460E-03	2.4392643E-05	3.8219168E-02	4.4786387E-02	5.2923832E-01	5.4327963E-02	6.8790261E-02	8.4444807E-02	7.7177170E-02	1.0301592E-01	4.7604925E-01	4.7539367E-01	2.3312338E-01	5.3167904E-01	5.3050942E-01	5.2852907E-01	6.2762895E-01	6.2516947E-01
8.2481637E+15	3.3015458E+36	2.4801000E+00	2.2106396E-03	1.5460938E-05	3.8540200E-02	4.5080221E-02	5.2959317E-01	5.4047140E-02	6.8432529E-02	8.4002328E-02	7.7261509E-02	1.0304291E-01	4.7520257E-01	4.7454816E-01	2.3356302E-01	5.3194736E-01	5.3077884E-01	5.2879920E-01	6.2784245E-01	6.2538394E-01
8.2236165E+15	3.2864294E+36	2.4751000E+00	2.1719132E-03	7.9950626E-06	3.8863221E-02	4.5375382E-02	5.2994752E-01	5.3765455E-02	6.8073227E-02	8.3557484E-02	7.7347319E-02	1.0307040E-01	4.7435315E-01	4.7369991E-01	2.3400408E-01	5.3221655E-01	5.3104914E-01	5.2907020E-01	6.2805664E-01	6.2559911E-01
8.1991001E+15	3.2713472E+36	2.4701000E+00	2.1333390E-03	2.3864842E-06	3.9188245E-02	4.5671826E-02	5.3030132E-01	5.3482946E-02	6.7712317E-02	8.3110150E-02	7.7434755E-02	1.0309844E-01	4.7350091E-01	4.7284884E-01	2.3444661E-01	5.3248663E-01	5.3132033E-01	5.2934210E-01	6.2827155E-01	6.2581499E-01
8.1746142E+15	3.2562981E+36	2.4651000E+00	2.0948073E-03	0.0000000E+00	3.9515284E-02	4.5969377E-02	5.3065442E-01	5.3199768E-02	6.7349697E-02	8.2659917E-02	7.7524333E-02	1.0312720E-01	4.7264562E-01	4.7199472E-01	2.3489072E-01	5.3275768E-01	5.3159250E-01	5.2961498E-01	6.2848722E-01	6.2603165E-01
8.1501591E+15	3.2412830E+36	2.4601000E+00	2.0564009E-03	0.0000000E+00	3.9844358E-02	4.6268159E-02	5.3100689E-01	5.2915820E-02	6.6985417E-02	8.2207020E-02	7.7615760E-02	1.0315658E-01	4.7178738E-01	4.7113767E-01	2.3533636E-01	5.3302967E-01	5.3186560E-01	5.2988879E-01	6.2870363E-01	6.2624905E-01
8.1257348E+15	3.2263035E+36	2.4551000E+00	2.0183282E-03	0.0000000E+00	4.0175496E-02	4.6568511E-02	5.3135893E-01	5.2630820E-02	6.6619642E-02	8.1752148E-02	7.7708166E-02	1.0318629E-01	4.7092651E-01	4.7027798E-01	2.3578336E-01	5.3330249E-01	5.3213954E-01	5.3016344E-01	6.2892071E-01	6.2646712E-01
8.1013413E+15	3.2113598E+36	2.4501000E+00	1.9805910E-03	0.0000000E+00	4.0508715E-02	4.6870444E-02	5.3171053E-01	5.2344764E-02	6.6252365E-02	8.1295289E-02	7.7801560E-02	1.0321634E-01	4.7006299E-01	4.6941565E-01	2.3623175E-01	5.3357615E-01	5.3241432E-01	5.3043894E-01	6.2913846E-01	6.2668586E-01
8.0769786E+15	3.1964518E+36	2.4451000E+00	1.9431907E-03	0.0000000E+00	4.0844033E-02	4.7173973E-02	5.3206166E-01	5.2057647E-02	6.5883578E-02	8.0836436E-02	7.7895952E-02	1.0324672E-01	4.6919679E-01	4.6855065E-01	2.3668152E-01	5.3385065E-01	5.3268995E-01	5.3071529E-01	6.2935688E-01	6.2690527E-01
