      PC            ROC          NC         R(KM)       M/MSOL       A(E58)     MPROP/MSOL     I(E45)        Z
  0.100000E+34 0.148479E+15 0.879349E-01  42.0790     0.976750E-01 0.116742E-01 0.987301E-01 0.575804E-01 0.344582E-02
  0.105925E+34 0.151996E+15 0.899986E-01  38.4172     0.100397     0.120019E-01 0.101516     0.579762E-01 0.388195E-02
  0.112202E+34 0.155596E+15 0.921107E-01  35.3748     0.103280     0.123493E-01 0.104468     0.587257E-01 0.433988E-02
  0.118850E+34 0.159281E+15 0.942723E-01  32.8131     0.106326     0.127164E-01 0.107588     0.597571E-01 0.482012E-02
  0.125893E+34 0.163053E+15 0.964847E-01  30.6360     0.109535     0.131033E-01 0.110877     0.610257E-01 0.532244E-02
  0.133352E+34 0.166915E+15 0.987490E-01  28.7649     0.112908     0.135102E-01 0.114336     0.625030E-01 0.584779E-02
  0.141254E+34 0.170868E+15 0.101066      27.1440     0.116447     0.139374E-01 0.117969     0.641707E-01 0.639650E-02
  0.149624E+34 0.174915E+15 0.103438      25.7291     0.120156     0.143853E-01 0.121778     0.660173E-01 0.696912E-02
  0.158489E+34 0.179058E+15 0.105866      24.4866     0.124037     0.148543E-01 0.125766     0.680355E-01 0.756599E-02
  0.167880E+34 0.183299E+15 0.108350      23.3887     0.128094     0.153448E-01 0.129938     0.702215E-01 0.818775E-02
  0.177828E+34 0.187640E+15 0.110893      22.4139     0.132329     0.158572E-01 0.134297     0.725733E-01 0.883486E-02
  0.188365E+34 0.192084E+15 0.113495      21.5437     0.136748     0.163921E-01 0.138849     0.750911E-01 0.950810E-02
  0.199526E+34 0.196633E+15 0.116159      20.7638     0.141353     0.169500E-01 0.143596     0.777759E-01 0.102081E-01
  0.211349E+34 0.201290E+15 0.118885      20.0623     0.146149     0.175315E-01 0.148546     0.806299E-01 0.109352E-01
  0.223872E+34 0.205725E+15 0.121471      19.4279     0.151149     0.181381E-01 0.153710     0.836618E-01 0.116917E-01
  0.237137E+34 0.209940E+15 0.123918      18.8484     0.156406     0.187764E-01 0.159145     0.869114E-01 0.124850E-01
  0.251189E+34 0.214241E+15 0.126415      18.3181     0.161934     0.194483E-01 0.164867     0.903974E-01 0.133168E-01
  0.266073E+34 0.218631E+15 0.128961      17.8328     0.167744     0.201548E-01 0.170886     0.941327E-01 0.141883E-01
  0.281838E+34 0.223110E+15 0.131560      17.3883     0.173843     0.208972E-01 0.177212     0.981301E-01 0.151004E-01
  0.298538E+34 0.227681E+15 0.134210      16.9809     0.180241     0.216766E-01 0.183854     0.102403     0.160541E-01
  0.316228E+34 0.232346E+15 0.136914      16.6077     0.186944     0.224940E-01 0.190824     0.106964     0.170504E-01
  0.334965E+34 0.237106E+15 0.139672      16.2652     0.193964     0.233508E-01 0.198130     0.111827     0.180907E-01
  0.354813E+34 0.241964E+15 0.142486      15.9511     0.201307     0.242481E-01 0.205784     0.117007     0.191760E-01
  0.375837E+34 0.246921E+15 0.145357      15.6628     0.208985     0.251871E-01 0.213796     0.122519     0.203074E-01
  0.398107E+34 0.251980E+15 0.148285      15.3980     0.217006     0.261692E-01 0.222179     0.128378     0.214865E-01
