       6    1354     651     787

     EOS file :  /home/fortin/Desktop/NSCool/EOS/BSK21_EOS_Acc_Fe_OPUS.dat             

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.109048E-01   7.377174E+14    9.10593E+34   0.000000000E+00  -4.092016E-01   0.000000000E+00
     1       1.000000   4.109048E-01   7.377174E+14    9.10593E+34   1.553616788E-12  -4.092016E-01   1.449245563E-12
     2       1.016667   4.109048E-01   7.377174E+14    9.10593E+34   1.632599501E-12  -4.092016E-01   1.522922256E-12
     3       1.033611   4.109048E-01   7.377174E+14    9.10593E+34   1.715597535E-12  -4.092016E-01   1.600344521E-12
     4       1.050838   4.109048E-01   7.377174E+14    9.10593E+34   1.802815019E-12  -4.092016E-01   1.681702777E-12
     5       1.068352   4.109048E-01   7.377174E+14    9.10593E+34   1.894466463E-12  -4.092016E-01   1.767197121E-12
     6       1.086158   4.109048E-01   7.377174E+14    9.10593E+34   1.990777279E-12  -4.092016E-01   1.857037824E-12
     7       1.104260   4.109048E-01   7.377174E+14    9.10593E+34   2.091984341E-12  -4.092016E-01   1.951445844E-12
     8       1.122665   4.109048E-01   7.377174E+14    9.10593E+34   2.198336564E-12  -4.092016E-01   2.050653376E-12
     9       1.141376   4.109048E-01   7.377174E+14    9.10593E+34   2.310095517E-12  -4.092016E-01   2.154904417E-12
    10       1.160399   4.109048E-01   7.377174E+14    9.10593E+34   2.427536068E-12  -4.092016E-01   2.264455369E-12
    11       1.179739   4.109048E-01   7.377174E+14    9.10593E+34   2.550947057E-12  -4.092016E-01   2.379575667E-12
    12       1.199401   4.109048E-01   7.377174E+14    9.10593E+34   2.680632009E-12  -4.092016E-01   2.500548448E-12
    13       1.219391   4.109048E-01   7.377174E+14    9.10593E+34   2.816909880E-12  -4.092016E-01   2.627671237E-12
    14       1.239714   4.109048E-01   7.377174E+14    9.10593E+34   2.960115841E-12  -4.092016E-01   2.761256691E-12
    15       1.260376   4.109048E-01   7.377174E+14    9.10593E+34   3.110602100E-12  -4.092016E-01   2.901633357E-12
    16       1.281383   4.109048E-01   7.377174E+14    9.10593E+34   3.268738775E-12  -4.092016E-01   3.049146486E-12
    17       1.302739   4.109048E-01   7.377174E+14    9.10593E+34   3.434914796E-12  -4.092016E-01   3.204158882E-12
    18       1.324451   4.109048E-01   7.377174E+14    9.10593E+34   3.609538867E-12  -4.092016E-01   3.367051793E-12
    19       1.346525   4.109048E-01   7.377174E+14    9.10593E+34   3.793040470E-12  -4.092016E-01   3.538225848E-12
    20       1.368967   4.109048E-01   7.377174E+14    9.10593E+34   3.985870920E-12  -4.092016E-01   3.718102043E-12
    21       1.391784   4.109048E-01   7.377174E+14    9.10593E+34   4.188504478E-12  -4.092016E-01   3.907122777E-12
    22       1.414980   4.109048E-01   7.377174E+14    9.10593E+34   4.401439513E-12  -4.092016E-01   4.105752939E-12
    23       1.438563   4.109048E-01   7.377174E+14    9.10593E+34   4.625199731E-12  -4.092016E-01   4.314481055E-12
    24       1.462539   4.109048E-01   7.377174E+14    9.10593E+34   4.860335463E-12  -4.092016E-01   4.533820483E-12
    25       1.486915   4.109048E-01   7.377174E+14    9.10593E+34   5.107425016E-12  -4.092016E-01   4.764310680E-12
    26       1.511697   4.109048E-01   7.377174E+14    9.10593E+34   5.367076099E-12  -4.092016E-01   5.006518529E-12
    27       1.536892   4.109048E-01   7.377174E+14    9.10593E+34   5.639927313E-12  -4.092016E-01   5.261039732E-12
    28       1.562506   4.109048E-01   7.377174E+14    9.10593E+34   5.926649727E-12  -4.092016E-01   5.528500274E-12
    29       1.588548   4.109048E-01   7.377174E+14    9.10593E+34   6.227948524E-12  -4.092016E-01   5.809557965E-12
    30       1.615024   4.109048E-01   7.377174E+14    9.10593E+34   6.544564738E-12  -4.092016E-01   6.104904056E-12
    31       1.641941   4.109048E-01   7.377174E+14    9.10593E+34   6.877277075E-12  -4.092016E-01   6.415264941E-12
    32       1.669307   4.109048E-01   7.377174E+14    9.10593E+34   7.226903828E-12  -4.092016E-01   6.741403940E-12
    33       1.697129   4.109048E-01   7.377174E+14    9.10593E+34   7.594304894E-12  -4.092016E-01   7.084123182E-12
    34       1.725414   4.109048E-01   7.377174E+14    9.10593E+34   7.980383880E-12  -4.092016E-01   7.444265571E-12
    35       1.754171   4.109048E-01   7.377174E+14    9.10593E+34   8.386090335E-12  -4.092016E-01   7.822716865E-12
    36       1.783407   4.109048E-01   7.377174E+14    9.10593E+34   8.812422080E-12  -4.092016E-01   8.220407851E-12
    37       1.813131   4.109048E-01   7.377174E+14    9.10593E+34   9.260427661E-12  -4.092016E-01   8.638316637E-12
    38       1.843349   4.109048E-01   7.377174E+14    9.10593E+34   9.731208932E-12  -4.092016E-01   9.077471053E-12
    39       1.874072   4.109048E-01   7.377174E+14    9.10593E+34   1.022592376E-11  -4.092016E-01   9.538951185E-12
    40       1.905306   4.109048E-01   7.377174E+14    9.10593E+34   1.074578889E-11  -4.092016E-01   1.002389203E-11
    41       1.937061   4.109048E-01   7.377174E+14    9.10593E+34   1.129208290E-11  -4.092016E-01   1.053348627E-11
    42       1.969346   4.109048E-01   7.377174E+14    9.10593E+34   1.186614938E-11  -4.092016E-01   1.106898725E-11
    43       2.002168   4.109048E-01   7.377174E+14    9.10593E+34   1.246940023E-11  -4.092016E-01   1.163171200E-11
    44       2.035538   4.109048E-01   7.377174E+14    9.10593E+34   1.310331912E-11  -4.092016E-01   1.222304454E-11
    45       2.069463   4.109048E-01   7.377174E+14    9.10593E+34   1.376946516E-11  -4.092016E-01   1.284443921E-11
    46       2.103954   4.109048E-01   7.377174E+14    9.10593E+34   1.446947670E-11  -4.092016E-01   1.349742432E-11
    47       2.139020   4.109048E-01   7.377174E+14    9.10593E+34   1.520507540E-11  -4.092016E-01   1.418360587E-11
    48       2.174671   4.109048E-01   7.377174E+14    9.10593E+34   1.597807044E-11  -4.092016E-01   1.490467148E-11
    49       2.210915   4.109048E-01   7.377174E+14    9.10593E+34   1.679036297E-11  -4.092016E-01   1.566239460E-11
    50       2.247764   4.109048E-01   7.377174E+14    9.10593E+34   1.764395080E-11  -4.092016E-01   1.645863882E-11
    51       2.285226   4.109048E-01   7.377174E+14    9.10593E+34   1.854093328E-11  -4.092016E-01   1.729536247E-11
    52       2.323314   4.109048E-01   7.377174E+14    9.10593E+34   1.948351653E-11  -4.092016E-01   1.817462344E-11
    53       2.362035   4.109048E-01   7.377174E+14    9.10593E+34   2.047401879E-11  -4.092016E-01   1.909858425E-11
    54       2.401403   4.109048E-01   7.377174E+14    9.10593E+34   2.151487616E-11  -4.092016E-01   2.006951734E-11
    55       2.441426   4.109048E-01   7.377174E+14    9.10593E+34   2.260864860E-11  -4.092016E-01   2.108981069E-11
    56       2.482117   4.109048E-01   7.377174E+14    9.10593E+34   2.375802619E-11  -4.092016E-01   2.216197367E-11
    57       2.523485   4.109048E-01   7.377174E+14    9.10593E+34   2.496583580E-11  -4.092016E-01   2.328864322E-11
    58       2.565543   4.109048E-01   7.377174E+14    9.10593E+34   2.623504798E-11  -4.092016E-01   2.447259036E-11
    59       2.608302   4.109048E-01   7.377174E+14    9.10593E+34   2.756878432E-11  -4.092016E-01   2.571672696E-11
    60       2.651774   4.109048E-01   7.377174E+14    9.10593E+34   2.897032509E-11  -4.092016E-01   2.702411292E-11
    61       2.695970   4.109048E-01   7.377174E+14    9.10593E+34   3.044311733E-11  -4.092016E-01   2.839796372E-11
    62       2.740903   4.109048E-01   7.377174E+14    9.10593E+34   3.199078332E-11  -4.092016E-01   2.984165828E-11
    63       2.786585   4.109048E-01   7.377174E+14    9.10593E+34   3.361712949E-11  -4.092016E-01   3.135874733E-11
    64       2.833028   4.109048E-01   7.377174E+14    9.10593E+34   3.532615578E-11  -4.092016E-01   3.295296209E-11
    65       2.880245   4.109048E-01   7.377174E+14    9.10593E+34   3.712206547E-11  -4.092016E-01   3.462822348E-11
    66       2.928249   4.109048E-01   7.377174E+14    9.10593E+34   3.900927554E-11  -4.092016E-01   3.638865173E-11
    67       2.977053   4.109048E-01   7.377174E+14    9.10593E+34   4.099242752E-11  -4.092016E-01   3.823857656E-11
    68       3.026671   4.109048E-01   7.377173E+14    9.10593E+34   4.307639890E-11  -4.092016E-01   4.018254779E-11
    69       3.077115   4.109048E-01   7.377173E+14    9.10593E+34   4.526631512E-11  -4.092016E-01   4.222534655E-11
    70       3.128401   4.109048E-01   7.377173E+14    9.10593E+34   4.756756220E-11  -4.092016E-01   4.437199702E-11
    71       3.180541   4.109048E-01   7.377173E+14    9.10593E+34   4.998579999E-11  -4.092016E-01   4.662777882E-11
    72       3.233550   4.109048E-01   7.377173E+14    9.10593E+34   5.252697604E-11  -4.092016E-01   4.899823996E-11
    73       3.287442   4.109048E-01   7.377173E+14    9.10593E+34   5.519734028E-11  -4.092016E-01   5.148921050E-11
    74       3.342233   4.109048E-01   7.377173E+14    9.10593E+34   5.800346039E-11  -4.092016E-01   5.410681689E-11
    75       3.397937   4.109048E-01   7.377173E+14    9.10593E+34   6.095223790E-11  -4.092016E-01   5.685749704E-11
    76       3.454569   4.109048E-01   7.377173E+14    9.10593E+34   6.405092523E-11  -4.092016E-01   5.974801614E-11
