       6    1372     660     805

     EOS file :  /home/forgane/Desktop/NSCool/EOS/APRIV_EOS_Acc_Fe.dat                 

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   6.297503E-01   1.223161E+15    2.73180E+35   0.000000000E+00  -6.925355E-01   0.000000000E+00
     1       1.000000   6.297503E-01   1.223161E+15    2.73180E+35   2.575951410E-12  -6.925355E-01   2.221105436E-12
     2       1.016667   6.297503E-01   1.223161E+15    2.73180E+35   2.706907533E-12  -6.925355E-01   2.334021913E-12
     3       1.033611   6.297503E-01   1.223161E+15    2.73180E+35   2.844521198E-12  -6.925355E-01   2.452678833E-12
     4       1.050838   6.297503E-01   1.223161E+15    2.73180E+35   2.989130862E-12  -6.925355E-01   2.577368029E-12
     5       1.068352   6.297503E-01   1.223161E+15    2.73180E+35   3.141092186E-12  -6.925355E-01   2.708396170E-12
     6       1.086158   6.297503E-01   1.223161E+15    2.73180E+35   3.300778915E-12  -6.925355E-01   2.846085515E-12
     7       1.104260   6.297503E-01   1.223161E+15    2.73180E+35   3.468583791E-12  -6.925355E-01   2.990774705E-12
     8       1.122665   6.297503E-01   1.223161E+15    2.73180E+35   3.644919526E-12  -6.925355E-01   3.142819600E-12
     9       1.141376   6.297503E-01   1.223161E+15    2.73180E+35   3.830219810E-12  -6.925355E-01   3.302594147E-12
    10       1.160399   6.297503E-01   1.223161E+15    2.73180E+35   4.024940382E-12  -6.925355E-01   3.470491306E-12
    11       1.179739   6.297503E-01   1.223161E+15    2.73180E+35   4.229560152E-12  -6.925355E-01   3.646924015E-12
    12       1.199401   6.297503E-01   1.223161E+15    2.73180E+35   4.444582375E-12  -6.925355E-01   3.832326203E-12
    13       1.219391   6.297503E-01   1.223161E+15    2.73180E+35   4.670535888E-12  -6.925355E-01   4.027153861E-12
    14       1.239714   6.297503E-01   1.223161E+15    2.73180E+35   4.907976419E-12  -6.925355E-01   4.231886160E-12
    15       1.260376   6.297503E-01   1.223161E+15    2.73180E+35   5.157487941E-12  -6.925355E-01   4.447026632E-12
    16       1.281383   6.297503E-01   1.223161E+15    2.73180E+35   5.419684121E-12  -6.925355E-01   4.673104408E-12
    17       1.302739   6.297503E-01   1.223161E+15    2.73180E+35   5.695209821E-12  -6.925355E-01   4.910675516E-12
    18       1.324451   6.297503E-01   1.223161E+15    2.73180E+35   5.984742686E-12  -6.925355E-01   5.160324256E-12
    19       1.346525   6.297503E-01   1.223161E+15    2.73180E+35   6.288994811E-12  -6.925355E-01   5.422664629E-12
    20       1.368967   6.297503E-01   1.223161E+15    2.73180E+35   6.608714495E-12  -6.925355E-01   5.698341852E-12
    21       1.391784   6.297503E-01   1.223161E+15    2.73180E+35   6.944688075E-12  -6.925355E-01   5.988033944E-12
    22       1.414980   6.297503E-01   1.223161E+15    2.73180E+35   7.297741868E-12  -6.925355E-01   6.292453391E-12
    23       1.438563   6.297503E-01   1.223161E+15    2.73180E+35   7.668744196E-12  -6.925355E-01   6.612348902E-12
    24       1.462539   6.297503E-01   1.223161E+15    2.73180E+35   8.058607526E-12  -6.925355E-01   6.948507249E-12
    25       1.486915   6.297503E-01   1.223161E+15    2.73180E+35   8.468290713E-12  -6.925355E-01   7.301755202E-12
    26       1.511697   6.297503E-01   1.223161E+15    2.73180E+35   8.898801358E-12  -6.925355E-01   7.672961560E-12
    27       1.536892   6.297503E-01   1.223161E+15    2.73180E+35   9.351198287E-12  -6.925355E-01   8.063039294E-12
    28       1.562506   6.297503E-01   1.223161E+15    2.73180E+35   9.826594154E-12  -6.925355E-01   8.472947784E-12
    29       1.588548   6.297503E-01   1.223161E+15    2.73180E+35   1.032615818E-11  -6.925355E-01   8.903695186E-12
    30       1.615024   6.297503E-01   1.223161E+15    2.73180E+35   1.085111902E-11  -6.925355E-01   9.356340909E-12
    31       1.641941   6.297503E-01   1.223161E+15    2.73180E+35   1.140276780E-11  -6.925355E-01   9.831998217E-12
    32       1.669307   6.297503E-01   1.223161E+15    2.73180E+35   1.198246127E-11  -6.925355E-01   1.033183697E-11
    33       1.697129   6.297503E-01   1.223161E+15    2.73180E+35   1.259162519E-11  -6.925355E-01   1.085708651E-11
    34       1.725414   6.297503E-01   1.223161E+15    2.73180E+35   1.323175775E-11  -6.925355E-01   1.140903867E-11
    35       1.754171   6.297503E-01   1.223161E+15    2.73180E+35   1.390443335E-11  -6.925355E-01   1.198905095E-11
    36       1.783407   6.297503E-01   1.223161E+15    2.73180E+35   1.461130640E-11  -6.925355E-01   1.259854987E-11
    37       1.813131   6.297503E-01   1.223161E+15    2.73180E+35   1.535411544E-11  -6.925355E-01   1.323903447E-11
    38       1.843349   6.297503E-01   1.223161E+15    2.73180E+35   1.613468737E-11  -6.925355E-01   1.391208000E-11
    39       1.874072   6.297503E-01   1.223161E+15    2.73180E+35   1.695494199E-11  -6.925355E-01   1.461934180E-11
    40       1.905306   6.297503E-01   1.223161E+15    2.73180E+35   1.781689668E-11  -6.925355E-01   1.536255934E-11
    41       1.937061   6.297503E-01   1.223161E+15    2.73180E+35   1.872267139E-11  -6.925355E-01   1.614356055E-11
    42       1.969346   6.297503E-01   1.223161E+15    2.73180E+35   1.967449384E-11  -6.925355E-01   1.696426627E-11
    43       2.002168   6.297503E-01   1.223161E+15    2.73180E+35   2.067470500E-11  -6.925355E-01   1.782669499E-11
    44       2.035538   6.297503E-01   1.223161E+15    2.73180E+35   2.172576486E-11  -6.925355E-01   1.873296783E-11
    45       2.069463   6.297503E-01   1.223161E+15    2.73180E+35   2.283025845E-11  -6.925355E-01   1.968531373E-11
    46       2.103954   6.297503E-01   1.223161E+15    2.73180E+35   2.399090224E-11  -6.925355E-01   2.068607496E-11
    47       2.139020   6.297503E-01   1.223161E+15    2.73180E+35   2.521055080E-11  -6.925355E-01   2.173771285E-11
    48       2.174671   6.297503E-01   1.223161E+15    2.73180E+35   2.649220380E-11  -6.925355E-01   2.284281386E-11
    49       2.210915   6.297503E-01   1.223161E+15    2.73180E+35   2.783901342E-11  -6.925355E-01   2.400409595E-11
    50       2.247764   6.297503E-01   1.223161E+15    2.73180E+35   2.925429210E-11  -6.925355E-01   2.522441525E-11
    51       2.285226   6.297503E-01   1.223161E+15    2.73180E+35   3.074152065E-11  -6.925355E-01   2.650677310E-11
    52       2.323314   6.297503E-01   1.223161E+15    2.73180E+35   3.230435687E-11  -6.925355E-01   2.785432341E-11
    53       2.362035   6.297503E-01   1.223161E+15    2.73180E+35   3.394664449E-11  -6.925355E-01   2.927038042E-11
    54       2.401403   6.297503E-01   1.223161E+15    2.73180E+35   3.567242266E-11  -6.925355E-01   3.075842688E-11
    55       2.441426   6.297503E-01   1.223161E+15    2.73180E+35   3.748593587E-11  -6.925355E-01   3.232212259E-11
    56       2.482117   6.297503E-01   1.223161E+15    2.73180E+35   3.939164439E-11  -6.925355E-01   3.396531339E-11
    57       2.523485   6.297503E-01   1.223161E+15    2.73180E+35   4.139423524E-11  -6.925355E-01   3.569204067E-11
    58       2.565543   6.297503E-01   1.223161E+15    2.73180E+35   4.349863372E-11  -6.925355E-01   3.750655123E-11
    59       2.608302   6.297503E-01   1.223161E+15    2.73180E+35   4.571001551E-11  -6.925355E-01   3.941330780E-11
    60       2.651774   6.297503E-01   1.223161E+15    2.73180E+35   4.803381944E-11  -6.925355E-01   4.141699999E-11
    61       2.695970   6.297503E-01   1.223161E+15    2.73180E+35   5.047576082E-11  -6.925355E-01   4.352255580E-11
    62       2.740903   6.297503E-01   1.223161E+15    2.73180E+35   5.304184550E-11  -6.925355E-01   4.573515376E-11
    63       2.786585   6.297503E-01   1.223161E+15    2.73180E+35   5.573838469E-11  -6.925355E-01   4.806023569E-11
    64       2.833028   6.297503E-01   1.223161E+15    2.73180E+35   5.857201042E-11  -6.925355E-01   5.050352003E-11
    65       2.880245   6.297503E-01   1.223161E+15    2.73180E+35   6.154969188E-11  -6.925355E-01   5.307101597E-11
    66       2.928249   6.297503E-01   1.223161E+15    2.73180E+35   6.467875259E-11  -6.925355E-01   5.576903814E-11
    67       2.977053   6.297503E-01   1.223161E+15    2.73180E+35   6.796688835E-11  -6.925355E-01   5.860422226E-11
    68       3.026671   6.297503E-01   1.223161E+15    2.73180E+35   7.142218620E-11  -6.925355E-01   6.158354134E-11
    69       3.077115   6.297503E-01   1.223161E+15    2.73180E+35   7.505314433E-11  -6.925355E-01   6.471432292E-11
    70       3.128401   6.297503E-01   1.223161E+15    2.73180E+35   7.886869295E-11  -6.925355E-01   6.800426703E-11
    71       3.180541   6.297503E-01   1.223161E+15    2.73180E+35   8.287821625E-11  -6.925355E-01   7.146146518E-11
    72       3.233550   6.297503E-01   1.223161E+15    2.73180E+35   8.709157552E-11  -6.925355E-01   7.509442022E-11
    73       3.287442   6.297503E-01   1.223161E+15    2.73180E+35   9.151913334E-11  -6.925355E-01   7.891206726E-11
    74       3.342233   6.297503E-01   1.223161E+15    2.73180E+35   9.617177915E-11  -6.925355E-01   8.292379568E-11
    75       3.397937   6.297503E-01   1.223161E+15    2.73180E+35   1.010609559E-10  -6.925355E-01   8.713947216E-11
    76       3.454569   6.297503E-01   1.223161E+15    2.73180E+35   1.061986885E-10  -6.925355E-01   9.156946502E-11
