       6    1358     646     791

     EOS file :  /home/forgane/Desktop/NSCool/EOS/APR_EOS_Acc_BSK21_Fe.dat             

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.448721E-01   9.928261E+14    1.45652E+35   0.000000000E+00  -4.710644E-01   0.000000000E+00
     1       1.000000   5.448721E-01   9.928261E+14    1.45652E+35   2.090870185E-12  -4.710644E-01   1.921743181E-12
     2       1.016667   5.448721E-01   9.928261E+14    1.45652E+35   2.197165766E-12  -4.710644E-01   2.019440690E-12
     3       1.033611   5.448721E-01   9.928261E+14    1.45652E+35   2.308865199E-12  -4.710644E-01   2.122104942E-12
     4       1.050838   5.448721E-01   9.928261E+14    1.45652E+35   2.426243202E-12  -4.710644E-01   2.229988435E-12
     5       1.068352   5.448721E-01   9.928261E+14    1.45652E+35   2.549588465E-12  -4.710644E-01   2.343356505E-12
     6       1.086158   5.448721E-01   9.928261E+14    1.45652E+35   2.679204349E-12  -4.710644E-01   2.462487976E-12
     7       1.104260   5.448721E-01   9.928261E+14    1.45652E+35   2.815409641E-12  -4.710644E-01   2.587675849E-12
     8       1.122665   5.448721E-01   9.928261E+14    1.45652E+35   2.958539332E-12  -4.710644E-01   2.719228019E-12
     9       1.141376   5.448721E-01   9.928261E+14    1.45652E+35   3.108945445E-12  -4.710644E-01   2.857468032E-12
    10       1.160399   5.448721E-01   9.928261E+14    1.45652E+35   3.266997899E-12  -4.710644E-01   3.002735887E-12
    11       1.179739   5.448721E-01   9.928261E+14    1.45652E+35   3.433085417E-12  -4.710644E-01   3.155388863E-12
    12       1.199401   5.448721E-01   9.928261E+14    1.45652E+35   3.607616486E-12  -4.710644E-01   3.315802405E-12
    13       1.219391   5.448721E-01   9.928261E+14    1.45652E+35   3.791020359E-12  -4.710644E-01   3.484371045E-12
    14       1.239714   5.448721E-01   9.928261E+14    1.45652E+35   3.983748111E-12  -4.710644E-01   3.661509372E-12
    15       1.260376   5.448721E-01   9.928261E+14    1.45652E+35   4.186273750E-12  -4.710644E-01   3.847653050E-12
    16       1.281383   5.448721E-01   9.928261E+14    1.45652E+35   4.399095379E-12  -4.710644E-01   4.043259893E-12
    17       1.302739   5.448721E-01   9.928261E+14    1.45652E+35   4.622736427E-12  -4.710644E-01   4.248810989E-12
    18       1.324451   5.448721E-01   9.928261E+14    1.45652E+35   4.857746929E-12  -4.710644E-01   4.464811885E-12
    19       1.346525   5.448721E-01   9.928261E+14    1.45652E+35   5.104704886E-12  -4.710644E-01   4.691793826E-12
    20       1.368967   5.448721E-01   9.928261E+14    1.45652E+35   5.364217683E-12  -4.710644E-01   4.930315066E-12
    21       1.391784   5.448721E-01   9.928261E+14    1.45652E+35   5.636923581E-12  -4.710644E-01   5.180962240E-12
    22       1.414980   5.448721E-01   9.928261E+14    1.45652E+35   5.923493291E-12  -4.710644E-01   5.444351805E-12
    23       1.438563   5.448721E-01   9.928261E+14    1.45652E+35   6.224631622E-12  -4.710644E-01   5.721131559E-12
    24       1.462539   5.448721E-01   9.928261E+14    1.45652E+35   6.541079211E-12  -4.710644E-01   6.011982232E-12
    25       1.486915   5.448721E-01   9.928261E+14    1.45652E+35   6.873614351E-12  -4.710644E-01   6.317619161E-12
    26       1.511697   5.448721E-01   9.928261E+14    1.45652E+35   7.223054899E-12  -4.710644E-01   6.638794048E-12
    27       1.536892   5.448721E-01   9.928261E+14    1.45652E+35   7.590260293E-12  -4.710644E-01   6.976296811E-12
    28       1.562506   5.448721E-01   9.928261E+14    1.45652E+35   7.976133660E-12  -4.710644E-01   7.330957527E-12
    29       1.588548   5.448721E-01   9.928261E+14    1.45652E+35   8.381624043E-12  -4.710644E-01   7.703648472E-12
    30       1.615024   5.448721E-01   9.928261E+14    1.45652E+35   8.807728730E-12  -4.710644E-01   8.095286264E-12
    31       1.641941   5.448721E-01   9.928261E+14    1.45652E+35   9.255495710E-12  -4.710644E-01   8.506834123E-12
    32       1.669307   5.448721E-01   9.928261E+14    1.45652E+35   9.726026251E-12  -4.710644E-01   8.939304236E-12
    33       1.697129   5.448721E-01   9.928261E+14    1.45652E+35   1.022047761E-11  -4.710644E-01   9.393760249E-12
    34       1.725414   5.448721E-01   9.928261E+14    1.45652E+35   1.074006586E-11  -4.710644E-01   9.871319878E-12
    35       1.754171   5.448721E-01   9.928261E+14    1.45652E+35   1.128606892E-11  -4.710644E-01   1.037315767E-11
    36       1.783407   5.448721E-01   9.928261E+14    1.45652E+35   1.185982966E-11  -4.710644E-01   1.090050786E-11
    37       1.813131   5.448721E-01   9.928261E+14    1.45652E+35   1.246275923E-11  -4.710644E-01   1.145466747E-11
    38       1.843349   5.448721E-01   9.928261E+14    1.45652E+35   1.309634051E-11  -4.710644E-01   1.203699942E-11
    39       1.874072   5.448721E-01   9.928261E+14    1.45652E+35   1.376213177E-11  -4.710644E-01   1.264893594E-11
    40       1.905306   5.448721E-01   9.928261E+14    1.45652E+35   1.446177049E-11  -4.710644E-01   1.329198207E-11
    41       1.937061   5.448721E-01   9.928261E+14    1.45652E+35   1.519697743E-11  -4.710644E-01   1.396771934E-11
    42       1.969346   5.448721E-01   9.928261E+14    1.45652E+35   1.596956078E-11  -4.710644E-01   1.467780973E-11
    43       2.002168   5.448721E-01   9.928261E+14    1.45652E+35   1.678142070E-11  -4.710644E-01   1.542399966E-11
    44       2.035538   5.448721E-01   9.928261E+14    1.45652E+35   1.763455392E-11  -4.710644E-01   1.620812436E-11
    45       2.069463   5.448721E-01   9.928261E+14    1.45652E+35   1.853105869E-11  -4.710644E-01   1.703211237E-11
    46       2.103954   5.448721E-01   9.928261E+14    1.45652E+35   1.947313993E-11  -4.710644E-01   1.789799025E-11
    47       2.139020   5.448721E-01   9.928261E+14    1.45652E+35   2.046311467E-11  -4.710644E-01   1.880788759E-11
    48       2.174671   5.448721E-01   9.928261E+14    1.45652E+35   2.150341769E-11  -4.710644E-01   1.976404225E-11
    49       2.210915   5.448721E-01   9.928261E+14    1.45652E+35   2.259660761E-11  -4.710644E-01   2.076880587E-11
    50       2.247764   5.448721E-01   9.928261E+14    1.45652E+35   2.374537306E-11  -4.710644E-01   2.182464962E-11
    51       2.285226   5.448721E-01   9.928261E+14    1.45652E+35   2.495253941E-11  -4.710644E-01   2.293417031E-11
    52       2.323314   5.448721E-01   9.928261E+14    1.45652E+35   2.622107563E-11  -4.710644E-01   2.410009677E-11
    53       2.362035   5.448721E-01   9.928261E+14    1.45652E+35   2.755410164E-11  -4.710644E-01   2.532529655E-11
    54       2.401403   5.448721E-01   9.928261E+14    1.45652E+35   2.895489597E-11  -4.710644E-01   2.661278299E-11
    55       2.441426   5.448721E-01   9.928261E+14    1.45652E+35   3.042690382E-11  -4.710644E-01   2.796572261E-11
    56       2.482117   5.448721E-01   9.928261E+14    1.45652E+35   3.197374555E-11  -4.710644E-01   2.938744292E-11
    57       2.523485   5.448721E-01   9.928261E+14    1.45652E+35   3.359922556E-11  -4.710644E-01   3.088144059E-11
    58       2.565543   5.448721E-01   9.928261E+14    1.45652E+35   3.530734165E-11  -4.710644E-01   3.245139005E-11
    59       2.608302   5.448721E-01   9.928261E+14    1.45652E+35   3.710229487E-11  -4.710644E-01   3.410115254E-11
    60       2.651774   5.448721E-01   9.928261E+14    1.45652E+35   3.898849984E-11  -4.710644E-01   3.583478558E-11
    61       2.695970   5.448721E-01   9.928260E+14    1.45652E+35   4.097059563E-11  -4.710644E-01   3.765655299E-11
    62       2.740903   5.448721E-01   9.928260E+14    1.45652E+35   4.305345711E-11  -4.710644E-01   3.957093533E-11
    63       2.786585   5.448721E-01   9.928260E+14    1.45652E+35   4.524220702E-11  -4.710644E-01   4.158264096E-11
    64       2.833028   5.448721E-01   9.928260E+14    1.45652E+35   4.754222850E-11  -4.710644E-01   4.369661759E-11
    65       2.880245   5.448721E-01   9.928260E+14    1.45652E+35   4.995917837E-11  -4.710644E-01   4.591806448E-11
    66       2.928249   5.448721E-01   9.928260E+14    1.45652E+35   5.249900103E-11  -4.710644E-01   4.825244519E-11
    67       2.977053   5.448721E-01   9.928260E+14    1.45652E+35   5.516794308E-11  -4.710644E-01   5.070550105E-11
    68       3.026671   5.448721E-01   9.928260E+14    1.45652E+35   5.797256870E-11  -4.710644E-01   5.328326525E-11
    69       3.077115   5.448721E-01   9.928260E+14    1.45652E+35   6.091977574E-11  -4.710644E-01   5.599207772E-11
    70       3.128401   5.448721E-01   9.928260E+14    1.45652E+35   6.401681276E-11  -4.710644E-01   5.883860068E-11
    71       3.180541   5.448721E-01   9.928260E+14    1.45652E+35   6.727129681E-11  -4.710644E-01   6.182983505E-11
    72       3.233550   5.448721E-01   9.928260E+14    1.45652E+35   7.069123216E-11  -4.710644E-01   6.497313765E-11
    73       3.287442   5.448721E-01   9.928260E+14    1.45652E+35   7.428503004E-11  -4.710644E-01   6.827623934E-11
    74       3.342233   5.448721E-01   9.928260E+14    1.45652E+35   7.806152924E-11  -4.710644E-01   7.174726396E-11
    75       3.397937   5.448721E-01   9.928260E+14    1.45652E+35   8.203001794E-11  -4.710644E-01   7.539474837E-11
    76       3.454569   5.448721E-01   9.928260E+14    1.45652E+35   8.620025648E-11  -4.710644E-01   7.922766343E-11
