       6    1342     629     774

     EOS file :  /home/fortin/Desktop/NSCool/EOS/APR_EOS_Acc_Fe_3.dat                  

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.387651E-01   7.777508E+14    6.95118E+34   0.000000000E+00  -3.101524E-01   0.000000000E+00
     1       1.000000   4.387651E-01   7.777508E+14    6.95118E+34   1.637926391E-12  -3.101524E-01   1.547507970E-12
     2       1.016667   4.387651E-01   7.777508E+14    6.95118E+34   1.721195233E-12  -3.101524E-01   1.626180123E-12
     3       1.033611   4.387651E-01   7.777508E+14    6.95118E+34   1.808697292E-12  -3.101524E-01   1.708851809E-12
     4       1.050838   4.387651E-01   7.777508E+14    6.95118E+34   1.900647779E-12  -3.101524E-01   1.795726354E-12
     5       1.068352   4.387651E-01   7.777508E+14    6.95118E+34   1.997272840E-12  -3.101524E-01   1.887017424E-12
     6       1.086158   4.387651E-01   7.777508E+14    6.95118E+34   2.098810123E-12  -3.101524E-01   1.982949546E-12
     7       1.104260   4.387651E-01   7.777508E+14    6.95118E+34   2.205509354E-12  -3.101524E-01   2.083758662E-12
     8       1.122665   4.387651E-01   7.777508E+14    6.95118E+34   2.317632957E-12  -3.101524E-01   2.189692708E-12
     9       1.141376   4.387651E-01   7.777508E+14    6.95118E+34   2.435456696E-12  -3.101524E-01   2.301012225E-12
    10       1.160399   4.387651E-01   7.777508E+14    6.95118E+34   2.559270353E-12  -3.101524E-01   2.417990999E-12
    11       1.179739   4.387651E-01   7.777508E+14    6.95118E+34   2.689378444E-12  -3.101524E-01   2.540916736E-12
    12       1.199401   4.387651E-01   7.777508E+14    6.95118E+34   2.826100966E-12  -3.101524E-01   2.670091767E-12
    13       1.219391   4.387651E-01   7.777508E+14    6.95118E+34   2.969774182E-12  -3.101524E-01   2.805833793E-12
    14       1.239714   4.387651E-01   7.777508E+14    6.95118E+34   3.120751451E-12  -3.101524E-01   2.948476668E-12
    15       1.260376   4.387651E-01   7.777508E+14    6.95118E+34   3.279404098E-12  -3.101524E-01   3.098371215E-12
    16       1.281383   4.387651E-01   7.777508E+14    6.95118E+34   3.446122321E-12  -3.101524E-01   3.255886096E-12
    17       1.302739   4.387651E-01   7.777508E+14    6.95118E+34   3.621316159E-12  -3.101524E-01   3.421408712E-12
    18       1.324451   4.387651E-01   7.777508E+14    6.95118E+34   3.805416495E-12  -3.101524E-01   3.595346161E-12
    19       1.346525   4.387651E-01   7.777508E+14    6.95118E+34   3.998876117E-12  -3.101524E-01   3.778126235E-12
    20       1.368967   4.387651E-01   7.777508E+14    6.95118E+34   4.202170831E-12  -3.101524E-01   3.970198476E-12
    21       1.391784   4.387651E-01   7.777508E+14    6.95118E+34   4.415800635E-12  -3.101524E-01   4.172035278E-12
    22       1.414980   4.387651E-01   7.777508E+14    6.95118E+34   4.640290942E-12  -3.101524E-01   4.384133052E-12
    23       1.438563   4.387651E-01   7.777508E+14    6.95118E+34   4.876193879E-12  -3.101524E-01   4.607013444E-12
    24       1.462539   4.387651E-01   7.777508E+14    6.95118E+34   5.124089641E-12  -3.101524E-01   4.841224622E-12
    25       1.486915   4.387651E-01   7.777508E+14    6.95118E+34   5.384587917E-12  -3.101524E-01   5.087342618E-12
    26       1.511697   4.387651E-01   7.777508E+14    6.95118E+34   5.658329396E-12  -3.101524E-01   5.345972751E-12
    27       1.536892   4.387651E-01   7.777508E+14    6.95118E+34   5.945987332E-12  -3.101524E-01   5.617751113E-12
    28       1.562506   4.387651E-01   7.777508E+14    6.95118E+34   6.248269212E-12  -3.101524E-01   5.903346133E-12
    29       1.588548   4.387651E-01   7.777508E+14    6.95118E+34   6.565918487E-12  -3.101524E-01   6.203460222E-12
    30       1.615024   4.387651E-01   7.777508E+14    6.95118E+34   6.899716402E-12  -3.101524E-01   6.518831500E-12
    31       1.641941   4.387651E-01   7.777508E+14    6.95118E+34   7.250483924E-12  -3.101524E-01   6.850235610E-12
    32       1.669307   4.387651E-01   7.777508E+14    6.95118E+34   7.619083751E-12  -3.101524E-01   7.198487629E-12
    33       1.697129   4.387651E-01   7.777508E+14    6.95118E+34   8.006422441E-12  -3.101524E-01   7.564444071E-12
    34       1.725414   4.387651E-01   7.777508E+14    6.95118E+34   8.413452641E-12  -3.101524E-01   7.949004993E-12
    35       1.754171   4.387651E-01   7.777508E+14    6.95118E+34   8.841175426E-12  -3.101524E-01   8.353116207E-12
    36       1.783407   4.387651E-01   7.777508E+14    6.95118E+34   9.290642765E-12  -3.101524E-01   8.777771612E-12
    37       1.813131   4.387651E-01   7.777508E+14    6.95118E+34   9.762960107E-12  -3.101524E-01   9.224015632E-12
    38       1.843349   4.387651E-01   7.777508E+14    6.95118E+34   1.025928910E-11  -3.101524E-01   9.692945788E-12
    39       1.874072   4.387651E-01   7.777508E+14    6.95118E+34   1.078085045E-11  -3.101524E-01   1.018571540E-11
    40       1.905306   4.387651E-01   7.777508E+14    6.95118E+34   1.132892691E-11  -3.101524E-01   1.070353641E-11
    41       1.937061   4.387651E-01   7.777508E+14    6.95118E+34   1.190486646E-11  -3.101524E-01   1.124768238E-11
    42       1.969346   4.387651E-01   7.777508E+14    6.95118E+34   1.251008560E-11  -3.101524E-01   1.181949163E-11
    43       2.002168   4.387651E-01   7.777508E+14    6.95118E+34   1.314607285E-11  -3.101524E-01   1.242037049E-11
    44       2.035538   4.387651E-01   7.777508E+14    6.95118E+34   1.381439239E-11  -3.101524E-01   1.305179681E-11
    45       2.069463   4.387651E-01   7.777508E+14    6.95118E+34   1.451668794E-11  -3.101524E-01   1.371532355E-11
    46       2.103954   4.387651E-01   7.777508E+14    6.95118E+34   1.525468675E-11  -3.101524E-01   1.441258264E-11
    47       2.139020   4.387651E-01   7.777508E+14    6.95118E+34   1.603020392E-11  -3.101524E-01   1.514528896E-11
    48       2.174671   4.387651E-01   7.777508E+14    6.95118E+34   1.684514681E-11  -3.101524E-01   1.591524457E-11
    49       2.210915   4.387651E-01   7.777508E+14    6.95118E+34   1.770151972E-11  -3.101524E-01   1.672434316E-11
    50       2.247764   4.387651E-01   7.777508E+14    6.95118E+34   1.860142889E-11  -3.101524E-01   1.757457466E-11
    51       2.285226   4.387651E-01   7.777508E+14    6.95118E+34   1.954708760E-11  -3.101524E-01   1.846803020E-11
    52       2.323314   4.387651E-01   7.777508E+14    6.95118E+34   2.054082166E-11  -3.101524E-01   1.940690720E-11
    53       2.362035   4.387651E-01   7.777508E+14    6.95118E+34   2.158507514E-11  -3.101524E-01   2.039351479E-11
    54       2.401403   4.387651E-01   7.777508E+14    6.95118E+34   2.268241634E-11  -3.101524E-01   2.143027949E-11
    55       2.441426   4.387651E-01   7.777508E+14    6.95118E+34   2.383554412E-11  -3.101524E-01   2.251975120E-11
    56       2.482117   4.387651E-01   7.777508E+14    6.95118E+34   2.504729456E-11  -3.101524E-01   2.366460942E-11
    57       2.523485   4.387651E-01   7.777508E+14    6.95118E+34   2.632064792E-11  -3.101524E-01   2.486766990E-11
    58       2.565543   4.387651E-01   7.777508E+14    6.95118E+34   2.765873596E-11  -3.101524E-01   2.613189151E-11
    59       2.608302   4.387651E-01   7.777508E+14    6.95118E+34   2.906484967E-11  -3.101524E-01   2.746038357E-11
    60       2.651774   4.387651E-01   7.777508E+14    6.95118E+34   3.054244732E-11  -3.101524E-01   2.885641345E-11
    61       2.695970   4.387651E-01   7.777508E+14    6.95118E+34   3.209516302E-11  -3.101524E-01   3.032341464E-11
    62       2.740903   4.387651E-01   7.777508E+14    6.95118E+34   3.372681561E-11  -3.101524E-01   3.186499518E-11
    63       2.786585   4.387651E-01   7.777508E+14    6.95118E+34   3.544141809E-11  -3.101524E-01   3.348494652E-11
    64       2.833028   4.387651E-01   7.777508E+14    6.95118E+34   3.724318745E-11  -3.101524E-01   3.518725287E-11
    65       2.880245   4.387651E-01   7.777508E+14    6.95118E+34   3.913655508E-11  -3.101524E-01   3.697610100E-11
    66       2.928249   4.387651E-01   7.777508E+14    6.95118E+34   4.112617765E-11  -3.101524E-01   3.885589052E-11
    67       2.977053   4.387651E-01   7.777508E+14    6.95118E+34   4.321694857E-11  -3.101524E-01   4.083124469E-11
    68       3.026671   4.387651E-01   7.777508E+14    6.95118E+34   4.541401000E-11  -3.101524E-01   4.290702183E-11
    69       3.077115   4.387651E-01   7.777508E+14    6.95118E+34   4.772276554E-11  -3.101524E-01   4.508832724E-11
    70       3.128401   4.387651E-01   7.777508E+14    6.95118E+34   5.014889349E-11  -3.101524E-01   4.738052575E-11
    71       3.180541   4.387651E-01   7.777508E+14    6.95118E+34   5.269836083E-11  -3.101524E-01   4.978925495E-11
    72       3.233550   4.387651E-01   7.777508E+14    6.95118E+34   5.537743786E-11  -3.101524E-01   5.232043901E-11
    73       3.287442   4.387651E-01   7.777508E+14    6.95118E+34   5.819271369E-11  -3.101524E-01   5.498030330E-11
    74       3.342233   4.387651E-01   7.777508E+14    6.95118E+34   6.115111238E-11  -3.101524E-01   5.777538964E-11
    75       3.397937   4.387651E-01   7.777508E+14    6.95118E+34   6.425991000E-11  -3.101524E-01   6.071257245E-11
    76       3.454569   4.387651E-01   7.777508E+14    6.95118E+34   6.752675252E-11  -3.101524E-01   6.379907563E-11
