       6     120      53      66

     EOS file :  /home/forgane/Desktop/lect3-Page/EOS/APR_EOS_Acc_Fe_3.dat             

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.171697E-01   9.348753E+14    1.21853E+35   0.000000000E+00  -4.267600E-01   0.000000000E+00
     1      10.000000   5.171694E-01   9.348747E+14    1.21853E+35   1.968825250E-09  -4.267598E-01   1.824036548E-09
     2      11.666665   5.171693E-01   9.348745E+14    1.21853E+35   3.126419973E-09  -4.267597E-01   2.896501200E-09
     3      13.611106   5.171691E-01   9.348742E+14    1.21853E+35   4.964635710E-09  -4.267596E-01   4.599533932E-09
     4      15.879620   5.171690E-01   9.348739E+14    1.21853E+35   7.883650307E-09  -4.267595E-01   7.303883781E-09
     5      18.526217   5.171688E-01   9.348734E+14    1.21853E+35   1.251892892E-08  -4.267593E-01   1.159828458E-08
     6      21.613910   5.171684E-01   9.348728E+14    1.21852E+35   1.987956142E-08  -4.267590E-01   1.841761972E-08
     7      25.216214   5.171680E-01   9.348719E+14    1.21852E+35   3.156793371E-08  -4.267587E-01   2.924644051E-08
     8      29.418892   5.171674E-01   9.348707E+14    1.21851E+35   5.012855066E-08  -4.267582E-01   4.644214019E-08
     9      34.322003   5.171667E-01   9.348691E+14    1.21851E+35   7.960193846E-08  -4.267575E-01   7.374813031E-08
    10      40.042278   5.171656E-01   9.348669E+14    1.21850E+35   1.264041880E-07  -4.267566E-01   1.171087198E-07
    11      46.715896   5.171641E-01   9.348639E+14    1.21849E+35   2.007235650E-07  -4.267554E-01   1.859630569E-07
    12      54.501729   5.171622E-01   9.348598E+14    1.21847E+35   3.187381204E-07  -4.267538E-01   2.952997392E-07
    13      63.585112   5.171595E-01   9.348543E+14    1.21845E+35   5.061368377E-07  -4.267515E-01   4.689191965E-07
    14      74.182252   5.171558E-01   9.348467E+14    1.21842E+35   8.037103590E-07  -4.267485E-01   7.446136678E-07
    15      86.545360   5.171509E-01   9.348365E+14    1.21838E+35   1.276227284E-06  -4.267443E-01   1.182391588E-06
    16     100.968632   5.171441E-01   9.348225E+14    1.21833E+35   2.026526015E-06  -4.267386E-01   1.877534963E-06
    17     117.795222   5.171349E-01   9.348034E+14    1.21825E+35   3.217884771E-06  -4.267309E-01   2.981328281E-06
    18     137.425353   5.171223E-01   9.347775E+14    1.21815E+35   5.109528509E-06  -4.267204E-01   4.733962897E-06
    19     160.325758   5.171052E-01   9.347423E+14    1.21801E+35   8.112978446E-06  -4.267061E-01   7.516761272E-06
    20     187.040652   5.170820E-01   9.346943E+14    1.21783E+35   1.288145915E-05  -4.266867E-01   1.193504945E-05
    21     218.204461   5.170504E-01   9.346290E+14    1.21757E+35   2.045171421E-05  -4.266602E-01   1.894963085E-05
    22     254.556577   5.170073E-01   9.345402E+14    1.21722E+35   3.246885983E-05  -4.266242E-01   3.008529253E-05
    23     296.958392   5.169488E-01   9.344193E+14    1.21675E+35   5.154270035E-05  -4.265752E-01   4.776132425E-05
    24     346.412908   5.168691E-01   9.342548E+14    1.21611E+35   8.181193935E-05  -4.265085E-01   7.581511551E-05
    25     404.087198   5.167606E-01   9.340310E+14    1.21524E+35   1.298366646E-04  -4.264179E-01   1.203309008E-04
    26     471.337934   5.166131E-01   9.337265E+14    1.21405E+35   2.060081211E-04  -4.262945E-01   1.909499381E-04
    27     549.740112   5.164125E-01   9.333124E+14    1.21244E+35   3.267713181E-04  -4.261268E-01   3.029384449E-04
    28     641.118893   5.161397E-01   9.327494E+14    1.21025E+35   5.181199149E-04  -4.258989E-01   4.804443334E-04
    29     747.584113   5.157688E-01   9.319842E+14    1.20728E+35   8.210718756E-04  -4.255893E-01   7.616106211E-04
    30     871.566400   5.152651E-01   9.309448E+14    1.20325E+35   1.300206026E-03  -4.251690E-01   1.206570628E-03
    31    1015.852820   5.145811E-01   9.295338E+14    1.19779E+35   2.056879607E-03  -4.245991E-01   1.909877451E-03
    32    1183.618341   5.136534E-01   9.276203E+14    1.19042E+35   3.249499605E-03  -4.238272E-01   3.019673827E-03
    33    1378.446894   5.123965E-01   9.250288E+14    1.18048E+35   5.124200038E-03  -4.227838E-01   4.766931027E-03
    34    1604.331958   5.106967E-01   9.215254E+14    1.16714E+35   8.060396488E-03  -4.213766E-01   7.509352351E-03
    35    1865.640990   5.084008E-01   9.168143E+14    1.14930E+35   1.263663248E-02  -4.194851E-01   1.179582713E-02
    36    2167.016239   5.053109E-01   9.104892E+14    1.12561E+35   1.972189754E-02  -4.169541E-01   1.845788033E-02
    37    2513.190004   5.011713E-01   9.020236E+14    1.09441E+35   3.059445452E-02  -4.135876E-01   2.873337886E-02
    38    2908.657395   4.956613E-01   8.908159E+14    1.05381E+35   4.708114934E-02  -4.091458E-01   4.442053155E-02
    39    3357.128710   4.883740E-01   8.760518E+14    1.00176E+35   7.168651202E-02  -4.033486E-01   6.804112898E-02
    40    3860.781761   4.788210E-01   8.568319E+14    9.36371E+34   1.076453155E-01  -3.958905E-01   1.029590948E-01
    41    4419.178130   4.664623E-01   8.321894E+14    8.56376E+34   1.587713166E-01  -3.864760E-01   1.533344797E-01
    42    5027.943913   4.507278E-01   8.011308E+14    7.61786E+34   2.289238560E-01  -3.748828E-01   2.237201678E-01
    43    5677.440164   4.310913E-01   7.628561E+14    6.54656E+34   3.209370807E-01  -3.610536E-01   3.180743292E-01
    44    6351.780362   4.071787E-01   7.169472E+14    5.39624E+34   4.350445698E-01  -3.452032E-01   4.380748400E-01
    45    7028.928405   3.788952E-01   6.635246E+14    4.23771E+34   5.672867564E-01  -3.279011E-01   5.810604032E-01
    46    7682.660035   3.464979E-01   6.034097E+14    3.15419E+34   7.089201264E-01  -3.100634E-01   7.386574721E-01
    47    8286.584968   3.023074E-01   5.228108E+14    2.22436E+34   8.471662390E-01  -2.928030E-01   8.968087676E-01
    48    8835.385323   2.660485E-01   4.577135E+14    1.48445E+34   9.718387966E-01  -2.767324E-01   1.043088600E+00
    49    9298.685237   2.294065E-01   3.928978E+14    9.43979E+33   1.074285755E+00  -2.630716E-01   1.165648325E+00
    50    9673.933133   1.721859E-01   2.930051E+14    5.82811E+33   1.150161573E+00  -2.520693E-01   1.257750187E+00
    51   10008.155072   1.441363E-01   2.445424E+14    3.45521E+33   1.205184470E+00  -2.424655E-01   1.325292189E+00
    52   10262.941088   1.192453E-01   2.018489E+14    1.99882E+33   1.242145103E+00  -2.353295E-01   1.370891525E+00
    53   10451.736242   9.724909E-02   1.643066E+14    1.13687E+33   1.265636960E+00  -2.301666E-01   1.399957609E+00
    54   10589.366698   7.374508E-02   1.244633E+14    6.48695E+32   1.279690535E+00  -2.264805E-01   1.417369296E+00
    55   10696.326138   5.432144E-02   9.161396E+13    3.74330E+32   1.287936853E+00  -2.236681E-01   1.427586049E+00
    56   10782.269723   3.991678E-02   6.727063E+13    2.15067E+32   1.292898357E+00  -2.214454E-01   1.433730878E+00
    57   10850.881236   2.928269E-02   4.931271E+13    1.23191E+32   1.295847061E+00  -2.196963E-01   1.437381364E+00
    58   10905.369992   2.044487E-02   3.439804E+13    7.14371E+31   1.297548811E+00  -2.183241E-01   1.439487500E+00
    59   10951.251499   1.407983E-02   2.367425E+13    4.15757E+31   1.298550619E+00  -2.171807E-01   1.440727309E+00
    60   10990.470870   9.485745E-03   1.593770E+13    2.44131E+31   1.299136410E+00  -2.162121E-01   1.441451812E+00
    61   11024.995512   6.228464E-03   1.046066E+13    1.44018E+31   1.299483290E+00  -2.153663E-01   1.441881000E+00
    62   11056.277118   3.988288E-03   6.692244E+12    8.60289E+30   1.299686932E+00  -2.146056E-01   1.442132879E+00
    63   11085.697491   2.336465E-03   3.918965E+12    5.18752E+30   1.299808357E+00  -2.138949E-01   1.442283050E+00
    64   11116.194625   1.270296E-03   2.129430E+12    3.20671E+30   1.299879627E+00  -2.131632E-01   1.442371164E+00
    65   11151.124240   6.393491E-04   1.071146E+12    2.09632E+30   1.299920087E+00  -2.123314E-01   1.442421178E+00
    66   11196.857470   3.553786E-04   5.946967E+11    1.31316E+30   1.299949081E+00  -2.112521E-01   1.442457018E+00
    67   11248.978644   2.388691E-04   3.992619E+11    7.72791E+29   1.299969489E+00  -2.100356E-01   1.442482245E+00
    68   11295.218443   1.456199E-04   2.432678E+11    4.58730E+29   1.299981590E+00  -2.089681E-01   1.442497200E+00
    69   11340.737940   9.784629E-05   1.633028E+11    2.69806E+29   1.299989005E+00  -2.079280E-01   1.442506362E+00
    70   11381.036699   6.570494E-05   1.095883E+11    1.58636E+29   1.299993445E+00  -2.070159E-01   1.442511846E+00
    71   11416.668834   4.042203E-05   6.737870E+10    9.40206E+28   1.299996066E+00  -2.062161E-01   1.442515082E+00
    72   11451.289869   2.714048E-05   4.520829E+10    5.52568E+28   1.299997660E+00  -2.054450E-01   1.442517051E+00
    73   11481.852487   1.821780E-05   3.033712E+10    3.24632E+28   1.299998610E+00  -2.047692E-01   1.442518223E+00
    74   11508.793586   1.223589E-05   2.035270E+10    1.90674E+28   1.299999174E+00  -2.041771E-01   1.442518921E+00
    75   11532.522666   8.205654E-06   1.364781E+10    1.11956E+28   1.299999510E+00  -2.036586E-01   1.442519334E+00
    76   11553.410457   5.205662E-06   8.656380E+09    6.82932E+27   1.299999697E+00  -2.032043E-01   1.442519566E+00
