       6    1357     645     790

     EOS file :  /home/fortin/Desktop/NSCool/EOS/APR_EOS_Acc_Fe_MB.dat                 

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.445028E-01   9.920436E+14    1.45315E+35   0.000000000E+00  -4.706637E-01   0.000000000E+00
     1       1.000000   5.445028E-01   9.920436E+14    1.45315E+35   2.089222219E-12  -4.706637E-01   1.920440603E-12
     2       1.016667   5.445028E-01   9.920436E+14    1.45315E+35   2.195434022E-12  -4.706637E-01   2.018071892E-12
     3       1.033611   5.445028E-01   9.920436E+14    1.45315E+35   2.307045415E-12  -4.706637E-01   2.120666556E-12
     4       1.050838   5.445028E-01   9.920436E+14    1.45315E+35   2.424330905E-12  -4.706637E-01   2.228476925E-12
     5       1.068352   5.445028E-01   9.920436E+14    1.45315E+35   2.547578950E-12  -4.706637E-01   2.341768152E-12
     6       1.086158   5.445028E-01   9.920436E+14    1.45315E+35   2.677092675E-12  -4.706637E-01   2.460818875E-12
     7       1.104260   5.445028E-01   9.920436E+14    1.45315E+35   2.813190613E-12  -4.706637E-01   2.585921895E-12
     8       1.122665   5.445028E-01   9.920436E+14    1.45315E+35   2.956207494E-12  -4.706637E-01   2.717384897E-12
     9       1.141376   5.445028E-01   9.920436E+14    1.45315E+35   3.106495061E-12  -4.706637E-01   2.855531210E-12
    10       1.160399   5.445028E-01   9.920436E+14    1.45315E+35   3.264422942E-12  -4.706637E-01   3.000700600E-12
    11       1.179739   5.445028E-01   9.920436E+14    1.45315E+35   3.430379555E-12  -4.706637E-01   3.153250106E-12
    12       1.199401   5.445028E-01   9.920436E+14    1.45315E+35   3.604773063E-12  -4.706637E-01   3.313554919E-12
    13       1.219391   5.445028E-01   9.920436E+14    1.45315E+35   3.788032383E-12  -4.706637E-01   3.482009301E-12
    14       1.239714   5.445028E-01   9.920436E+14    1.45315E+35   3.980608232E-12  -4.706637E-01   3.659027561E-12
    15       1.260376   5.445028E-01   9.920436E+14    1.45315E+35   4.182974246E-12  -4.706637E-01   3.845045069E-12
    16       1.281383   5.445028E-01   9.920436E+14    1.45315E+35   4.395628135E-12  -4.706637E-01   4.040519328E-12
    17       1.302739   5.445028E-01   9.920436E+14    1.45315E+35   4.619092915E-12  -4.706637E-01   4.245931099E-12
    18       1.324451   5.445028E-01   9.920436E+14    1.45315E+35   4.853918188E-12  -4.706637E-01   4.461785587E-12
    19       1.346525   5.445028E-01   9.920436E+14    1.45315E+35   5.100681500E-12  -4.706637E-01   4.688613677E-12
    20       1.368967   5.445028E-01   9.920436E+14    1.45315E+35   5.359989756E-12  -4.706637E-01   4.926973245E-12
    21       1.391784   5.445028E-01   9.920436E+14    1.45315E+35   5.632480715E-12  -4.706637E-01   5.177450528E-12
    22       1.414980   5.445028E-01   9.920436E+14    1.45315E+35   5.918824559E-12  -4.706637E-01   5.440661565E-12
    23       1.438563   5.445028E-01   9.920436E+14    1.45315E+35   6.219725541E-12  -4.706637E-01   5.717253715E-12
    24       1.462539   5.445028E-01   9.920436E+14    1.45315E+35   6.535923715E-12  -4.706637E-01   6.007907246E-12
    25       1.486915   5.445028E-01   9.920436E+14    1.45315E+35   6.868196759E-12  -4.706637E-01   6.313337010E-12
    26       1.511697   5.445028E-01   9.920436E+14    1.45315E+35   7.217361889E-12  -4.706637E-01   6.634294202E-12
    27       1.536892   5.445028E-01   9.920436E+14    1.45315E+35   7.584277861E-12  -4.706637E-01   6.971568202E-12
    28       1.562506   5.445028E-01   9.920436E+14    1.45315E+35   7.969847094E-12  -4.706637E-01   7.325988526E-12
    29       1.588548   5.445028E-01   9.920436E+14    1.45315E+35   8.375017880E-12  -4.706637E-01   7.698426856E-12
    30       1.615024   5.445028E-01   9.920436E+14    1.45315E+35   8.800786723E-12  -4.706637E-01   8.089799191E-12
    31       1.641941   5.445028E-01   9.920436E+14    1.45315E+35   9.248200786E-12  -4.706637E-01   8.501068099E-12
    32       1.669307   5.445028E-01   9.920436E+14    1.45315E+35   9.718360468E-12  -4.706637E-01   8.933245080E-12
    33       1.697129   5.445028E-01   9.920436E+14    1.45315E+35   1.021242211E-11  -4.706637E-01   9.387393057E-12
    34       1.725414   5.445028E-01   9.920436E+14    1.45315E+35   1.073160084E-11  -4.706637E-01   9.864628991E-12
    35       1.754171   5.445028E-01   9.920436E+14    1.45315E+35   1.127717355E-11  -4.706637E-01   1.036612663E-11
    36       1.783407   5.445028E-01   9.920436E+14    1.45315E+35   1.185048207E-11  -4.706637E-01   1.089311938E-11
    37       1.813131   5.445028E-01   9.920436E+14    1.45315E+35   1.245293643E-11  -4.706637E-01   1.144690337E-11
    38       1.843349   5.445028E-01   9.920436E+14    1.45315E+35   1.308601834E-11  -4.706637E-01   1.202884061E-11
    39       1.874072   5.445028E-01   9.920436E+14    1.45315E+35   1.375128484E-11  -4.706637E-01   1.264036236E-11
    40       1.905306   5.445028E-01   9.920436E+14    1.45315E+35   1.445037213E-11  -4.706637E-01   1.328297262E-11
    41       1.937061   5.445028E-01   9.920436E+14    1.45315E+35   1.518499959E-11  -4.706637E-01   1.395825187E-11
    42       1.969346   5.445028E-01   9.920436E+14    1.45315E+35   1.595697402E-11  -4.706637E-01   1.466786095E-11
    43       2.002168   5.445028E-01   9.920436E+14    1.45315E+35   1.676819405E-11  -4.706637E-01   1.541354511E-11
    44       2.035538   5.445028E-01   9.920435E+14    1.45315E+35   1.762065486E-11  -4.706637E-01   1.619713832E-11
    45       2.069463   5.445028E-01   9.920435E+14    1.45315E+35   1.851645303E-11  -4.706637E-01   1.702056782E-11
    46       2.103954   5.445028E-01   9.920435E+14    1.45315E+35   1.945779175E-11  -4.706637E-01   1.788585879E-11
    47       2.139020   5.445028E-01   9.920435E+14    1.45315E+35   2.044698621E-11  -4.706637E-01   1.879513940E-11
    48       2.174671   5.445028E-01   9.920435E+14    1.45315E+35   2.148646930E-11  -4.706637E-01   1.975064597E-11
    49       2.210915   5.445028E-01   9.920435E+14    1.45315E+35   2.257879759E-11  -4.706637E-01   2.075472855E-11
    50       2.247764   5.445028E-01   9.920435E+14    1.45315E+35   2.372665762E-11  -4.706637E-01   2.180985664E-11
    51       2.285226   5.445028E-01   9.920435E+14    1.45315E+35   2.493287251E-11  -4.706637E-01   2.291862528E-11
    52       2.323314   5.445028E-01   9.920435E+14    1.45315E+35   2.620040890E-11  -4.706637E-01   2.408376146E-11
    53       2.362035   5.445028E-01   9.920435E+14    1.45315E+35   2.753238426E-11  -4.706637E-01   2.530813079E-11
    54       2.401403   5.445028E-01   9.920435E+14    1.45315E+35   2.893207453E-11  -4.706637E-01   2.659474456E-11
    55       2.441426   5.445028E-01   9.920435E+14    1.45315E+35   3.040292219E-11  -4.706637E-01   2.794676714E-11
    56       2.482117   5.445028E-01   9.920435E+14    1.45315E+35   3.194854474E-11  -4.706637E-01   2.936752380E-11
    57       2.523485   5.445028E-01   9.920435E+14    1.45315E+35   3.357274358E-11  -4.706637E-01   3.086050882E-11
    58       2.565543   5.445028E-01   9.920435E+14    1.45315E+35   3.527951338E-11  -4.706637E-01   3.242939415E-11
    59       2.608302   5.445028E-01   9.920435E+14    1.45315E+35   3.707305187E-11  -4.706637E-01   3.407803841E-11
    60       2.651774   5.445028E-01   9.920435E+14    1.45315E+35   3.895777020E-11  -4.706637E-01   3.581049638E-11
    61       2.695970   5.445028E-01   9.920435E+14    1.45315E+35   4.093830375E-11  -4.706637E-01   3.763102897E-11
    62       2.740903   5.445028E-01   9.920435E+14    1.45315E+35   4.301952358E-11  -4.706637E-01   3.954411372E-11
    63       2.786585   5.445028E-01   9.920435E+14    1.45315E+35   4.520654837E-11  -4.706637E-01   4.155445580E-11
    64       2.833028   5.445028E-01   9.920435E+14    1.45315E+35   4.750475704E-11  -4.706637E-01   4.366699956E-11
    65       2.880245   5.445028E-01   9.920435E+14    1.45315E+35   4.991980194E-11  -4.706637E-01   4.588694072E-11
    66       2.928249   5.445028E-01   9.920435E+14    1.45315E+35   5.245762278E-11  -4.706637E-01   4.821973917E-11
    67       2.977053   5.445028E-01   9.920435E+14    1.45315E+35   5.512446125E-11  -4.706637E-01   5.067113232E-11
    68       3.026671   5.445028E-01   9.920435E+14    1.45315E+35   5.792687633E-11  -4.706637E-01   5.324714928E-11
    69       3.077115   5.445028E-01   9.920435E+14    1.45315E+35   6.087176047E-11  -4.706637E-01   5.595412569E-11
    70       3.128401   5.445028E-01   9.920435E+14    1.45315E+35   6.396635649E-11  -4.706637E-01   5.879871924E-11
    71       3.180541   5.445028E-01   9.920435E+14    1.45315E+35   6.721827544E-11  -4.706637E-01   6.178792612E-11
    72       3.233550   5.445028E-01   9.920435E+14    1.45315E+35   7.063551531E-11  -4.706637E-01   6.492909816E-11
    73       3.287442   5.445028E-01   9.920435E+14    1.45315E+35   7.422648065E-11  -4.706637E-01   6.822996097E-11
    74       3.342233   5.445028E-01   9.920435E+14    1.45315E+35   7.800000332E-11  -4.706637E-01   7.169863289E-11
    75       3.397937   5.445028E-01   9.920435E+14    1.45315E+35   8.196536417E-11  -4.706637E-01   7.534364499E-11
    76       3.454569   5.445027E-01   9.920435E+14    1.45315E+35   8.613231584E-11  -4.706636E-01   7.917396206E-11
