       6     121      54      67

     EOS file :  /home/forgane/Desktop/Compstar/lect3-Page/EOS/APR_EOS_Acc_Fe_3.dat    

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   6.066023E-01   1.127181E+15    2.10049E+35   0.000000000E+00  -5.730526E-01   0.000000000E+00
     1      10.000000   6.066019E-01   1.127180E+15    2.10049E+35   2.373815713E-09  -5.730523E-01   2.139461950E-09
     2      11.666665   6.066018E-01   1.127180E+15    2.10049E+35   3.769529486E-09  -5.730522E-01   3.397384881E-09
     3      13.611106   6.066017E-01   1.127179E+15    2.10048E+35   5.985869066E-09  -5.730520E-01   5.394918310E-09
     4      15.879620   6.066015E-01   1.127179E+15    2.10048E+35   9.505329479E-09  -5.730518E-01   8.566923967E-09
     5      18.526217   6.066012E-01   1.127178E+15    2.10048E+35   1.509409199E-08  -5.730516E-01   1.360394402E-08
     6      21.613911   6.066009E-01   1.127177E+15    2.10047E+35   2.396881766E-08  -5.730512E-01   2.160252920E-08
     7      25.216214   6.066004E-01   1.127176E+15    2.10047E+35   3.806150534E-08  -5.730507E-01   3.430395143E-08
     8      29.418893   6.065997E-01   1.127175E+15    2.10046E+35   6.044006769E-08  -5.730501E-01   5.447326428E-08
     9      34.322005   6.065987E-01   1.127173E+15    2.10045E+35   9.597617166E-08  -5.730492E-01   8.650122350E-08
    10      40.042280   6.065975E-01   1.127170E+15    2.10043E+35   1.524057040E-07  -5.730480E-01   1.373600851E-07
    11      46.715900   6.065958E-01   1.127166E+15    2.10041E+35   2.420126640E-07  -5.730463E-01   2.181213142E-07
    12      54.501735   6.065934E-01   1.127161E+15    2.10039E+35   3.843029340E-07  -5.730441E-01   3.463655133E-07
    13      63.585122   6.065902E-01   1.127154E+15    2.10035E+35   6.102497198E-07  -5.730410E-01   5.500090036E-07
    14      74.182267   6.065859E-01   1.127144E+15    2.10030E+35   9.690342725E-07  -5.730368E-01   8.733796556E-07
    15      86.545384   6.065800E-01   1.127131E+15    2.10023E+35   1.538747998E-06  -5.730312E-01   1.386863700E-06
    16     100.968671   6.065720E-01   1.127113E+15    2.10013E+35   2.443382897E-06  -5.730234E-01   2.202221524E-06
    17     117.795283   6.065611E-01   1.127088E+15    2.10000E+35   3.879802853E-06  -5.730129E-01   3.496902132E-06
    18     137.425450   6.065462E-01   1.127055E+15    2.09983E+35   6.160553823E-06  -5.729986E-01   5.552639668E-06
    19     160.325912   6.065260E-01   1.127010E+15    2.09959E+35   9.781803288E-06  -5.729791E-01   8.816713142E-06
    20     187.040896   6.064984E-01   1.126948E+15    2.09927E+35   1.553113586E-05  -5.729527E-01   1.399915950E-05
    21     218.204849   6.064610E-01   1.126864E+15    2.09883E+35   2.465853488E-05  -5.729166E-01   2.222700378E-05
    22     254.557194   6.064099E-01   1.126750E+15    2.09822E+35   3.914747630E-05  -5.728675E-01   3.528886711E-05
    23     296.959372   6.063405E-01   1.126594E+15    2.09741E+35   6.214451202E-05  -5.728008E-01   5.602273935E-05
    24     346.414465   6.062461E-01   1.126382E+15    2.09630E+35   9.863948239E-05  -5.727099E-01   8.893033175E-05
    25     404.089672   6.061176E-01   1.126094E+15    2.09478E+35   1.565414627E-04  -5.725863E-01   1.411495913E-04
    26     471.341866   6.059429E-01   1.125703E+15    2.09273E+35   2.483782629E-04  -5.724183E-01   2.239924300E-04
    27     549.746364   6.057051E-01   1.125170E+15    2.08994E+35   3.939756605E-04  -5.721897E-01   3.553723885E-04
    28     641.128838   6.053820E-01   1.124446E+15    2.08614E+35   6.246699817E-04  -5.718792E-01   5.636291303E-04
    29     747.599944   6.049427E-01   1.123462E+15    2.08100E+35   9.899075514E-04  -5.714573E-01   8.935359647E-04
    30     871.591624   6.043460E-01   1.122126E+15    2.07402E+35   1.567531872E-03  -5.708845E-01   1.415698839E-03
    31    1015.893054   6.035360E-01   1.120312E+15    2.06458E+35   2.479708936E-03  -5.701079E-01   2.241180725E-03
    32    1183.682616   6.024376E-01   1.117853E+15    2.05182E+35   3.917345709E-03  -5.690559E-01   3.544083895E-03
    33    1378.549777   6.009499E-01   1.114524E+15    2.03462E+35   6.177032573E-03  -5.676338E-01   5.596052751E-03
    34    1604.497059   5.989405E-01   1.110055E+15    2.01154E+35   9.715900247E-03  -5.657158E-01   8.818212303E-03
    35    1865.900656   5.962327E-01   1.104066E+15    1.98071E+35   1.523092107E-02  -5.631374E-01   1.385759657E-02
    36    2167.421970   5.925923E-01   1.096022E+15    1.93978E+35   2.376855141E-02  -5.596866E-01   2.169634727E-02
    37    2513.830284   5.877194E-01   1.085276E+15    1.88593E+35   3.686792627E-02  -5.550955E-01   3.380074267E-02
    38    2909.677944   5.812343E-01   1.071012E+15    1.81591E+35   5.672801198E-02  -5.490357E-01   5.230929784E-02
    39    3358.795885   5.726689E-01   1.052385E+15    1.72628E+35   8.636600382E-02  -5.411217E-01   8.024068281E-02
    40    3863.484647   5.614780E-01   1.028188E+15    1.61385E+35   1.296801938E-01  -5.309313E-01   1.216556722E-01
    41    4423.574658   5.470520E-01   9.974467E+14    1.47653E+35   1.912854259E-01  -5.180498E-01   1.816570286E-01
    42    5035.007578   5.287489E-01   9.589233E+14    1.31443E+35   2.758825471E-01  -5.021554E-01   2.659705513E-01
    43    5688.667425   5.060264E-01   9.119536E+14    1.13107E+35   3.870291928E-01  -4.831371E-01   3.798780858E-01
    44    6369.202848   4.785067E-01   8.562032E+14    9.34273E+34   5.252687211E-01  -4.612458E-01   5.262386314E-01
    45    7055.096130   4.461750E-01   7.922170E+14    7.35896E+34   6.862430629E-01  -4.372115E-01   7.029531869E-01
    46    7720.199885   4.094511E-01   7.212745E+14    5.49850E+34   8.598478839E-01  -4.122584E-01   9.009043542E-01
    47    8337.476396   3.691877E-01   6.453995E+14    3.88702E+34   1.031708811E+00  -3.879293E-01   1.104255514E+00
    48    8884.041532   3.265527E-01   5.668994E+14    2.60257E+34   1.187012967E+00  -3.657320E-01   1.294223842E+00
    49    9345.957635   2.767642E-01   4.768418E+14    1.67966E+34   1.312229172E+00  -3.467666E-01   1.451751658E+00
    50    9733.615179   2.360426E-01   4.045726E+14    1.02869E+34   1.410590445E+00  -3.309298E-01   1.578014868E+00
    51   10036.756707   1.755381E-01   2.988271E+14    6.17028E+33   1.478870420E+00  -3.187174E-01   1.666906385E+00
    52   10299.077513   1.458570E-01   2.475021E+14    3.57686E+33   1.525739966E+00  -3.083977E-01   1.728546273E+00
    53   10494.187333   1.200145E-01   2.031648E+14    2.03570E+33   1.555815295E+00  -3.009211E-01   1.768255492E+00
    54   10635.943575   9.750898E-02   1.647490E+14    1.14484E+33   1.574262402E+00  -2.956116E-01   1.792660433E+00
    55   10737.745279   7.372494E-02   1.244292E+14    6.48376E+32   1.585011075E+00  -2.918701E-01   1.806891191E+00
    56   10816.032172   5.417221E-02   9.136169E+13    3.72482E+32   1.591192621E+00  -2.890382E-01   1.815072092E+00
    57   10878.501160   3.973907E-02   6.697043E+13    2.13348E+32   1.594859598E+00  -2.868094E-01   1.819922219E+00
    58   10928.097519   2.911762E-02   4.903407E+13    1.21945E+32   1.597014954E+00  -2.850606E-01   1.822771430E+00
    59   10967.313715   2.029535E-02   3.414566E+13    7.06480E+31   1.598247280E+00  -2.836913E-01   1.824399860E+00
    60   11000.268903   1.396449E-02   2.348027E+13    4.10757E+31   1.598968657E+00  -2.825501E-01   1.825353009E+00
    61   11028.369273   9.401756E-03   1.579664E+13    2.41024E+31   1.599388139E+00  -2.815839E-01   1.825906918E+00
    62   11053.054816   6.197171E-03   1.040784E+13    1.42993E+31   1.599633177E+00  -2.807405E-01   1.826230453E+00
    63   11075.422535   3.966603E-03   6.655835E+12    8.53724E+30   1.599778667E+00  -2.799806E-01   1.826422568E+00
    64   11096.422890   2.322751E-03   3.895904E+12    5.14554E+30   1.599865102E+00  -2.792710E-01   1.826536676E+00
    65   11118.158334   1.262372E-03   2.116038E+12    3.17953E+30   1.599915653E+00  -2.785403E-01   1.826603398E+00
    66   11143.014044   6.350586E-04   1.063904E+12    2.07755E+30   1.599944252E+00  -2.777095E-01   1.826641126E+00
    67   11175.498611   3.528224E-04   5.904100E+11    1.30065E+30   1.599964653E+00  -2.766313E-01   1.826668050E+00
    68   11212.428460   2.370188E-04   3.961630E+11    7.64817E+29   1.599978935E+00  -2.754160E-01   1.826686896E+00
    69   11245.095127   1.444218E-04   2.412611E+11    4.53697E+29   1.599987352E+00  -2.743500E-01   1.826698001E+00
    70   11277.170854   9.699188E-05   1.618742E+11    2.66668E+29   1.599992482E+00  -2.733115E-01   1.826704768E+00
    71   11305.496378   6.510240E-05   1.085799E+11    1.56698E+29   1.599995537E+00  -2.724011E-01   1.826708797E+00
    72   11330.486408   4.003552E-05   6.673373E+10    9.28233E+28   1.599997332E+00  -2.716030E-01   1.826711164E+00
    73   11354.719037   2.687095E-05   4.475862E+10    5.45257E+28   1.599998420E+00  -2.708337E-01   1.826712598E+00
    74   11376.070134   1.803124E-05   3.002536E+10    3.20192E+28   1.599999065E+00  -2.701595E-01   1.826713448E+00
    75   11394.859337   1.210673E-05   2.013746E+10    1.87991E+28   1.599999448E+00  -2.695691E-01   1.826713952E+00
