       6    1369     659     801

     EOS file :  /home/forgane/Desktop/NSCool/EOS/BHF_UVIX_EOS_Acc_Fe.dat              

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   7.020379E-01   1.351682E+15    2.82259E+35   0.000000000E+00  -6.517067E-01   0.000000000E+00
     1       1.000000   7.020379E-01   1.351682E+15    2.82259E+35   2.846613068E-12  -6.517067E-01   2.476060972E-12
     2       1.016667   7.020379E-01   1.351682E+15    2.82259E+35   2.991329078E-12  -6.517067E-01   2.601938868E-12
     3       1.033611   7.020379E-01   1.351682E+15    2.82259E+35   3.143402155E-12  -6.517067E-01   2.734216140E-12
     4       1.050838   7.020379E-01   1.351682E+15    2.82259E+35   3.303206317E-12  -6.517067E-01   2.873218120E-12
     5       1.068352   7.020379E-01   1.351682E+15    2.82259E+35   3.471134598E-12  -6.517067E-01   3.019286676E-12
     6       1.086158   7.020379E-01   1.351682E+15    2.82259E+35   3.647600010E-12  -6.517067E-01   3.172781061E-12
     7       1.104260   7.020379E-01   1.351682E+15    2.82259E+35   3.833036564E-12  -6.517067E-01   3.334078787E-12
     8       1.122665   7.020379E-01   1.351682E+15    2.82259E+35   4.027900335E-12  -6.517067E-01   3.503576562E-12
     9       1.141376   7.020379E-01   1.351682E+15    2.82259E+35   4.232670583E-12  -6.517067E-01   3.681691257E-12
    10       1.160399   7.020379E-01   1.351682E+15    2.82259E+35   4.447850933E-12  -6.517067E-01   3.868860941E-12
    11       1.179739   7.020379E-01   1.351682E+15    2.82259E+35   4.673970613E-12  -6.517067E-01   4.065545951E-12
    12       1.199401   7.020379E-01   1.351682E+15    2.82259E+35   4.911585757E-12  -6.517067E-01   4.272230025E-12
    13       1.219391   7.020379E-01   1.351682E+15    2.82259E+35   5.161280771E-12  -6.517067E-01   4.489421497E-12
    14       1.239714   7.020379E-01   1.351682E+15    2.82259E+35   5.423669771E-12  -6.517067E-01   4.717654541E-12
    15       1.260376   7.020379E-01   1.351682E+15    2.82259E+35   5.699398092E-12  -6.517067E-01   4.957490487E-12
    16       1.281383   7.020379E-01   1.351682E+15    2.82259E+35   5.989143880E-12  -6.517067E-01   5.209519204E-12
    17       1.302739   7.020379E-01   1.351682E+15    2.82259E+35   6.293619753E-12  -6.517067E-01   5.474360548E-12
    18       1.324451   7.020379E-01   1.351682E+15    2.82259E+35   6.613574559E-12  -6.517067E-01   5.752665886E-12
    19       1.346525   7.020379E-01   1.351682E+15    2.82259E+35   6.949795214E-12  -6.517067E-01   6.045119700E-12
    20       1.368967   7.020379E-01   1.351682E+15    2.82259E+35   7.303108643E-12  -6.517067E-01   6.352441270E-12
    21       1.391784   7.020379E-01   1.351682E+15    2.82259E+35   7.674383806E-12  -6.517067E-01   6.675386442E-12
    22       1.414980   7.020379E-01   1.351682E+15    2.82259E+35   8.064533842E-12  -6.517067E-01   7.014749489E-12
    23       1.438563   7.020379E-01   1.351682E+15    2.82259E+35   8.474518311E-12  -6.517067E-01   7.371365062E-12
    24       1.462539   7.020379E-01   1.351682E+15    2.82259E+35   8.905345554E-12  -6.517067E-01   7.746110243E-12
    25       1.486915   7.020379E-01   1.351682E+15    2.82259E+35   9.358075175E-12  -6.517067E-01   8.139906706E-12
    26       1.511697   7.020379E-01   1.351682E+15    2.82259E+35   9.833820648E-12  -6.517067E-01   8.553722978E-12
    27       1.536892   7.020379E-01   1.351682E+15    2.82259E+35   1.033375205E-11  -6.517067E-01   8.988576825E-12
    28       1.562506   7.020379E-01   1.351682E+15    2.82259E+35   1.085909895E-11  -6.517067E-01   9.445537757E-12
    29       1.588548   7.020379E-01   1.351682E+15    2.82259E+35   1.141115341E-11  -6.517067E-01   9.925729650E-12
    30       1.615024   7.020379E-01   1.351682E+15    2.82259E+35   1.199127319E-11  -6.517067E-01   1.043033352E-11
    31       1.641941   7.020379E-01   1.351682E+15    2.82259E+35   1.260088508E-11  -6.517067E-01   1.096059042E-11
    32       1.669307   7.020379E-01   1.351682E+15    2.82259E+35   1.324148840E-11  -6.517067E-01   1.151780450E-11
    33       1.697129   7.020379E-01   1.351682E+15    2.82259E+35   1.391465868E-11  -6.517067E-01   1.210334622E-11
    34       1.725414   7.020379E-01   1.351682E+15    2.82259E+35   1.462205157E-11  -6.517067E-01   1.271865567E-11
    35       1.754171   7.020379E-01   1.351682E+15    2.82259E+35   1.536540687E-11  -6.517067E-01   1.336524621E-11
    36       1.783407   7.020379E-01   1.351682E+15    2.82259E+35   1.614655283E-11  -6.517067E-01   1.404470809E-11
    37       1.813131   7.020379E-01   1.351682E+15    2.82259E+35   1.696741067E-11  -6.517067E-01   1.475871242E-11
    38       1.843349   7.020379E-01   1.351682E+15    2.82259E+35   1.782999924E-11  -6.517067E-01   1.550901528E-11
    39       1.874072   7.020379E-01   1.351682E+15    2.82259E+35   1.873644005E-11  -6.517067E-01   1.629746201E-11
    40       1.905306   7.020379E-01   1.351682E+15    2.82259E+35   1.968896247E-11  -6.517067E-01   1.712599176E-11
    41       1.937061   7.020379E-01   1.351682E+15    2.82259E+35   2.068990918E-11  -6.517067E-01   1.799664228E-11
    42       1.969346   7.020379E-01   1.351682E+15    2.82259E+35   2.174174198E-11  -6.517067E-01   1.891155489E-11
    43       2.002168   7.020379E-01   1.351682E+15    2.82259E+35   2.284704782E-11  -6.517067E-01   1.987297979E-11
    44       2.035538   7.020379E-01   1.351682E+15    2.82259E+35   2.400854515E-11  -6.517067E-01   2.088328157E-11
    45       2.069463   7.020379E-01   1.351682E+15    2.82259E+35   2.522909063E-11  -6.517067E-01   2.194494504E-11
    46       2.103954   7.020379E-01   1.351682E+15    2.82259E+35   2.651168615E-11  -6.517067E-01   2.306058130E-11
    47       2.139020   7.020379E-01   1.351682E+15    2.82259E+35   2.785948621E-11  -6.517067E-01   2.423293425E-11
    48       2.174671   7.020379E-01   1.351682E+15    2.82259E+35   2.927580568E-11  -6.517067E-01   2.546488722E-11
    49       2.210915   7.020379E-01   1.351682E+15    2.82259E+35   3.076412793E-11  -6.517067E-01   2.675947017E-11
    50       2.247764   7.020379E-01   1.351682E+15    2.82259E+35   3.232811346E-11  -6.517067E-01   2.811986707E-11
    51       2.285226   7.020379E-01   1.351682E+15    2.82259E+35   3.397160881E-11  -6.517067E-01   2.954942377E-11
    52       2.323314   7.020379E-01   1.351682E+15    2.82259E+35   3.569865611E-11  -6.517067E-01   3.105165622E-11
    53       2.362035   7.020379E-01   1.351682E+15    2.82259E+35   3.751350296E-11  -6.517067E-01   3.263025910E-11
    54       2.401403   7.020379E-01   1.351682E+15    2.82259E+35   3.942061293E-11  -6.517067E-01   3.428911493E-11
    55       2.441426   7.020379E-01   1.351682E+15    2.82259E+35   4.142467647E-11  -6.517067E-01   3.603230361E-11
    56       2.482117   7.020379E-01   1.351682E+15    2.82259E+35   4.353062251E-11  -6.517067E-01   3.786411244E-11
    57       2.523485   7.020379E-01   1.351682E+15    2.82259E+35   4.574363054E-11  -6.517067E-01   3.978904668E-11
    58       2.565543   7.020379E-01   1.351682E+15    2.82259E+35   4.806914338E-11  -6.517067E-01   4.181184066E-11
    59       2.608302   7.020379E-01   1.351682E+15    2.82259E+35   5.051288054E-11  -6.517067E-01   4.393746935E-11
    60       2.651774   7.020379E-01   1.351682E+15    2.82259E+35   5.308085230E-11  -6.517067E-01   4.617116066E-11
    61       2.695970   7.020379E-01   1.351682E+15    2.82259E+35   5.577937449E-11  -6.517067E-01   4.851840827E-11
    62       2.740903   7.020379E-01   1.351682E+15    2.82259E+35   5.861508405E-11  -6.517067E-01   5.098498516E-11
    63       2.786585   7.020379E-01   1.351682E+15    2.82259E+35   6.159495527E-11  -6.517067E-01   5.357695778E-11
    64       2.833028   7.020379E-01   1.351682E+15    2.82259E+35   6.472631706E-11  -6.517067E-01   5.630070099E-11
    65       2.880245   7.020379E-01   1.351682E+15    2.82259E+35   6.801687088E-11  -6.517067E-01   5.916291374E-11
    66       2.928249   7.020379E-01   1.351682E+15    2.82259E+35   7.147470972E-11  -6.517067E-01   6.217063554E-11
    67       2.977053   7.020379E-01   1.351682E+15    2.82259E+35   7.510833801E-11  -6.517067E-01   6.533126376E-11
    68       3.026671   7.020379E-01   1.351682E+15    2.82259E+35   7.892669254E-11  -6.517067E-01   6.865257187E-11
    69       3.077115   7.020379E-01   1.351682E+15    2.82259E+35   8.293916440E-11  -6.517067E-01   7.214272849E-11
    70       3.128401   7.020379E-01   1.351682E+15    2.82259E+35   8.715562211E-11  -6.517067E-01   7.581031753E-11
    71       3.180541   7.020379E-01   1.351682E+15    2.82259E+35   9.158643590E-11  -6.517067E-01   7.966435930E-11
    72       3.233550   7.020378E-01   1.351682E+15    2.82259E+35   9.624250320E-11  -6.517067E-01   8.371433267E-11
    73       3.287442   7.020378E-01   1.351682E+15    2.82259E+35   1.011352754E-10  -6.517067E-01   8.797019840E-11
    74       3.342233   7.020378E-01   1.351682E+15    2.82259E+35   1.062767862E-10  -6.517067E-01   9.244242364E-11
    75       3.397937   7.020378E-01   1.351682E+15    2.82259E+35   1.116796808E-10  -6.517067E-01   9.714200766E-11
    76       3.454569   7.020378E-01   1.351682E+15    2.82259E+35   1.173572475E-10  -6.517067E-01   1.020805089E-10
