       6    1358     648     791

     EOS file :  /home/forgane/Desktop/NSCool/EOS/BHF_UVIX_EOS_Acc_Fe.dat              

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.700000E-01   1.053000E+15    1.54700E+35   0.000000000E+00  -4.870560E-01   0.000000000E+00
     1       1.000000   5.700000E-01   1.053000E+15    1.54700E+35   2.217595173E-12  -4.870560E-01   2.010368323E-12
     2       1.016667   5.700000E-01   1.053000E+15    1.54700E+35   2.330333195E-12  -4.870560E-01   2.112571353E-12
     3       1.033611   5.700000E-01   1.053000E+15    1.54700E+35   2.448802588E-12  -4.870560E-01   2.219970178E-12
     4       1.050838   5.700000E-01   1.053000E+15    1.54700E+35   2.573294724E-12  -4.870560E-01   2.332828940E-12
     5       1.068352   5.700000E-01   1.053000E+15    1.54700E+35   2.704115786E-12  -4.870560E-01   2.451425212E-12
     6       1.086158   5.700000E-01   1.053000E+15    1.54700E+35   2.841587524E-12  -4.870560E-01   2.576050677E-12
     7       1.104260   5.700000E-01   1.053000E+15    1.54700E+35   2.986048046E-12  -4.870560E-01   2.707011846E-12
     8       1.122665   5.700000E-01   1.053000E+15    1.54700E+35   3.137852646E-12  -4.870560E-01   2.844630814E-12
     9       1.141376   5.700000E-01   1.053000E+15    1.54700E+35   3.297374682E-12  -4.870560E-01   2.989246050E-12
    10       1.160399   5.700000E-01   1.053000E+15    1.54700E+35   3.465006494E-12  -4.870560E-01   3.141213231E-12
    11       1.179739   5.700000E-01   1.053000E+15    1.54700E+35   3.641160366E-12  -4.870560E-01   3.300906113E-12
    12       1.199401   5.700000E-01   1.053000E+15    1.54700E+35   3.826269541E-12  -4.870560E-01   3.468717456E-12
    13       1.219391   5.700000E-01   1.053000E+15    1.54700E+35   4.020789290E-12  -4.870560E-01   3.645059985E-12
    14       1.239714   5.700000E-01   1.053000E+15    1.54700E+35   4.225198027E-12  -4.870560E-01   3.830367410E-12
    15       1.260376   5.700000E-01   1.053000E+15    1.54700E+35   4.439998487E-12  -4.870560E-01   4.025095486E-12
    16       1.281383   5.700000E-01   1.053000E+15    1.54700E+35   4.665718965E-12  -4.870560E-01   4.229723141E-12
    17       1.302739   5.700000E-01   1.053000E+15    1.54700E+35   4.902914611E-12  -4.870560E-01   4.444753649E-12
    18       1.324451   5.700000E-01   1.053000E+15    1.54700E+35   5.152168802E-12  -4.870560E-01   4.670715870E-12
    19       1.346525   5.700000E-01   1.053000E+15    1.54700E+35   5.414094567E-12  -4.870560E-01   4.908165550E-12
    20       1.368967   5.700000E-01   1.053000E+15    1.54700E+35   5.689336104E-12  -4.870560E-01   5.157686687E-12
    21       1.391784   5.700000E-01   1.053000E+15    1.54700E+35   5.978570360E-12  -4.870560E-01   5.419892971E-12
    22       1.414980   5.700000E-01   1.053000E+15    1.54700E+35   6.282508696E-12  -4.870560E-01   5.695429288E-12
    23       1.438563   5.700000E-01   1.053000E+15    1.54700E+35   6.601898638E-12  -4.870560E-01   5.984973309E-12
    24       1.462539   5.700000E-01   1.053000E+15    1.54700E+35   6.937525713E-12  -4.870560E-01   6.289237159E-12
    25       1.486915   5.700000E-01   1.053000E+15    1.54700E+35   7.290215385E-12  -4.870560E-01   6.608969163E-12
    26       1.511697   5.700000E-01   1.053000E+15    1.54700E+35   7.660835080E-12  -4.870560E-01   6.944955690E-12
    27       1.536892   5.700000E-01   1.053000E+15    1.54700E+35   8.050296326E-12  -4.870560E-01   7.298023087E-12
    28       1.562506   5.700000E-01   1.053000E+15    1.54700E+35   8.459556987E-12  -4.870560E-01   7.669039711E-12
    29       1.588548   5.700000E-01   1.053000E+15    1.54700E+35   8.889623626E-12  -4.870560E-01   8.058918064E-12
    30       1.615024   5.700000E-01   1.053000E+15    1.54700E+35   9.341553976E-12  -4.870560E-01   8.468617038E-12
    31       1.641941   5.700000E-01   1.053000E+15    1.54700E+35   9.816459543E-12  -4.870560E-01   8.899144272E-12
    32       1.669307   5.700000E-01   1.053000E+15    1.54700E+35   1.031550834E-11  -4.870560E-01   9.351558633E-12
    33       1.697129   5.700000E-01   1.053000E+15    1.54700E+35   1.083992776E-11  -4.870560E-01   9.826972818E-12
    34       1.725414   5.700000E-01   1.053000E+15    1.54700E+35   1.139100760E-11  -4.870560E-01   1.032655609E-11
    35       1.754171   5.700000E-01   1.053000E+15    1.54700E+35   1.197010321E-11  -4.870560E-01   1.085153716E-11
    36       1.783407   5.700000E-01   1.053000E+15    1.54700E+35   1.257863886E-11  -4.870560E-01   1.140320719E-11
    37       1.813131   5.700000E-01   1.053000E+15    1.54700E+35   1.321811122E-11  -4.870560E-01   1.198292301E-11
    38       1.843349   5.700000E-01   1.053000E+15    1.54700E+35   1.389009305E-11  -4.870560E-01   1.259211039E-11
    39       1.874072   5.700000E-01   1.053000E+15    1.54700E+35   1.459623707E-11  -4.870560E-01   1.323226762E-11
    40       1.905306   5.700000E-01   1.053000E+15    1.54700E+35   1.533828001E-11  -4.870560E-01   1.390496914E-11
    41       1.937061   5.700000E-01   1.053000E+15    1.54700E+35   1.611804690E-11  -4.870560E-01   1.461186943E-11
    42       1.969346   5.700000E-01   1.053000E+15    1.54700E+35   1.693745555E-11  -4.870560E-01   1.535470709E-11
    43       2.002168   5.700000E-01   1.053000E+15    1.54700E+35   1.779852126E-11  -4.870560E-01   1.613530910E-11
    44       2.035538   5.700000E-01   1.053000E+15    1.54700E+35   1.870336180E-11  -4.870560E-01   1.695559533E-11
    45       2.069463   5.700000E-01   1.053000E+15    1.54700E+35   1.965420258E-11  -4.870560E-01   1.781758323E-11
    46       2.103954   5.700000E-01   1.053000E+15    1.54700E+35   2.065338216E-11  -4.870560E-01   1.872339284E-11
    47       2.139020   5.700000E-01   1.053000E+15    1.54700E+35   2.170335800E-11  -4.870560E-01   1.967525197E-11
    48       2.174671   5.700000E-01   1.053000E+15    1.54700E+35   2.280671247E-11  -4.870560E-01   2.067550167E-11
    49       2.210915   5.700000E-01   1.053000E+15    1.54700E+35   2.396615922E-11  -4.870560E-01   2.172660202E-11
    50       2.247764   5.700000E-01   1.053000E+15    1.54700E+35   2.518454989E-11  -4.870560E-01   2.283113817E-11
    51       2.285226   5.700000E-01   1.053000E+15    1.54700E+35   2.646488104E-11  -4.870560E-01   2.399182668E-11
    52       2.323314   5.700000E-01   1.053000E+15    1.54700E+35   2.781030162E-11  -4.870560E-01   2.521152223E-11
    53       2.362035   5.700000E-01   1.053000E+15    1.54700E+35   2.922412064E-11  -4.870560E-01   2.649322462E-11
    54       2.401403   5.700000E-01   1.053000E+15    1.54700E+35   3.070981532E-11  -4.870560E-01   2.784008613E-11
    55       2.441426   5.700000E-01   1.053000E+15    1.54700E+35   3.227103969E-11  -4.870560E-01   2.925541934E-11
    56       2.482117   5.700000E-01   1.053000E+15    1.54700E+35   3.391163352E-11  -4.870560E-01   3.074270520E-11
    57       2.523485   5.700000E-01   1.053000E+15    1.54700E+35   3.563563179E-11  -4.870560E-01   3.230560163E-11
    58       2.565543   5.700000E-01   1.053000E+15    1.54700E+35   3.744727461E-11  -4.870560E-01   3.394795253E-11
    59       2.608302   5.700000E-01   1.053000E+15    1.54700E+35   3.935101765E-11  -4.870560E-01   3.567379719E-11
    60       2.651774   5.700000E-01   1.053000E+15    1.54700E+35   4.135154310E-11  -4.870560E-01   3.748738027E-11
    61       2.695970   5.700000E-01   1.053000E+15    1.54700E+35   4.345377117E-11  -4.870560E-01   3.939316221E-11
    62       2.740903   5.700000E-01   1.053000E+15    1.54700E+35   4.566287222E-11  -4.870560E-01   4.139583022E-11
    63       2.786585   5.700000E-01   1.053000E+15    1.54700E+35   4.798427945E-11  -4.870560E-01   4.350030977E-11
    64       2.833028   5.700000E-01   1.053000E+15    1.54700E+35   5.042370229E-11  -4.870560E-01   4.571177677E-11
    65       2.880245   5.700000E-01   1.053000E+15    1.54700E+35   5.298714039E-11  -4.870560E-01   4.803567023E-11
    66       2.928249   5.700000E-01   1.053000E+15    1.54700E+35   5.568089845E-11  -4.870560E-01   5.047770568E-11
    67       2.977053   5.700000E-01   1.053000E+15    1.54700E+35   5.851160165E-11  -4.870560E-01   5.304388923E-11
    68       3.026671   5.700000E-01   1.053000E+15    1.54700E+35   6.148621202E-11  -4.870560E-01   5.574053230E-11
    69       3.077115   5.700000E-01   1.053000E+15    1.54700E+35   6.461204550E-11  -4.870560E-01   5.857426720E-11
    70       3.128401   5.700000E-01   1.053000E+15    1.54700E+35   6.789678995E-11  -4.870560E-01   6.155206338E-11
    71       3.180541   5.700000E-01   1.053000E+15    1.54700E+35   7.134852410E-11  -4.870560E-01   6.468124464E-11
    72       3.233550   5.700000E-01   1.053000E+15    1.54700E+35   7.497573734E-11  -4.870560E-01   6.796950707E-11
    73       3.287442   5.700000E-01   1.053000E+15    1.54700E+35   7.878735068E-11  -4.870560E-01   7.142493803E-11
    74       3.342233   5.700000E-01   1.053000E+15    1.54700E+35   8.279273864E-11  -4.870560E-01   7.505603604E-11
    75       3.397937   5.700000E-01   1.053000E+15    1.54700E+35   8.700175233E-11  -4.870560E-01   7.887173165E-11
    76       3.454569   5.700000E-01   1.053000E+15    1.54700E+35   9.142474365E-11  -4.870560E-01   8.288140941E-11
