       6    1762     668     813

     EOS file :  /home/forgane/Desktop/NSCool/EOS/BHF_UVIX_EOS_Cat_Fe.dat              

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   8.777765E-01   1.798988E+15    5.37554E+35   0.000000000E+00  -8.653850E-01   0.000000000E+00
     1       1.000000   8.777765E-01   1.798988E+15    5.37554E+35   3.788629845E-12  -8.653850E-01   3.095884342E-12
     2       1.016667   8.777765E-01   1.798988E+15    5.37554E+35   3.981236069E-12  -8.653850E-01   3.253272796E-12
     3       1.033611   8.777765E-01   1.798988E+15    5.37554E+35   4.183634000E-12  -8.653850E-01   3.418662559E-12
     4       1.050838   8.777765E-01   1.798988E+15    5.37554E+35   4.396321430E-12  -8.653850E-01   3.592460400E-12
     5       1.068352   8.777765E-01   1.798988E+15    5.37554E+35   4.619821456E-12  -8.653850E-01   3.775093769E-12
     6       1.086158   8.777765E-01   1.798988E+15    5.37554E+35   4.854683767E-12  -8.653850E-01   3.967011846E-12
     7       1.104260   8.777765E-01   1.798988E+15    5.37554E+35   5.101486000E-12  -8.653850E-01   4.168686647E-12
     8       1.122665   8.777765E-01   1.798988E+15    5.37554E+35   5.360835156E-12  -8.653850E-01   4.380614185E-12
     9       1.141376   8.777765E-01   1.798988E+15    5.37554E+35   5.633369094E-12  -8.653850E-01   4.603315686E-12
    10       1.160399   8.777765E-01   1.798988E+15    5.37554E+35   5.919758101E-12  -8.653850E-01   4.837338878E-12
    11       1.179739   8.777765E-01   1.798988E+15    5.37554E+35   6.220706543E-12  -8.653850E-01   5.083259333E-12
    12       1.199401   8.777765E-01   1.798988E+15    5.37554E+35   6.536954590E-12  -8.653850E-01   5.341681882E-12
    13       1.219391   8.777765E-01   1.798988E+15    5.37554E+35   6.869280043E-12  -8.653850E-01   5.613242107E-12
    14       1.239714   8.777765E-01   1.798988E+15    5.37554E+35   7.218500244E-12  -8.653850E-01   5.898607900E-12
    15       1.260376   8.777765E-01   1.798988E+15    5.37554E+35   7.585474089E-12  -8.653850E-01   6.198481109E-12
    16       1.281383   8.777765E-01   1.798988E+15    5.37554E+35   7.971104137E-12  -8.653850E-01   6.513599261E-12
    17       1.302739   8.777765E-01   1.798988E+15    5.37554E+35   8.376338829E-12  -8.653850E-01   6.844737377E-12
    18       1.324451   8.777765E-01   1.798988E+15    5.37554E+35   8.802174828E-12  -8.653850E-01   7.192709881E-12
    19       1.346525   8.777765E-01   1.798988E+15    5.37554E+35   9.249659460E-12  -8.653850E-01   7.558372597E-12
    20       1.368967   8.777765E-01   1.798988E+15    5.37554E+35   9.719893300E-12  -8.653850E-01   7.942624861E-12
    21       1.391784   8.777765E-01   1.798988E+15    5.37554E+35   1.021403287E-11  -8.653850E-01   8.346411726E-12
    22       1.414980   8.777765E-01   1.798988E+15    5.37554E+35   1.073329349E-11  -8.653850E-01   8.770726293E-12
    23       1.438563   8.777765E-01   1.798988E+15    5.37554E+35   1.127895225E-11  -8.653850E-01   9.216612147E-12
    24       1.462539   8.777765E-01   1.798988E+15    5.37554E+35   1.185235120E-11  -8.653850E-01   9.685165929E-12
    25       1.486915   8.777765E-01   1.798988E+15    5.37554E+35   1.245490058E-11  -8.653850E-01   1.017754003E-11
    26       1.511697   8.777765E-01   1.798988E+15    5.37554E+35   1.308808234E-11  -8.653850E-01   1.069494543E-11
    27       1.536892   8.777765E-01   1.798988E+15    5.37554E+35   1.375345378E-11  -8.653850E-01   1.123865466E-11
    28       1.562506   8.777765E-01   1.798988E+15    5.37554E+35   1.445265134E-11  -8.653850E-01   1.181000496E-11
    29       1.588548   8.777765E-01   1.798988E+15    5.37554E+35   1.518739467E-11  -8.653849E-01   1.241040155E-11
    30       1.615024   8.777765E-01   1.798988E+15    5.37554E+35   1.595949086E-11  -8.653849E-01   1.304132107E-11
    31       1.641941   8.777765E-01   1.798988E+15    5.37554E+35   1.677083885E-11  -8.653849E-01   1.370431526E-11
    32       1.669307   8.777765E-01   1.798988E+15    5.37554E+35   1.762343411E-11  -8.653849E-01   1.440101472E-11
    33       1.697129   8.777765E-01   1.798988E+15    5.37554E+35   1.851937357E-11  -8.653849E-01   1.513313296E-11
    34       1.725414   8.777765E-01   1.798988E+15    5.37554E+35   1.946086077E-11  -8.653849E-01   1.590247060E-11
    35       1.754171   8.777765E-01   1.798988E+15    5.37554E+35   2.045021126E-11  -8.653849E-01   1.671091979E-11
    36       1.783407   8.777765E-01   1.798988E+15    5.37554E+35   2.148985831E-11  -8.653849E-01   1.756046890E-11
    37       1.813131   8.777765E-01   1.798988E+15    5.37554E+35   2.258235890E-11  -8.653849E-01   1.845320734E-11
    38       1.843349   8.777765E-01   1.798988E+15    5.37554E+35   2.373039998E-11  -8.653849E-01   1.939133079E-11
    39       1.874072   8.777765E-01   1.798988E+15    5.37554E+35   2.493680513E-11  -8.653849E-01   2.037714652E-11
    40       1.905306   8.777765E-01   1.798988E+15    5.37554E+35   2.620454146E-11  -8.653849E-01   2.141307911E-11
    41       1.937061   8.777765E-01   1.798988E+15    5.37554E+35   2.753672691E-11  -8.653849E-01   2.250167641E-11
    42       1.969346   8.777765E-01   1.798988E+15    5.37554E+35   2.893663796E-11  -8.653849E-01   2.364561576E-11
    43       2.002168   8.777765E-01   1.798988E+15    5.37554E+35   3.040771762E-11  -8.653849E-01   2.484771066E-11
    44       2.035538   8.777765E-01   1.798988E+15    5.37554E+35   3.195358397E-11  -8.653849E-01   2.611091762E-11
    45       2.069463   8.777765E-01   1.798988E+15    5.37554E+35   3.357803901E-11  -8.653849E-01   2.743834343E-11
    46       2.103954   8.777765E-01   1.798988E+15    5.37554E+35   3.528507803E-11  -8.653849E-01   2.883325287E-11
    47       2.139020   8.777765E-01   1.798988E+15    5.37554E+35   3.707889942E-11  -8.653849E-01   3.029907666E-11
    48       2.174671   8.777765E-01   1.798988E+15    5.37554E+35   3.896391503E-11  -8.653849E-01   3.183941993E-11
    49       2.210915   8.777765E-01   1.798988E+15    5.37554E+35   4.094476099E-11  -8.653849E-01   3.345807112E-11
    50       2.247764   8.777765E-01   1.798988E+15    5.37554E+35   4.302630911E-11  -8.653849E-01   3.515901122E-11
    51       2.285226   8.777765E-01   1.798988E+15    5.37554E+35   4.521367888E-11  -8.653849E-01   3.694642365E-11
    52       2.323314   8.777765E-01   1.798988E+15    5.37554E+35   4.751225006E-11  -8.653849E-01   3.882470448E-11
    53       2.362035   8.777765E-01   1.798988E+15    5.37554E+35   4.992767591E-11  -8.653849E-01   4.079847327E-11
    54       2.401403   8.777765E-01   1.798988E+15    5.37554E+35   5.246589707E-11  -8.653849E-01   4.287258443E-11
    55       2.441426   8.777765E-01   1.798988E+15    5.37554E+35   5.513315620E-11  -8.653849E-01   4.505213918E-11
    56       2.482117   8.777765E-01   1.798988E+15    5.37554E+35   5.793601334E-11  -8.653849E-01   4.734249803E-11
    57       2.523485   8.777765E-01   1.798988E+15    5.37554E+35   6.088136201E-11  -8.653849E-01   4.974929405E-11
    58       2.565543   8.777765E-01   1.798988E+15    5.37554E+35   6.397644618E-11  -8.653849E-01   5.227844666E-11
    59       2.608302   8.777765E-01   1.798988E+15    5.37554E+35   6.722887810E-11  -8.653849E-01   5.493617623E-11
    60       2.651774   8.777765E-01   1.798988E+15    5.37554E+35   7.064665701E-11  -8.653849E-01   5.772901934E-11
    61       2.695970   8.777765E-01   1.798988E+15    5.37554E+35   7.423818881E-11  -8.653849E-01   6.066384488E-11
    62       2.740903   8.777765E-01   1.798988E+15    5.37554E+35   7.801230674E-11  -8.653849E-01   6.374787096E-11
    63       2.786585   8.777764E-01   1.798988E+15    5.37554E+35   8.197829310E-11  -8.653849E-01   6.698868262E-11
    64       2.833028   8.777764E-01   1.798988E+15    5.37554E+35   8.614590210E-11  -8.653849E-01   7.039425052E-11
    65       2.880245   8.777764E-01   1.798988E+15    5.37554E+35   9.052538380E-11  -8.653849E-01   7.397295053E-11
    66       2.928249   8.777764E-01   1.798988E+15    5.37554E+35   9.512750939E-11  -8.653849E-01   7.773358433E-11
    67       2.977053   8.777764E-01   1.798988E+15    5.37554E+35   9.996359763E-11  -8.653849E-01   8.168540107E-11
    68       3.026671   8.777764E-01   1.798988E+15    5.37554E+35   1.050455427E-10  -8.653849E-01   8.583812008E-11
    69       3.077115   8.777764E-01   1.798988E+15    5.37554E+35   1.103858434E-10  -8.653849E-01   9.020195484E-11
    70       3.128400   8.777764E-01   1.798988E+15    5.37554E+35   1.159976341E-10  -8.653849E-01   9.478763803E-11
    71       3.180541   8.777764E-01   1.798988E+15    5.37554E+35   1.218947167E-10  -8.653849E-01   9.960644797E-11
    72       3.233550   8.777764E-01   1.798988E+15    5.37554E+35   1.280915950E-10  -8.653849E-01   1.046702363E-10
    73       3.287442   8.777764E-01   1.798988E+15    5.37554E+35   1.346035098E-10  -8.653849E-01   1.099914574E-10
    74       3.342233   8.777764E-01   1.798988E+15    5.37554E+35   1.414464770E-10  -8.653849E-01   1.155831983E-10
    75       3.397937   8.777764E-01   1.798988E+15    5.37554E+35   1.486373266E-10  -8.653849E-01   1.214592120E-10
    76       3.454569   8.777764E-01   1.798988E+15    5.37554E+35   1.561937443E-10  -8.653849E-01   1.276339502E-10
