       6     120      52      66

     EOS file :  BM165S0_EOS_Acc_Fe_new.dat                                            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.681455E-01   6.648214E+14    7.29055E+34   0.000000000E+00  -3.823067E-01   0.000000000E+00
     1      10.000000   3.681452E-01   6.648208E+14    7.29054E+34   1.400097891E-09  -3.823065E-01   1.298433948E-09
     2      11.666665   3.681451E-01   6.648207E+14    7.29054E+34   2.223302648E-09  -3.823065E-01   2.061864246E-09
     3      13.611107   3.681450E-01   6.648204E+14    7.29053E+34   3.530520265E-09  -3.823064E-01   3.274162460E-09
     4      15.879622   3.681448E-01   6.648201E+14    7.29053E+34   5.606331160E-09  -3.823063E-01   5.199245345E-09
     5      18.526222   3.681446E-01   6.648197E+14    7.29052E+34   8.902637083E-09  -3.823062E-01   8.256201820E-09
     6      21.613919   3.681443E-01   6.648191E+14    7.29051E+34   1.413703822E-08  -3.823060E-01   1.311052717E-08
     7      25.216229   3.681439E-01   6.648183E+14    7.29049E+34   2.244905049E-08  -3.823057E-01   2.081899807E-08
     8      29.418918   3.681434E-01   6.648172E+14    7.29047E+34   3.564816869E-08  -3.823054E-01   3.305972552E-08
     9      34.322046   3.681427E-01   6.648157E+14    7.29044E+34   5.660777268E-08  -3.823050E-01   5.249746342E-08
    10      40.042348   3.681416E-01   6.648136E+14    7.29040E+34   8.989061659E-08  -3.823044E-01   8.336368987E-08
    11      46.716010   3.681403E-01   6.648109E+14    7.29034E+34   1.427420409E-07  -3.823036E-01   1.323777222E-07
    12      54.501913   3.681384E-01   6.648071E+14    7.29027E+34   2.266670664E-07  -3.823024E-01   2.102093426E-07
    13      63.585408   3.681359E-01   6.648019E+14    7.29017E+34   3.599345668E-07  -3.823009E-01   3.338012416E-07
    14      74.182727   3.681324E-01   6.647949E+14    7.29003E+34   5.715533818E-07  -3.822988E-01   5.300566406E-07
    15      86.546119   3.681277E-01   6.647854E+14    7.28984E+34   9.075853302E-07  -3.822960E-01   8.416943887E-07
    16     100.969843   3.681213E-01   6.647724E+14    7.28958E+34   1.441168077E-06  -3.822922E-01   1.336545097E-06
    17     117.797152   3.681126E-01   6.647547E+14    7.28923E+34   2.288426838E-06  -3.822870E-01   2.122309725E-06
    18     137.428425   3.681007E-01   6.647307E+14    7.28875E+34   3.633732412E-06  -3.822799E-01   3.369988467E-06
    19     160.330644   3.680846E-01   6.646980E+14    7.28810E+34   5.769790205E-06  -3.822702E-01   5.351069413E-06
    20     187.048420   3.680626E-01   6.646534E+14    7.28722E+34   9.161257338E-06  -3.822570E-01   8.496549135E-06
    21     218.216809   3.680327E-01   6.645928E+14    7.28602E+34   1.454567187E-05  -3.822391E-01   1.349058260E-05
    22     254.576197   3.679920E-01   6.645103E+14    7.28438E+34   2.309352505E-05  -3.822147E-01   2.141903894E-05
    23     296.989561   3.679366E-01   6.643981E+14    7.28216E+34   3.666201935E-05  -3.821815E-01   3.400506373E-05
    24     346.462414   3.678613E-01   6.642454E+14    7.27913E+34   5.819709650E-05  -3.821364E-01   5.398241208E-05
    25     404.165816   3.677588E-01   6.640377E+14    7.27501E+34   9.236983689E-05  -3.820750E-01   8.568670964E-05
    26     471.462763   3.676194E-01   6.637551E+14    7.26941E+34   1.465827122E-04  -3.819914E-01   1.359909500E-04
    27     549.938281   3.674298E-01   6.633709E+14    7.26180E+34   2.325581596E-04  -3.818778E-01   2.157836957E-04
    28     641.433428   3.671720E-01   6.628486E+14    7.25146E+34   3.688411357E-04  -3.817233E-01   3.423006166E-04
    29     748.083226   3.668251E-01   6.621462E+14    7.23741E+34   5.847306451E-04  -3.815133E-01   5.427934164E-04
    30     872.356946   3.663571E-01   6.611994E+14    7.21837E+34   9.264314980E-04  -3.812281E-01   8.602831726E-04
    31    1017.103010   3.657221E-01   6.599149E+14    7.19256E+34   1.466619827E-03  -3.808410E-01   1.362536201E-03
    32    1185.594302   3.648614E-01   6.581741E+14    7.15766E+34   2.319225013E-03  -3.803161E-01   2.155993858E-03
    33    1381.568820   3.636964E-01   6.558188E+14    7.11057E+34   3.662011123E-03  -3.796053E-01   3.407181408E-03
    34    1609.261791   3.621314E-01   6.526572E+14    7.04720E+34   5.770593841E-03  -3.786446E-01   5.375230603E-03
    35    1873.411588   3.600580E-01   6.484750E+14    6.96229E+34   9.068794935E-03  -3.773494E-01   8.460556383E-03
    36    2179.220676   3.573043E-01   6.429274E+14    6.84915E+34   1.420014891E-02  -3.756092E-01   1.327524806E-02
    37    2532.280124   3.537238E-01   6.357292E+14    6.69947E+34   2.212773962E-02  -3.732818E-01   2.074353737E-02
    38    2938.317397   3.492816E-01   6.268232E+14    6.50332E+34   3.426238863E-02  -3.701884E-01   3.223565225E-02
    39    3402.614216   3.441777E-01   6.166265E+14    6.24933E+34   5.261966181E-02  -3.661127E-01   4.973913285E-02
    40    3928.946583   3.377546E-01   6.038550E+14    5.92573E+34   7.992803468E-02  -3.608085E-01   7.600365673E-02
    41    4519.787349   3.294786E-01   5.874987E+14    5.52218E+34   1.196594197E-01  -3.540072E-01   1.146432416E-01
    42    5174.850759   3.189873E-01   5.669238E+14    5.03256E+34   1.758498115E-01  -3.454510E-01   1.700603765E-01
    43    5889.363093   3.059523E-01   5.416028E+14    4.45908E+34   2.524881850E-01  -3.349529E-01   2.469569457E-01
    44    6652.553161   2.901492E-01   5.112558E+14    3.81637E+34   3.523664147E-01  -3.224768E-01   3.492470265E-01
    45    7446.564129   2.715311E-01   4.759792E+14    3.13385E+34   4.754689559E-01  -3.082283E-01   4.783090928E-01
    46    8246.532774   2.502902E-01   4.363287E+14    2.45371E+34   6.174360642E-01  -2.927191E-01   6.309800842E-01
    47    9022.596447   2.268785E-01   3.933106E+14    1.82328E+34   7.690891489E-01  -2.767535E-01   7.983513513E-01
    48    9744.095993   2.019700E-01   3.482587E+14    1.28317E+34   9.179303430E-01  -2.612991E-01   9.667112176E-01
    49   10385.176039   1.763692E-01   3.026342E+14    8.56552E+33   1.051512962E+00  -2.472640E-01   1.121098692E+00
    50   10929.849877   1.509114E-01   2.578520E+14    5.45160E+33   1.161139412E+00  -2.352729E-01   1.250003214E+00
    51   11374.315915   1.264629E-01   2.153090E+14    3.33548E+33   1.243857059E+00  -2.255565E-01   1.348503692E+00
    52   11725.339375   1.044556E-01   1.773411E+14    1.97830E+33   1.301953338E+00  -2.179991E-01   1.418271766E+00
    53   11994.178814   8.532108E-02   1.445478E+14    1.14484E+33   1.340461914E+00  -2.123205E-01   1.464752973E+00
    54   12194.626028   6.580545E-02   1.113210E+14    6.61845E+32   1.364195654E+00  -2.081685E-01   1.493477878E+00
    55   12350.808295   5.025922E-02   8.489826E+13    3.79909E+32   1.378763883E+00  -2.049943E-01   1.511132644E+00
    56   12471.914645   3.825499E-02   6.452543E+13    2.16547E+32   1.387563218E+00  -2.025756E-01   1.521804471E+00
    57   12564.902225   2.905053E-02   4.892729E+13    1.22843E+32   1.392782754E+00  -2.007463E-01   1.528138499E+00
    58   12635.753979   2.038243E-02   3.429264E+13    7.11072E+31   1.395741586E+00  -1.993700E-01   1.531730529E+00
    59   12695.084944   1.404312E-02   2.361251E+13    4.14164E+31   1.397476578E+00  -1.982297E-01   1.533837026E+00
    60   12745.860824   9.464064E-03   1.590129E+13    2.43328E+31   1.398493591E+00  -1.972632E-01   1.535071133E+00
    61   12790.602621   6.215702E-03   1.043912E+13    1.43600E+31   1.399097069E+00  -1.964189E-01   1.535803747E+00
    62   12831.176270   3.980831E-03   6.679723E+12    8.58030E+30   1.399451980E+00  -1.956591E-01   1.536234472E+00
    63   12869.363855   2.332406E-03   3.912139E+12    5.17509E+30   1.399663928E+00  -1.949493E-01   1.536491670E+00
    64   12908.977341   1.268245E-03   2.125964E+12    3.19967E+30   1.399788512E+00  -1.942184E-01   1.536642807E+00
    65   12954.381447   6.383308E-04   1.069427E+12    2.09186E+30   1.399859362E+00  -1.933874E-01   1.536728710E+00
    66   13013.875728   3.548740E-04   5.938505E+11    1.31069E+30   1.399910209E+00  -1.923093E-01   1.536790385E+00
    67   13081.750340   2.385889E-04   3.987927E+11    7.71582E+29   1.399946082E+00  -1.910940E-01   1.536833896E+00
    68   13142.037110   1.454794E-04   2.430325E+11    4.58139E+29   1.399967404E+00  -1.900275E-01   1.536859753E+00
    69   13201.447483   9.777230E-05   1.631791E+11    2.69534E+29   1.399980500E+00  -1.889882E-01   1.536875629E+00
    70   13254.098886   6.566744E-05   1.095255E+11    1.58515E+29   1.399988359E+00  -1.880767E-01   1.536885154E+00
    71   13300.696399   4.040534E-05   6.735084E+10    9.39688E+28   1.399993006E+00  -1.872774E-01   1.536890785E+00
    72   13346.008672   2.713359E-05   4.519681E+10    5.52381E+28   1.399995838E+00  -1.865067E-01   1.536894217E+00
    73   13386.041194   1.821574E-05   3.033368E+10    3.24583E+28   1.399997528E+00  -1.858311E-01   1.536896264E+00
    74   13421.354962   1.223602E-05   2.035291E+10    1.90676E+28   1.399998534E+00  -1.852393E-01   1.536897483E+00
    75   13452.477870   8.206636E-06   1.364944E+10    1.11974E+28   1.399999132E+00  -1.847208E-01   1.536898207E+00
    76   13479.889225   5.206741E-06   8.658177E+09    6.83121E+27   1.399999467E+00  -1.842666E-01   1.536898613E+00
