       6     120      52      67

     EOS file :  /home/forgane/Desktop/NSCool/EOS/BM165S0_EOS_Acc_Fe_new.dat           

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.603873E-01   8.566470E+14    1.11492E+35   0.000000000E+00  -4.687056E-01   0.000000000E+00
     1      10.000000   4.603869E-01   8.566461E+14    1.11492E+35   1.804077599E-09  -4.687054E-01   1.623766756E-09
     2      11.666665   4.603867E-01   8.566458E+14    1.11492E+35   2.864806976E-09  -4.687053E-01   2.578480353E-09
     3      13.611107   4.603865E-01   8.566454E+14    1.11492E+35   4.549204358E-09  -4.687052E-01   4.094529008E-09
     4      15.879621   4.603863E-01   8.566449E+14    1.11492E+35   7.223961594E-09  -4.687051E-01   6.501955584E-09
     5      18.526220   4.603860E-01   8.566442E+14    1.11492E+35   1.147136963E-08  -4.687049E-01   1.032485433E-08
     6      21.613916   4.603855E-01   8.566432E+14    1.11491E+35   1.821608029E-08  -4.687047E-01   1.639546409E-08
     7      25.216225   4.603849E-01   8.566419E+14    1.11491E+35   2.892639649E-08  -4.687043E-01   2.603534191E-08
     8      29.418912   4.603840E-01   8.566401E+14    1.11491E+35   4.593390729E-08  -4.687039E-01   4.134305542E-08
     9      34.322036   4.603829E-01   8.566376E+14    1.11490E+35   7.294104317E-08  -4.687033E-01   6.565101773E-08
    10      40.042332   4.603813E-01   8.566343E+14    1.11489E+35   1.158270260E-07  -4.687025E-01   1.042509026E-07
    11      46.715985   4.603792E-01   8.566297E+14    1.11488E+35   1.839276246E-07  -4.687014E-01   1.655455306E-07
    12      54.501872   4.603763E-01   8.566235E+14    1.11487E+35   2.920672238E-07  -4.686999E-01   2.628779200E-07
    13      63.585344   4.603723E-01   8.566151E+14    1.11485E+35   4.637853813E-07  -4.686978E-01   4.174355352E-07
    14      74.182624   4.603669E-01   8.566036E+14    1.11483E+35   7.364598455E-07  -4.686950E-01   6.628616531E-07
    15      86.545956   4.603596E-01   8.565880E+14    1.11479E+35   1.169440348E-06  -4.686912E-01   1.052577026E-06
    16     100.969584   4.603496E-01   8.565667E+14    1.11475E+35   1.856961803E-06  -4.686860E-01   1.671404209E-06
    17     117.796741   4.603360E-01   8.565377E+14    1.11469E+35   2.948643585E-06  -4.686789E-01   2.654021810E-06
    18     137.427772   4.603175E-01   8.564983E+14    1.11460E+35   4.682027792E-06  -4.686693E-01   4.214258879E-06
    19     160.329608   4.602923E-01   8.564447E+14    1.11449E+35   7.434218912E-06  -4.686562E-01   6.691591121E-06
    20     187.046776   4.602581E-01   8.563717E+14    1.11433E+35   1.180382113E-05  -4.686384E-01   1.062492719E-05
    21     218.214198   4.602115E-01   8.562724E+14    1.11412E+35   1.874091226E-05  -4.686142E-01   1.686967499E-05
    22     254.572053   4.601481E-01   8.561372E+14    1.11382E+35   2.975313634E-05  -4.685812E-01   2.678341489E-05
    23     296.982982   4.600618E-01   8.559533E+14    1.11343E+35   4.723232086E-05  -4.685363E-01   4.252025868E-05
    24     346.451972   4.599443E-01   8.557031E+14    1.11289E+35   7.497172970E-05  -4.684752E-01   6.749723790E-05
    25     404.149243   4.597846E-01   8.553628E+14    1.11216E+35   1.189844158E-04  -4.683921E-01   1.071326612E-04
    26     471.436465   4.595674E-01   8.548999E+14    1.11116E+35   1.887962151E-04  -4.682791E-01   1.700137478E-04
    27     549.896559   4.592721E-01   8.542707E+14    1.10981E+35   2.994849373E-04  -4.681254E-01   2.697403375E-04
    28     641.367260   4.588707E-01   8.534157E+14    1.10797E+35   4.748883635E-04  -4.679165E-01   4.278301557E-04
    29     747.978335   4.583255E-01   8.522545E+14    1.10548E+35   7.526337262E-04  -4.676327E-01   6.782839886E-04
    30     872.191986   4.575693E-01   8.506468E+14    1.10210E+35   1.191977801E-03  -4.672472E-01   1.074724598E-03
    31    1016.849710   4.565428E-01   8.484653E+14    1.09753E+35   1.885986843E-03  -4.667241E-01   1.701534637E-03
    32    1185.207994   4.551529E-01   8.455127E+14    1.09135E+35   2.980220252E-03  -4.660152E-01   2.691043396E-03
    33    1380.979353   4.532747E-01   8.415248E+14    1.08302E+35   4.701097822E-03  -4.650560E-01   4.249838981E-03
    34    1608.360055   4.507430E-01   8.361531E+14    1.07185E+35   7.398198179E-03  -4.637606E-01   6.698462713E-03
    35    1872.036300   4.472951E-01   8.288520E+14    1.05692E+35   1.160564022E-02  -4.620161E-01   1.052999388E-02
    36    2177.183575   4.426461E-01   8.190265E+14    1.03711E+35   1.812812033E-02  -4.596756E-01   1.649424326E-02
    37    2529.352698   4.363890E-01   8.058394E+14    1.01107E+35   2.815541303E-02  -4.565510E-01   2.571399377E-02
    38    2934.348734   4.280476E-01   7.883219E+14    9.77219E+34   4.339999093E-02  -4.524072E-01   3.983394337E-02
    39    3397.930494   4.172828E-01   7.658221E+14    9.33920E+34   6.624293506E-02  -4.469593E-01   6.119650639E-02
    40    3925.102601   4.046417E-01   7.395655E+14    8.79557E+34   9.988888948E-02  -4.398803E-01   9.304958314E-02
    41    4518.102840   3.888085E-01   7.069460E+14    8.13059E+34   1.482273449E-01  -4.308388E-01   1.395218721E-01
    42    5177.840957   3.694376E-01   6.674409E+14    7.34261E+34   2.155829560E-01  -4.195114E-01   2.055314963E-01
    43    5901.530844   3.479945E-01   6.242475E+14    6.44338E+34   3.061402223E-01  -4.056648E-01   2.963502659E-01
    44    6677.869133   3.280861E-01   5.847582E+14    5.45575E+34   4.234751705E-01  -3.892980E-01   4.171024486E-01
    45    7479.614263   3.053397E-01   5.404191E+14    4.43310E+34   5.662868666E-01  -3.708955E-01   5.683301507E-01
    46    8282.701434   2.800651E-01   4.920863E+14    3.43665E+34   7.289705940E-01  -3.511232E-01   7.459704845E-01
    47    9058.219155   2.528749E-01   4.411209E+14    2.53091E+34   9.008142297E-01  -3.309895E-01   9.395287384E-01
    48    9776.508137   2.245647E-01   3.890961E+14    1.76758E+34   1.067874728E+00  -3.116793E-01   1.133280088E+00
    49   10412.596998   1.959942E-01   3.375509E+14    1.17247E+34   1.216696778E+00  -2.942806E-01   1.310316612E+00
    50   10951.082447   1.679752E-01   2.878085E+14    7.42358E+33   1.338159751E+00  -2.795232E-01   1.457757560E+00
    51   11388.450452   1.412271E-01   2.409505E+14    4.52201E+33   1.429414644E+00  -2.676533E-01   1.570172030E+00
    52   11731.848228   1.165661E-01   1.981991E+14    2.67449E+33   1.493158593E+00  -2.584925E-01   1.649469678E+00
    53   11994.663564   9.538794E-02   1.617775E+14    1.54478E+33   1.535276817E+00  -2.516239E-01   1.702175711E+00
    54   12190.133226   7.558842E-02   1.279664E+14    8.80511E+32   1.561641100E+00  -2.466190E-01   1.735272880E+00
    55   12336.453660   5.770349E-02   9.754595E+13    5.04931E+32   1.577303431E+00  -2.429430E-01   1.754962460E+00
    56   12449.778576   4.390775E-02   7.411521E+13    2.87627E+32   1.586735252E+00  -2.401443E-01   1.766827365E+00
    57   12536.721034   3.333671E-02   5.618788E+13    1.63100E+32   1.592317915E+00  -2.380288E-01   1.773853386E+00
    58   12602.930249   2.441677E-02   4.110151E+13    9.25798E+31   1.595561273E+00  -2.364375E-01   1.777937079E+00
    59   12655.016811   1.696107E-02   2.852309E+13    5.39687E+31   1.597373141E+00  -2.351983E-01   1.780218745E+00
    60   12699.242707   1.150893E-02   1.935202E+13    3.15964E+31   1.598440706E+00  -2.341552E-01   1.781562793E+00
    61   12737.755711   7.717690E-03   1.295835E+13    1.85857E+31   1.599070682E+00  -2.332540E-01   1.782355842E+00
    62   12771.857436   4.969775E-03   8.341970E+12    1.10676E+31   1.599439421E+00  -2.324615E-01   1.782819955E+00
    63   12803.623533   3.168768E-03   5.316218E+12    6.61749E+30   1.599660262E+00  -2.317280E-01   1.783097922E+00
    64   12833.620917   1.811009E-03   3.037308E+12    4.13071E+30   1.599785014E+00  -2.310396E-01   1.783254903E+00
    65   12866.588935   8.712219E-04   1.460035E+12    2.64930E+30   1.599860134E+00  -2.302878E-01   1.783349408E+00
    66   12910.845772   4.763536E-04   7.975952E+11    1.66734E+30   1.599910585E+00  -2.292863E-01   1.783412872E+00
    67   12962.270325   2.965571E-04   4.960170E+11    1.03160E+30   1.599943801E+00  -2.281336E-01   1.783454654E+00
    68   13013.959180   1.992558E-04   3.329436E+11    6.06801E+29   1.599966410E+00  -2.269867E-01   1.783483093E+00
    69   13059.734817   1.248846E-04   2.085421E+11    3.73660E+29   1.599979034E+00  -2.259808E-01   1.783498965E+00
    70   13105.147639   8.387780E-05   1.399532E+11    2.19696E+29   1.599987507E+00  -2.249918E-01   1.783509617E+00
    71   13145.300476   5.630518E-05   9.387961E+10    1.29136E+29   1.599992567E+00  -2.241246E-01   1.783515977E+00
    72   13180.770001   3.552180E-05   5.920172E+10    7.91329E+28   1.599995399E+00  -2.233642E-01   1.783519535E+00
    73   13215.477405   2.384787E-05   3.971670E+10    4.64970E+28   1.599997270E+00  -2.226253E-01   1.783521886E+00
    74   13246.086951   1.600997E-05   2.664832E+10    2.73099E+28   1.599998382E+00  -2.219776E-01   1.783523283E+00
    75   13273.045557   1.074892E-05   1.787469E+10    1.60376E+28   1.599999043E+00  -2.214104E-01   1.783524113E+00
