       6     154      55      69

     EOS file :  BM165S0_EOS_Cat_new.dat                                               

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   1.112963E+00   2.606496E+15    1.06921E+36   0.000000000E+00  -1.127884E+00   0.000000000E+00
     1      10.000000   1.112962E+00   2.606491E+15    1.06921E+36   5.489213615E-09  -1.127883E+00   3.925376404E-09
     2      11.666663   1.112962E+00   2.606490E+15    1.06921E+36   8.716659420E-09  -1.127882E+00   6.233347767E-09
     3      13.611103   1.112961E+00   2.606488E+15    1.06921E+36   1.384171422E-08  -1.127882E+00   9.898315968E-09
     4      15.879613   1.112960E+00   2.606485E+15    1.06920E+36   2.198009065E-08  -1.127881E+00   1.571813927E-08
     5      18.526206   1.112959E+00   2.606481E+15    1.06920E+36   3.490348612E-08  -1.127880E+00   2.495978049E-08
     6      21.613891   1.112958E+00   2.606477E+15    1.06920E+36   5.542526248E-08  -1.127879E+00   3.963511558E-08
     7      25.216182   1.112956E+00   2.606470E+15    1.06919E+36   8.801287359E-08  -1.127877E+00   6.293889848E-08
     8      29.418840   1.112953E+00   2.606461E+15    1.06918E+36   1.397603399E-07  -1.127875E+00   9.994421420E-08
     9      34.321919   1.112950E+00   2.606448E+15    1.06917E+36   2.219324204E-07  -1.127872E+00   1.587067913E-07
    10      40.042142   1.112945E+00   2.606431E+15    1.06916E+36   3.524165238E-07  -1.127868E+00   2.520185203E-07
    11      46.715678   1.112938E+00   2.606408E+15    1.06914E+36   5.596158716E-07  -1.127863E+00   4.001917835E-07
    12      54.501379   1.112929E+00   2.606377E+15    1.06911E+36   8.886308727E-07  -1.127855E+00   6.354804530E-07
    13      63.584553   1.112916E+00   2.606334E+15    1.06908E+36   1.411073135E-06  -1.127845E+00   1.009099372E-06
    14      74.181360   1.112899E+00   2.606276E+15    1.06903E+36   2.240645905E-06  -1.127831E+00   1.602369093E-06
    15      86.543938   1.112876E+00   2.606197E+15    1.06896E+36   3.557876906E-06  -1.127811E+00   2.544409114E-06
    16     100.966370   1.112844E+00   2.606090E+15    1.06888E+36   5.649375198E-06  -1.127785E+00   4.040225016E-06
    17     117.791624   1.112801E+00   2.605943E+15    1.06875E+36   8.970130780E-06  -1.127750E+00   6.415290227E-06
    18     137.419632   1.112743E+00   2.605744E+15    1.06859E+36   1.424236015E-05  -1.127701E+00   1.018629789E-05
    19     160.316665   1.112663E+00   2.605473E+15    1.06837E+36   2.261228821E-05  -1.127636E+00   1.617342081E-05
    20     187.026205   1.112555E+00   2.605104E+15    1.06806E+36   3.589872081E-05  -1.127546E+00   2.567837875E-05
    21     218.181515   1.112408E+00   2.604601E+15    1.06764E+36   5.698692427E-05  -1.127425E+00   4.076677638E-05
    22     254.520139   1.112207E+00   2.603918E+15    1.06708E+36   9.045226932E-05  -1.127259E+00   6.471552568E-05
    23     296.900540   1.111935E+00   2.602989E+15    1.06631E+36   1.435466260E-04  -1.127034E+00   1.027213513E-04
    24     346.321081   1.111564E+00   2.601725E+15    1.06527E+36   2.277562599E-04  -1.126727E+00   1.630215920E-04
    25     403.941487   1.111060E+00   2.600008E+15    1.06385E+36   3.612575060E-04  -1.126311E+00   2.586647756E-04
    26     471.106799   1.110375E+00   2.597673E+15    1.06192E+36   5.727771793E-04  -1.125745E+00   4.103023993E-04
    27     549.373641   1.109444E+00   2.594504E+15    1.05931E+36   9.076389511E-04  -1.124976E+00   6.505795919E-04
    28     640.538194   1.108180E+00   2.590202E+15    1.05577E+36   1.437185695E-03  -1.123932E+00   1.031016038E-03
    29     746.664697   1.106461E+00   2.584372E+15    1.05098E+36   2.273360771E-03  -1.122516E+00   1.632735996E-03
    30     870.112283   1.104132E+00   2.576481E+15    1.04452E+36   3.591056750E-03  -1.120598E+00   2.583094271E-03
    31    1013.556389   1.100982E+00   2.565824E+15    1.03582E+36   5.661912139E-03  -1.118005E+00   4.081200712E-03
    32    1179.998790   1.096723E+00   2.551470E+15    1.02417E+36   8.904466034E-03  -1.114508E+00   6.436598445E-03
    33    1372.756879   1.090988E+00   2.532209E+15    1.00863E+36   1.395660680E-02  -1.109805E+00   1.012684904E-02
    34    1595.418711   1.083287E+00   2.506493E+15    9.88063E+35   2.177619127E-02  -1.103508E+00   1.588112311E-02
    35    1851.744300   1.072997E+00   2.472391E+15    9.61110E+35   3.377263891E-02  -1.095124E+00   2.479712225E-02
    36    2145.488534   1.059345E+00   2.427575E+15    9.26229E+35   5.196293756E-02  -1.084046E+00   3.849578997E-02
    37    2480.117499   1.041387E+00   2.369380E+15    8.81837E+35   7.912505211E-02  -1.069550E+00   5.930855412E-02
    38    2858.389331   1.018045E+00   2.294978E+15    8.26542E+35   1.188856080E-01  -1.050824E+00   9.046953325E-02
    39    3281.789611   9.881627E-01   2.201737E+15    7.59525E+35   1.756300805E-01  -1.027027E+00   1.362447119E-01
    40    3749.838746   9.506438E-01   2.087754E+15    6.81023E+35   2.540806651E-01  -9.974023E-01   2.018709258E-01
    41    4259.352776   9.046422E-01   1.952509E+15    5.92798E+35   3.584033581E-01  -9.614524E-01   2.931160529E-01
    42    4803.820732   8.497791E-01   1.797411E+15    4.98385E+35   4.908436380E-01  -9.191506E-01   4.152627781E-01
    43    5373.146083   7.862992E-01   1.625889E+15    4.02867E+35   6.501872266E-01  -8.711462E-01   5.714406754E-01
    44    5954.070170   7.150388E-01   1.442782E+15    3.12066E+35   8.306792972E-01  -8.188721E-01   7.605778524E-01
    45    6531.565922   6.371777E-01   1.253132E+15    2.31321E+35   1.022155864E+00  -7.644518E-01   9.757515015E-01
    46    7091.326867   5.537909E-01   1.060803E+15    1.64295E+35   1.211828401E+00  -7.103413E-01   1.204157256E+00
    47    7623.169347   4.625955E-01   8.613547E+14    1.12508E+35   1.386574661E+00  -6.587607E-01   1.428727882E+00
    48    8129.014536   3.733898E-01   6.754645E+14    7.50223E+34   1.537542332E+00  -6.107208E-01   1.634446929E+00
    49    8613.567993   3.138938E-01   5.569978E+14    4.80384E+34   1.668538493E+00  -5.666219E-01   1.820996480E+00
    50    9040.816426   2.664280E-01   4.663956E+14    2.96091E+34   1.776013858E+00  -5.297142E-01   1.978447560E+00
    51    9395.225576   2.247834E-01   3.894941E+14    1.77279E+34   1.857409224E+00  -5.006785E-01   2.099962228E+00
    52    9677.080594   1.880411E-01   3.233559E+14    1.03585E+34   1.915166436E+00  -4.787081E-01   2.187181914E+00
    53    9893.195275   1.555297E-01   2.659367E+14    5.94149E+33   1.953746228E+00  -4.625885E-01   2.245804511E+00
    54   10054.478162   1.268908E-01   2.160501E+14    3.36630E+33   1.978224150E+00  -4.509982E-01   2.283105180E+00
    55   10172.930098   1.027509E-01   1.744119E+14    1.89113E+33   1.993182357E+00  -4.427397E-01   2.305919354E+00
    56   10258.622742   8.327129E-02   1.410364E+14    1.05353E+33   2.002099004E+00  -4.369061E-01   2.319515951E+00
    57   10319.371487   7.285127E-02   1.231247E+14    5.56501E+32   2.007586010E+00  -4.328447E-01   2.327879702E+00
    58   10356.913236   5.219290E-02   8.806558E+13    3.20742E+32   2.010251813E+00  -4.303662E-01   2.331943393E+00
    59   10387.536451   3.683713E-02   6.208051E+13    1.85251E+32   2.011809825E+00  -4.283632E-01   2.334318323E+00
    60   10412.881009   2.587091E-02   4.355432E+13    1.07241E+32   2.012719610E+00  -4.267187E-01   2.335704661E+00
    61   10433.970504   1.813654E-02   3.050345E+13    6.20525E+31   2.013252932E+00  -4.253596E-01   2.336517147E+00
    62   10451.517832   1.268088E-02   2.130940E+13    3.59291E+31   2.013564352E+00  -4.242354E-01   2.336991481E+00
    63   10466.147458   8.862755E-03   1.488062E+13    2.07969E+31   2.013746268E+00  -4.233028E-01   2.337268538E+00
    64   10478.333785   6.123633E-03   1.027900E+13    1.20810E+31   2.013851788E+00  -4.225291E-01   2.337429207E+00
    65   10488.623915   4.121054E-03   6.913954E+12    7.07209E+30   2.013912786E+00  -4.218781E-01   2.337522054E+00
    66   10497.610052   2.551905E-03   4.279203E+12    4.23490E+30   2.013947509E+00  -4.213113E-01   2.337574904E+00
    67   10506.329311   1.539771E-03   2.580689E+12    2.57463E+30   2.013967919E+00  -4.207629E-01   2.337605967E+00
    68   10515.143227   8.318908E-04   1.392954E+12    1.62420E+30   2.013979653E+00  -4.202100E-01   2.337623829E+00
    69   10525.471279   4.732152E-04   7.917544E+11    1.01744E+30   2.013987179E+00  -4.195641E-01   2.337635290E+00
    70   10536.889266   2.139616E-04   3.575103E+11    6.34331E+29   2.013991956E+00  -4.188525E-01   2.337642564E+00
    71   10552.702535   1.376641E-04   2.298838E+11    3.79238E+29   2.013995157E+00  -4.178712E-01   2.337647441E+00
    72   10567.480403   9.049954E-05   1.510245E+11    2.24181E+29   2.013997119E+00  -4.169585E-01   2.337650429E+00
    73   10580.841667   5.867343E-05   9.779561E+10    1.33288E+29   2.013998277E+00  -4.161369E-01   2.337652193E+00
    74   10593.162385   3.894961E-05   6.490145E+10    7.88290E+28   2.013998975E+00  -4.153823E-01   2.337653257E+00
    75   10604.186275   2.509748E-05   4.178231E+10    4.63722E+28   2.013999394E+00  -4.147096E-01   2.337653894E+00
    76   10614.295250   1.683152E-05   2.801540E+10    2.72143E+28   2.013999643E+00  -4.140947E-01   2.337654273E+00
