       6     122      54      69

     EOS file :  BM165S_EOS_Acc_Fe_new.dat                                             

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   9.771683E-01   2.167977E+15    7.35885E+35   0.000000000E+00  -9.870262E-01   0.000000000E+00
     1      10.000000   9.771673E-01   2.167974E+15    7.35882E+35   4.565704925E-09  -9.870253E-01   3.446432677E-09
     2      11.666664   9.771669E-01   2.167973E+15    7.35882E+35   7.250164265E-09  -9.870251E-01   5.472803918E-09
     3      13.611104   9.771665E-01   2.167971E+15    7.35881E+35   1.151297944E-08  -9.870247E-01   8.690602657E-09
     4      15.879616   9.771659E-01   2.167969E+15    7.35880E+35   1.828215728E-08  -9.870242E-01   1.380033979E-08
     5      18.526210   9.771650E-01   2.167967E+15    7.35878E+35   2.903132906E-08  -9.870236E-01   2.191439563E-08
     6      21.613898   9.771639E-01   2.167963E+15    7.35875E+35   4.610054673E-08  -9.870227E-01   3.479917800E-08
     7      25.216193   9.771624E-01   2.167959E+15    7.35872E+35   7.320568306E-08  -9.870215E-01   5.525965353E-08
     8      29.418858   9.771603E-01   2.167952E+15    7.35868E+35   1.162473133E-07  -9.870198E-01   8.774995439E-08
     9      34.321949   9.771574E-01   2.167944E+15    7.35862E+35   1.845951314E-07  -9.870176E-01   1.393429674E-07
    10      40.042190   9.771535E-01   2.167932E+15    7.35853E+35   2.931274293E-07  -9.870145E-01   2.212699366E-07
    11      46.715755   9.771483E-01   2.167916E+15    7.35842E+35   4.654694442E-07  -9.870103E-01   3.513651475E-07
    12      54.501503   9.771411E-01   2.167894E+15    7.35827E+35   7.391351469E-07  -9.870046E-01   5.579476726E-07
    13      63.584751   9.771313E-01   2.167864E+15    7.35806E+35   1.173690944E-06  -9.869969E-01   8.859847470E-07
    14      74.181676   9.771179E-01   2.167823E+15    7.35778E+35   1.863716599E-06  -9.869863E-01   1.406877480E-06
    15      86.544443   9.770998E-01   2.167768E+15    7.35739E+35   2.959380771E-06  -9.869720E-01   2.233996964E-06
    16     100.967174   9.770751E-01   2.167692E+15    7.35687E+35   4.699101428E-06  -9.869525E-01   3.547348034E-06
    17     117.792903   9.770414E-01   2.167590E+15    7.35615E+35   7.461381741E-06  -9.869259E-01   5.632719273E-06
    18     137.421667   9.769957E-01   2.167450E+15    7.35518E+35   1.184706387E-05  -9.868897E-01   8.943819076E-06
    19     160.319900   9.769334E-01   2.167260E+15    7.35386E+35   1.880981599E-05  -9.868405E-01   1.420087477E-05
    20     187.031345   9.768487E-01   2.167001E+15    7.35206E+35   2.986306241E-05  -9.867735E-01   2.254705182E-05
    21     218.189679   9.767334E-01   2.166649E+15    7.34961E+35   4.740797968E-05  -9.866823E-01   3.579651213E-05
    22     254.533104   9.765765E-01   2.166171E+15    7.34628E+35   7.525304492E-05  -9.865583E-01   5.682761017E-05
    23     296.921124   9.763630E-01   2.165519E+15    7.34175E+35   1.194362606E-04  -9.863896E-01   9.020573855E-05
    24     346.353753   9.760727E-01   2.164634E+15    7.33560E+35   1.895247856E-04  -9.861601E-01   1.431690726E-04
    25     403.993326   9.756778E-01   2.163429E+15    7.32723E+35   3.006657134E-04  -9.858479E-01   2.271867603E-04
    26     471.189019   9.751410E-01   2.161792E+15    7.31586E+35   4.768147074E-04  -9.854236E-01   3.604179067E-04
    27     549.503977   9.744115E-01   2.159567E+15    7.30044E+35   7.558030233E-04  -9.848470E-01   5.715833210E-04
    28     640.744661   9.734208E-01   2.156548E+15    7.27952E+35   1.197255465E-03  -9.840640E-01   9.060428383E-04
    29     746.991466   9.720764E-01   2.152451E+15    7.25120E+35   1.894890138E-03  -9.830014E-01   1.435294212E-03
    30     870.628802   9.702539E-01   2.146902E+15    7.21292E+35   2.995469012E-03  -9.815611E-01   2.271733589E-03
    31    1014.371498   9.677839E-01   2.139406E+15    7.16130E+35   4.727668822E-03  -9.796117E-01   3.591406464E-03
    32    1181.281614   9.644462E-01   2.129292E+15    7.09196E+35   7.445355415E-03  -9.769785E-01   5.668678036E-03
    33    1374.769525   9.599453E-01   2.115698E+15    6.99920E+35   1.169102564E-02  -9.734312E-01   8.928282448E-03
    34    1598.562890   9.538969E-01   2.097502E+15    6.87590E+35   1.828581208E-02  -9.686698E-01   1.402166022E-02
    35    1856.629053   9.458031E-01   2.073292E+15    6.71332E+35   2.845107616E-02  -9.623100E-01   2.193550333E-02
    36    2153.021991   9.350379E-01   2.041325E+15    6.50129E+35   4.396045948E-02  -9.538702E-01   3.413873244E-02
    37    2491.626002   9.208298E-01   1.999548E+15    6.22871E+35   6.730603734E-02  -9.427658E-01   5.276712329E-02
    38    2875.758424   9.022691E-01   1.945668E+15    5.88477E+35   1.018315167E-01  -9.283201E-01   8.082635120E-02
    39    3307.607214   8.783411E-01   1.877338E+15    5.46116E+35   1.517384774E-01  -9.098009E-01   1.223575791E-01
    40    3787.505394   8.479998E-01   1.792492E+15    4.95512E+35   2.218160221E-01  -8.865011E-01   1.824509791E-01
    41    4313.098552   8.102982E-01   1.689772E+15    4.37308E+35   3.167191083E-01  -8.578703E-01   2.669198053E-01
    42    4878.571309   7.645491E-01   1.568980E+15    3.73363E+35   4.397000492E-01  -8.236960E-01   3.814078909E-01
    43    5474.215704   7.104665E-01   1.431348E+15    3.06803E+35   5.909528468E-01  -7.842994E-01   5.297849936E-01
    44    6086.742528   6.482094E-01   1.279383E+15    2.41655E+35   7.661360613E-01  -7.406733E-01   7.120048055E-01
    45    6700.759275   5.784873E-01   1.116689E+15    1.82056E+35   9.560066920E-01  -6.944573E-01   9.222236466E-01
    46    7301.416911   5.001762E-01   9.423032E+14    1.31378E+35   1.147430247E+00  -6.476844E-01   1.147993056E+00
    47    7881.119790   4.127108E-01   7.563046E+14    9.14501E+34   1.326459164E+00  -6.020963E-01   1.372484372E+00
    48    8446.038125   3.419827E-01   6.122541E+14    6.13774E+34   1.487827942E+00  -5.583828E-01   1.586124814E+00
    49    8974.806415   2.930931E-01   5.168800E+14    3.93172E+34   1.630663221E+00  -5.188603E-01   1.782806886E+00
    50    9429.181187   2.495865E-01   4.350255E+14    2.43296E+34   1.746252136E+00  -4.863023E-01   1.946452842E+00
    51    9803.177747   2.108036E-01   3.641570E+14    1.45992E+34   1.833564327E+00  -4.606657E-01   2.072438180E+00
    52   10098.756450   1.761996E-01   3.023340E+14    8.54127E+33   1.895244674E+00  -4.412565E-01   2.162503473E+00
    53   10324.497720   1.453715E-01   2.481752E+14    4.90415E+33   1.936250340E+00  -4.270004E-01   2.222782362E+00
    54   10492.766355   1.182647E-01   2.011314E+14    2.78131E+33   1.962174395E+00  -4.167250E-01   2.261016934E+00
    55   10616.398323   9.576190E-02   1.624185E+14    1.56124E+33   1.978017807E+00  -4.093822E-01   2.284412296E+00
    56   10705.550816   7.528612E-02   1.274518E+14    8.73273E+32   1.987374006E+00  -4.042030E-01   2.298228906E+00
    57   10770.823027   5.714901E-02   9.660358E+13    4.94988E+32   1.992698035E+00  -4.004763E-01   2.306086683E+00
    58   10820.605425   4.332286E-02   7.312264E+13    2.79791E+32   1.995807486E+00  -3.976730E-01   2.310673686E+00
    59   10858.351359   3.281057E-02   5.529635E+13    1.57843E+32   1.997606042E+00  -3.955707E-01   2.313326293E+00
    60   10886.840635   2.386027E-02   4.016197E+13    8.93465E+31   1.998632275E+00  -3.939977E-01   2.314839907E+00
    61   10909.239154   1.640067E-02   2.757291E+13    5.20350E+31   1.999198061E+00  -3.927694E-01   2.315674349E+00
    62   10928.368827   1.121710E-02   1.885815E+13    3.04402E+31   1.999528781E+00  -3.917263E-01   2.316161879E+00
    63   10944.826074   7.424876E-03   1.247406E+13    1.80246E+31   1.999720547E+00  -3.908335E-01   2.316444529E+00
    64   10959.630954   4.834004E-03   8.113848E+12    1.06420E+31   1.999835433E+00  -3.900338E-01   2.316613814E+00
    65   10973.128676   3.079604E-03   5.166685E+12    6.35864E+30   1.999902540E+00  -3.893076E-01   2.316712704E+00
    66   10985.844595   1.758518E-03   2.949135E+12    3.96785E+30   1.999940224E+00  -3.886261E-01   2.316768231E+00
    67   10999.795200   8.451435E-04   1.416577E+12    2.54364E+30   1.999962807E+00  -3.878813E-01   2.316801496E+00
    68   11018.479549   4.749249E-04   7.951963E+11    1.66067E+30   1.999976905E+00  -3.868884E-01   2.316822259E+00
    69   11040.320183   2.954450E-04   4.941570E+11    1.02643E+30   1.999987127E+00  -3.857345E-01   2.316837313E+00
    70   11062.180004   1.983371E-04   3.314070E+11    6.03075E+29   1.999994023E+00  -3.845868E-01   2.316847468E+00
    71   11081.456599   1.242260E-04   2.074394E+11    3.71031E+29   1.999997839E+00  -3.835807E-01   2.316853085E+00
    72   11100.508564   8.337240E-05   1.391086E+11    2.17933E+29   2.000000380E+00  -3.825916E-01   2.316856825E+00
    73   11117.290704   5.593015E-05   9.325337E+10    1.27986E+29   2.000001886E+00  -3.817249E-01   2.316859041E+00
    74   11132.065969   3.526515E-05   5.877297E+10    7.83709E+28   2.000002723E+00  -3.809651E-01   2.316860272E+00
    75   11146.482032   2.366200E-05   3.940700E+10    4.60141E+28   2.000003273E+00  -3.802269E-01   2.316861080E+00
    76   11159.159482   1.587759E-05   2.642719E+10    2.70081E+28   2.000003597E+00  -3.795802E-01   2.316861558E+00
