       1
       6     151      52      67

     EOS file :  BM165S_EOS_Cat_new.dat                                                

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.683275E-01   6.651904E+14    7.29788E+34   0.000000000E+00  -3.824376E-01   0.000000000E+00
     1      10.000000   3.683273E-01   6.651899E+14    7.29787E+34   1.400875048E-09  -3.824375E-01   1.299076065E-09
     2      11.666665   3.683272E-01   6.651897E+14    7.29786E+34   2.224536744E-09  -3.824374E-01   2.062883903E-09
     3      13.611107   3.683271E-01   6.651895E+14    7.29786E+34   3.532479962E-09  -3.824374E-01   3.275781637E-09
     4      15.879622   3.683269E-01   6.651891E+14    7.29785E+34   5.609443083E-09  -3.824373E-01   5.201816535E-09
     5      18.526222   3.683267E-01   6.651887E+14    7.29784E+34   8.907578694E-09  -3.824371E-01   8.260284770E-09
     6      21.613919   3.683264E-01   6.651881E+14    7.29783E+34   1.414488530E-08  -3.824370E-01   1.311701073E-08
     7      25.216229   3.683260E-01   6.651873E+14    7.29781E+34   2.246151133E-08  -3.824367E-01   2.082929370E-08
     8      29.418918   3.683254E-01   6.651862E+14    7.29779E+34   3.566795595E-08  -3.824364E-01   3.307607455E-08
     9      34.322046   3.683247E-01   6.651847E+14    7.29776E+34   5.663919396E-08  -3.824359E-01   5.252342495E-08
    10      40.042348   3.683237E-01   6.651826E+14    7.29772E+34   8.994051207E-08  -3.824353E-01   8.340491558E-08
    11      46.716010   3.683223E-01   6.651799E+14    7.29767E+34   1.428212723E-07  -3.824345E-01   1.324431865E-07
    12      54.501913   3.683205E-01   6.651761E+14    7.29759E+34   2.267928812E-07  -3.824334E-01   2.103132965E-07
    13      63.585408   3.683179E-01   6.651709E+14    7.29749E+34   3.601343525E-07  -3.824319E-01   3.339663139E-07
    14      74.182727   3.683145E-01   6.651639E+14    7.29735E+34   5.718706264E-07  -3.824298E-01   5.303187639E-07
    15      86.546118   3.683098E-01   6.651544E+14    7.29716E+34   9.080890860E-07  -3.824270E-01   8.421106192E-07
    16     100.969842   3.683033E-01   6.651414E+14    7.29690E+34   1.441967986E-06  -3.824231E-01   1.337206030E-06
    17     117.797151   3.682946E-01   6.651237E+14    7.29655E+34   2.289696986E-06  -3.824179E-01   2.123359208E-06
    18     137.428423   3.682827E-01   6.650996E+14    7.29607E+34   3.635749190E-06  -3.824108E-01   3.371654890E-06
    19     160.330642   3.682666E-01   6.650669E+14    7.29542E+34   5.772992406E-06  -3.824011E-01   5.353715376E-06
    20     187.048416   3.682446E-01   6.650223E+14    7.29454E+34   9.166341521E-06  -3.823880E-01   8.500750276E-06
    21     218.216802   3.682147E-01   6.649617E+14    7.29334E+34   1.455374365E-05  -3.823700E-01   1.349725267E-05
    22     254.576187   3.681739E-01   6.648791E+14    7.29170E+34   2.310633904E-05  -3.823456E-01   2.142962819E-05
    23     296.989544   3.681185E-01   6.647668E+14    7.28947E+34   3.668235948E-05  -3.823124E-01   3.402187352E-05
    24     346.462387   3.680431E-01   6.646140E+14    7.28644E+34   5.822937859E-05  -3.822672E-01   5.400909341E-05
    25     404.165774   3.679406E-01   6.644061E+14    7.28231E+34   9.242106234E-05  -3.822058E-01   8.572905271E-05
    26     471.462697   3.678010E-01   6.641233E+14    7.27671E+34   1.466639757E-04  -3.821222E-01   1.360581333E-04
    27     549.938175   3.676113E-01   6.637387E+14    7.26908E+34   2.326870293E-04  -3.820085E-01   2.158902596E-04
    28     641.433261   3.673533E-01   6.632160E+14    7.25873E+34   3.690454010E-04  -3.818538E-01   3.424695758E-04
    29     748.082961   3.670032E-01   6.625066E+14    7.24467E+34   5.850536484E-04  -3.816437E-01   5.430607297E-04
    30     872.357610   3.665349E-01   6.615590E+14    7.22560E+34   9.269431506E-04  -3.813583E-01   8.607073635E-04
    31    1017.104405   3.658994E-01   6.602735E+14    7.19976E+34   1.467429065E-03  -3.809709E-01   1.363208125E-03
    32    1185.596240   3.650380E-01   6.585313E+14    7.16482E+34   2.320502568E-03  -3.804457E-01   2.157056211E-03
    33    1381.571078   3.638722E-01   6.561741E+14    7.11766E+34   3.664023306E-03  -3.797344E-01   3.408857423E-03
    34    1609.264060   3.623021E-01   6.530016E+14    7.05422E+34   5.773748276E-03  -3.787731E-01   5.377863582E-03
    35    1873.416497   3.602272E-01   6.488162E+14    6.96920E+34   9.073734109E-03  -3.774770E-01   8.464695892E-03
    36    2179.227197   3.574663E-01   6.432535E+14    6.85592E+34   1.420782169E-02  -3.757357E-01   1.328170700E-02
    37    2532.292476   3.538761E-01   6.360348E+14    6.70605E+34   2.213958078E-02  -3.734067E-01   2.075357462E-02
    38    2938.342214   3.494174E-01   6.270951E+14    6.50967E+34   3.428048010E-02  -3.703112E-01   3.225113873E-02
    39    3402.666698   3.442962E-01   6.168625E+14    6.25538E+34   5.264649532E-02  -3.662326E-01   4.976243932E-02
    40    3929.039570   3.378691E-01   6.040823E+14    5.93142E+34   7.996842017E-02  -3.609248E-01   7.603936216E-02
    41    4519.915524   3.295881E-01   5.877141E+14    5.52743E+34   1.197190090E-01  -3.541188E-01   1.146969280E-01
    42    5175.010829   3.190910E-01   5.671263E+14    5.03729E+34   1.759358254E-01  -3.455571E-01   1.701395484E-01
    43    5889.551419   3.060494E-01   5.417905E+14    4.46321E+34   2.526090482E-01  -3.350524E-01   2.470709707E-01
    44    6652.765999   2.902388E-01   5.114268E+14    3.81986E+34   3.525309025E-01  -3.225685E-01   3.494066712E-01
    45    7446.797933   2.716128E-01   4.761327E+14    3.13666E+34   4.756849149E-01  -3.083114E-01   4.785254548E-01
    46    8246.783276   2.503635E-01   4.364647E+14    2.45588E+34   6.177087315E-01  -2.927930E-01   6.312626338E-01
    47    9022.859428   2.269438E-01   3.934299E+14    1.82487E+34   7.694198407E-01  -2.768181E-01   7.987057686E-01
    48    9744.366758   2.020277E-01   3.483624E+14    1.28428E+34   9.183157602E-01  -2.613548E-01   9.671374335E-01
    49   10385.450376   1.764201E-01   3.027242E+14    8.57280E+33   1.051946067E+00  -2.473118E-01   1.121590705E+00
    50   10930.122829   1.509561E-01   2.579301E+14    5.45619E+33   1.161610752E+00  -2.353140E-01   1.250550162E+00
    51   11374.582440   1.265015E-01   2.153760E+14    3.33825E+33   1.244356627E+00  -2.255924E-01   1.349092458E+00
    52   11725.595649   1.044872E-01   1.773954E+14    1.97995E+33   1.302471852E+00  -2.180311E-01   1.418889371E+00
    53   11994.428035   8.534749E-02   1.445930E+14    1.14578E+33   1.340992971E+00  -2.123496E-01   1.465389887E+00
    54   12194.868340   7.813990E-02   1.321086E+14    6.24825E+32   1.366601273E+00  -2.081933E-01   1.496397614E+00
    55   12319.176656   5.641615E-02   9.522799E+13    3.64748E+32   1.379954680E+00  -2.056543E-01   1.512601294E+00
    56   12422.211409   4.019500E-02   6.775676E+13    2.12013E+32   1.388058274E+00  -2.035779E-01   1.522446403E+00
    57   12508.061301   2.833588E-02   4.771689E+13    1.23452E+32   1.392896103E+00  -2.018705E-01   1.528326084E+00
    58   12580.241540   1.994074E-02   3.354553E+13    7.17223E+31   1.395795245E+00  -2.004526E-01   1.531850075E+00
    59   12640.746100   1.396995E-02   2.348105E+13    4.16536E+31   1.397518222E+00  -1.992771E-01   1.533944497E+00
    60   12691.551814   9.779811E-03   1.642409E+13    2.41638E+31   1.398539650E+00  -1.982996E-01   1.535186146E+00
    61   12734.116638   6.781981E-03   1.138489E+13    1.40365E+31   1.399140737E+00  -1.974876E-01   1.535916790E+00
    62   12770.089402   4.599440E-03   7.717742E+12    8.18556E+30   1.399492794E+00  -1.968063E-01   1.536344579E+00
    63   12801.256641   2.909636E-03   4.879687E+12    4.82938E+30   1.399697112E+00  -1.962196E-01   1.536592837E+00
    64   12830.517269   1.769171E-03   2.965614E+12    2.93456E+30   1.399813676E+00  -1.956721E-01   1.536734463E+00
    65   12859.938561   9.731783E-04   1.629959E+12    1.82865E+30   1.399882392E+00  -1.951245E-01   1.536817961E+00
    66   12893.480109   5.411984E-04   9.055594E+11    1.14873E+30   1.399925093E+00  -1.945041E-01   1.536869868E+00
    67   12931.644269   2.426608E-04   4.054654E+11    7.21734E+29   1.399952233E+00  -1.938029E-01   1.536902861E+00
    68   12985.558992   1.543510E-04   2.577422E+11    4.35506E+29   1.399970712E+00  -1.928211E-01   1.536925335E+00
    69   13037.272136   1.021710E-04   1.705496E+11    2.58716E+29   1.399982337E+00  -1.918887E-01   1.536939466E+00
    70   13084.165235   6.622005E-05   1.103941E+11    1.54172E+29   1.399989330E+00  -1.910511E-01   1.536947968E+00
    71   13127.726566   4.358003E-05   7.262230E+10    9.15605E+28   1.399993584E+00  -1.902796E-01   1.536953140E+00
    72   13167.381812   2.881818E-05   4.799535E+10    5.39020E+28   1.399996180E+00  -1.895827E-01   1.536956295E+00
    73   13202.974370   1.902224E-05   3.167381E+10    3.20486E+28   1.399997706E+00  -1.889617E-01   1.536958150E+00
    74   13235.259300   1.246439E-05   2.074039E+10    1.88789E+28   1.399998636E+00  -1.884018E-01   1.536959281E+00
    75   13264.481151   8.084100E-06   1.344669E+10    1.11660E+28   1.399999187E+00  -1.878980E-01   1.536959950E+00
    76   13291.286558   5.400171E-06   8.980874E+09    6.57782E+27   1.399999517E+00  -1.874383E-01   1.536960351E+00
