       6     153      53      68

     EOS file :  BM165S_EOS_Cat_new.dat                                                

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   6.186936E-01   1.209583E+15    2.14737E+35   0.000000000E+00  -6.143423E-01   0.000000000E+00
     1      10.000000   6.186931E-01   1.209581E+15    2.14737E+35   2.547351450E-09  -6.143419E-01   2.182107008E-09
     2      11.666664   6.186929E-01   1.209581E+15    2.14737E+35   4.045097401E-09  -6.143418E-01   3.465103425E-09
     3      13.611106   6.186927E-01   1.209580E+15    2.14736E+35   6.423459864E-09  -6.143417E-01   5.502452415E-09
     4      15.879619   6.186924E-01   1.209580E+15    2.14736E+35   1.020020567E-08  -6.143415E-01   8.737683257E-09
     5      18.526216   6.186920E-01   1.209579E+15    2.14736E+35   1.619752582E-08  -6.143412E-01   1.387510159E-08
     6      21.613910   6.186915E-01   1.209577E+15    2.14735E+35   2.572102147E-08  -6.143408E-01   2.203311342E-08
     7      25.216213   6.186907E-01   1.209576E+15    2.14735E+35   4.084392233E-08  -6.143403E-01   3.498769472E-08
     8      29.418892   6.186897E-01   1.209573E+15    2.14734E+35   6.485840446E-08  -6.143396E-01   5.555900499E-08
     9      34.322004   6.186883E-01   1.209570E+15    2.14733E+35   1.029922439E-07  -6.143387E-01   8.822530001E-08
    10      40.042279   6.186864E-01   1.209566E+15    2.14731E+35   1.635467878E-07  -6.143374E-01   1.400977694E-07
    11      46.715899   6.186838E-01   1.209559E+15    2.14729E+35   2.597039054E-07  -6.143357E-01   2.224684710E-07
    12      54.501735   6.186802E-01   1.209551E+15    2.14726E+35   4.123951335E-07  -6.143333E-01   3.532682386E-07
    13      63.585122   6.186754E-01   1.209540E+15    2.14721E+35   6.548572842E-07  -6.143301E-01   5.609694143E-07
    14      74.182270   6.186689E-01   1.209525E+15    2.14716E+35   1.039865525E-06  -6.143257E-01   8.907825199E-07
    15      86.545389   6.186600E-01   1.209504E+15    2.14708E+35   1.651216959E-06  -6.143197E-01   1.414494780E-06
    16     100.968680   6.186479E-01   1.209475E+15    2.14697E+35   2.621961190E-06  -6.143116E-01   2.246089960E-06
    17     117.795301   6.186314E-01   1.209437E+15    2.14683E+35   4.163339125E-06  -6.143005E-01   3.566544789E-06
    18     137.425480   6.186089E-01   1.209384E+15    2.14663E+35   6.610713685E-06  -6.142854E-01   5.663189014E-06
    19     160.325962   6.185784E-01   1.209313E+15    2.14636E+35   1.049645629E-05  -6.142649E-01   8.992173647E-06
    20     187.040979   6.185368E-01   1.209215E+15    2.14600E+35   1.666558039E-05  -6.142370E-01   1.427759466E-05
    21     218.204985   6.184803E-01   1.209083E+15    2.14551E+35   2.645913099E-05  -6.141990E-01   2.266873882E-05
    22     254.557414   6.184030E-01   1.208902E+15    2.14483E+35   4.200489669E-05  -6.141473E-01   3.598943847E-05
    23     296.959744   6.182975E-01   1.208655E+15    2.14392E+35   6.667796918E-05  -6.140769E-01   5.713329615E-05
    24     346.415105   6.181540E-01   1.208320E+15    2.14267E+35   1.058297668E-04  -6.139812E-01   9.068969775E-05
    25     404.090765   6.179589E-01   1.207863E+15    2.14098E+35   1.679406437E-04  -6.138510E-01   1.439344260E-04
    26     471.343708   6.176935E-01   1.207243E+15    2.13867E+35   2.664393566E-04  -6.136740E-01   2.283952871E-04
    27     549.749436   6.173326E-01   1.206400E+15    2.13554E+35   4.225689729E-04  -6.134333E-01   3.623222390E-04
    28     641.133922   6.168422E-01   1.205253E+15    2.13130E+35   6.698877121E-04  -6.131061E-01   5.745753958E-04
    29     747.608324   6.161760E-01   1.203697E+15    2.12553E+35   1.061308731E-03  -6.126618E-01   9.107250522E-04
    30     871.605424   6.152717E-01   1.201584E+15    2.11773E+35   1.680049672E-03  -6.120587E-01   1.442579880E-03
    31    1015.915828   6.140453E-01   1.198720E+15    2.10717E+35   2.656532298E-03  -6.112410E-01   2.282979297E-03
    32    1183.720389   6.123846E-01   1.194844E+15    2.09292E+35   4.194186979E-03  -6.101339E-01   3.608565154E-03
    33    1378.612931   6.101278E-01   1.189588E+15    2.07375E+35   6.608251742E-03  -6.086377E-01   5.694412046E-03
    34    1604.606831   6.070779E-01   1.182496E+15    2.04806E+35   1.038291474E-02  -6.066208E-01   8.965856978E-03
    35    1866.101729   6.029634E-01   1.172950E+15    2.01384E+35   1.625287739E-02  -6.039113E-01   1.407425663E-02
    36    2167.804075   5.974302E-01   1.160151E+15    1.96858E+35   2.531429520E-02  -6.002881E-01   2.200367535E-02
    37    2514.559347   5.900074E-01   1.143057E+15    1.90934E+35   3.916532004E-02  -5.954729E-01   3.421383040E-02
    38    2911.078209   5.801046E-01   1.120381E+15    1.83282E+35   6.006235190E-02  -5.891257E-01   5.281547921E-02
    39    3361.502591   5.669813E-01   1.090546E+15    1.73570E+35   9.104923610E-02  -5.808492E-01   8.075290840E-02
    40    3868.807189   5.497186E-01   1.051670E+15    1.61530E+35   1.359712222E-01  -5.702081E-01   1.219287123E-01
    41    4434.088599   5.272017E-01   1.001572E+15    1.47042E+35   1.992252292E-01  -5.567719E-01   1.811407759E-01
    42    5055.912459   4.981181E-01   9.378295E+14    1.30265E+35   2.850643161E-01  -5.401847E-01   2.636329155E-01
    43    5730.125634   4.609404E-01   8.578260E+14    1.11746E+35   3.963510217E-01  -5.202544E-01   3.740545768E-01
    44    6450.962306   4.150029E-01   7.610715E+14    9.24564E+34   5.330274868E-01  -4.970235E-01   5.148849113E-01
    45    7212.709464   3.694415E-01   6.674489E+14    7.34277E+34   6.932089184E-01  -4.707774E-01   6.869189879E-01
    46    7992.334422   3.306162E-01   5.897408E+14    5.57672E+34   8.710533352E-01  -4.426149E-01   8.860564533E-01
    47    8749.885446   2.955517E-01   5.215872E+14    4.02959E+34   1.057267452E+00  -4.143828E-01   1.102691004E+00
    48    9448.935870   2.607032E-01   4.556898E+14    2.77408E+34   1.235845151E+00  -3.878875E-01   1.317893646E+00
    49   10067.450753   2.268084E-01   3.931828E+14    1.82158E+34   1.393741802E+00  -3.643826E-01   1.513994792E+00
    50   10591.308435   1.944757E-01   3.348358E+14    1.14545E+34   1.522324867E+00  -3.446639E-01   1.677521743E+00
    51   11016.761686   1.641606E-01   2.810912E+14    6.94330E+33   1.619043277E+00  -3.289413E-01   1.802645658E+00
    52   11349.996977   1.362302E-01   2.322557E+14    4.09091E+33   1.686730538E+00  -3.169119E-01   1.891205550E+00
    53   11604.029486   1.113903E-01   1.892743E+14    2.36176E+33   1.731341038E+00  -3.079676E-01   1.949970182E+00
    54   11793.797147   9.050788E-02   1.534190E+14    1.34081E+33   1.759510464E+00  -3.014431E-01   1.987212026E+00
    55   11932.282586   8.019772E-02   1.356656E+14    7.40026E+32   1.776987311E+00  -2.967797E-01   2.010357846E+00
    56   12021.476755   6.076893E-02   1.026129E+14    4.12411E+32   1.786882554E+00  -2.938232E-01   2.023479325E+00
    57   12088.512233   4.337289E-02   7.313003E+13    2.38496E+32   1.792275365E+00  -2.916281E-01   2.030636174E+00
    58   12143.729645   3.051405E-02   5.139602E+13    1.38436E+32   1.795446099E+00  -2.898393E-01   2.034844806E+00
    59   12189.910280   2.144846E-02   3.608918E+13    8.02460E+31   1.797324842E+00  -2.883578E-01   2.037338383E+00
    60   12228.440399   1.501716E-02   2.524560E+13    4.65148E+31   1.798431469E+00  -2.871321E-01   2.038807069E+00
    61   12260.653746   1.050473E-02   1.764454E+13    2.69518E+31   1.799082063E+00  -2.861149E-01   2.039670456E+00
    62   12287.560548   7.294156E-03   1.224529E+13    1.56211E+31   1.799463230E+00  -2.852706E-01   2.040176284E+00
    63   12310.173122   4.976732E-03   8.351754E+12    9.09145E+30   1.799685025E+00  -2.845649E-01   2.040470502E+00
    64   12329.570377   3.228533E-03   5.415045E+12    5.35940E+30   1.799812832E+00  -2.839622E-01   2.040640022E+00
    65   12347.284740   1.962167E-03   3.289457E+12    3.25512E+30   1.799885410E+00  -2.834141E-01   2.040736283E+00
    66   12365.066326   1.098094E-03   1.839508E+12    2.00096E+30   1.799928959E+00  -2.828661E-01   2.040794043E+00
    67   12384.688138   5.994301E-04   1.003046E+12    1.25992E+30   1.799954870E+00  -2.822638E-01   2.040828422E+00
    68   12407.441200   3.560883E-04   5.956465E+11    7.74052E+29   1.799971995E+00  -2.815687E-01   2.040851147E+00
    69   12431.099062   1.807149E-04   3.018834E+11    5.25928E+29   1.799980814E+00  -2.808497E-01   2.040862852E+00
    70   12462.966437   1.178121E-04   1.966910E+11    3.12613E+29   1.799988476E+00  -2.798871E-01   2.040873024E+00
    71   12492.249381   7.693927E-05   1.283336E+11    1.84719E+29   1.799993126E+00  -2.790085E-01   2.040879193E+00
    72   12518.944781   4.993981E-05   8.322629E+10    1.09783E+29   1.799995879E+00  -2.782125E-01   2.040882848E+00
    73   12543.556484   3.350692E-05   5.582233E+10    6.44799E+28   1.799997561E+00  -2.774827E-01   2.040885080E+00
    74   12565.228707   2.179302E-05   3.628801E+10    3.84211E+28   1.799998536E+00  -2.768433E-01   2.040886374E+00
    75   12585.190262   1.448789E-05   2.410930E+10    2.25820E+28   1.799999134E+00  -2.762571E-01   2.040887167E+00
    76   12602.928585   9.462794E-06   1.573860E+10    1.33975E+28   1.799999483E+00  -2.757383E-01   2.040887631E+00
