       6    1375     671     807

     EOS file :  /home/forgane/Desktop/NSCool/EOS/BSK21_EOS_Acc_HZ08_Fe.dat            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.994579E-01   1.159628E+15    2.78309E+35   0.000000000E+00  -7.220288E-01   0.000000000E+00
     1       1.000000   5.994579E-01   1.159628E+15    2.78309E+35   2.442150486E-12  -7.220288E-01   2.114265165E-12
     2       1.016667   5.994579E-01   1.159628E+15    2.78309E+35   2.566304443E-12  -7.220288E-01   2.221750100E-12
     3       1.033611   5.994579E-01   1.159628E+15    2.78309E+35   2.696770134E-12  -7.220288E-01   2.334699350E-12
     4       1.050838   5.994579E-01   1.159628E+15    2.78309E+35   2.833868434E-12  -7.220288E-01   2.453390709E-12
     5       1.068352   5.994579E-01   1.159628E+15    2.78309E+35   2.977936533E-12  -7.220288E-01   2.578116096E-12
     6       1.086158   5.994579E-01   1.159628E+15    2.78309E+35   3.129328761E-12  -7.220288E-01   2.709182267E-12
     7       1.104260   5.994579E-01   1.159628E+15    2.78309E+35   3.288417461E-12  -7.220288E-01   2.846911576E-12
     8       1.122665   5.994579E-01   1.159628E+15    2.78309E+35   3.455593906E-12  -7.220288E-01   2.991642762E-12
     9       1.141376   5.994579E-01   1.159628E+15    2.78309E+35   3.631269262E-12  -7.220288E-01   3.143731786E-12
    10       1.160399   5.994579E-01   1.159628E+15    2.78309E+35   3.815875594E-12  -7.220288E-01   3.303552707E-12
    11       1.179739   5.994579E-01   1.159628E+15    2.78309E+35   4.009866937E-12  -7.220288E-01   3.471498598E-12
    12       1.199401   5.994579E-01   1.159628E+15    2.78309E+35   4.213720404E-12  -7.220288E-01   3.647982515E-12
    13       1.219391   5.994579E-01   1.159628E+15    2.78309E+35   4.427937365E-12  -7.220288E-01   3.833438516E-12
    14       1.239714   5.994579E-01   1.159628E+15    2.78309E+35   4.653044681E-12  -7.220288E-01   4.028322722E-12
    15       1.260376   5.994579E-01   1.159628E+15    2.78309E+35   4.889595994E-12  -7.220288E-01   4.233114443E-12
    16       1.281383   5.994579E-01   1.159628E+15    2.78309E+35   5.138173094E-12  -7.220288E-01   4.448317359E-12
    17       1.302739   5.994579E-01   1.159628E+15    2.78309E+35   5.399387346E-12  -7.220288E-01   4.674460752E-12
    18       1.324451   5.994579E-01   1.159628E+15    2.78309E+35   5.673881200E-12  -7.220288E-01   4.912100815E-12
    19       1.346525   5.994579E-01   1.159628E+15    2.78309E+35   5.962329761E-12  -7.220288E-01   5.161822014E-12
    20       1.368967   5.994579E-01   1.159628E+15    2.78309E+35   6.265442459E-12  -7.220288E-01   5.424238531E-12
    21       1.391784   5.994579E-01   1.159628E+15    2.78309E+35   6.583964789E-12  -7.220288E-01   5.699995768E-12
    22       1.414980   5.994579E-01   1.159628E+15    2.78309E+35   6.918680146E-12  -7.220288E-01   5.989771941E-12
    23       1.438563   5.994579E-01   1.159628E+15    2.78309E+35   7.270411749E-12  -7.220288E-01   6.294279745E-12
    24       1.462539   5.994579E-01   1.159628E+15    2.78309E+35   7.640024669E-12  -7.220288E-01   6.614268104E-12
    25       1.486915   5.994579E-01   1.159628E+15    2.78309E+35   8.028427957E-12  -7.220288E-01   6.950524020E-12
    26       1.511697   5.994579E-01   1.159628E+15    2.78309E+35   8.436576877E-12  -7.220288E-01   7.303874502E-12
    27       1.536892   5.994579E-01   1.159628E+15    2.78309E+35   8.865475256E-12  -7.220288E-01   7.675188602E-12
    28       1.562506   5.994579E-01   1.159628E+15    2.78309E+35   9.316177955E-12  -7.220288E-01   8.065379554E-12
    29       1.588548   5.994579E-01   1.159628E+15    2.78309E+35   9.789793459E-12  -7.220288E-01   8.475407018E-12
    30       1.615024   5.994579E-01   1.159628E+15    2.78309E+35   1.028748661E-11  -7.220288E-01   8.906279444E-12
    31       1.641941   5.994579E-01   1.159628E+15    2.78309E+35   1.081048147E-11  -7.220288E-01   9.359056545E-12
    32       1.669307   5.994579E-01   1.159628E+15    2.78309E+35   1.136006432E-11  -7.220288E-01   9.834851911E-12
    33       1.697129   5.994579E-01   1.159628E+15    2.78309E+35   1.193758684E-11  -7.220288E-01   1.033483574E-11
    34       1.725414   5.994579E-01   1.159628E+15    2.78309E+35   1.254446943E-11  -7.220288E-01   1.086023774E-11
    35       1.754171   5.994579E-01   1.159628E+15    2.78309E+35   1.318220469E-11  -7.220288E-01   1.141235009E-11
    36       1.783407   5.994579E-01   1.159628E+15    2.78309E+35   1.385236111E-11  -7.220288E-01   1.199253072E-11
    37       1.813131   5.994579E-01   1.159628E+15    2.78309E+35   1.455658692E-11  -7.220288E-01   1.260220654E-11
    38       1.843349   5.994579E-01   1.159628E+15    2.78309E+35   1.529661413E-11  -7.220288E-01   1.324287705E-11
    39       1.874072   5.994579E-01   1.159628E+15    2.78309E+35   1.607426282E-11  -7.220288E-01   1.391611793E-11
    40       1.905306   5.994579E-01   1.159628E+15    2.78309E+35   1.689144558E-11  -7.220288E-01   1.462358501E-11
    41       1.937061   5.994579E-01   1.159628E+15    2.78309E+35   1.775017224E-11  -7.220288E-01   1.536701827E-11
    42       1.969346   5.994579E-01   1.159628E+15    2.78309E+35   1.865255482E-11  -7.220288E-01   1.614824616E-11
    43       2.002168   5.994579E-01   1.159628E+15    2.78309E+35   1.960081268E-11  -7.220288E-01   1.696919009E-11
    44       2.035538   5.994579E-01   1.159628E+15    2.78309E+35   2.059727805E-11  -7.220288E-01   1.783186913E-11
    45       2.069463   5.994579E-01   1.159628E+15    2.78309E+35   2.164440167E-11  -7.220288E-01   1.873840501E-11
    46       2.103954   5.994579E-01   1.159628E+15    2.78309E+35   2.274475893E-11  -7.220288E-01   1.969102733E-11
    47       2.139020   5.994579E-01   1.159628E+15    2.78309E+35   2.390105611E-11  -7.220288E-01   2.069207903E-11
    48       2.174671   5.994579E-01   1.159628E+15    2.78309E+35   2.511613707E-11  -7.220288E-01   2.174402215E-11
    49       2.210915   5.994579E-01   1.159628E+15    2.78309E+35   2.639299027E-11  -7.220288E-01   2.284944392E-11
    50       2.247764   5.994579E-01   1.159628E+15    2.78309E+35   2.773475609E-11  -7.220288E-01   2.401106307E-11
    51       2.285226   5.994579E-01   1.159628E+15    2.78309E+35   2.914473454E-11  -7.220288E-01   2.523173657E-11
    52       2.323314   5.994579E-01   1.159628E+15    2.78309E+35   3.062639341E-11  -7.220288E-01   2.651446662E-11
    53       2.362035   5.994579E-01   1.159628E+15    2.78309E+35   3.218337680E-11  -7.220288E-01   2.786240805E-11
    54       2.401403   5.994579E-01   1.159628E+15    2.78309E+35   3.381951405E-11  -7.220288E-01   2.927887608E-11
    55       2.441426   5.994579E-01   1.159628E+15    2.78309E+35   3.553882917E-11  -7.220288E-01   3.076735444E-11
    56       2.482117   5.994579E-01   1.159628E+15    2.78309E+35   3.734555076E-11  -7.220288E-01   3.233150402E-11
    57       2.523485   5.994579E-01   1.159628E+15    2.78309E+35   3.924412240E-11  -7.220288E-01   3.397517176E-11
    58       2.565543   5.994579E-01   1.159628E+15    2.78309E+35   4.123921353E-11  -7.220288E-01   3.570240022E-11
    59       2.608302   5.994579E-01   1.159628E+15    2.78309E+35   4.333573103E-11  -7.220288E-01   3.751743744E-11
    60       2.651774   5.994579E-01   1.159628E+15    2.78309E+35   4.553883119E-11  -7.220288E-01   3.942474746E-11
    61       2.695970   5.994579E-01   1.159628E+15    2.78309E+35   4.785393247E-11  -7.220288E-01   4.142902122E-11
    62       2.740903   5.994579E-01   1.159628E+15    2.78309E+35   5.028672876E-11  -7.220288E-01   4.353518817E-11
    63       2.786585   5.994579E-01   1.159628E+15    2.78309E+35   5.284320345E-11  -7.220288E-01   4.574842834E-11
    64       2.833028   5.994579E-01   1.159628E+15    2.78309E+35   5.552964410E-11  -7.220288E-01   4.807418513E-11
    65       2.880245   5.994579E-01   1.159628E+15    2.78309E+35   5.835265789E-11  -7.220288E-01   5.051817865E-11
    66       2.928249   5.994579E-01   1.159628E+15    2.78309E+35   6.131918793E-11  -7.220288E-01   5.308641980E-11
    67       2.977053   5.994579E-01   1.159628E+15    2.78309E+35   6.443653030E-11  -7.220288E-01   5.578522509E-11
    68       3.026671   5.994579E-01   1.159628E+15    2.78309E+35   6.771235199E-11  -7.220288E-01   5.862123213E-11
    69       3.077115   5.994579E-01   1.159627E+15    2.78309E+35   7.115470975E-11  -7.220288E-01   6.160141597E-11
    70       3.128401   5.994579E-01   1.159627E+15    2.78309E+35   7.477206994E-11  -7.220288E-01   6.473310627E-11
    71       3.180541   5.994579E-01   1.159627E+15    2.78309E+35   7.857332933E-11  -7.220288E-01   6.802400531E-11
    72       3.233550   5.994578E-01   1.159627E+15    2.78309E+35   8.256783697E-11  -7.220288E-01   7.148220693E-11
    73       3.287442   5.994578E-01   1.159627E+15    2.78309E+35   8.676541720E-11  -7.220288E-01   7.511621645E-11
    74       3.342233   5.994578E-01   1.159627E+15    2.78309E+35   9.117639383E-11  -7.220288E-01   7.893497159E-11
    75       3.397937   5.994578E-01   1.159627E+15    2.78309E+35   9.581161549E-11  -7.220288E-01   8.294786443E-11
    76       3.454569   5.994578E-01   1.159627E+15    2.78309E+35   1.006824823E-10  -7.220288E-01   8.716476454E-11
