       6    1390     687     823

     EOS file :  /home/forgane/Desktop/NSCool/EOS/BSK21_EOS_Acc_Fe.dat                 

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   9.751281E-01   2.272014E+15    1.04754E+36   0.000000000E+00  -1.221064E+00   0.000000000E+00
     1       1.000000   9.751281E-01   2.272013E+15    1.04754E+36   4.784811077E-12  -1.221064E+00   3.439239726E-12
     2       1.016667   9.751281E-01   2.272013E+15    1.04754E+36   5.028061125E-12  -1.221064E+00   3.614083668E-12
     3       1.033611   9.751281E-01   2.272013E+15    1.04754E+36   5.283677509E-12  -1.221064E+00   3.797816320E-12
     4       1.050838   9.751281E-01   2.272013E+15    1.04754E+36   5.552288910E-12  -1.221064E+00   3.990889565E-12
     5       1.068352   9.751281E-01   2.272013E+15    1.04754E+36   5.834555966E-12  -1.221064E+00   4.193778261E-12
     6       1.086158   9.751281E-01   2.272013E+15    1.04754E+36   6.131172905E-12  -1.221064E+00   4.406981405E-12
     7       1.104260   9.751281E-01   2.272013E+15    1.04754E+36   6.442869244E-12  -1.221064E+00   4.631023362E-12
     8       1.122665   9.751281E-01   2.272013E+15    1.04754E+36   6.770411590E-12  -1.221064E+00   4.866455156E-12
     9       1.141376   9.751281E-01   2.272013E+15    1.04754E+36   7.114605520E-12  -1.221064E+00   5.113855822E-12
    10       1.160399   9.751281E-01   2.272013E+15    1.04754E+36   7.476297569E-12  -1.221064E+00   5.373833835E-12
    11       1.179739   9.751281E-01   2.272013E+15    1.04754E+36   7.856377305E-12  -1.221064E+00   5.647028599E-12
    12       1.199401   9.751281E-01   2.272013E+15    1.04754E+36   8.255779519E-12  -1.221064E+00   5.934112029E-12
    13       1.219391   9.751281E-01   2.272013E+15    1.04754E+36   8.675486528E-12  -1.221064E+00   6.235790195E-12
    14       1.239714   9.751281E-01   2.272013E+15    1.04754E+36   9.116530585E-12  -1.221064E+00   6.552805065E-12
    15       1.260376   9.751281E-01   2.272013E+15    1.04754E+36   9.579996424E-12  -1.221064E+00   6.885936324E-12
    16       1.281383   9.751281E-01   2.272013E+15    1.04754E+36   1.006702392E-11  -1.221064E+00   7.236003297E-12
    17       1.302739   9.751281E-01   2.272013E+15    1.04754E+36   1.057881090E-11  -1.221064E+00   7.603866963E-12
    18       1.324451   9.751281E-01   2.272013E+15    1.04754E+36   1.111661609E-11  -1.221064E+00   7.990432067E-12
    19       1.346525   9.751281E-01   2.272013E+15    1.04754E+36   1.168176220E-11  -1.221064E+00   8.396649353E-12
    20       1.368967   9.751281E-01   2.272013E+15    1.04754E+36   1.227563918E-11  -1.221064E+00   8.823517898E-12
    21       1.391784   9.751281E-01   2.272013E+15    1.04754E+36   1.289970766E-11  -1.221064E+00   9.272087569E-12
    22       1.414980   9.751281E-01   2.272013E+15    1.04754E+36   1.355550251E-11  -1.221064E+00   9.743461609E-12
    23       1.438563   9.751281E-01   2.272013E+15    1.04754E+36   1.424463663E-11  -1.221064E+00   1.023879934E-11
    24       1.462539   9.751281E-01   2.272013E+15    1.04754E+36   1.496880492E-11  -1.221064E+00   1.075931904E-11
    25       1.486915   9.751281E-01   2.272013E+15    1.04754E+36   1.572978845E-11  -1.221064E+00   1.130630089E-11
    26       1.511697   9.751281E-01   2.272013E+15    1.04754E+36   1.652945883E-11  -1.221064E+00   1.188109019E-11
    27       1.536892   9.751281E-01   2.272013E+15    1.04754E+36   1.736978283E-11  -1.221064E+00   1.248510061E-11
    28       1.562506   9.751281E-01   2.272013E+15    1.04754E+36   1.825282718E-11  -1.221064E+00   1.311981768E-11
    29       1.588548   9.751281E-01   2.272013E+15    1.04754E+36   1.918076370E-11  -1.221064E+00   1.378680247E-11
    30       1.615024   9.751281E-01   2.272013E+15    1.04754E+36   2.015587463E-11  -1.221064E+00   1.448769541E-11
    31       1.641941   9.751281E-01   2.272013E+15    1.04754E+36   2.118055820E-11  -1.221064E+00   1.522422032E-11
    32       1.669307   9.751281E-01   2.272013E+15    1.04754E+36   2.225733460E-11  -1.221064E+00   1.599818865E-11
    33       1.697129   9.751281E-01   2.272013E+15    1.04754E+36   2.338885211E-11  -1.221064E+00   1.681150396E-11
    34       1.725414   9.751281E-01   2.272013E+15    1.04754E+36   2.457789367E-11  -1.221064E+00   1.766616655E-11
    35       1.754171   9.751281E-01   2.272013E+15    1.04754E+36   2.582738367E-11  -1.221064E+00   1.856427845E-11
    36       1.783407   9.751281E-01   2.272013E+15    1.04754E+36   2.714039519E-11  -1.221064E+00   1.950804853E-11
    37       1.813131   9.751281E-01   2.272013E+15    1.04754E+36   2.852015753E-11  -1.221064E+00   2.049979795E-11
    38       1.843349   9.751281E-01   2.272013E+15    1.04754E+36   2.997006418E-11  -1.221064E+00   2.154196589E-11
    39       1.874072   9.751281E-01   2.272013E+15    1.04754E+36   3.149368112E-11  -1.221064E+00   2.263711552E-11
    40       1.905306   9.751281E-01   2.272013E+15    1.04754E+36   3.309475564E-11  -1.221064E+00   2.378794033E-11
    41       1.937061   9.751281E-01   2.272013E+15    1.04754E+36   3.477722551E-11  -1.221064E+00   2.499727072E-11
    42       1.969346   9.751281E-01   2.272013E+15    1.04754E+36   3.654522872E-11  -1.221064E+00   2.626808100E-11
    43       2.002168   9.751281E-01   2.272013E+15    1.04754E+36   3.840311360E-11  -1.221064E+00   2.760349668E-11
    44       2.035538   9.751281E-01   2.272013E+15    1.04754E+36   4.035544956E-11  -1.221064E+00   2.900680217E-11
    45       2.069463   9.751281E-01   2.272013E+15    1.04754E+36   4.240703829E-11  -1.221064E+00   3.048144885E-11
    46       2.103954   9.751281E-01   2.272013E+15    1.04754E+36   4.456292559E-11  -1.221064E+00   3.203106355E-11
    47       2.139020   9.751281E-01   2.272013E+15    1.04754E+36   4.682841381E-11  -1.221064E+00   3.365945750E-11
    48       2.174671   9.751281E-01   2.272013E+15    1.04754E+36   4.920907481E-11  -1.221064E+00   3.537063568E-11
    49       2.210915   9.751281E-01   2.272013E+15    1.04754E+36   5.171076376E-11  -1.221064E+00   3.716880666E-11
    50       2.247764   9.751281E-01   2.272013E+15    1.04754E+36   5.433963345E-11  -1.221064E+00   3.905839298E-11
    51       2.285226   9.751280E-01   2.272013E+15    1.04754E+36   5.710214952E-11  -1.221064E+00   4.104404202E-11
    52       2.323314   9.751280E-01   2.272013E+15    1.04754E+36   6.000510625E-11  -1.221064E+00   4.313063740E-11
    53       2.362035   9.751280E-01   2.272013E+15    1.04754E+36   6.305564336E-11  -1.221064E+00   4.532331102E-11
    54       2.401403   9.751280E-01   2.272013E+15    1.04754E+36   6.626126355E-11  -1.221064E+00   4.762745569E-11
    55       2.441426   9.751280E-01   2.272013E+15    1.04754E+36   6.962985091E-11  -1.221064E+00   5.004873837E-11
    56       2.482117   9.751280E-01   2.272013E+15    1.04754E+36   7.316969036E-11  -1.221064E+00   5.259311412E-11
    57       2.523485   9.751280E-01   2.272013E+15    1.04754E+36   7.688948801E-11  -1.221064E+00   5.526684073E-11
    58       2.565543   9.751280E-01   2.272013E+15    1.04754E+36   8.079839256E-11  -1.221064E+00   5.807649414E-11
    59       2.608302   9.751280E-01   2.272013E+15    1.04754E+36   8.490601782E-11  -1.221064E+00   6.102898459E-11
    60       2.651774   9.751280E-01   2.272013E+15    1.04754E+36   8.922246634E-11  -1.221064E+00   6.413157362E-11
    61       2.695970   9.751280E-01   2.272013E+15    1.04754E+36   9.375835427E-11  -1.221064E+00   6.739189193E-11
    62       2.740903   9.751280E-01   2.272013E+15    1.04754E+36   9.852483745E-11  -1.221064E+00   7.081795817E-11
    63       2.786585   9.751280E-01   2.272013E+15    1.04754E+36   1.035336389E-10  -1.221064E+00   7.441819860E-11
    64       2.833028   9.751280E-01   2.272013E+15    1.04754E+36   1.087970775E-10  -1.221064E+00   7.820146790E-11
    65       2.880245   9.751280E-01   2.272013E+15    1.04754E+36   1.143280986E-10  -1.221064E+00   8.217707087E-11
    66       2.928249   9.751280E-01   2.272013E+15    1.04754E+36   1.201403054E-10  -1.221064E+00   8.635478536E-11
    67       2.977053   9.751280E-01   2.272013E+15    1.04754E+36   1.262479930E-10  -1.221064E+00   9.074488631E-11
    68       3.026671   9.751280E-01   2.272013E+15    1.04754E+36   1.326661828E-10  -1.221064E+00   9.535817102E-11
    69       3.077115   9.751280E-01   2.272013E+15    1.04754E+36   1.394106603E-10  -1.221064E+00   1.002059857E-10
    70       3.128400   9.751280E-01   2.272013E+15    1.04754E+36   1.464980132E-10  -1.221064E+00   1.053002533E-10
    71       3.180540   9.751280E-01   2.272013E+15    1.04754E+36   1.539456725E-10  -1.221064E+00   1.106535031E-10
    72       3.233549   9.751280E-01   2.272013E+15    1.04754E+36   1.617719556E-10  -1.221064E+00   1.162789011E-10
    73       3.287442   9.751280E-01   2.272013E+15    1.04754E+36   1.699961109E-10  -1.221064E+00   1.221902829E-10
    74       3.342233   9.751280E-01   2.272013E+15    1.04754E+36   1.786383653E-10  -1.221064E+00   1.284021871E-10
    75       3.397937   9.751280E-01   2.272013E+15    1.04754E+36   1.877199742E-10  -1.221064E+00   1.349298919E-10
    76       3.454569   9.751280E-01   2.272013E+15    1.04754E+36   1.972632734E-10  -1.221064E+00   1.417894518E-10
