       6    1354     651     787

     EOS file :  /home/forgane/Desktop/NSCool/EOS/BSK21_EOS_Acc_HZ08_Fe.dat            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.109009E-01   7.377094E+14    9.10566E+34   0.000000000E+00  -4.091974E-01   0.000000000E+00
     1       1.000000   4.109009E-01   7.377094E+14    9.10566E+34   1.553599898E-12  -4.091974E-01   1.449231711E-12
     2       1.016667   4.109009E-01   7.377094E+14    9.10566E+34   1.632581752E-12  -4.091974E-01   1.522907700E-12
     3       1.033611   4.109009E-01   7.377094E+14    9.10566E+34   1.715578883E-12  -4.091974E-01   1.600329225E-12
     4       1.050838   4.109009E-01   7.377094E+14    9.10566E+34   1.802795419E-12  -4.091974E-01   1.681686704E-12
     5       1.068352   4.109009E-01   7.377094E+14    9.10566E+34   1.894445867E-12  -4.091974E-01   1.767180231E-12
     6       1.086158   4.109009E-01   7.377094E+14    9.10566E+34   1.990755636E-12  -4.091974E-01   1.857020074E-12
     7       1.104260   4.109009E-01   7.377094E+14    9.10566E+34   2.091961598E-12  -4.091974E-01   1.951427192E-12
     8       1.122665   4.109009E-01   7.377094E+14    9.10566E+34   2.198312664E-12  -4.091974E-01   2.050633776E-12
     9       1.141376   4.109009E-01   7.377094E+14    9.10566E+34   2.310070403E-12  -4.091974E-01   2.154883821E-12
    10       1.160399   4.109009E-01   7.377094E+14    9.10566E+34   2.427509676E-12  -4.091974E-01   2.264433725E-12
    11       1.179739   4.109009E-01   7.377094E+14    9.10566E+34   2.550919324E-12  -4.091974E-01   2.379552924E-12
    12       1.199401   4.109009E-01   7.377094E+14    9.10566E+34   2.680602866E-12  -4.091974E-01   2.500524547E-12
    13       1.219391   4.109009E-01   7.377094E+14    9.10566E+34   2.816879256E-12  -4.091974E-01   2.627646122E-12
    14       1.239714   4.109009E-01   7.377094E+14    9.10566E+34   2.960083659E-12  -4.091974E-01   2.761230299E-12
    15       1.260376   4.109009E-01   7.377094E+14    9.10566E+34   3.110568283E-12  -4.091974E-01   2.901605623E-12
    16       1.281383   4.109009E-01   7.377094E+14    9.10566E+34   3.268703238E-12  -4.091974E-01   3.049117342E-12
    17       1.302739   4.109009E-01   7.377094E+14    9.10566E+34   3.434877452E-12  -4.091974E-01   3.204128257E-12
    18       1.324451   4.109009E-01   7.377094E+14    9.10566E+34   3.609499625E-12  -4.091974E-01   3.367019611E-12
    19       1.346525   4.109009E-01   7.377094E+14    9.10566E+34   3.792999233E-12  -4.091974E-01   3.538192030E-12
    20       1.368967   4.109009E-01   7.377094E+14    9.10566E+34   3.985827587E-12  -4.091974E-01   3.718066505E-12
    21       1.391784   4.109009E-01   7.377094E+14    9.10566E+34   4.188458942E-12  -4.091974E-01   3.907085432E-12
    22       1.414980   4.109009E-01   7.377094E+14    9.10566E+34   4.401391662E-12  -4.091974E-01   4.105713697E-12
    23       1.438563   4.109009E-01   7.377094E+14    9.10566E+34   4.625149447E-12  -4.091974E-01   4.314439817E-12
    24       1.462539   4.109009E-01   7.377094E+14    9.10566E+34   4.860282623E-12  -4.091974E-01   4.533777149E-12
    25       1.486915   4.109009E-01   7.377094E+14    9.10566E+34   5.107369490E-12  -4.091974E-01   4.764265143E-12
    26       1.511697   4.109009E-01   7.377094E+14    9.10566E+34   5.367017749E-12  -4.091974E-01   5.006470677E-12
    27       1.536892   4.109009E-01   7.377094E+14    9.10566E+34   5.639865997E-12  -4.091974E-01   5.260989447E-12
    28       1.562506   4.109009E-01   7.377094E+14    9.10566E+34   5.926585294E-12  -4.091974E-01   5.528447433E-12
    29       1.588548   4.109009E-01   7.377094E+14    9.10566E+34   6.227880816E-12  -4.091974E-01   5.809502438E-12
    30       1.615024   4.109009E-01   7.377094E+14    9.10566E+34   6.544493587E-12  -4.091974E-01   6.104845706E-12
    31       1.641941   4.109009E-01   7.377094E+14    9.10566E+34   6.877202307E-12  -4.091974E-01   6.415203624E-12
    32       1.669307   4.109009E-01   7.377094E+14    9.10566E+34   7.226825260E-12  -4.091974E-01   6.741339506E-12
    33       1.697129   4.109009E-01   7.377094E+14    9.10566E+34   7.594222331E-12  -4.091974E-01   7.084055472E-12
    34       1.725414   4.109009E-01   7.377094E+14    9.10566E+34   7.980297120E-12  -4.091974E-01   7.444194419E-12
    35       1.754171   4.109009E-01   7.377094E+14    9.10566E+34   8.385999164E-12  -4.091974E-01   7.822642096E-12
    36       1.783407   4.109009E-01   7.377094E+14    9.10566E+34   8.812326274E-12  -4.091974E-01   8.220329281E-12
    37       1.813131   4.109009E-01   7.377094E+14    9.10566E+34   9.260326984E-12  -4.091974E-01   8.638234072E-12
    38       1.843349   4.109009E-01   7.377094E+14    9.10566E+34   9.731103137E-12  -4.091974E-01   9.077384291E-12
    39       1.874072   4.109009E-01   7.377093E+14    9.10566E+34   1.022581259E-11  -4.091974E-01   9.538860012E-12
    40       1.905306   4.109009E-01   7.377093E+14    9.10566E+34   1.074567206E-11  -4.091974E-01   1.002379622E-11
    41       1.937061   4.109009E-01   7.377093E+14    9.10566E+34   1.129196013E-11  -4.091974E-01   1.053338559E-11
    42       1.969346   4.109009E-01   7.377093E+14    9.10566E+34   1.186602037E-11  -4.091974E-01   1.106888145E-11
    43       2.002168   4.109009E-01   7.377093E+14    9.10566E+34   1.246926466E-11  -4.091974E-01   1.163160083E-11
    44       2.035538   4.109009E-01   7.377093E+14    9.10566E+34   1.310317666E-11  -4.091974E-01   1.222292771E-11
    45       2.069463   4.109009E-01   7.377093E+14    9.10566E+34   1.376931546E-11  -4.091974E-01   1.284431644E-11
    46       2.103954   4.109009E-01   7.377093E+14    9.10566E+34   1.446931939E-11  -4.091974E-01   1.349729531E-11
    47       2.139020   4.109009E-01   7.377093E+14    9.10566E+34   1.520491010E-11  -4.091974E-01   1.418347030E-11
    48       2.174671   4.109009E-01   7.377093E+14    9.10566E+34   1.597789673E-11  -4.091974E-01   1.490452902E-11
    49       2.210915   4.109009E-01   7.377093E+14    9.10566E+34   1.679018043E-11  -4.091974E-01   1.566224490E-11
    50       2.247764   4.109009E-01   7.377093E+14    9.10566E+34   1.764375898E-11  -4.091974E-01   1.645848151E-11
    51       2.285226   4.109009E-01   7.377093E+14    9.10566E+34   1.854073171E-11  -4.091974E-01   1.729519716E-11
    52       2.323314   4.109009E-01   7.377093E+14    9.10566E+34   1.948330471E-11  -4.091974E-01   1.817444973E-11
    53       2.362035   4.109009E-01   7.377093E+14    9.10566E+34   2.047379620E-11  -4.091974E-01   1.909840170E-11
    54       2.401403   4.109009E-01   7.377093E+14    9.10566E+34   2.151464226E-11  -4.091974E-01   2.006932551E-11
    55       2.441426   4.109008E-01   7.377093E+14    9.10566E+34   2.260840280E-11  -4.091974E-01   2.108960911E-11
    56       2.482117   4.109008E-01   7.377093E+14    9.10566E+34   2.375776790E-11  -4.091974E-01   2.216176184E-11
    57       2.523485   4.109008E-01   7.377093E+14    9.10566E+34   2.496556438E-11  -4.091974E-01   2.328842063E-11
    58       2.565543   4.109008E-01   7.377093E+14    9.10566E+34   2.623476276E-11  -4.091974E-01   2.447235645E-11
    59       2.608302   4.109008E-01   7.377093E+14    9.10566E+34   2.756848460E-11  -4.091974E-01   2.571648116E-11
    60       2.651774   4.109008E-01   7.377093E+14    9.10566E+34   2.897001013E-11  -4.091974E-01   2.702385462E-11
    61       2.695970   4.109008E-01   7.377093E+14    9.10566E+34   3.044278636E-11  -4.091974E-01   2.839769229E-11
    62       2.740903   4.109008E-01   7.377093E+14    9.10566E+34   3.199043552E-11  -4.091974E-01   2.984137306E-11
    63       2.786585   4.109008E-01   7.377093E+14    9.10566E+34   3.361676401E-11  -4.091974E-01   3.135844761E-11
    64       2.833028   4.109008E-01   7.377093E+14    9.10566E+34   3.532577172E-11  -4.091974E-01   3.295264713E-11
    65       2.880245   4.109008E-01   7.377093E+14    9.10566E+34   3.712166189E-11  -4.091974E-01   3.462789250E-11
    66       2.928249   4.109008E-01   7.377093E+14    9.10566E+34   3.900885145E-11  -4.091974E-01   3.638830393E-11
    67       2.977053   4.109008E-01   7.377093E+14    9.10566E+34   4.099198186E-11  -4.091974E-01   3.823821108E-11
    68       3.026671   4.109008E-01   7.377093E+14    9.10566E+34   4.307593058E-11  -4.091974E-01   4.018216373E-11
    69       3.077115   4.109008E-01   7.377093E+14    9.10566E+34   4.526582299E-11  -4.091974E-01   4.222494296E-11
    70       3.128401   4.109008E-01   7.377093E+14    9.10566E+34   4.756704506E-11  -4.091974E-01   4.437157292E-11
    71       3.180541   4.109008E-01   7.377093E+14    9.10566E+34   4.998525656E-11  -4.091974E-01   4.662733316E-11
    72       3.233550   4.109008E-01   7.377093E+14    9.10566E+34   5.252640498E-11  -4.091974E-01   4.899777164E-11
    73       3.287442   4.109008E-01   7.377093E+14    9.10566E+34   5.519674019E-11  -4.091974E-01   5.148871837E-11
    74       3.342233   4.109008E-01   7.377093E+14    9.10566E+34   5.800282979E-11  -4.091974E-01   5.410629974E-11
    75       3.397937   4.109008E-01   7.377093E+14    9.10566E+34   6.095157525E-11  -4.091974E-01   5.685695359E-11
    76       3.454569   4.109008E-01   7.377093E+14    9.10566E+34   6.405022889E-11  -4.091974E-01   5.974744507E-11
