       6    1049     651     789

     EOS file :  /home/forgane/Desktop/NSCool/EOS/BSK21_EOS_Cat_Fe.dat                 

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.093902E-01   7.352384E+14    9.02394E+34   0.000000000E+00  -4.080785E-01   0.000000000E+00
     1       1.000000   4.093902E-01   7.352384E+14    9.02394E+34   1.548396128E-12  -4.080785E-01   1.443903506E-12
     2       1.016667   4.093902E-01   7.352384E+14    9.02394E+34   1.627113434E-12  -4.080785E-01   1.517308619E-12
     3       1.033611   4.093902E-01   7.352384E+14    9.02394E+34   1.709832567E-12  -4.080785E-01   1.594445499E-12
     4       1.050838   4.093902E-01   7.352384E+14    9.02394E+34   1.796756972E-12  -4.080785E-01   1.675503861E-12
     5       1.068352   4.093902E-01   7.352384E+14    9.02394E+34   1.888100437E-12  -4.080785E-01   1.760683064E-12
     6       1.086158   4.093902E-01   7.352384E+14    9.02394E+34   1.984087617E-12  -4.080785E-01   1.850192605E-12
     7       1.104260   4.093902E-01   7.352384E+14    9.02394E+34   2.084954590E-12  -4.080785E-01   1.944252629E-12
     8       1.122665   4.093902E-01   7.352384E+14    9.02394E+34   2.190949435E-12  -4.080785E-01   2.043094473E-12
     9       1.141376   4.093902E-01   7.352384E+14    9.02394E+34   2.302332842E-12  -4.080785E-01   2.146961234E-12
    10       1.160399   4.093902E-01   7.352384E+14    9.02394E+34   2.419378754E-12  -4.080785E-01   2.256108371E-12
    11       1.179739   4.093902E-01   7.352384E+14    9.02394E+34   2.542375042E-12  -4.080785E-01   2.370804325E-12
    12       1.199401   4.093902E-01   7.352384E+14    9.02394E+34   2.671624210E-12  -4.080785E-01   2.491331188E-12
    13       1.219391   4.093902E-01   7.352384E+14    9.02394E+34   2.807444143E-12  -4.080785E-01   2.617985391E-12
    14       1.239714   4.093902E-01   7.352384E+14    9.02394E+34   2.950168885E-12  -4.080785E-01   2.751078436E-12
    15       1.260376   4.093902E-01   7.352384E+14    9.02394E+34   3.100149461E-12  -4.080785E-01   2.890937660E-12
    16       1.281383   4.093902E-01   7.352384E+14    9.02394E+34   3.257754745E-12  -4.080785E-01   3.037907042E-12
    17       1.302739   4.093902E-01   7.352384E+14    9.02394E+34   3.423372360E-12  -4.080785E-01   3.192348048E-12
    18       1.324451   4.093902E-01   7.352384E+14    9.02394E+34   3.597409637E-12  -4.080785E-01   3.354640520E-12
    19       1.346525   4.093902E-01   7.352384E+14    9.02394E+34   3.780294615E-12  -4.080785E-01   3.525183610E-12
    20       1.368967   4.093902E-01   7.352384E+14    9.02394E+34   3.972477092E-12  -4.080785E-01   3.704396764E-12
    21       1.391784   4.093902E-01   7.352384E+14    9.02394E+34   4.174429735E-12  -4.080785E-01   3.892720750E-12
    22       1.414980   4.093902E-01   7.352384E+14    9.02394E+34   4.386649238E-12  -4.080785E-01   4.090618743E-12
    23       1.438563   4.093901E-01   7.352384E+14    9.02394E+34   4.609657549E-12  -4.080785E-01   4.298577467E-12
    24       1.462539   4.093901E-01   7.352384E+14    9.02394E+34   4.844003148E-12  -4.080785E-01   4.517108389E-12
    25       1.486915   4.093901E-01   7.352384E+14    9.02394E+34   5.090262400E-12  -4.080785E-01   4.746748977E-12
    26       1.511697   4.093901E-01   7.352384E+14    9.02394E+34   5.349040970E-12  -4.080785E-01   4.988064025E-12
    27       1.536892   4.093901E-01   7.352384E+14    9.02394E+34   5.620975315E-12  -4.080785E-01   5.241647039E-12
    28       1.562506   4.093901E-01   7.352384E+14    9.02394E+34   5.906734248E-12  -4.080785E-01   5.508121696E-12
    29       1.588548   4.093901E-01   7.352384E+14    9.02394E+34   6.207020582E-12  -4.080785E-01   5.788143381E-12
    30       1.615024   4.093901E-01   7.352384E+14    9.02394E+34   6.522572862E-12  -4.080785E-01   6.082400798E-12
    31       1.641941   4.093901E-01   7.352384E+14    9.02394E+34   6.854167177E-12  -4.080785E-01   6.391617663E-12
    32       1.669307   4.093901E-01   7.352384E+14    9.02394E+34   7.202619071E-12  -4.080785E-01   6.716554483E-12
    33       1.697129   4.093901E-01   7.352384E+14    9.02394E+34   7.568785549E-12  -4.080785E-01   7.058010429E-12
    34       1.725414   4.093901E-01   7.352384E+14    9.02394E+34   7.953567184E-12  -4.080785E-01   7.416825299E-12
    35       1.754171   4.093901E-01   7.352384E+14    9.02394E+34   8.357910332E-12  -4.080785E-01   7.793881585E-12
    36       1.783407   4.093901E-01   7.352384E+14    9.02394E+34   8.782809463E-12  -4.080785E-01   8.190106645E-12
    37       1.813131   4.093901E-01   7.352384E+14    9.02394E+34   9.229309599E-12  -4.080785E-01   8.606474979E-12
    38       1.843349   4.093901E-01   7.352384E+14    9.02394E+34   9.698508891E-12  -4.080785E-01   9.044010630E-12
    39       1.874072   4.093901E-01   7.352384E+14    9.02394E+34   1.019156132E-11  -4.080785E-01   9.503789702E-12
    40       1.905306   4.093901E-01   7.352384E+14    9.02394E+34   1.070967953E-11  -4.080785E-01   9.986943005E-12
    41       1.937061   4.093901E-01   7.352384E+14    9.02394E+34   1.125413781E-11  -4.080785E-01   1.049465884E-11
    42       1.969346   4.093901E-01   7.352384E+14    9.02394E+34   1.182627524E-11  -4.080785E-01   1.102818591E-11
    43       2.002168   4.093901E-01   7.352384E+14    9.02394E+34   1.242749897E-11  -4.080785E-01   1.158883640E-11
    44       2.035538   4.093901E-01   7.352384E+14    9.02394E+34   1.305928769E-11  -4.080785E-01   1.217798923E-11
    45       2.069463   4.093901E-01   7.352384E+14    9.02394E+34   1.372319526E-11  -4.080785E-01   1.279709338E-11
    46       2.103954   4.093901E-01   7.352384E+14    9.02394E+34   1.442085453E-11  -4.080785E-01   1.344767153E-11
    47       2.139020   4.093901E-01   7.352384E+14    9.02394E+34   1.515398138E-11  -4.080785E-01   1.413132374E-11
    48       2.174671   4.093901E-01   7.352384E+14    9.02394E+34   1.592437890E-11  -4.080785E-01   1.484973144E-11
    49       2.210915   4.093901E-01   7.352384E+14    9.02394E+34   1.673394187E-11  -4.080785E-01   1.560466152E-11
    50       2.247764   4.093901E-01   7.352384E+14    9.02394E+34   1.758466136E-11  -4.080785E-01   1.639797071E-11
    51       2.285226   4.093901E-01   7.352384E+14    9.02394E+34   1.847862969E-11  -4.080785E-01   1.723161011E-11
    52       2.323314   4.093901E-01   7.352384E+14    9.02394E+34   1.941804555E-11  -4.080785E-01   1.810763005E-11
    53       2.362035   4.093901E-01   7.352384E+14    9.02394E+34   2.040521940E-11  -4.080785E-01   1.902818505E-11
    54       2.401403   4.093901E-01   7.352384E+14    9.02394E+34   2.144257915E-11  -4.080785E-01   1.999553919E-11
    55       2.441426   4.093901E-01   7.352384E+14    9.02394E+34   2.253267615E-11  -4.080785E-01   2.101207163E-11
    56       2.482117   4.093901E-01   7.352384E+14    9.02394E+34   2.367819146E-11  -4.080785E-01   2.208028252E-11
    57       2.523485   4.093901E-01   7.352384E+14    9.02394E+34   2.488194243E-11  -4.080785E-01   2.320279907E-11
    58       2.565543   4.093901E-01   7.352384E+14    9.02394E+34   2.614688965E-11  -4.080785E-01   2.438238206E-11
    59       2.608302   4.093901E-01   7.352384E+14    9.02394E+34   2.747614420E-11  -4.080785E-01   2.562193265E-11
    60       2.651774   4.093901E-01   7.352384E+14    9.02394E+34   2.887297533E-11  -4.080785E-01   2.692449947E-11
    61       2.695970   4.093901E-01   7.352384E+14    9.02394E+34   3.034081851E-11  -4.080785E-01   2.829328612E-11
    62       2.740903   4.093901E-01   7.352384E+14    9.02394E+34   3.188328384E-11  -4.080785E-01   2.973165909E-11
    63       2.786585   4.093901E-01   7.352384E+14    9.02394E+34   3.350416495E-11  -4.080785E-01   3.124315600E-11
    64       2.833028   4.093901E-01   7.352384E+14    9.02394E+34   3.520744835E-11  -4.080785E-01   3.283149433E-11
    65       2.880245   4.093901E-01   7.352384E+14    9.02394E+34   3.699732320E-11  -4.080785E-01   3.450058055E-11
    66       2.928249   4.093901E-01   7.352384E+14    9.02394E+34   3.887819163E-11  -4.080785E-01   3.625451969E-11
    67       2.977053   4.093901E-01   7.352384E+14    9.02394E+34   4.085467957E-11  -4.080785E-01   3.809762552E-11
    68       3.026671   4.093901E-01   7.352384E+14    9.02394E+34   4.293164812E-11  -4.080785E-01   4.003443109E-11
    69       3.077115   4.093901E-01   7.352384E+14    9.02394E+34   4.511420551E-11  -4.080785E-01   4.206969990E-11
    70       3.128401   4.093901E-01   7.352384E+14    9.02394E+34   4.740771965E-11  -4.080785E-01   4.420843761E-11
    71       3.180541   4.093901E-01   7.352384E+14    9.02394E+34   4.981783137E-11  -4.080785E-01   4.645590439E-11
    72       3.233550   4.093901E-01   7.352384E+14    9.02394E+34   5.235046824E-11  -4.080785E-01   4.881762778E-11
    73       3.287442   4.093901E-01   7.352384E+14    9.02394E+34   5.501185919E-11  -4.080785E-01   5.129941636E-11
    74       3.342233   4.093901E-01   7.352384E+14    9.02394E+34   5.780854981E-11  -4.080785E-01   5.390737400E-11
    75       3.397937   4.093901E-01   7.352384E+14    9.02394E+34   6.074741847E-11  -4.080785E-01   5.664791488E-11
    76       3.454569   4.093901E-01   7.352384E+14    9.02394E+34   6.383569320E-11  -4.080785E-01   5.952777926E-11
