       6    467     -42     -42

     EOS file :  /home/forgane/Desktop/NSCool/EOS/BSK21_EOS_Cat_Fe.dat                 

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.065138E-01   7.294693E+14    8.84129E+34   0.000000000E+00  -4.031997E-01   4.200000000E+01
     1      10.000000   4.065138E-01   7.294693E+14    8.84128E+34   1.536308075E-09  -4.031996E-01   4.200000000E+01
     2      10.822041   4.065136E-01   7.294689E+14    8.84128E+34   1.947178464E-09  -4.031996E-01   4.200000000E+01
     3      11.723374   4.065136E-01   7.294688E+14    8.84128E+34   2.475346671E-09  -4.031995E-01   4.200000000E+01
     4      12.699775   4.065135E-01   7.294687E+14    8.84127E+34   3.146778987E-09  -4.031995E-01   4.200000000E+01
     5      13.757497   4.065135E-01   7.294686E+14    8.84127E+34   4.000335156E-09  -4.031994E-01   4.200000000E+01
     6      14.903312   4.065134E-01   7.294685E+14    8.84127E+34   5.085415332E-09  -4.031994E-01   4.200000000E+01
     7      16.144557   4.065133E-01   7.294683E+14    8.84126E+34   6.464819039E-09  -4.031993E-01   4.200000000E+01
     8      17.489179   4.065133E-01   7.294682E+14    8.84126E+34   8.218379539E-09  -4.031993E-01   4.200000000E+01
     9      18.945788   4.065132E-01   7.294680E+14    8.84125E+34   1.044758394E-08  -4.031992E-01   4.200000000E+01
    10      20.523710   4.065130E-01   7.294678E+14    8.84124E+34   1.328144637E-08  -4.031991E-01   4.200000000E+01
    11      22.233048   4.065129E-01   7.294675E+14    8.84124E+34   1.688397402E-08  -4.031990E-01   4.200000000E+01
    12      24.084745   4.065128E-01   7.294672E+14    8.84123E+34   2.146365802E-08  -4.031988E-01   4.200000000E+01
    13      26.090658   4.065126E-01   7.294668E+14    8.84121E+34   2.728553833E-08  -4.031987E-01   4.200000000E+01
    14      28.263628   4.065124E-01   7.294664E+14    8.84120E+34   3.468654043E-08  -4.031985E-01   4.200000000E+01
    15      30.617565   4.065121E-01   7.294659E+14    8.84118E+34   4.409497106E-08  -4.031983E-01   4.200000000E+01
    16      33.167540   4.065118E-01   7.294653E+14    8.84116E+34   5.605530073E-08  -4.031980E-01   4.200000000E+01
    17      35.929876   4.065115E-01   7.294646E+14    8.84114E+34   7.125966609E-08  -4.031977E-01   4.200000000E+01
    18      38.922253   4.065111E-01   7.294638E+14    8.84111E+34   9.058791383E-08  -4.031973E-01   4.200000000E+01
    19      42.163825   4.065106E-01   7.294628E+14    8.84108E+34   1.151585015E-07  -4.031969E-01   4.200000000E+01
    20      45.675338   4.065101E-01   7.294617E+14    8.84105E+34   1.463931976E-07  -4.031964E-01   4.200000000E+01
    21      49.479263   4.065094E-01   7.294604E+14    8.84100E+34   1.860993197E-07  -4.031958E-01   4.200000000E+01
    22      53.599940   4.065086E-01   7.294588E+14    8.84095E+34   2.365742636E-07  -4.031952E-01   4.200000000E+01
    23      58.063735   4.065078E-01   7.294570E+14    8.84089E+34   3.007383596E-07  -4.031944E-01   4.200000000E+01
    24      62.899200   4.065067E-01   7.294549E+14    8.84082E+34   3.823037295E-07  -4.031934E-01   4.200000000E+01
    25      68.137264   4.065055E-01   7.294524E+14    8.84074E+34   4.859888894E-07  -4.031923E-01   4.200000000E+01
    26      73.811420   4.065040E-01   7.294495E+14    8.84065E+34   6.177914790E-07  -4.031911E-01   4.200000000E+01
    27      79.957945   4.065023E-01   7.294460E+14    8.84054E+34   7.853348455E-07  -4.031896E-01   4.200000000E+01
    28      86.616121   4.065003E-01   7.294420E+14    8.84040E+34   9.983084506E-07  -4.031878E-01   4.200000000E+01
    29      93.828488   4.064980E-01   7.294372E+14    8.84025E+34   1.269027462E-06  -4.031857E-01   4.200000000E+01
    30     101.641109   4.064953E-01   7.294317E+14    8.84007E+34   1.613143717E-06  -4.031833E-01   4.200000000E+01
    31     110.103856   4.064920E-01   7.294252E+14    8.83986E+34   2.050548926E-06  -4.031804E-01   4.200000000E+01
    32     119.270725   4.064883E-01   7.294175E+14    8.83961E+34   2.606521938E-06  -4.031771E-01   4.200000000E+01
    33     129.200164   4.064838E-01   7.294085E+14    8.83932E+34   3.313185843E-06  -4.031732E-01   4.200000000E+01
    34     139.955440   4.064786E-01   7.293980E+14    8.83897E+34   4.211358270E-06  -4.031685E-01   4.200000000E+01
    35     151.605021   4.064725E-01   7.293856E+14    8.83857E+34   5.352900523E-06  -4.031631E-01   4.200000000E+01
    36     164.222992   4.064654E-01   7.293711E+14    8.83810E+34   6.803699405E-06  -4.031568E-01   4.200000000E+01
    37     177.889503   4.064570E-01   7.293541E+14    8.83754E+34   8.647451092E-06  -4.031493E-01   4.200000000E+01
    38     192.691239   4.064472E-01   7.293341E+14    8.83689E+34   1.099046134E-05  -4.031406E-01   4.200000000E+01
    39     208.721934   4.064356E-01   7.293107E+14    8.83613E+34   1.396773276E-05  -4.031303E-01   4.200000000E+01
    40     226.082908   4.064221E-01   7.292832E+14    8.83524E+34   1.775068100E-05  -4.031183E-01   4.200000000E+01
    41     244.883640   4.064062E-01   7.292509E+14    8.83419E+34   2.255691080E-05  -4.031042E-01   4.200000000E+01
    42     265.242370   4.063875E-01   7.292131E+14    8.83296E+34   2.866259447E-05  -4.030877E-01   4.200000000E+01
    43     287.286741   4.063657E-01   7.291688E+14    8.83151E+34   3.641813485E-05  -4.030683E-01   4.200000000E+01
    44     311.154452   4.063400E-01   7.291168E+14    8.82982E+34   4.626796806E-05  -4.030455E-01   4.200000000E+01
    45     336.993951   4.063099E-01   7.290558E+14    8.82784E+34   5.877557626E-05  -4.030188E-01   4.200000000E+01
    46     364.965134   4.062747E-01   7.289843E+14    8.82551E+34   7.465504589E-05  -4.029876E-01   4.200000000E+01
    47     395.240059   4.062334E-01   7.289005E+14    8.82279E+34   9.481083166E-05  -4.029509E-01   4.200000000E+01
    48     428.003650   4.061850E-01   7.288023E+14    8.81959E+34   1.203877822E-04  -4.029079E-01   4.200000000E+01
    49     463.454389   4.061282E-01   7.286873E+14    8.81585E+34   1.528339608E-04  -4.028576E-01   4.200000000E+01
    50     501.804955   4.060618E-01   7.285525E+14    8.81147E+34   1.939793648E-04  -4.027986E-01   4.200000000E+01
    51     543.282810   4.059840E-01   7.283947E+14    8.80635E+34   2.461343177E-04  -4.027296E-01   4.200000000E+01
    52     588.130666   4.058929E-01   7.282100E+14    8.80035E+34   3.122120834E-04  -4.026488E-01   4.200000000E+01
    53     636.606817   4.057863E-01   7.279940E+14    8.79333E+34   3.958811305E-04  -4.025543E-01   4.200000000E+01
    54     688.985265   4.056616E-01   7.277413E+14    8.78512E+34   5.017534296E-04  -4.024437E-01   4.200000000E+01
    55     745.555573   4.055159E-01   7.274459E+14    8.77554E+34   6.356161699E-04  -4.023145E-01   4.200000000E+01
    56     806.622385   4.053457E-01   7.271010E+14    8.76436E+34   8.047152479E-04  -4.021637E-01   4.200000000E+01
    57     872.504485   4.051471E-01   7.266985E+14    8.75131E+34   1.018099702E-03  -4.019876E-01   4.200000000E+01
    58     943.533322   4.049154E-01   7.262293E+14    8.73612E+34   1.287036750E-03  -4.017823E-01   4.200000000E+01
    59    1020.050850   4.046456E-01   7.256828E+14    8.71843E+34   1.625506991E-03  -4.015433E-01   4.200000000E+01
    60    1102.406564   4.043317E-01   7.250471E+14    8.69789E+34   2.050788246E-03  -4.012653E-01   4.200000000E+01
    61    1190.953578   4.039669E-01   7.243087E+14    8.67405E+34   2.584134074E-03  -4.009424E-01   4.200000000E+01
    62    1286.043621   4.035438E-01   7.234525E+14    8.64645E+34   3.251548458E-03  -4.005680E-01   4.200000000E+01
    63    1388.020820   4.030539E-01   7.224615E+14    8.61456E+34   4.084651104E-03  -4.001347E-01   4.200000000E+01
    64    1497.214177   4.024878E-01   7.213169E+14    8.57779E+34   5.121617348E-03  -3.996343E-01   4.200000000E+01
    65    1613.928717   4.018352E-01   7.199981E+14    8.53552E+34   6.408162560E-03  -3.990578E-01   4.200000000E+01
    66    1738.435362   4.010850E-01   7.184829E+14    8.48708E+34   7.998522887E-03  -3.983956E-01   4.200000000E+01
    67    1870.959689   4.002250E-01   7.167472E+14    8.43175E+34   9.956362855E-03  -3.976372E-01   4.200000000E+01
    68    2011.669899   3.992425E-01   7.147659E+14    8.36880E+34   1.235551724E-02  -3.967717E-01   4.200000000E+01
    69    2160.664465   3.981241E-01   7.125127E+14    8.29749E+34   1.528045260E-02  -3.957877E-01   4.200000000E+01
    70    2317.960114   3.968563E-01   7.099610E+14    8.21708E+34   1.882631710E-02  -3.946737E-01   4.200000000E+01
    71    2483.480921   3.954255E-01   7.070844E+14    8.12689E+34   2.309844144E-02  -3.934184E-01   4.200000000E+01
    72    2657.049433   3.938184E-01   7.038576E+14    8.02628E+34   2.821116403E-02  -3.920109E-01   4.200000000E+01
    73    2838.380707   3.920224E-01   7.002570E+14    7.91473E+34   3.428588559E-02  -3.904413E-01   4.200000000E+01
    74    3027.080086   3.900263E-01   6.962615E+14    7.79183E+34   4.144831367E-02  -3.887008E-01   4.200000000E+01
    75    3222.645320   3.878205E-01   6.918540E+14    7.65733E+34   4.982493365E-02  -3.867822E-01   4.200000000E+01
    76    3424.473289   3.853971E-01   6.870215E+14    7.51117E+34   5.953883262E-02  -3.846807E-01   4.200000000E+01
