       6    1368     665     800

     EOS file :  /home/fortin/Desktop/NSCool/EOS/BSk21_EOS_Acc_Fe.dat                  

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.166631E-01   9.647775E+14    1.81635E+35   0.000000000E+00  -5.890762E-01   0.000000000E+00
     1       1.000000   5.166631E-01   9.647775E+14    1.81635E+35   2.031800502E-12  -5.890762E-01   1.822250948E-12
     2       1.016667   5.166631E-01   9.647775E+14    1.81635E+35   2.135093102E-12  -5.890762E-01   1.914890475E-12
     3       1.033611   5.166631E-01   9.647775E+14    1.81635E+35   2.243636886E-12  -5.890762E-01   2.012239607E-12
     4       1.050838   5.166631E-01   9.647775E+14    1.81635E+35   2.357698816E-12  -5.890762E-01   2.114537770E-12
     5       1.068352   5.166631E-01   9.647775E+14    1.81635E+35   2.477559421E-12  -5.890762E-01   2.222036563E-12
     6       1.086158   5.166631E-01   9.647775E+14    1.81635E+35   2.603513496E-12  -5.890762E-01   2.335000376E-12
     7       1.104260   5.166631E-01   9.647775E+14    1.81635E+35   2.735870819E-12  -5.890762E-01   2.453707040E-12
     8       1.122665   5.166631E-01   9.647775E+14    1.81635E+35   2.874956919E-12  -5.890762E-01   2.578448508E-12
     9       1.141376   5.166631E-01   9.647775E+14    1.81635E+35   3.021113873E-12  -5.890762E-01   2.709531578E-12
    10       1.160399   5.166631E-01   9.647775E+14    1.81635E+35   3.174701148E-12  -5.890762E-01   2.847278645E-12
    11       1.179739   5.166631E-01   9.647775E+14    1.81635E+35   3.336096488E-12  -5.890762E-01   2.992028492E-12
    12       1.199401   5.166631E-01   9.647775E+14    1.81635E+35   3.505696838E-12  -5.890762E-01   3.144137126E-12
    13       1.219391   5.166631E-01   9.647775E+14    1.81635E+35   3.683919324E-12  -5.890762E-01   3.303978653E-12
    14       1.239714   5.166631E-01   9.647775E+14    1.81635E+35   3.871202278E-12  -5.890762E-01   3.471946198E-12
    15       1.260376   5.166631E-01   9.647775E+14    1.81635E+35   4.068006317E-12  -5.890762E-01   3.648452871E-12
    16       1.281383   5.166631E-01   9.647775E+14    1.81635E+35   4.274815471E-12  -5.890762E-01   3.833932783E-12
    17       1.302739   5.166631E-01   9.647775E+14    1.81635E+35   4.492138381E-12  -5.890762E-01   4.028842117E-12
    18       1.324451   5.166630E-01   9.647775E+14    1.81635E+35   4.720509546E-12  -5.890762E-01   4.233660243E-12
    19       1.346525   5.166630E-01   9.647775E+14    1.81635E+35   4.960490635E-12  -5.890762E-01   4.448890906E-12
    20       1.368967   5.166630E-01   9.647775E+14    1.81635E+35   5.212671873E-12  -5.890762E-01   4.675063457E-12
    21       1.391784   5.166630E-01   9.647775E+14    1.81635E+35   5.477673492E-12  -5.890762E-01   4.912734160E-12
    22       1.414980   5.166630E-01   9.647775E+14    1.81635E+35   5.756147253E-12  -5.890762E-01   5.162487557E-12
    23       1.438563   5.166630E-01   9.647775E+14    1.81635E+35   6.048778053E-12  -5.890762E-01   5.424937908E-12
    24       1.462539   5.166630E-01   9.647775E+14    1.81635E+35   6.356285606E-12  -5.890762E-01   5.700730700E-12
    25       1.486915   5.166630E-01   9.647775E+14    1.81635E+35   6.679426216E-12  -5.890762E-01   5.990544236E-12
    26       1.511697   5.166630E-01   9.647775E+14    1.81635E+35   7.018994637E-12  -5.890762E-01   6.295091301E-12
    27       1.536892   5.166630E-01   9.647775E+14    1.81635E+35   7.375826024E-12  -5.890762E-01   6.615120919E-12
    28       1.562506   5.166630E-01   9.647775E+14    1.81635E+35   7.750797991E-12  -5.890762E-01   6.951420190E-12
    29       1.588548   5.166630E-01   9.647775E+14    1.81635E+35   8.144832769E-12  -5.890762E-01   7.304816230E-12
    30       1.615024   5.166630E-01   9.647775E+14    1.81635E+35   8.558899472E-12  -5.890762E-01   7.676178205E-12
    31       1.641941   5.166630E-01   9.647775E+14    1.81635E+35   8.994016482E-12  -5.890762E-01   8.066419466E-12
    32       1.669307   5.166630E-01   9.647775E+14    1.81635E+35   9.451253953E-12  -5.890762E-01   8.476499798E-12
    33       1.697129   5.166630E-01   9.647775E+14    1.81635E+35   9.931736446E-12  -5.890762E-01   8.907427777E-12
    34       1.725414   5.166630E-01   9.647775E+14    1.81635E+35   1.043664569E-11  -5.890762E-01   9.360263257E-12
    35       1.754171   5.166630E-01   9.647775E+14    1.81635E+35   1.096722349E-11  -5.890762E-01   9.836119970E-12
    36       1.783407   5.166630E-01   9.647775E+14    1.81635E+35   1.152477478E-11  -5.890762E-01   1.033616827E-11
    37       1.813131   5.166630E-01   9.647775E+14    1.81635E+35   1.211067085E-11  -5.890762E-01   1.086163800E-11
    38       1.843349   5.166630E-01   9.647775E+14    1.81635E+35   1.272635267E-11  -5.890762E-01   1.141382155E-11
    39       1.874072   5.166630E-01   9.647775E+14    1.81635E+35   1.337333451E-11  -5.890762E-01   1.199407698E-11
    40       1.905306   5.166630E-01   9.647775E+14    1.81635E+35   1.405320758E-11  -5.890762E-01   1.260383141E-11
    41       1.937061   5.166630E-01   9.647775E+14    1.81635E+35   1.476764401E-11  -5.890762E-01   1.324458452E-11
    42       1.969346   5.166630E-01   9.647775E+14    1.81635E+35   1.551840093E-11  -5.890762E-01   1.391791220E-11
    43       2.002168   5.166630E-01   9.647775E+14    1.81635E+35   1.630732481E-11  -5.890762E-01   1.462547050E-11
    44       2.035538   5.166630E-01   9.647775E+14    1.81635E+35   1.713635596E-11  -5.890762E-01   1.536899961E-11
    45       2.069463   5.166630E-01   9.647775E+14    1.81635E+35   1.800753337E-11  -5.890762E-01   1.615032823E-11
    46       2.103954   5.166630E-01   9.647775E+14    1.81635E+35   1.892299966E-11  -5.890762E-01   1.697137800E-11
    47       2.139020   5.166630E-01   9.647775E+14    1.81635E+35   1.988500639E-11  -5.890762E-01   1.783416827E-11
    48       2.174671   5.166630E-01   9.647775E+14    1.81635E+35   2.089591958E-11  -5.890762E-01   1.874082104E-11
    49       2.210915   5.166630E-01   9.647775E+14    1.81635E+35   2.195822553E-11  -5.890762E-01   1.969356618E-11
    50       2.247764   5.166630E-01   9.647775E+14    1.81635E+35   2.307453695E-11  -5.890762E-01   2.069474695E-11
    51       2.285226   5.166630E-01   9.647775E+14    1.81635E+35   2.424759937E-11  -5.890762E-01   2.174682570E-11
    52       2.323314   5.166630E-01   9.647775E+14    1.81635E+35   2.548029788E-11  -5.890762E-01   2.285238999E-11
    53       2.362035   5.166630E-01   9.647775E+14    1.81635E+35   2.677566428E-11  -5.890762E-01   2.401415891E-11
    54       2.401403   5.166630E-01   9.647775E+14    1.81635E+35   2.813688445E-11  -5.890762E-01   2.523498980E-11
    55       2.441426   5.166630E-01   9.647775E+14    1.81635E+35   2.956730628E-11  -5.890762E-01   2.651788523E-11
    56       2.482117   5.166630E-01   9.647775E+14    1.81635E+35   3.107044784E-11  -5.890762E-01   2.786600046E-11
    57       2.523485   5.166630E-01   9.647775E+14    1.81635E+35   3.265000605E-11  -5.890762E-01   2.928265111E-11
    58       2.565543   5.166630E-01   9.647775E+14    1.81635E+35   3.430986577E-11  -5.890762E-01   3.077132139E-11
    59       2.608302   5.166630E-01   9.647775E+14    1.81635E+35   3.605410937E-11  -5.890762E-01   3.233567263E-11
    60       2.651774   5.166630E-01   9.647775E+14    1.81635E+35   3.788702675E-11  -5.890762E-01   3.397955229E-11
    61       2.695970   5.166630E-01   9.647775E+14    1.81635E+35   3.981312592E-11  -5.890762E-01   3.570700344E-11
    62       2.740903   5.166630E-01   9.647775E+14    1.81635E+35   4.183714402E-11  -5.890762E-01   3.752227468E-11
    63       2.786585   5.166630E-01   9.647775E+14    1.81635E+35   4.396405908E-11  -5.890762E-01   3.942983061E-11
    64       2.833028   5.166630E-01   9.647775E+14    1.81635E+35   4.619910215E-11  -5.890762E-01   4.143436278E-11
    65       2.880245   5.166630E-01   9.647775E+14    1.81635E+35   4.854777025E-11  -5.890762E-01   4.354080128E-11
    66       2.928249   5.166630E-01   9.647775E+14    1.81635E+35   5.101583984E-11  -5.890762E-01   4.575432681E-11
    67       2.977053   5.166630E-01   9.647775E+14    1.81635E+35   5.360938104E-11  -5.890762E-01   4.808038345E-11
    68       3.026671   5.166630E-01   9.647775E+14    1.81635E+35   5.633477257E-11  -5.890762E-01   5.052469207E-11
    69       3.077115   5.166630E-01   9.647775E+14    1.81635E+35   5.919871744E-11  -5.890762E-01   5.309326435E-11
    70       3.128401   5.166630E-01   9.647775E+14    1.81635E+35   6.220825942E-11  -5.890762E-01   5.579241759E-11
    71       3.180541   5.166630E-01   9.647775E+14    1.81635E+35   6.537080036E-11  -5.890762E-01   5.862879027E-11
    72       3.233550   5.166630E-01   9.647775E+14    1.81635E+35   6.869411841E-11  -5.890762E-01   6.160935834E-11
    73       3.287442   5.166630E-01   9.647775E+14    1.81635E+35   7.218638716E-11  -5.890762E-01   6.474145241E-11
    74       3.342233   5.166630E-01   9.647775E+14    1.81635E+35   7.585619570E-11  -5.890762E-01   6.803277573E-11
    75       3.397937   5.166630E-01   9.647775E+14    1.81635E+35   7.971256981E-11  -5.890762E-01   7.149142321E-11
    76       3.454569   5.166630E-01   9.647775E+14    1.81635E+35   8.376499409E-11  -5.890762E-01   7.512590125E-11
