       6    1357     642     789

     EOS file :  /home/forgane/Desktop/NSCool/EOS/DD2_HG_EOS_Acc_Fe.dat                

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.709743E-01   6.652033E+14    8.51418E+34   0.000000000E+00  -4.181757E-01   0.000000000E+00
     1       1.000000   3.709743E-01   6.652033E+14    8.51418E+34   1.400903688E-12  -4.181757E-01   1.308412248E-12
     2       1.016667   3.709743E-01   6.652033E+14    8.51418E+34   1.472122778E-12  -4.181757E-01   1.374929262E-12
     3       1.033611   3.709743E-01   6.652033E+14    8.51418E+34   1.546962502E-12  -4.181757E-01   1.444827865E-12
     4       1.050838   3.709743E-01   6.652033E+14    8.51418E+34   1.625606925E-12  -4.181757E-01   1.518279971E-12
     5       1.068352   3.709743E-01   6.652033E+14    8.51418E+34   1.708249470E-12  -4.181757E-01   1.595466233E-12
     6       1.086158   3.709743E-01   6.652033E+14    8.51418E+34   1.795093394E-12  -4.181757E-01   1.676576487E-12
     7       1.104260   3.709743E-01   6.652033E+14    8.51418E+34   1.886352286E-12  -4.181757E-01   1.761810220E-12
     8       1.122665   3.709743E-01   6.652033E+14    8.51418E+34   1.982250594E-12  -4.181757E-01   1.851377064E-12
     9       1.141376   3.709743E-01   6.652033E+14    8.51418E+34   2.083024177E-12  -4.181757E-01   1.945497303E-12
    10       1.160399   3.709743E-01   6.652033E+14    8.51418E+34   2.188920883E-12  -4.181757E-01   2.044402423E-12
    11       1.179739   3.709743E-01   6.652033E+14    8.51418E+34   2.300201162E-12  -4.181757E-01   2.148335679E-12
    12       1.199401   3.709743E-01   6.652033E+14    8.51418E+34   2.417138704E-12  -4.181757E-01   2.257552689E-12
    13       1.219391   3.709743E-01   6.652033E+14    8.51418E+34   2.540021113E-12  -4.181757E-01   2.372322069E-12
    14       1.239714   3.709743E-01   6.652033E+14    8.51418E+34   2.669150612E-12  -4.181757E-01   2.492926091E-12
    15       1.260376   3.709743E-01   6.652033E+14    8.51418E+34   2.804844793E-12  -4.181757E-01   2.619661376E-12
    16       1.281383   3.709743E-01   6.652033E+14    8.51418E+34   2.947437389E-12  -4.181757E-01   2.752839625E-12
    17       1.302739   3.709743E-01   6.652033E+14    8.51418E+34   3.097279102E-12  -4.181757E-01   2.892788384E-12
    18       1.324451   3.709743E-01   6.652033E+14    8.51418E+34   3.254738462E-12  -4.181757E-01   3.039851853E-12
    19       1.346525   3.709743E-01   6.652033E+14    8.51418E+34   3.420202736E-12  -4.181757E-01   3.194391730E-12
    20       1.368967   3.709743E-01   6.652033E+14    8.51418E+34   3.594078876E-12  -4.181757E-01   3.356788099E-12
    21       1.391784   3.709743E-01   6.652033E+14    8.51418E+34   3.776794524E-12  -4.181757E-01   3.527440368E-12
    22       1.414980   3.709743E-01   6.652033E+14    8.51418E+34   3.968799065E-12  -4.181757E-01   3.706768251E-12
    23       1.438563   3.709743E-01   6.652033E+14    8.51418E+34   4.170564724E-12  -4.181757E-01   3.895212798E-12
    24       1.462539   3.709743E-01   6.652033E+14    8.51418E+34   4.382587739E-12  -4.181757E-01   4.093237482E-12
    25       1.486915   3.709743E-01   6.652033E+14    8.51418E+34   4.605389571E-12  -4.181757E-01   4.301329338E-12
    26       1.511697   3.709743E-01   6.652033E+14    8.51418E+34   4.839518195E-12  -4.181757E-01   4.520000159E-12
    27       1.536892   3.709743E-01   6.652033E+14    8.51418E+34   5.085549441E-12  -4.181757E-01   4.749787760E-12
    28       1.562506   3.709743E-01   6.652033E+14    8.51418E+34   5.344088414E-12  -4.181757E-01   4.991257294E-12
    29       1.588548   3.709743E-01   6.652033E+14    8.51418E+34   5.615770982E-12  -4.181757E-01   5.245002647E-12
    30       1.615024   3.709743E-01   6.652033E+14    8.51418E+34   5.901265338E-12  -4.181757E-01   5.511647896E-12
    31       1.641941   3.709743E-01   6.652033E+14    8.51418E+34   6.201273644E-12  -4.181757E-01   5.791848847E-12
    32       1.669307   3.709743E-01   6.652033E+14    8.51418E+34   6.516533762E-12  -4.181757E-01   6.086294643E-12
    33       1.697129   3.709743E-01   6.652033E+14    8.51418E+34   6.847821062E-12  -4.181757E-01   6.395709463E-12
    34       1.725414   3.709743E-01   6.652033E+14    8.51418E+34   7.195950332E-12  -4.181757E-01   6.720854302E-12
    35       1.754171   3.709743E-01   6.652033E+14    8.51418E+34   7.561777785E-12  -4.181757E-01   7.062528842E-12
    36       1.783407   3.709743E-01   6.652033E+14    8.51418E+34   7.946203161E-12  -4.181757E-01   7.421573420E-12
    37       1.813131   3.709743E-01   6.652033E+14    8.51418E+34   8.350171938E-12  -4.181757E-01   7.798871092E-12
    38       1.843349   3.709743E-01   6.652033E+14    8.51418E+34   8.774677665E-12  -4.181757E-01   8.195349808E-12
    39       1.874072   3.709743E-01   6.652033E+14    8.51418E+34   9.220764398E-12  -4.181757E-01   8.611984695E-12
    40       1.905306   3.709743E-01   6.652033E+14    8.51418E+34   9.689529271E-12  -4.181757E-01   9.049800449E-12
    41       1.937061   3.709743E-01   6.652033E+14    8.51418E+34   1.018212519E-11  -4.181757E-01   9.509873865E-12
    42       1.969346   3.709743E-01   6.652033E+14    8.51418E+34   1.069976369E-11  -4.181757E-01   9.993336475E-12
    43       2.002168   3.709743E-01   6.652033E+14    8.51418E+34   1.124371787E-11  -4.181757E-01   1.050137734E-11
    44       2.035538   3.709743E-01   6.652033E+14    8.51418E+34   1.181532557E-11  -4.181757E-01   1.103524596E-11
    45       2.069463   3.709743E-01   6.652033E+14    8.51418E+34   1.241599265E-11  -4.181757E-01   1.159625538E-11
    46       2.103954   3.709743E-01   6.652033E+14    8.51418E+34   1.304719641E-11  -4.181757E-01   1.218578537E-11
    47       2.139020   3.709743E-01   6.652033E+14    8.51418E+34   1.371048928E-11  -4.181757E-01   1.280528587E-11
    48       2.174671   3.709743E-01   6.652033E+14    8.51418E+34   1.440750261E-11  -4.181757E-01   1.345628051E-11
    49       2.210915   3.709743E-01   6.652033E+14    8.51418E+34   1.513995068E-11  -4.181757E-01   1.414037038E-11
    50       2.247764   3.709743E-01   6.652033E+14    8.51418E+34   1.590963491E-11  -4.181757E-01   1.485923800E-11
    51       2.285226   3.709743E-01   6.652033E+14    8.51418E+34   1.671844832E-11  -4.181757E-01   1.561465137E-11
    52       2.323314   3.709743E-01   6.652033E+14    8.51418E+34   1.756838016E-11  -4.181757E-01   1.640846842E-11
    53       2.362035   3.709743E-01   6.652033E+14    8.51418E+34   1.846152079E-11  -4.181757E-01   1.724264151E-11
    54       2.401403   3.709743E-01   6.652033E+14    8.51418E+34   1.940006687E-11  -4.181757E-01   1.811922226E-11
    55       2.441426   3.709743E-01   6.652033E+14    8.51418E+34   2.038632672E-11  -4.181757E-01   1.904036659E-11
    56       2.482117   3.709743E-01   6.652033E+14    8.51418E+34   2.142272601E-11  -4.181757E-01   2.000834002E-11
    57       2.523485   3.709743E-01   6.652033E+14    8.51418E+34   2.251181372E-11  -4.181757E-01   2.102552324E-11
    58       2.565543   3.709743E-01   6.652033E+14    8.51418E+34   2.365626843E-11  -4.181757E-01   2.209441798E-11
    59       2.608302   3.709743E-01   6.652033E+14    8.51418E+34   2.485890489E-11  -4.181757E-01   2.321765315E-11
    60       2.651774   3.709743E-01   6.652033E+14    8.51418E+34   2.612268092E-11  -4.181757E-01   2.439799130E-11
    61       2.695970   3.709743E-01   6.652033E+14    8.51418E+34   2.745070475E-11  -4.181757E-01   2.563833543E-11
    62       2.740903   3.709743E-01   6.652033E+14    8.51418E+34   2.884624260E-11  -4.181757E-01   2.694173613E-11
    63       2.786585   3.709743E-01   6.652033E+14    8.51418E+34   3.031272675E-11  -4.181757E-01   2.831139907E-11
    64       2.833028   3.709743E-01   6.652033E+14    8.51418E+34   3.185376395E-11  -4.181757E-01   2.975069287E-11
    65       2.880245   3.709743E-01   6.652033E+14    8.51418E+34   3.347314435E-11  -4.181757E-01   3.126315743E-11
    66       2.928249   3.709743E-01   6.652033E+14    8.51418E+34   3.517485073E-11  -4.181757E-01   3.285251260E-11
    67       2.977053   3.709743E-01   6.652033E+14    8.51418E+34   3.696306839E-11  -4.181757E-01   3.452266734E-11
    68       3.026671   3.709743E-01   6.652033E+14    8.51418E+34   3.884219539E-11  -4.181757E-01   3.627772934E-11
    69       3.077115   3.709743E-01   6.652033E+14    8.51418E+34   4.081685336E-11  -4.181757E-01   3.812201511E-11
    70       3.128401   3.709743E-01   6.652033E+14    8.51418E+34   4.289189891E-11  -4.181757E-01   4.006006060E-11
    71       3.180541   3.709743E-01   6.652033E+14    8.51418E+34   4.507243554E-11  -4.181757E-01   4.209663237E-11
    72       3.233550   3.709743E-01   6.652033E+14    8.51418E+34   4.736382619E-11  -4.181757E-01   4.423673929E-11
    73       3.287442   3.709743E-01   6.652033E+14    8.51418E+34   4.977170647E-11  -4.181757E-01   4.648564487E-11
    74       3.342233   3.709743E-01   6.652033E+14    8.51418E+34   5.230199845E-11  -4.181757E-01   4.884888022E-11
    75       3.397937   3.709743E-01   6.652033E+14    8.51418E+34   5.496092531E-11  -4.181757E-01   5.133225763E-11
    76       3.454569   3.709743E-01   6.652033E+14    8.51418E+34   5.775502658E-11  -4.181757E-01   5.394188487E-11
