       6    1734     635     785

     EOS file :  /home/forgane/Desktop/NSCool/EOS/DD2_HG_EOS_Cat_Fe.dat                

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.389611E-01   6.007194E+14    6.32293E+34   0.000000000E+00  -3.520404E-01   0.000000000E+00
     1       1.000000   3.389611E-01   6.007194E+14    6.32293E+34   1.265102021E-12  -3.520404E-01   1.195502958E-12
     2       1.016667   3.389611E-01   6.007194E+14    6.32293E+34   1.329417231E-12  -3.520404E-01   1.256279893E-12
     3       1.033611   3.389611E-01   6.007194E+14    6.32293E+34   1.397002096E-12  -3.520404E-01   1.320146604E-12
     4       1.050838   3.389611E-01   6.007194E+14    6.32293E+34   1.468022837E-12  -3.520404E-01   1.387260169E-12
     5       1.068352   3.389611E-01   6.007194E+14    6.32293E+34   1.542654128E-12  -3.520404E-01   1.457785651E-12
     6       1.086158   3.389611E-01   6.007194E+14    6.32293E+34   1.621079522E-12  -3.520404E-01   1.531896504E-12
     7       1.104260   3.389611E-01   6.007194E+14    6.32293E+34   1.703491903E-12  -3.520404E-01   1.609775002E-12
     8       1.122665   3.389611E-01   6.007194E+14    6.32293E+34   1.790093962E-12  -3.520404E-01   1.691612685E-12
     9       1.141376   3.389611E-01   6.007194E+14    6.32293E+34   1.881098693E-12  -3.520404E-01   1.777610828E-12
    10       1.160399   3.389611E-01   6.007194E+14    6.32293E+34   1.976729919E-12  -3.520404E-01   1.867980942E-12
    11       1.179739   3.389611E-01   6.007194E+14    6.32293E+34   2.077222842E-12  -3.520404E-01   1.962945289E-12
    12       1.199401   3.389611E-01   6.007194E+14    6.32293E+34   2.182824620E-12  -3.520404E-01   2.062737429E-12
    13       1.219391   3.389611E-01   6.007194E+14    6.32293E+34   2.293794977E-12  -3.520404E-01   2.167602798E-12
    14       1.239714   3.389611E-01   6.007194E+14    6.32293E+34   2.410406842E-12  -3.520404E-01   2.277799310E-12
    15       1.260376   3.389611E-01   6.007194E+14    6.32293E+34   2.532947016E-12  -3.520404E-01   2.393597987E-12
    16       1.281383   3.389611E-01   6.007194E+14    6.32293E+34   2.661716883E-12  -3.520404E-01   2.515283633E-12
    17       1.302739   3.389611E-01   6.007194E+14    6.32293E+34   2.797033147E-12  -3.520404E-01   2.643155530E-12
    18       1.324451   3.389611E-01   6.007194E+14    6.32293E+34   2.939228615E-12  -3.520404E-01   2.777528173E-12
    19       1.346525   3.389611E-01   6.007194E+14    6.32293E+34   3.088653011E-12  -3.520404E-01   2.918732048E-12
    20       1.368967   3.389611E-01   6.007194E+14    6.32293E+34   3.245673838E-12  -3.520404E-01   3.067114440E-12
    21       1.391784   3.389611E-01   6.007194E+14    6.32293E+34   3.410677284E-12  -3.520404E-01   3.223040290E-12
    22       1.414980   3.389611E-01   6.007194E+14    6.32293E+34   3.584069170E-12  -3.520404E-01   3.386893094E-12
    23       1.438563   3.389611E-01   6.007194E+14    6.32293E+34   3.766275945E-12  -3.520404E-01   3.559075839E-12
    24       1.462539   3.389611E-01   6.007194E+14    6.32293E+34   3.957745742E-12  -3.520404E-01   3.740012005E-12
    25       1.486915   3.389611E-01   6.007194E+14    6.32293E+34   4.158949473E-12  -3.520404E-01   3.930146597E-12
    26       1.511697   3.389611E-01   6.007194E+14    6.32293E+34   4.370381991E-12  -3.520404E-01   4.129947244E-12
    27       1.536892   3.389611E-01   6.007194E+14    6.32293E+34   4.592563308E-12  -3.520404E-01   4.339905348E-12
    28       1.562506   3.389611E-01   6.007194E+14    6.32293E+34   4.826039870E-12  -3.520404E-01   4.560537295E-12
    29       1.588548   3.389611E-01   6.007194E+14    6.32293E+34   5.071385905E-12  -3.520404E-01   4.792385721E-12
    30       1.615024   3.389611E-01   6.007194E+14    6.32293E+34   5.329204833E-12  -3.520404E-01   5.036020848E-12
    31       1.641941   3.389611E-01   6.007194E+14    6.32293E+34   5.600130749E-12  -3.520404E-01   5.292041888E-12
    32       1.669307   3.389611E-01   6.007194E+14    6.32293E+34   5.884829986E-12  -3.520404E-01   5.561078516E-12
    33       1.697129   3.389611E-01   6.007194E+14    6.32293E+34   6.184002753E-12  -3.520404E-01   5.843792418E-12
    34       1.725414   3.389611E-01   6.007194E+14    6.32293E+34   6.498384853E-12  -3.520404E-01   6.140878919E-12
    35       1.754171   3.389611E-01   6.007194E+14    6.32293E+34   6.828749499E-12  -3.520403E-01   6.453068692E-12
    36       1.783407   3.389611E-01   6.007194E+14    6.32293E+34   7.175909209E-12  -3.520403E-01   6.781129557E-12
    37       1.813131   3.389611E-01   6.007194E+14    6.32293E+34   7.540717812E-12  -3.520403E-01   7.125868368E-12
    38       1.843349   3.389611E-01   6.007194E+14    6.32293E+34   7.924072540E-12  -3.520403E-01   7.488132996E-12
    39       1.874072   3.389611E-01   6.007194E+14    6.32293E+34   8.326916241E-12  -3.520403E-01   7.868814421E-12
    40       1.905306   3.389611E-01   6.007194E+14    6.32293E+34   8.750239695E-12  -3.520403E-01   8.268848913E-12
    41       1.937061   3.389611E-01   6.007194E+14    6.32293E+34   9.195084050E-12  -3.520403E-01   8.689220343E-12
    42       1.969346   3.389611E-01   6.007194E+14    6.32293E+34   9.662543385E-12  -3.520403E-01   9.130962599E-12
    43       2.002168   3.389611E-01   6.007194E+14    6.32293E+34   1.015376740E-11  -3.520403E-01   9.595162132E-12
    44       2.035538   3.389611E-01   6.007194E+14    6.32293E+34   1.066996424E-11  -3.520403E-01   1.008296062E-11
    45       2.069463   3.389611E-01   6.007194E+14    6.32293E+34   1.121240348E-11  -3.520403E-01   1.059555779E-11
    46       2.103954   3.389611E-01   6.007194E+14    6.32293E+34   1.178241922E-11  -3.520403E-01   1.113421436E-11
    47       2.139020   3.389611E-01   6.007194E+14    6.32293E+34   1.238141340E-11  -3.520403E-01   1.170025513E-11
    48       2.174671   3.389611E-01   6.007194E+14    6.32293E+34   1.301085922E-11  -3.520403E-01   1.229507225E-11
    49       2.210915   3.389611E-01   6.007194E+14    6.32293E+34   1.367230478E-11  -3.520403E-01   1.292012867E-11
    50       2.247764   3.389611E-01   6.007194E+14    6.32293E+34   1.436737689E-11  -3.520403E-01   1.357696168E-11
    51       2.285226   3.389611E-01   6.007194E+14    6.32293E+34   1.509778504E-11  -3.520403E-01   1.426718674E-11
    52       2.323314   3.389611E-01   6.007194E+14    6.32293E+34   1.586532566E-11  -3.520403E-01   1.499250143E-11
    53       2.362035   3.389611E-01   6.007194E+14    6.32293E+34   1.667188647E-11  -3.520403E-01   1.575468965E-11
    54       2.401403   3.389611E-01   6.007194E+14    6.32293E+34   1.751945119E-11  -3.520403E-01   1.655562595E-11
    55       2.441426   3.389611E-01   6.007194E+14    6.32293E+34   1.841010438E-11  -3.520403E-01   1.739728023E-11
    56       2.482117   3.389611E-01   6.007194E+14    6.32293E+34   1.934603655E-11  -3.520403E-01   1.828172249E-11
    57       2.523485   3.389611E-01   6.007194E+14    6.32293E+34   2.032954960E-11  -3.520403E-01   1.921112800E-11
    58       2.565543   3.389611E-01   6.007194E+14    6.32293E+34   2.136306246E-11  -3.520403E-01   2.018778258E-11
    59       2.608302   3.389611E-01   6.007194E+14    6.32293E+34   2.244911699E-11  -3.520403E-01   2.121408829E-11
    60       2.651774   3.389611E-01   6.007194E+14    6.32293E+34   2.359038432E-11  -3.520403E-01   2.229256929E-11
    61       2.695970   3.389611E-01   6.007194E+14    6.32293E+34   2.478967135E-11  -3.520403E-01   2.342587806E-11
    62       2.740903   3.389611E-01   6.007194E+14    6.32293E+34   2.604992769E-11  -3.520403E-01   2.461680193E-11
    63       2.786585   3.389611E-01   6.007194E+14    6.32293E+34   2.737425289E-11  -3.520403E-01   2.586826995E-11
    64       2.833028   3.389611E-01   6.007194E+14    6.32293E+34   2.876590408E-11  -3.520403E-01   2.718336004E-11
    65       2.880245   3.389611E-01   6.007194E+14    6.32293E+34   3.022830397E-11  -3.520403E-01   2.856530664E-11
    66       2.928249   3.389611E-01   6.007194E+14    6.32293E+34   3.176504928E-11  -3.520403E-01   3.001750857E-11
    67       2.977053   3.389611E-01   6.007194E+14    6.32293E+34   3.337991959E-11  -3.520403E-01   3.154353749E-11
    68       3.026671   3.389611E-01   6.007194E+14    6.32293E+34   3.507688661E-11  -3.520403E-01   3.314714660E-11
    69       3.077115   3.389611E-01   6.007194E+14    6.32293E+34   3.686012396E-11  -3.520403E-01   3.483227992E-11
    70       3.128401   3.389611E-01   6.007194E+14    6.32293E+34   3.873401746E-11  -3.520403E-01   3.660308199E-11
    71       3.180541   3.389611E-01   6.007194E+14    6.32293E+34   4.070317588E-11  -3.520403E-01   3.846390801E-11
    72       3.233550   3.389611E-01   6.007194E+14    6.32293E+34   4.277244229E-11  -3.520403E-01   4.041933462E-11
    73       3.287442   3.389611E-01   6.007194E+14    6.32293E+34   4.494690597E-11  -3.520403E-01   4.247417113E-11
    74       3.342233   3.389611E-01   6.007194E+14    6.32293E+34   4.723191494E-11  -3.520403E-01   4.463347134E-11
    75       3.397937   3.389611E-01   6.007194E+14    6.32293E+34   4.963308910E-11  -3.520403E-01   4.690254595E-11
    76       3.454569   3.389611E-01   6.007194E+14    6.32293E+34   5.215633404E-11  -3.520403E-01   4.928697568E-11
