       6    1768     670     819

     EOS file :  /home/fortin/Desktop/NSCool/EOS/DD2_HG_EOS_Cat_Fe.dat                 

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   6.689058E-01   1.390250E+15    4.62820E+35   0.000000000E+00  -9.480101E-01   0.000000000E+00
     1       1.000000   6.689058E-01   1.390250E+15    4.62820E+35   2.927836204E-12  -9.480101E-01   2.359205454E-12
     2       1.016667   6.689058E-01   1.390250E+15    4.62820E+35   3.076681433E-12  -9.480101E-01   2.479142654E-12
     3       1.033611   6.689058E-01   1.390250E+15    4.62820E+35   3.233093650E-12  -9.480101E-01   2.605177217E-12
     4       1.050838   6.689058E-01   1.390250E+15    4.62820E+35   3.397457546E-12  -9.480101E-01   2.737619121E-12
     5       1.068352   6.689058E-01   1.390250E+15    4.62820E+35   3.570177367E-12  -9.480101E-01   2.876794101E-12
     6       1.086158   6.689058E-01   1.390250E+15    4.62820E+35   3.751677912E-12  -9.480101E-01   3.023044454E-12
     7       1.104260   6.689058E-01   1.390250E+15    4.62820E+35   3.942405576E-12  -9.480101E-01   3.176729876E-12
     8       1.122665   6.689058E-01   1.390250E+15    4.62820E+35   4.142829444E-12  -9.480101E-01   3.338228353E-12
     9       1.141376   6.689058E-01   1.390250E+15    4.62820E+35   4.353442454E-12  -9.480101E-01   3.507937083E-12
    10       1.160399   6.689058E-01   1.390250E+15    4.62820E+35   4.574762601E-12  -9.480101E-01   3.686273459E-12
    11       1.179739   6.689058E-01   1.390250E+15    4.62820E+35   4.807334212E-12  -9.480101E-01   3.873676093E-12
    12       1.199401   6.689058E-01   1.390250E+15    4.62820E+35   5.051729290E-12  -9.480101E-01   4.070605895E-12
    13       1.219391   6.689058E-01   1.390250E+15    4.62820E+35   5.308548917E-12  -9.480101E-01   4.277547207E-12
    14       1.239714   6.689058E-01   1.390250E+15    4.62820E+35   5.578424729E-12  -9.480101E-01   4.495008994E-12
    15       1.260376   6.689058E-01   1.390250E+15    4.62820E+35   5.862020478E-12  -9.480101E-01   4.723526095E-12
    16       1.281383   6.689058E-01   1.390250E+15    4.62820E+35   6.160033657E-12  -9.480101E-01   4.963660540E-12
    17       1.302739   6.689058E-01   1.390250E+15    4.62820E+35   6.473197219E-12  -9.480101E-01   5.216002931E-12
    18       1.324451   6.689058E-01   1.390250E+15    4.62820E+35   6.802281378E-12  -9.480101E-01   5.481173895E-12
    19       1.346525   6.689058E-01   1.390250E+15    4.62820E+35   7.148095505E-12  -9.480101E-01   5.759825610E-12
    20       1.368967   6.689058E-01   1.390250E+15    4.62820E+35   7.511490117E-12  -9.480101E-01   6.052643411E-12
    21       1.391784   6.689058E-01   1.390250E+15    4.62820E+35   7.893358971E-12  -9.480101E-01   6.360347472E-12
    22       1.414980   6.689058E-01   1.390250E+15    4.62820E+35   8.294641259E-12  -9.480101E-01   6.683694580E-12
    23       1.438563   6.689058E-01   1.390250E+15    4.62820E+35   8.716323921E-12  -9.480101E-01   7.023479997E-12
    24       1.462539   6.689058E-01   1.390250E+15    4.62820E+35   9.159444070E-12  -9.480101E-01   7.380539412E-12
    25       1.486915   6.689058E-01   1.390250E+15    4.62820E+35   9.625091544E-12  -9.480101E-01   7.755750999E-12
    26       1.511697   6.689058E-01   1.390250E+15    4.62820E+35   1.011441159E-11  -9.480101E-01   8.150037580E-12
    27       1.536892   6.689058E-01   1.390250E+15    4.62820E+35   1.062860766E-11  -9.480101E-01   8.564368886E-12
    28       1.562506   6.689058E-01   1.390250E+15    4.62820E+35   1.116894442E-11  -9.480101E-01   8.999763952E-12
    29       1.588548   6.689058E-01   1.390250E+15    4.62820E+35   1.173675079E-11  -9.480101E-01   9.457293616E-12
    30       1.615024   6.689058E-01   1.390250E+15    4.62820E+35   1.233342329E-11  -9.480101E-01   9.938083155E-12
    31       1.641941   6.689058E-01   1.390250E+15    4.62820E+35   1.296042939E-11  -9.480101E-01   1.044331505E-11
    32       1.669307   6.689058E-01   1.390250E+15    4.62820E+35   1.361931121E-11  -9.480101E-01   1.097423191E-11
    33       1.697129   6.689058E-01   1.390250E+15    4.62820E+35   1.431168924E-11  -9.480101E-01   1.153213950E-11
    34       1.725414   6.689058E-01   1.390250E+15    4.62820E+35   1.503926635E-11  -9.480101E-01   1.211840998E-11
    35       1.754171   6.689058E-01   1.390250E+15    4.62820E+35   1.580383200E-11  -9.480101E-01   1.273448525E-11
    36       1.783407   6.689058E-01   1.390250E+15    4.62820E+35   1.660726661E-11  -9.480101E-01   1.338188053E-11
    37       1.813131   6.689058E-01   1.390250E+15    4.62820E+35   1.745154620E-11  -9.480101E-01   1.406218807E-11
    38       1.843349   6.689058E-01   1.390250E+15    4.62820E+35   1.833874724E-11  -9.480101E-01   1.477708106E-11
    39       1.874072   6.689058E-01   1.390250E+15    4.62820E+35   1.927105177E-11  -9.480101E-01   1.552831774E-11
    40       1.905306   6.689058E-01   1.390250E+15    4.62820E+35   2.025075276E-11  -9.480101E-01   1.631774577E-11
    41       1.937061   6.689058E-01   1.390250E+15    4.62820E+35   2.128025975E-11  -9.480101E-01   1.714730672E-11
    42       1.969346   6.689058E-01   1.390250E+15    4.62820E+35   2.236210478E-11  -9.480101E-01   1.801904084E-11
    43       2.002168   6.689058E-01   1.390250E+15    4.62820E+35   2.349894860E-11  -9.480101E-01   1.893509216E-11
    44       2.035538   6.689058E-01   1.390250E+15    4.62820E+35   2.469358724E-11  -9.480101E-01   1.989771365E-11
    45       2.069463   6.689058E-01   1.390250E+15    4.62820E+35   2.594895887E-11  -9.480101E-01   2.090927286E-11
    46       2.103954   6.689058E-01   1.390250E+15    4.62820E+35   2.726815104E-11  -9.480101E-01   2.197225767E-11
    47       2.139020   6.689058E-01   1.390250E+15    4.62820E+35   2.865440824E-11  -9.480101E-01   2.308928247E-11
    48       2.174671   6.689058E-01   1.390250E+15    4.62820E+35   3.011113993E-11  -9.480101E-01   2.426309453E-11
    49       2.210915   6.689058E-01   1.390250E+15    4.62820E+35   3.164192888E-11  -9.480101E-01   2.549658080E-11
    50       2.247764   6.689058E-01   1.390250E+15    4.62820E+35   3.325054003E-11  -9.480101E-01   2.679277499E-11
    51       2.285226   6.689058E-01   1.390250E+15    4.62820E+35   3.494092968E-11  -9.480101E-01   2.815486505E-11
    52       2.323314   6.689058E-01   1.390250E+15    4.62820E+35   3.671725528E-11  -9.480101E-01   2.958620100E-11
    53       2.362035   6.689058E-01   1.390250E+15    4.62820E+35   3.858388566E-11  -9.480101E-01   3.109030314E-11
    54       2.401403   6.689058E-01   1.390250E+15    4.62820E+35   4.054541171E-11  -9.480101E-01   3.267087076E-11
    55       2.441426   6.689058E-01   1.390250E+15    4.62820E+35   4.260665774E-11  -9.480101E-01   3.433179122E-11
    56       2.482117   6.689058E-01   1.390250E+15    4.62820E+35   4.477269332E-11  -9.480101E-01   3.607714949E-11
    57       2.523485   6.689058E-01   1.390250E+15    4.62820E+35   4.704884571E-11  -9.480101E-01   3.791123821E-11
    58       2.565543   6.689058E-01   1.390250E+15    4.62820E+35   4.944071305E-11  -9.480101E-01   3.983856825E-11
    59       2.608302   6.689058E-01   1.390250E+15    4.62820E+35   5.195417803E-11  -9.480101E-01   4.186387982E-11
    60       2.651774   6.689058E-01   1.390250E+15    4.62820E+35   5.459542244E-11  -9.480101E-01   4.399215410E-11
    61       2.695970   6.689058E-01   1.390250E+15    4.62820E+35   5.737094232E-11  -9.480101E-01   4.622862550E-11
    62       2.740903   6.689058E-01   1.390250E+15    4.62820E+35   6.028756396E-11  -9.480101E-01   4.857879453E-11
    63       2.786585   6.689058E-01   1.390250E+15    4.62820E+35   6.335246068E-11  -9.480101E-01   5.104844137E-11
    64       2.833028   6.689058E-01   1.390250E+15    4.62820E+35   6.657317049E-11  -9.480101E-01   5.364364000E-11
    65       2.880245   6.689058E-01   1.390250E+15    4.62820E+35   6.995761461E-11  -9.480101E-01   5.637077323E-11
    66       2.928249   6.689058E-01   1.390250E+15    4.62820E+35   7.351411694E-11  -9.480101E-01   5.923654835E-11
    67       2.977053   6.689058E-01   1.390250E+15    4.62820E+35   7.725142458E-11  -9.480101E-01   6.224801362E-11
    68       3.026671   6.689058E-01   1.390250E+15    4.62820E+35   8.117872929E-11  -9.480101E-01   6.541257563E-11
    69       3.077115   6.689058E-01   1.390250E+15    4.62820E+35   8.530569015E-11  -9.480101E-01   6.873801751E-11
    70       3.128401   6.689058E-01   1.390250E+15    4.62820E+35   8.964245726E-11  -9.480101E-01   7.223251806E-11
    71       3.180541   6.689058E-01   1.390250E+15    4.62820E+35   9.419969673E-11  -9.480101E-01   7.590467188E-11
    72       3.233550   6.689058E-01   1.390250E+15    4.62820E+35   9.898861694E-11  -9.480101E-01   7.976351050E-11
    73       3.287442   6.689058E-01   1.390250E+15    4.62820E+35   1.040209960E-10  -9.480101E-01   8.381852458E-11
    74       3.342233   6.689058E-01   1.390250E+15    4.62820E+35   1.093092110E-10  -9.480101E-01   8.807968729E-11
    75       3.397937   6.689058E-01   1.390250E+15    4.62820E+35   1.148662680E-10  -9.480101E-01   9.255747880E-11
    76       3.454569   6.689058E-01   1.390250E+15    4.62820E+35   1.207058344E-10  -9.480101E-01   9.726291207E-11
