       6     152      53      67

     EOS file :  /home/forgane/Desktop/NSCool/EOS/SL_EOS_Cat+NV_smooth.dat             

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.813253E-01   1.077703E+15    1.70432E+35   0.000000000E+00  -5.147599E-01   0.000000000E+00
     1      10.000000   5.813249E-01   1.077702E+15    1.70432E+35   2.269616328E-09  -5.147596E-01   2.050310687E-09
     2      11.666664   5.813248E-01   1.077702E+15    1.70432E+35   3.604064720E-09  -5.147595E-01   3.255815945E-09
     3      13.611106   5.813246E-01   1.077701E+15    1.70431E+35   5.723117152E-09  -5.147594E-01   5.170112031E-09
     4      15.879620   5.813244E-01   1.077701E+15    1.70431E+35   9.088089197E-09  -5.147592E-01   8.209939827E-09
     5      18.526217   5.813241E-01   1.077700E+15    1.70431E+35   1.443152995E-08  -5.147590E-01   1.303706624E-08
     6      21.613910   5.813236E-01   1.077699E+15    1.70431E+35   2.291669384E-08  -5.147587E-01   2.070234789E-08
     7      25.216214   5.813230E-01   1.077698E+15    1.70430E+35   3.639077204E-08  -5.147582E-01   3.287449602E-08
     8      29.418893   5.813223E-01   1.077696E+15    1.70429E+35   5.778700588E-08  -5.147576E-01   5.220334026E-08
     9      34.322005   5.813212E-01   1.077694E+15    1.70429E+35   9.176320950E-08  -5.147568E-01   8.289666442E-08
    10      40.042280   5.813197E-01   1.077691E+15    1.70427E+35   1.457156799E-07  -5.147557E-01   1.316361706E-07
    11      46.715901   5.813178E-01   1.077686E+15    1.70426E+35   2.313891617E-07  -5.147542E-01   2.090319322E-07
    12      54.501737   5.813151E-01   1.077680E+15    1.70423E+35   3.674332233E-07  -5.147522E-01   3.319318730E-07
    13      63.585125   5.813114E-01   1.077672E+15    1.70420E+35   5.834612821E-07  -5.147495E-01   5.270888347E-07
    14      74.182274   5.813064E-01   1.077661E+15    1.70416E+35   9.264953078E-07  -5.147457E-01   8.369830973E-07
    15      86.545395   5.812996E-01   1.077646E+15    1.70410E+35   1.471197876E-06  -5.147406E-01   1.329066927E-06
    16     100.968689   5.812903E-01   1.077626E+15    1.70402E+35   2.336116189E-06  -5.147336E-01   2.110441554E-06
    17     117.795314   5.812777E-01   1.077599E+15    1.70391E+35   3.709468128E-06  -5.147242E-01   3.351157134E-06
    18     137.425500   5.812605E-01   1.077561E+15    1.70377E+35   5.890070389E-06  -5.147113E-01   5.321198112E-06
    19     160.325992   5.812372E-01   1.077510E+15    1.70357E+35   9.352289512E-06  -5.146937E-01   8.449184102E-06
    20     187.041024   5.812054E-01   1.077440E+15    1.70329E+35   1.484909234E-05  -5.146699E-01   1.341551881E-05
    21     218.205055   5.811621E-01   1.077345E+15    1.70292E+35   2.357549333E-05  -5.146374E-01   2.130016473E-05
    22     254.557523   5.811032E-01   1.077216E+15    1.70242E+35   3.742768611E-05  -5.145932E-01   3.381699631E-05
    23     296.959897   5.810231E-01   1.077041E+15    1.70174E+35   5.941363508E-05  -5.145331E-01   5.368528034E-05
    24     346.415302   5.809141E-01   1.076802E+15    1.70080E+35   9.430313839E-05  -5.144513E-01   8.521813971E-05
    25     404.091007   5.807658E-01   1.076477E+15    1.69954E+35   1.496559176E-04  -5.143400E-01   1.352539204E-04
    26     471.343993   5.805640E-01   1.076035E+15    1.69781E+35   2.374451659E-04  -5.141886E-01   2.146285013E-04
    27     549.749752   5.802897E-01   1.075434E+15    1.69547E+35   3.766162683E-04  -5.139828E-01   3.404989090E-04
    28     641.134237   5.799170E-01   1.074621E+15    1.69229E+35   5.971083524E-04  -5.137031E-01   5.400022555E-04
    29     747.608297   5.794118E-01   1.073528E+15    1.68798E+35   9.461530228E-04  -5.133232E-01   8.559992359E-04
    30     871.603277   5.787256E-01   1.072044E+15    1.68213E+35   1.498077649E-03  -5.128075E-01   1.356047976E-03
    31    1015.908730   5.777946E-01   1.070032E+15    1.67421E+35   2.369476174E-03  -5.121082E-01   2.146359174E-03
    32    1183.703603   5.765325E-01   1.067304E+15    1.66352E+35   3.742430239E-03  -5.111612E-01   3.393299684E-03
    33    1378.578302   5.748244E-01   1.063614E+15    1.64913E+35   5.899569927E-03  -5.098811E-01   5.356170508E-03
    34    1604.536996   5.725170E-01   1.058633E+15    1.62982E+35   9.275968163E-03  -5.081550E-01   8.436379746E-03
    35    1865.965022   5.694087E-01   1.051928E+15    1.60403E+35   1.453377867E-02  -5.058353E-01   1.324955575E-02
    36    2167.538856   5.652366E-01   1.042938E+15    1.56985E+35   2.266509391E-02  -5.027318E-01   2.072785112E-02
    37    2514.046742   5.596642E-01   1.030948E+15    1.52495E+35   3.512450927E-02  -4.986048E-01   3.225795075E-02
    38    2910.077790   5.522699E-01   1.015068E+15    1.46669E+35   5.398136561E-02  -4.931610E-01   4.985267581E-02
    39    3359.529852   5.425663E-01   9.944770E+14    1.39230E+35   8.205961783E-02  -4.860573E-01   7.633521492E-02
    40    3864.780660   5.299539E-01   9.678759E+14    1.29932E+35   1.229790288E-01  -4.769204E-01   1.154666120E-01
    41    4425.849282   5.138065E-01   9.341380E+14    1.18627E+35   1.809679096E-01  -4.653859E-01   1.719108526E-01
    42    5039.082219   4.935280E-01   8.923385E+14    1.05354E+35   2.602822758E-01  -4.511736E-01   2.508126929E-01
    43    5695.902470   4.687010E-01   8.420247E+14    9.04394E+34   3.640219269E-01  -4.341929E-01   3.567573412E-01
    44    6381.794092   4.391512E-01   7.831731E+14    7.45521E+34   4.924778687E-01  -4.146703E-01   4.919856675E-01
    45    7076.485855   4.051804E-01   7.168715E+14    5.86585E+34   6.415532099E-01  -3.932398E-01   6.542506415E-01
    46    7755.261085   3.676391E-01   6.451929E+14    4.38502E+34   8.021714170E-01  -3.709485E-01   8.352382248E-01
    47    8392.037055   3.278912E-01   5.710350E+14    3.10759E+34   9.616323487E-01  -3.491117E-01   1.021035275E+00
    48    8963.498080   2.875578E-01   4.972842E+14    2.08960E+34   1.106852435E+00  -3.290349E-01   1.195364135E+00
    49    9453.413041   2.482602E-01   4.267461E+14    1.33817E+34   1.228156274E+00  -3.116992E-01   1.344558935E+00
    50    9854.766075   2.112818E-01   3.614716E+14    8.21351E+33   1.321372867E+00  -2.975831E-01   1.461299739E+00
    51   10169.891050   1.773873E-01   3.023550E+14    4.87164E+33   1.387713268E+00  -2.866611E-01   1.545407916E+00
    52   10408.624109   1.468157E-01   2.495371E+14    2.81710E+33   1.431882945E+00  -2.785408E-01   1.601834700E+00
    53   10584.886147   1.198823E-01   2.032989E+14    1.60205E+33   1.459732945E+00  -2.726609E-01   1.637566236E+00
    54   10712.957310   9.626200E-02   1.629830E+14    9.02483E+32   1.476591626E+00  -2.684648E-01   1.659244749E+00
    55   10805.689237   6.934301E-02   1.171670E+14    5.12918E+32   1.486344836E+00  -2.654735E-01   1.671800304E+00
    56   10880.613538   4.981435E-02   8.403290E+13    2.96949E+32   1.491919590E+00  -2.630902E-01   1.678985128E+00
    57   10942.191760   3.515151E-02   5.923165E+13    1.72303E+32   1.495222885E+00  -2.611564E-01   1.683243675E+00
    58   10993.647582   2.472247E-02   4.161535E+13    9.99670E+31   1.497183657E+00  -2.595591E-01   1.685771157E+00
    59   11036.678734   1.734047E-02   2.916142E+13    5.79417E+31   1.498345034E+00  -2.582367E-01   1.687268063E+00
    60   11072.651756   1.213412E-02   2.038844E+13    3.35905E+31   1.499029125E+00  -2.571409E-01   1.688149684E+00
    61   11102.746807   8.472373E-03   1.422473E+13    1.94651E+31   1.499431490E+00  -2.562310E-01   1.688668209E+00
    62   11127.930196   5.856886E-03   9.830940E+12    1.13158E+31   1.499666349E+00  -2.554744E-01   1.688970794E+00
    63   11149.245768   3.931650E-03   6.595752E+12    6.64269E+30   1.499802354E+00  -2.548375E-01   1.689145971E+00
    64   11167.993902   2.414088E-03   4.047885E+12    4.00591E+30   1.499879739E+00  -2.542799E-01   1.689245641E+00
    65   11186.499178   1.432841E-03   2.401216E+12    2.44009E+30   1.499926048E+00  -2.537320E-01   1.689305283E+00
    66   11205.584301   7.764034E-04   1.299861E+12    1.53964E+30   1.499952883E+00  -2.531694E-01   1.689339850E+00
    67   11227.926533   4.444121E-04   7.435400E+11    9.61285E+29   1.499970263E+00  -2.525139E-01   1.689362249E+00
    68   11252.439625   2.124223E-04   3.549382E+11    6.29652E+29   1.499980322E+00  -2.517988E-01   1.689375213E+00
    69   11286.252364   1.368633E-04   2.285469E+11    3.76572E+29   1.499988090E+00  -2.508191E-01   1.689385227E+00
    70   11317.913213   9.000575E-05   1.501985E+11    2.22737E+29   1.499992877E+00  -2.499088E-01   1.689391398E+00
    71   11346.626252   5.839016E-05   9.732302E+10    1.32514E+29   1.499995720E+00  -2.490891E-01   1.689395062E+00
    72   11373.170486   3.879278E-05   6.463982E+10    7.84056E+28   1.499997445E+00  -2.483361E-01   1.689397285E+00
    73   11396.967667   2.501352E-05   4.164272E+10    4.61657E+28   1.499998484E+00  -2.476650E-01   1.689398623E+00
    74   11418.840619   1.678227E-05   2.793316E+10    2.71080E+28   1.499999104E+00  -2.470514E-01   1.689399421E+00
    75   11438.087895   1.097444E-05   1.825605E+10    1.60688E+28   1.499999466E+00  -2.465140E-01   1.689399887E+00
    76   11455.624344   7.132793E-06   1.186523E+10    9.53953E+27   1.499999681E+00  -2.460265E-01   1.689400165E+00
