       6     152      54      68

     EOS file :  /home/forgane/Desktop/Compstar/lect3-Page/EOS/SL_EOS_Cat+NV.dat       

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   6.256658E-01   1.176071E+15    2.11191E+35   0.000000000E+00  -5.726701E-01   0.000000000E+00
     1      10.000000   6.256654E-01   1.176070E+15    2.11191E+35   2.476777740E-09  -5.726698E-01   2.206698009E-09
     2      11.666664   6.256652E-01   1.176070E+15    2.11191E+35   3.933029134E-09  -5.726697E-01   3.504153087E-09
     3      13.611106   6.256651E-01   1.176069E+15    2.11190E+35   6.245499958E-09  -5.726695E-01   5.564461940E-09
     4      15.879619   6.256648E-01   1.176069E+15    2.11190E+35   9.917612671E-09  -5.726693E-01   8.836152295E-09
     5      18.526217   6.256645E-01   1.176068E+15    2.11190E+35   1.574878018E-08  -5.726691E-01   1.403146720E-08
     6      21.613910   6.256640E-01   1.176067E+15    2.11189E+35   2.500843343E-08  -5.726687E-01   2.228141712E-08
     7      25.216213   6.256634E-01   1.176066E+15    2.11189E+35   3.971236624E-08  -5.726682E-01   3.538199370E-08
     8      29.418891   6.256625E-01   1.176064E+15    2.11188E+35   6.306155112E-08  -5.726675E-01   5.618514125E-08
     9      34.322002   6.256613E-01   1.176061E+15    2.11187E+35   1.001389416E-07  -5.726666E-01   8.921959001E-08
    10      40.042276   6.256597E-01   1.176057E+15    2.11185E+35   1.590159232E-07  -5.726654E-01   1.416766841E-07
    11      46.715894   6.256575E-01   1.176052E+15    2.11183E+35   2.525092199E-07  -5.726637E-01   2.249757702E-07
    12      54.501726   6.256545E-01   1.176046E+15    2.11180E+35   4.009705845E-07  -5.726613E-01   3.572498256E-07
    13      63.585108   6.256504E-01   1.176036E+15    2.11176E+35   6.367162693E-07  -5.726582E-01   5.672922189E-07
    14      74.182246   6.256449E-01   1.176024E+15    2.11171E+35   1.011059877E-06  -5.726539E-01   9.008233140E-07
    15      86.545351   6.256373E-01   1.176007E+15    2.11163E+35   1.605478140E-06  -5.726481E-01   1.430440086E-06
    16     100.968619   6.256271E-01   1.175984E+15    2.11153E+35   2.549337168E-06  -5.726401E-01   2.271412450E-06
    17     117.795202   6.256131E-01   1.175952E+15    2.11139E+35   4.048031139E-06  -5.726293E-01   3.606760151E-06
    18     137.425321   6.255941E-01   1.175909E+15    2.11121E+35   6.427644031E-06  -5.726146E-01   5.727058561E-06
    19     160.325708   6.255682E-01   1.175851E+15    2.11095E+35   1.020582443E-05  -5.725946E-01   9.093615658E-06
    20     187.040574   6.255330E-01   1.175771E+15    2.11061E+35   1.620423191E-05  -5.725673E-01   1.443872302E-05
    21     218.204339   6.254851E-01   1.175663E+15    2.11014E+35   2.572688131E-05  -5.725302E-01   2.292469583E-05
    22     254.556386   6.254198E-01   1.175516E+15    2.10950E+35   4.084287960E-05  -5.724797E-01   3.639608812E-05
    23     296.958090   6.253311E-01   1.175316E+15    2.10862E+35   6.483439288E-05  -5.724110E-01   5.777947897E-05
    24     346.412434   6.252103E-01   1.175043E+15    2.10744E+35   1.029058250E-04  -5.723176E-01   9.171675958E-05
    25     404.086455   6.250460E-01   1.174672E+15    2.10583E+35   1.633052741E-04  -5.721904E-01   1.455674068E-04
    26     471.336770   6.248226E-01   1.174168E+15    2.10364E+35   2.590952536E-04  -5.720175E-01   2.309928069E-04
    27     549.738295   6.245187E-01   1.173482E+15    2.10066E+35   4.109427746E-04  -5.717825E-01   3.664564875E-04
    28     641.116073   6.241056E-01   1.172550E+15    2.09661E+35   6.515031473E-04  -5.714630E-01   5.811608021E-04
    29     747.579771   6.235444E-01   1.171284E+15    2.09113E+35   1.032281077E-03  -5.710291E-01   9.212260997E-04
    30     871.559796   6.227822E-01   1.169565E+15    2.08370E+35   1.634311609E-03  -5.704401E-01   1.459348456E-03
    31    1015.842949   6.217481E-01   1.167234E+15    2.07364E+35   2.584664986E-03  -5.696415E-01   2.309805689E-03
    32    1183.603981   6.203468E-01   1.164075E+15    2.06006E+35   4.081690083E-03  -5.685602E-01   3.651584396E-03
    33    1378.426896   6.184506E-01   1.159804E+15    2.04178E+35   6.433070671E-03  -5.670986E-01   5.763620920E-03
    34    1604.306166   6.158901E-01   1.154040E+15    2.01726E+35   1.011203637E-02  -5.651282E-01   9.077651185E-03
    35    1865.612649   6.124427E-01   1.146288E+15    1.98456E+35   1.583796740E-02  -5.624808E-01   1.425568207E-02
    36    2167.001682   6.078247E-01   1.135994E+15    1.94124E+35   2.468712279E-02  -5.589399E-01   2.229985299E-02
    37    2513.205829   6.016708E-01   1.122415E+15    1.88441E+35   3.823512782E-02  -5.542333E-01   3.469970684E-02
    38    2908.727229   5.935134E-01   1.104455E+15    1.81077E+35   5.871560124E-02  -5.480290E-01   5.361467434E-02
    39    3357.377924   5.827969E-01   1.080927E+15    1.71695E+35   8.916244316E-02  -5.399392E-01   8.207078040E-02
    40    3861.533101   5.689157E-01   1.050865E+15    1.59997E+35   1.334501133E-01  -5.295418E-01   1.241037827E-01
    41    4421.000138   5.511741E-01   1.012717E+15    1.45818E+35   1.960655430E-01  -5.164312E-01   1.846991562E-01
    42    5032.098791   5.289829E-01   9.658319E+14    1.29233E+35   2.814667538E-01  -5.002956E-01   2.693662022E-01
    43    5686.080743   5.018598E-01   9.094848E+14    1.10682E+35   3.927912234E-01  -4.810455E-01   3.829880913E-01
    44    6368.575504   4.697071E-01   8.440537E+14    9.10150E+34   5.301663913E-01  -4.589437E-01   5.279807326E-01
    45    7059.452854   4.328901E-01   7.708033E+14    7.14400E+34   6.890459187E-01  -4.347137E-01   7.019735905E-01
    46    7734.369763   3.923763E-01   6.922670E+14    5.32914E+34   8.597030277E-01  -4.095359E-01   8.961560740E-01
    47    8367.618225   3.496347E-01   6.114218E+14    3.77075E+34   1.028702297E+00  -3.848892E-01   1.095711473E+00
    48    8936.488826   3.064249E-01   5.315711E+14    2.53296E+34   1.182455077E+00  -3.622274E-01   1.283344540E+00
    49    9424.950401   2.644829E-01   4.557483E+14    1.62148E+34   1.310888883E+00  -3.426486E-01   1.444365425E+00
    50    9825.862007   2.251742E-01   3.858897E+14    9.95400E+33   1.409703578E+00  -3.266936E-01   1.570766171E+00
    51   10141.305460   1.893351E-01   3.230857E+14    5.90527E+33   1.480201107E+00  -3.143362E-01   1.662179554E+00
    52   10380.505446   1.571621E-01   2.673434E+14    3.41540E+33   1.527251505E+00  -3.051492E-01   1.723706712E+00
    53   10556.951500   1.286834E-01   2.183738E+14    1.94255E+33   1.556973485E+00  -2.985086E-01   1.762759137E+00
    54   10684.994854   1.038448E-01   1.759078E+14    1.09358E+33   1.575007398E+00  -2.937787E-01   1.786513890E+00
    55   10777.290821   8.187906E-02   1.385041E+14    6.14031E+32   1.585601811E+00  -2.904235E-01   1.800484317E+00
    56   10844.625412   5.648844E-02   9.535062E+13    3.65521E+32   1.591255313E+00  -2.880083E-01   1.807947247E+00
    57   10903.809079   4.010717E-02   6.760827E+13    2.11297E+32   1.594851928E+00  -2.859112E-01   1.812697428E+00
    58   10952.783069   2.820701E-02   4.749924E+13    1.22585E+32   1.596966698E+00  -2.841953E-01   1.815490177E+00
    59   10993.729774   1.981577E-02   3.333479E+13    7.10370E+31   1.598218776E+00  -2.827748E-01   1.817143427E+00
    60   11027.896572   1.386589E-02   2.330572E+13    4.11807E+31   1.598955625E+00  -2.815996E-01   1.818116244E+00
    61   11056.476259   9.698498E-03   1.628721E+13    2.38577E+31   1.599388954E+00  -2.806238E-01   1.818688292E+00
    62   11080.343430   6.719568E-03   1.128004E+13    1.38471E+31   1.599642218E+00  -2.798139E-01   1.819022593E+00
    63   11100.468210   4.551796E-03   7.637686E+12    8.07287E+30   1.599789703E+00  -2.791347E-01   1.819217194E+00
    64   11117.885548   2.872423E-03   4.817218E+12    4.76753E+30   1.599874812E+00  -2.785495E-01   1.819329485E+00
    65   11134.265270   1.745755E-03   2.926325E+12    2.89567E+30   1.599923357E+00  -2.780014E-01   1.819393531E+00
    66   11150.708419   9.575755E-04   1.603788E+12    1.80674E+30   1.599951790E+00  -2.774534E-01   1.819431047E+00
    67   11169.501459   5.335598E-04   8.927719E+11    1.13406E+30   1.599969483E+00  -2.768298E-01   1.819454401E+00
    68   11190.786527   2.393587E-04   3.999478E+11    7.11664E+29   1.599980684E+00  -2.761269E-01   1.819469186E+00
    69   11220.741561   1.523619E-04   2.544214E+11    4.28729E+29   1.599988266E+00  -2.751439E-01   1.819479199E+00
    70   11249.320589   1.007222E-04   1.681255E+11    2.54388E+29   1.599992997E+00  -2.742127E-01   1.819485444E+00
    71   11275.165931   6.525616E-05   1.087782E+11    1.51469E+29   1.599995822E+00  -2.733762E-01   1.819489173E+00
    72   11299.103426   4.297930E-05   7.162072E+10    8.98827E+28   1.599997531E+00  -2.726060E-01   1.819491429E+00
    73   11320.806017   2.832513E-05   4.717193E+10    5.28966E+28   1.599998567E+00  -2.719116E-01   1.819492797E+00
    74   11340.302322   1.872789E-05   3.118217E+10    3.13876E+28   1.599999175E+00  -2.712908E-01   1.819493599E+00
    75   11357.887585   1.226419E-05   2.040654E+10    1.84959E+28   1.599999542E+00  -2.707334E-01   1.819494084E+00
