       6     152      52      67

     EOS file :  /home/forgane/Desktop/Compstar/lect3-Page/EOS/SL_EOS_Cat.dat          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   6.256762E-01   1.176095E+15    2.11201E+35   0.000000000E+00  -5.726801E-01   0.000000000E+00
     1      10.000000   6.256758E-01   1.176094E+15    2.11201E+35   2.476827094E-09  -5.726797E-01   2.206734628E-09
     2      11.666664   6.256756E-01   1.176093E+15    2.11201E+35   3.933107506E-09  -5.726796E-01   3.504211236E-09
     3      13.611106   6.256754E-01   1.176093E+15    2.11201E+35   6.245624409E-09  -5.726795E-01   5.564554278E-09
     4      15.879619   6.256752E-01   1.176092E+15    2.11200E+35   9.917810295E-09  -5.726793E-01   8.836298924E-09
     5      18.526217   6.256748E-01   1.176092E+15    2.11200E+35   1.574909400E-08  -5.726790E-01   1.403170004E-08
     6      21.613910   6.256744E-01   1.176090E+15    2.11200E+35   2.500893176E-08  -5.726787E-01   2.228178686E-08
     7      25.216213   6.256737E-01   1.176089E+15    2.11199E+35   3.971315757E-08  -5.726782E-01   3.538258083E-08
     8      29.418891   6.256729E-01   1.176087E+15    2.11198E+35   6.306280771E-08  -5.726775E-01   5.618607360E-08
     9      34.322002   6.256717E-01   1.176084E+15    2.11197E+35   1.001409370E-07  -5.726766E-01   8.922107053E-08
    10      40.042276   6.256701E-01   1.176081E+15    2.11195E+35   1.590190918E-07  -5.726753E-01   1.416790351E-07
    11      46.715894   6.256679E-01   1.176076E+15    2.11193E+35   2.525142515E-07  -5.726736E-01   2.249795034E-07
    12      54.501726   6.256649E-01   1.176069E+15    2.11190E+35   4.009785743E-07  -5.726713E-01   3.572557539E-07
    13      63.585108   6.256608E-01   1.176060E+15    2.11186E+35   6.367289566E-07  -5.726681E-01   5.673016326E-07
    14      74.182246   6.256553E-01   1.176047E+15    2.11181E+35   1.011080024E-06  -5.726639E-01   9.008382623E-07
    15      86.545351   6.256477E-01   1.176030E+15    2.11173E+35   1.605510131E-06  -5.726580E-01   1.430463822E-06
    16     100.968619   6.256375E-01   1.176007E+15    2.11163E+35   2.549387965E-06  -5.726501E-01   2.271450141E-06
    17     117.795201   6.256235E-01   1.175976E+15    2.11150E+35   4.048111796E-06  -5.726393E-01   3.606819999E-06
    18     137.425321   6.256045E-01   1.175933E+15    2.11131E+35   6.427772100E-06  -5.726245E-01   5.727153592E-06
    19     160.325708   6.255786E-01   1.175874E+15    2.11105E+35   1.020602777E-05  -5.726045E-01   9.093766547E-06
    20     187.040573   6.255434E-01   1.175795E+15    2.11071E+35   1.620455475E-05  -5.725772E-01   1.443896259E-05
    21     218.204339   6.254954E-01   1.175687E+15    2.11024E+35   2.572739383E-05  -5.725401E-01   2.292507619E-05
    22     254.556385   6.254302E-01   1.175539E+15    2.10960E+35   4.084369319E-05  -5.724897E-01   3.639669196E-05
    23     296.958090   6.253415E-01   1.175339E+15    2.10873E+35   6.483568422E-05  -5.724210E-01   5.778043751E-05
    24     346.412433   6.252207E-01   1.175066E+15    2.10754E+35   1.029078743E-04  -5.723275E-01   9.171828096E-05
    25     404.086453   6.250564E-01   1.174696E+15    2.10593E+35   1.633085254E-04  -5.722004E-01   1.455698211E-04
    26     471.336768   6.248329E-01   1.174191E+15    2.10374E+35   2.591004106E-04  -5.720275E-01   2.309966373E-04
    27     549.738291   6.245291E-01   1.173506E+15    2.10076E+35   4.109509506E-04  -5.717924E-01   3.664625626E-04
    28     641.116066   6.241160E-01   1.172574E+15    2.09672E+35   6.515161022E-04  -5.714729E-01   5.811704333E-04
    29     747.579761   6.235547E-01   1.171308E+15    2.09123E+35   1.032301588E-03  -5.710390E-01   9.212413592E-04
    30     871.559780   6.227925E-01   1.169589E+15    2.08380E+35   1.634344048E-03  -5.704500E-01   1.459372613E-03
    31    1015.842924   6.217584E-01   1.167257E+15    2.07374E+35   2.584716217E-03  -5.696514E-01   2.309843891E-03
    32    1183.603941   6.203570E-01   1.164098E+15    2.06016E+35   4.081770833E-03  -5.685700E-01   3.651644718E-03
    33    1378.426833   6.184608E-01   1.159827E+15    2.04188E+35   6.433197613E-03  -5.671084E-01   5.763715980E-03
    34    1604.306066   6.159003E-01   1.154063E+15    2.01736E+35   1.011223522E-02  -5.651379E-01   9.077800580E-03
    35    1865.612494   6.124528E-01   1.146310E+15    1.98465E+35   1.583827740E-02  -5.624904E-01   1.425591600E-02
    36    2167.001438   6.078347E-01   1.136016E+15    1.94134E+35   2.468760235E-02  -5.589494E-01   2.230021744E-02
    37    2513.205568   6.016806E-01   1.122437E+15    1.88450E+35   3.823586509E-02  -5.542427E-01   3.470027535E-02
    38    2908.726870   5.935230E-01   1.104476E+15    1.81086E+35   5.871672187E-02  -5.480382E-01   5.361555123E-02
    39    3357.377357   5.828063E-01   1.080948E+15    1.71703E+35   8.916412178E-02  -5.399481E-01   8.207211560E-02
    40    3861.532181   5.689248E-01   1.050885E+15    1.60004E+35   1.334525705E-01  -5.295505E-01   1.241057827E-01
    41    4420.998792   5.511828E-01   1.012736E+15    1.45825E+35   1.960690753E-01  -5.164395E-01   1.847021107E-01
    42    5032.096760   5.289911E-01   9.658492E+14    1.29239E+35   2.814716692E-01  -5.003034E-01   2.693704575E-01
    43    5686.077871   5.018675E-01   9.095006E+14    1.10687E+35   3.927978433E-01  -4.810528E-01   3.829940716E-01
    44    6368.571623   4.697141E-01   8.440679E+14    9.10191E+34   5.301749869E-01  -4.589504E-01   5.279888881E-01
    45    7059.447820   4.328965E-01   7.708159E+14    7.14431E+34   6.890566557E-01  -4.347197E-01   7.019843347E-01
    46    7734.363492   3.923820E-01   6.922778E+14    5.32937E+34   8.597159127E-01  -4.095412E-01   8.961696941E-01
    47    8367.610904   3.496396E-01   6.114311E+14    3.77091E+34   1.028717231E+00  -3.848938E-01   1.095728113E+00
    48    8936.480588   3.064292E-01   5.315789E+14    2.53306E+34   1.182471781E+00  -3.622314E-01   1.283364055E+00
    49    9424.941589   2.644865E-01   4.557549E+14    1.62155E+34   1.310907075E+00  -3.426521E-01   1.444387509E+00
    50    9825.852864   2.251774E-01   3.858952E+14    9.95442E+33   1.409722922E+00  -3.266967E-01   1.570790345E+00
    51   10141.296203   1.893378E-01   3.230904E+14    5.90552E+33   1.480221309E+00  -3.143389E-01   1.662205312E+00
    52   10380.496150   1.571644E-01   2.673474E+14    3.41554E+33   1.527272302E+00  -3.051517E-01   1.723733579E+00
    53   10556.942140   1.286854E-01   2.183773E+14    1.94263E+33   1.556994671E+00  -2.985109E-01   1.762786726E+00
    54   10684.985413   1.038465E-01   1.759107E+14    1.09363E+33   1.575028825E+00  -2.937809E-01   1.786541929E+00
    55   10777.281274   8.188057E-02   1.385067E+14    6.14056E+32   1.585623389E+00  -2.904256E-01   1.800512633E+00
    56   10844.615615   5.907340E-02   9.978678E+13    3.54035E+32   1.591540154E+00  -2.880101E-01   1.808319077E+00
    57   10899.403575   4.122672E-02   6.955009E+13    2.05791E+32   1.594994277E+00  -2.860673E-01   1.812877838E+00
    58   10945.724490   2.797841E-02   4.714363E+13    1.20714E+32   1.597017297E+00  -2.844419E-01   1.815548119E+00
    59   10986.278797   1.876189E-02   3.158146E+13    7.11000E+31   1.598218458E+00  -2.830324E-01   1.817133581E+00
    60   11022.302300   1.257824E-02   2.115193E+13    4.18641E+31   1.598937778E+00  -2.817913E-01   1.818082949E+00
    61   11054.262680   8.463529E-03   1.422125E+13    2.46050E+31   1.599368638E+00  -2.806990E-01   1.818651518E+00
    62   11082.429649   5.705277E-03   9.579948E+12    1.44422E+31   1.599625650E+00  -2.797433E-01   1.818990610E+00
    63   11107.149409   3.837193E-03   6.439236E+12    8.47576E+30   1.599778273E+00  -2.789098E-01   1.819191934E+00
    64   11128.869119   2.557980E-03   4.290213E+12    4.98516E+30   1.599868466E+00  -2.781817E-01   1.819310887E+00
    65   11148.148993   1.668159E-03   2.796308E+12    2.94825E+30   1.599921565E+00  -2.775385E-01   1.819380908E+00
    66   11165.727882   1.040496E-03   1.743226E+12    1.76894E+30   1.599952551E+00  -2.769547E-01   1.819421767E+00
    67   11182.720577   5.873168E-04   9.833853E+11    1.08884E+30   1.599970551E+00  -2.763928E-01   1.819445501E+00
    68   11201.337354   2.386902E-04   3.988307E+11    7.09625E+29   1.599980658E+00  -2.757798E-01   1.819458831E+00
    69   11231.367597   1.519795E-04   2.537829E+11    4.27428E+29   1.599988254E+00  -2.747969E-01   1.819468859E+00
    70   11260.005608   1.004569E-04   1.676817E+11    2.53597E+29   1.599992992E+00  -2.738662E-01   1.819475112E+00
    71   11285.905826   6.508625E-05   1.084947E+11    1.50995E+29   1.599995821E+00  -2.730301E-01   1.819478845E+00
    72   11309.892957   4.287757E-05   7.145111E+10    8.95994E+28   1.599997533E+00  -2.722603E-01   1.819481104E+00
    73   11331.634972   2.824452E-05   4.703731E+10    5.27324E+28   1.599998570E+00  -2.715664E-01   1.819482473E+00
    74   11351.177171   1.868098E-05   3.110382E+10    3.12826E+28   1.599999179E+00  -2.709459E-01   1.819483276E+00
    75   11368.793626   1.223308E-05   2.035465E+10    1.84365E+28   1.599999547E+00  -2.703889E-01   1.819483761E+00
    76   11384.727551   7.922407E-06   1.317788E+10    1.09080E+28   1.599999764E+00  -2.698872E-01   1.819484047E+00
