       6      80       0       0

     EOS file :  /home/forgane/Desktop/NSCool/EOS/Quark/strange_eos_03_140_150.dat     

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000000   4.311723258E-01   7.082986869E+14   8.844060427E+34   0.000000000E+00  -4.068997957E-01   0.000000000E+00
     1       9.999999776   4.311720702E-01   7.082982079E+14   8.844047040E+34   1.491660283E-09  -4.068996113E-01   1.520727322E-09
     2      11.666664913   4.311719918E-01   7.082980609E+14   8.844042931E+34   2.368700314E-09  -4.068995547E-01   2.414857807E-09
     3      13.611107075   4.311718850E-01   7.082978608E+14   8.844037339E+34   3.761406316E-09  -4.068994777E-01   3.834702974E-09
     4      15.879622041   4.311717396E-01   7.082975884E+14   8.844029726E+34   5.972969526E-09  -4.068993728E-01   6.089362511E-09
     5      18.526221348   4.311715418E-01   7.082972177E+14   8.844019365E+34   9.484844935E-09  -4.068992301E-01   9.669674022E-09
     6      21.613918122   4.311712726E-01   7.082967132E+14   8.844005262E+34   1.506156208E-08  -4.068990358E-01   1.535506674E-08
     7      25.216227147   4.311709061E-01   7.082960264E+14   8.843986067E+34   2.391715873E-08  -4.068987714E-01   2.438323960E-08
     8      29.418914824   4.311704073E-01   7.082950916E+14   8.843959940E+34   3.797946715E-08  -4.068984114E-01   3.871960002E-08
     9      34.322040600   4.311697283E-01   7.082938193E+14   8.843924379E+34   6.030978169E-08  -4.068979215E-01   6.148511495E-08
    10      40.042338354   4.311688042E-01   7.082920875E+14   8.843875976E+34   9.576925552E-08  -4.068972548E-01   9.763570537E-08
    11      46.715994202   4.311675463E-01   7.082897304E+14   8.843810095E+34   1.520770709E-07  -4.068963472E-01   1.550410628E-07
    12      54.501886531   4.311658343E-01   7.082865221E+14   8.843720425E+34   2.414906816E-07  -4.068951119E-01   2.461976908E-07
    13      63.585364862   4.311635040E-01   7.082821554E+14   8.843598376E+34   3.834737745E-07  -4.068934305E-01   3.909489788E-07
    14      74.182656649   4.311603324E-01   7.082762118E+14   8.843432258E+34   6.089324601E-07  -4.068911420E-01   6.208042083E-07
    15      86.546005573   4.311560154E-01   7.082681221E+14   8.843206160E+34   9.669412482E-07  -4.068880272E-01   9.857961716E-07
    16     100.969661501   4.311501397E-01   7.082571114E+14   8.842898429E+34   1.535421620E-06  -4.068837877E-01   1.565369082E-06
    17     117.796861277   4.311421425E-01   7.082421252E+14   8.842479597E+34   2.438094825E-06  -4.068780175E-01   2.485664424E-06
    18     137.427961089   4.311312579E-01   7.082217283E+14   8.841909566E+34   3.871392828E-06  -4.068701640E-01   3.946962143E-06
    19     160.329905336   4.311164437E-01   7.081939677E+14   8.841133774E+34   6.147171432E-06  -4.068594752E-01   6.267238733E-06
    20     187.047243675   4.310962816E-01   7.081561858E+14   8.840077991E+34   9.760492949E-06  -4.068449280E-01   9.951298048E-06
    21     218.214936665   4.310688419E-01   7.081047667E+14   8.838641242E+34   1.549716707E-05  -4.068251302E-01   1.580046676E-05
    22     254.573220180   4.310314993E-01   7.080347914E+14   8.836686201E+34   2.460431556E-05  -4.067981879E-01   2.508661015E-05
    23     296.984827475   4.309806827E-01   7.079395689E+14   8.834026164E+34   3.906077729E-05  -4.067615252E-01   3.982808160E-05
    24     346.454891627   4.309115358E-01   7.078100007E+14   8.830407392E+34   6.200554017E-05  -4.067116392E-01   6.322709696E-05
    25     404.153863980   4.308174563E-01   7.076337184E+14   8.825485236E+34   9.841600077E-05  -4.066437689E-01   1.003624925E-04
    26     471.443775334   4.306894725E-01   7.073939162E+14   8.818791917E+34   1.561805431E-04  -4.065514452E-01   1.592859665E-04
    27     549.908119038   4.305188507E-01   7.070751520E+14   8.809693155E+34   2.477924884E-04  -4.064258848E-01   2.527549009E-04
    28     641.384703130   4.302885442E-01   7.066453682E+14   8.797330126E+34   3.930186705E-04  -4.062551741E-01   4.009653867E-04
    29     748.003909428   4.299754867E-01   7.060612100E+14   8.780542192E+34   6.230923333E-04  -4.060231706E-01   6.358542229E-04
    30     872.229227810   4.295501470E-01   7.052676288E+14   8.757764844E+34   9.872774546E-04  -4.057080394E-01   1.007849188E-03
    31    1016.899564831   4.289726271E-01   7.041902872E+14   8.726896685E+34   1.563087549E-03  -4.052803124E-01   1.596410990E-03
    32    1185.271554536   4.281891671E-01   7.027290882E+14   8.685128912E+34   2.472079157E-03  -4.047003440E-01   2.526398109E-03
    33    1381.057461236   4.271275962E-01   7.007497774E+14   8.628732255E+34   3.904012381E-03  -4.039150218E-01   3.993254988E-03
    34    1608.451719736   4.256915138E-01   6.980732527E+14   8.552800988E+34   6.153285432E-03  -4.028536057E-01   6.301323238E-03
    35    1872.134917359   4.237530414E-01   6.944623414E+14   8.450964377E+34   9.672772950E-03  -4.014226296E-01   9.921145790E-03
    36    2177.237883577   4.211487249E-01   6.896158288E+14   8.315096997E+34   1.515109354E-02  -3.994999622E-01   1.557316438E-02
    37    2529.235598666   4.177473905E-01   6.833151808E+14   8.135073885E+34   2.361990534E-02  -3.969284500E-01   2.434664981E-02
    38    2933.658301991   4.132103844E-01   6.749213418E+14   7.898790510E+34   3.658768316E-02  -3.935108489E-01   3.785482808E-02
    39    3395.875272411   4.073476040E-01   6.641288114E+14   7.592449709E+34   5.620071183E-02  -3.890059082E-01   5.843330271E-02
    40    3920.249758898   3.998014533E-01   6.503031119E+14   7.201753099E+34   8.537587445E-02  -3.831343024E-01   8.933368445E-02
    41    4509.374495430   3.902959819E-01   6.330018362E+14   6.713896367E+34   1.278530042E-01  -3.755939379E-01   1.348671320E-01
    42    5162.654955706   3.786493162E-01   6.119867253E+14   6.121044071E+34   1.880007348E-01  -3.660982780E-01   2.003235735E-01
    43    5874.501180625   3.647989172E-01   5.872559775E+14   5.424981037E+34   2.701881048E-01  -3.544441783E-01   2.914328183E-01
    44    6632.375262385   3.489805619E-01   5.593680920E+14   4.641773011E+34   3.775801291E-01  -3.406100277E-01   4.131138412E-01
    45    7414.840357067   3.317732918E-01   5.294754775E+14   3.804715433E+34   5.103614213E-01  -3.248759773E-01   5.673380417E-01
    46    8190.680612191   3.141586487E-01   4.993739635E+14   2.962943008E+34   6.638596880E-01  -3.079253200E-01   7.504450101E-01
    47    8920.286221408   2.973086924E-01   4.710630860E+14   2.174297584E+34   8.275284236E-01  -2.908617392E-01   9.510190279E-01
    48    9561.400746919   2.824649722E-01   4.465304057E+14   1.492759267E+34   9.861728232E-01  -2.750523536E-01   1.150411594E+00
    49   10079.248400683   2.705471869E-01   4.271185125E+14   9.547960978E+33   1.123967849E+00  -2.617784173E-01   1.327401380E+00
    50   10458.524699460   2.618947757E-01   4.131884420E+14   5.697691955E+33   1.230116814E+00  -2.517958394E-01   1.466071474E+00
    51   10709.225776612   2.562252659E-01   4.041368154E+14   3.199947573E+33   1.302618791E+00  -2.450853547E-01   1.561921172E+00
    52   10860.122797447   2.528343837E-01   3.987523172E+14   1.715991324E+33   1.347131134E+00  -2.410057044E-01   1.621216444E+00
    53   10944.547610126   2.509449151E-01   3.957615385E+14   8.923501771E+32   1.372316747E+00  -2.387103710E-01   1.654916021E+00
    54   10989.515651952   2.499408760E-01   3.941750799E+14   4.556238713E+32   1.385813174E+00  -2.374841110E-01   1.673019119E+00
    55   11012.772731853   2.494219366E-01   3.933558806E+14   2.302983528E+32   1.392815511E+00  -2.368489106E-01   1.682423647E+00
    56   11024.606834883   2.491584096E-01   3.929400762E+14   1.157872754E+32   1.396384347E+00  -2.365254388E-01   1.687219972E+00
    57   11030.576922215   2.490250694E-01   3.927297374E+14   5.805538466E+31   1.398186233E+00  -2.363621876E-01   1.689642425E+00
    58   11033.575449724   2.489583121E-01   3.926244436E+14   2.906838230E+31   1.399091618E+00  -2.362801767E-01   1.690859830E+00
    59   11035.078109723   2.489248656E-01   3.925716928E+14   1.454439992E+31   1.399545430E+00  -2.362390742E-01   1.691470089E+00
    60   11035.830292339   2.489080730E-01   3.925452090E+14   7.274757242E+30   1.399772617E+00  -2.362184986E-01   1.691775609E+00
    61   11036.206597355   2.488996271E-01   3.925318890E+14   3.638018611E+30   1.399886280E+00  -2.362082047E-01   1.691928468E+00
    62   11036.394803385   2.488954386E-01   3.925252834E+14   1.819169335E+30   1.399943130E+00  -2.362030562E-01   1.692004921E+00
    63   11036.488919772   2.488933316E-01   3.925219604E+14   9.096247526E+29   1.399971559E+00  -2.362004816E-01   1.692043154E+00
    64   11036.535981315   2.488922768E-01   3.925202969E+14   4.548223916E+29   1.399985775E+00  -2.361991941E-01   1.692062272E+00
    65   11036.559512924   2.488917569E-01   3.925194771E+14   2.274136907E+29   1.399992883E+00  -2.361985504E-01   1.692071831E+00
    66   11036.571278937   2.488914899E-01   3.925190560E+14   1.137074747E+29   1.399996437E+00  -2.361982285E-01   1.692076611E+00
    67   11036.577161996   2.488913539E-01   3.925188415E+14   5.685389460E+28   1.399998214E+00  -2.361980676E-01   1.692079001E+00
    68   11036.580103539   2.488912871E-01   3.925187362E+14   2.842698644E+28   1.399999103E+00  -2.361979871E-01   1.692080196E+00
    69   11036.581574313   2.488912541E-01   3.925186841E+14   1.421350304E+28   1.399999547E+00  -2.361979469E-01   1.692080794E+00
    70   11036.582309702   2.488912367E-01   3.925186567E+14   7.106754021E+27   1.399999769E+00  -2.361979268E-01   1.692081092E+00
