       6     118      68      68

     EOS file :  /home/forgane/Desktop/NSCool/EOS/Quark/StrangeEOS_03_140_150_Acc-Fe.da

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.311723E-01   7.082987E+14    8.84406E+34   0.000000000E+00  -4.068998E-01   0.000000000E+00
     1      10.000000   4.311721E-01   7.082982E+14    8.84405E+34   1.491660290E-09  -4.068996E-01   1.520727329E-09
     2      11.666665   4.311720E-01   7.082981E+14    8.84404E+34   2.368700325E-09  -4.068996E-01   2.414857817E-09
     3      13.611107   4.311719E-01   7.082979E+14    8.84404E+34   3.761406334E-09  -4.068995E-01   3.834702991E-09
     4      15.879622   4.311717E-01   7.082976E+14    8.84403E+34   5.972969555E-09  -4.068994E-01   6.089362537E-09
     5      18.526221   4.311715E-01   7.082972E+14    8.84402E+34   9.484844981E-09  -4.068992E-01   9.669674064E-09
     6      21.613918   4.311713E-01   7.082967E+14    8.84401E+34   1.506156215E-08  -4.068990E-01   1.535506681E-08
     7      25.216227   4.311709E-01   7.082960E+14    8.84399E+34   2.391715885E-08  -4.068988E-01   2.438323970E-08
     8      29.418915   4.311704E-01   7.082951E+14    8.84396E+34   3.797946733E-08  -4.068984E-01   3.871960019E-08
     9      34.322041   4.311697E-01   7.082938E+14    8.84392E+34   6.030978198E-08  -4.068979E-01   6.148511522E-08
    10      40.042338   4.311688E-01   7.082921E+14    8.84388E+34   9.576925599E-08  -4.068973E-01   9.763570579E-08
    11      46.715994   4.311675E-01   7.082897E+14    8.84381E+34   1.520770716E-07  -4.068963E-01   1.550410635E-07
    12      54.501887   4.311658E-01   7.082865E+14    8.84372E+34   2.414906828E-07  -4.068951E-01   2.461976919E-07
    13      63.585365   4.311635E-01   7.082822E+14    8.84360E+34   3.834737763E-07  -4.068934E-01   3.909489805E-07
    14      74.182657   4.311603E-01   7.082762E+14    8.84343E+34   6.089324631E-07  -4.068911E-01   6.208042110E-07
    15      86.546006   4.311560E-01   7.082681E+14    8.84321E+34   9.669412530E-07  -4.068880E-01   9.857961759E-07
    16     100.969662   4.311501E-01   7.082571E+14    8.84290E+34   1.535421628E-06  -4.068838E-01   1.565369089E-06
    17     117.796861   4.311421E-01   7.082421E+14    8.84248E+34   2.438094837E-06  -4.068780E-01   2.485664435E-06
    18     137.427961   4.311313E-01   7.082217E+14    8.84191E+34   3.871392847E-06  -4.068702E-01   3.946962160E-06
    19     160.329905   4.311164E-01   7.081940E+14    8.84113E+34   6.147171462E-06  -4.068595E-01   6.267238760E-06
    20     187.047244   4.310963E-01   7.081562E+14    8.84008E+34   9.760492997E-06  -4.068449E-01   9.951298090E-06
    21     218.214937   4.310688E-01   7.081048E+14    8.83864E+34   1.549716715E-05  -4.068251E-01   1.580046682E-05
    22     254.573220   4.310315E-01   7.080348E+14    8.83669E+34   2.460431568E-05  -4.067982E-01   2.508661026E-05
    23     296.984827   4.309807E-01   7.079396E+14    8.83403E+34   3.906077748E-05  -4.067615E-01   3.982808177E-05
    24     346.454892   4.309115E-01   7.078100E+14    8.83041E+34   6.200554047E-05  -4.067116E-01   6.322709723E-05
    25     404.153864   4.308175E-01   7.076337E+14    8.82549E+34   9.841600125E-05  -4.066438E-01   1.003624929E-04
    26     471.443775   4.306895E-01   7.073939E+14    8.81879E+34   1.561805438E-04  -4.065514E-01   1.592859672E-04
    27     549.908119   4.305189E-01   7.070752E+14    8.80969E+34   2.477924896E-04  -4.064259E-01   2.527549020E-04
    28     641.384703   4.302885E-01   7.066454E+14    8.79733E+34   3.930186724E-04  -4.062552E-01   4.009653884E-04
    29     748.003909   4.299755E-01   7.060612E+14    8.78054E+34   6.230923363E-04  -4.060232E-01   6.358542256E-04
    30     872.229228   4.295501E-01   7.052676E+14    8.75776E+34   9.872774594E-04  -4.057080E-01   1.007849193E-03
    31    1016.899565   4.289726E-01   7.041903E+14    8.72690E+34   1.563087556E-03  -4.052803E-01   1.596410997E-03
    32    1185.271555   4.281892E-01   7.027291E+14    8.68513E+34   2.472079169E-03  -4.047003E-01   2.526398120E-03
    33    1381.057461   4.271276E-01   7.007498E+14    8.62873E+34   3.904012399E-03  -4.039150E-01   3.993255005E-03
    34    1608.451720   4.256915E-01   6.980733E+14    8.55280E+34   6.153285461E-03  -4.028536E-01   6.301323265E-03
    35    1872.134917   4.237530E-01   6.944623E+14    8.45096E+34   9.672772995E-03  -4.014226E-01   9.921145831E-03
    36    2177.237883   4.211487E-01   6.896158E+14    8.31510E+34   1.515109361E-02  -3.995000E-01   1.557316444E-02
    37    2529.235598   4.177474E-01   6.833152E+14    8.13507E+34   2.361990544E-02  -3.969285E-01   2.434664991E-02
    38    2933.658302   4.132104E-01   6.749213E+14    7.89879E+34   3.658768332E-02  -3.935109E-01   3.785482823E-02
    39    3395.875272   4.073476E-01   6.641288E+14    7.59245E+34   5.620071207E-02  -3.890059E-01   5.843330293E-02
    40    3920.249758   3.998015E-01   6.503031E+14    7.20175E+34   8.537587478E-02  -3.831343E-01   8.933368476E-02
    41    4509.374495   3.902960E-01   6.330018E+14    6.71390E+34   1.278530047E-01  -3.755939E-01   1.348671324E-01
    42    5162.654954   3.786493E-01   6.119867E+14    6.12104E+34   1.880007354E-01  -3.660983E-01   2.003235741E-01
    43    5874.501179   3.647989E-01   5.872560E+14    5.42498E+34   2.701881055E-01  -3.544442E-01   2.914328191E-01
    44    6632.375259   3.489806E-01   5.593681E+14    4.64177E+34   3.775801300E-01  -3.406100E-01   4.131138421E-01
    45    7414.840353   3.317733E-01   5.294755E+14    3.80472E+34   5.103614222E-01  -3.248760E-01   5.673380426E-01
    46    8190.680607   3.141586E-01   4.993740E+14    2.96294E+34   6.638596887E-01  -3.079253E-01   7.504450108E-01
    47    8920.286214   2.973087E-01   4.710631E+14    2.17430E+34   8.275284239E-01  -2.908617E-01   9.510190282E-01
    48    9561.400738   2.824650E-01   4.465304E+14    1.49276E+34   9.861728230E-01  -2.750524E-01   1.150411594E+00
    49   10079.248390   2.705472E-01   4.271185E+14    9.54796E+33   1.123967848E+00  -2.617784E-01   1.327401379E+00
    50   10458.524687   2.618948E-01   4.131884E+14    5.69769E+33   1.230116813E+00  -2.517958E-01   1.466071472E+00
    51   10709.225763   2.562253E-01   4.041368E+14    3.19995E+33   1.302618789E+00  -2.450854E-01   1.561921169E+00
    52   10860.122783   2.528344E-01   3.987523E+14    1.71599E+33   1.347131131E+00  -2.410057E-01   1.621216442E+00
    53   10944.547595   2.509449E-01   3.957615E+14    8.92350E+32   1.372316744E+00  -2.387104E-01   1.654916017E+00
    54   10989.515637   2.499409E-01   3.941751E+14    4.55624E+32   1.385813172E+00  -2.374841E-01   1.673019115E+00
    55   11012.772717   2.494219E-01   3.933559E+14    2.30298E+32   1.392815508E+00  -2.368489E-01   1.682423644E+00
    56   11024.606820   2.491584E-01   3.929401E+14    1.15787E+32   1.396384344E+00  -2.365254E-01   1.687219968E+00
    57   11030.576907   2.490251E-01   3.927297E+14    5.80554E+31   1.398186230E+00  -2.363622E-01   1.689642421E+00
    58   11033.575435   2.489583E-01   3.926244E+14    2.90684E+31   1.399091615E+00  -2.362802E-01   1.690859826E+00
    59   11035.078095   2.489249E-01   3.925717E+14    1.45444E+31   1.399545427E+00  -2.362391E-01   1.691470085E+00
    60   11035.830277   2.489081E-01   3.925452E+14    7.27476E+30   1.399772614E+00  -2.362185E-01   1.691775606E+00
    61   11036.206582   2.488996E-01   3.925319E+14    3.63802E+30   1.399886278E+00  -2.362082E-01   1.691928464E+00
    62   11036.394788   2.488954E-01   3.925253E+14    1.81917E+30   1.399943127E+00  -2.362031E-01   1.692004918E+00
    63   11036.488905   2.488933E-01   3.925220E+14    9.09625E+29   1.399971557E+00  -2.362005E-01   1.692043151E+00
    64   11036.535966   2.488923E-01   3.925203E+14    4.54822E+29   1.399985772E+00  -2.361992E-01   1.692062269E+00
    65   11036.559498   2.488918E-01   3.925195E+14    2.27414E+29   1.399992880E+00  -2.361986E-01   1.692071828E+00
    66   11036.571264   2.488915E-01   3.925191E+14    1.13707E+29   1.399996434E+00  -2.361982E-01   1.692076608E+00
    67   11036.577147   2.488914E-01   3.925188E+14    5.68539E+28   1.399998212E+00  -2.361981E-01   1.692078998E+00
    68   11036.580088   2.488913E-01   3.925187E+14    2.84270E+28   1.399999100E+00  -2.361980E-01   1.692080193E+00
    69   11036.581559   1.544770E-05   2.572489E+10    2.60573E+28   1.399999174E+00  -2.361979E-01   1.692080292E+00
    70   11057.129268   1.037131E-05   1.725608E+10    1.53008E+28   1.399999511E+00  -2.356372E-01   1.692080722E+00
    71   11075.206159   6.427024E-06   1.068736E+10    9.05003E+27   1.399999709E+00  -2.351461E-01   1.692080973E+00
    72   11092.544001   4.312354E-06   7.169949E+09    5.31073E+27   1.399999828E+00  -2.346771E-01   1.692081125E+00
    73   11107.772994   2.894369E-06   4.811580E+09    3.11639E+27   1.399999898E+00  -2.342667E-01   1.692081215E+00
    74   11121.138643   1.943138E-06   3.229214E+09    1.82844E+27   1.399999940E+00  -2.339077E-01   1.692081268E+00
    75   11132.860722   1.277031E-06   2.121429E+09    1.07510E+27   1.399999964E+00  -2.335937E-01   1.692081299E+00
