       6    1003       0       0

     EOS file :  /home/forgane/Desktop/NSCool/EOS/Quark/strange_eos_03_140_150.dat     

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.311735E-01   7.083008E+14    8.84412E+34   0.000000000E+00  -4.069007E-01   0.000000000E+00
     1       1.000000   4.311735E-01   7.083008E+14    8.84412E+34   1.491666105E-12  -4.069007E-01   1.520732377E-12
     2       1.016667   4.311735E-01   7.083008E+14    8.84412E+34   1.567499372E-12  -4.069007E-01   1.598043314E-12
     3       1.033611   4.311735E-01   7.083008E+14    8.84412E+34   1.647187847E-12  -4.069007E-01   1.679284581E-12
     4       1.050838   4.311735E-01   7.083008E+14    8.84412E+34   1.730927523E-12  -4.069007E-01   1.764655989E-12
     5       1.068352   4.311735E-01   7.083008E+14    8.84412E+34   1.818924352E-12  -4.069007E-01   1.854367506E-12
     6       1.086158   4.311735E-01   7.083008E+14    8.84412E+34   1.911394762E-12  -4.069007E-01   1.948639773E-12
     7       1.104260   4.311735E-01   7.083008E+14    8.84412E+34   2.008566178E-12  -4.069007E-01   2.047704650E-12
     8       1.122665   4.311735E-01   7.083008E+14    8.84412E+34   2.110677592E-12  -4.069007E-01   2.151805784E-12
     9       1.141376   4.311735E-01   7.083008E+14    8.84412E+34   2.217980141E-12  -4.069007E-01   2.261199207E-12
    10       1.160399   4.311735E-01   7.083008E+14    8.84412E+34   2.330737734E-12  -4.069007E-01   2.376153969E-12
    11       1.179739   4.311735E-01   7.083008E+14    8.84412E+34   2.449227693E-12  -4.069007E-01   2.496952797E-12
    12       1.199401   4.311735E-01   7.083008E+14    8.84412E+34   2.573741440E-12  -4.069007E-01   2.623892792E-12
    13       1.219391   4.311735E-01   7.083008E+14    8.84412E+34   2.704585213E-12  -4.069007E-01   2.757286157E-12
    14       1.239714   4.311735E-01   7.083008E+14    8.84412E+34   2.842080816E-12  -4.069007E-01   2.897460969E-12
    15       1.260376   4.311735E-01   7.083008E+14    8.84412E+34   2.986566415E-12  -4.069007E-01   3.044761983E-12
    16       1.281383   4.311735E-01   7.083008E+14    8.84412E+34   3.138397368E-12  -4.069007E-01   3.199551480E-12
    17       1.302739   4.311735E-01   7.083008E+14    8.84412E+34   3.297947097E-12  -4.069007E-01   3.362210160E-12
    18       1.324451   4.311735E-01   7.083008E+14    8.84412E+34   3.465608010E-12  -4.069007E-01   3.533138076E-12
    19       1.346525   4.311735E-01   7.083008E+14    8.84412E+34   3.641792462E-12  -4.069007E-01   3.712755619E-12
    20       1.368967   4.311735E-01   7.083008E+14    8.84412E+34   3.826933772E-12  -4.069007E-01   3.901504552E-12
    21       1.391784   4.311734E-01   7.083008E+14    8.84412E+34   4.021487289E-12  -4.069007E-01   4.099849096E-12
    22       1.414980   4.311734E-01   7.083008E+14    8.84412E+34   4.225931510E-12  -4.069007E-01   4.308277073E-12
    23       1.438563   4.311734E-01   7.083008E+14    8.84412E+34   4.440769259E-12  -4.069007E-01   4.527301103E-12
    24       1.462539   4.311734E-01   7.083008E+14    8.84412E+34   4.666528922E-12  -4.069007E-01   4.757459869E-12
    25       1.486915   4.311734E-01   7.083008E+14    8.84412E+34   4.903765745E-12  -4.069007E-01   4.999319437E-12
    26       1.511697   4.311734E-01   7.083008E+14    8.84412E+34   5.153063206E-12  -4.069007E-01   5.253474653E-12
    27       1.536892   4.311734E-01   7.083008E+14    8.84412E+34   5.415034441E-12  -4.069007E-01   5.520550602E-12
    28       1.562506   4.311734E-01   7.083008E+14    8.84412E+34   5.690323760E-12  -4.069007E-01   5.801204149E-12
    29       1.588548   4.311734E-01   7.083008E+14    8.84412E+34   5.979608226E-12  -4.069007E-01   6.096125549E-12
    30       1.615024   4.311734E-01   7.083008E+14    8.84412E+34   6.283599326E-12  -4.069007E-01   6.406040153E-12
    31       1.641941   4.311734E-01   7.083008E+14    8.84412E+34   6.603044713E-12  -4.069007E-01   6.731710184E-12
    32       1.669307   4.311734E-01   7.083008E+14    8.84412E+34   6.938730053E-12  -4.069007E-01   7.073936615E-12
    33       1.697129   4.311734E-01   7.083008E+14    8.84412E+34   7.291480951E-12  -4.069007E-01   7.433561140E-12
    34       1.725414   4.311734E-01   7.083008E+14    8.84412E+34   7.662164986E-12  -4.069007E-01   7.811468244E-12
    35       1.754171   4.311734E-01   7.083008E+14    8.84412E+34   8.051693841E-12  -4.069007E-01   8.208587374E-12
    36       1.783407   4.311734E-01   7.083008E+14    8.84412E+34   8.461025549E-12  -4.069007E-01   8.625895231E-12
    37       1.813131   4.311734E-01   7.083008E+14    8.84412E+34   8.891166847E-12  -4.069007E-01   9.064418170E-12
    38       1.843349   4.311734E-01   7.083008E+14    8.84412E+34   9.343175652E-12  -4.069007E-01   9.525234721E-12
    39       1.874072   4.311734E-01   7.083008E+14    8.84412E+34   9.818163663E-12  -4.069007E-01   1.000947825E-11
    40       1.905306   4.311734E-01   7.083008E+14    8.84412E+34   1.031729910E-11  -4.069007E-01   1.051833972E-11
    41       1.937061   4.311734E-01   7.083008E+14    8.84412E+34   1.084180956E-11  -4.069007E-01   1.105307068E-11
    42       1.969346   4.311734E-01   7.083008E+14    8.84412E+34   1.139298506E-11  -4.069007E-01   1.161498627E-11
    43       2.002168   4.311734E-01   7.083008E+14    8.84412E+34   1.197218120E-11  -4.069007E-01   1.220546851E-11
    44       2.035538   4.311734E-01   7.083008E+14    8.84412E+34   1.258082249E-11  -4.069007E-01   1.282596965E-11
    45       2.069463   4.311734E-01   7.083008E+14    8.84412E+34   1.322040587E-11  -4.069007E-01   1.347801581E-11
    46       2.103954   4.311734E-01   7.083008E+14    8.84412E+34   1.389250436E-11  -4.069007E-01   1.416321067E-11
    47       2.139020   4.311734E-01   7.083008E+14    8.84412E+34   1.459877096E-11  -4.069007E-01   1.488323944E-11
    48       2.174671   4.311734E-01   7.083008E+14    8.84412E+34   1.534094272E-11  -4.069007E-01   1.563987300E-11
    49       2.210915   4.311734E-01   7.083008E+14    8.84412E+34   1.612084498E-11  -4.069007E-01   1.643497226E-11
    50       2.247764   4.311734E-01   7.083008E+14    8.84412E+34   1.694039587E-11  -4.069007E-01   1.727049276E-11
    51       2.285226   4.311734E-01   7.083008E+14    8.84412E+34   1.780161107E-11  -4.069007E-01   1.814848941E-11
    52       2.323314   4.311734E-01   7.083008E+14    8.84412E+34   1.870660868E-11  -4.069007E-01   1.907112162E-11
    53       2.362035   4.311734E-01   7.083008E+14    8.84412E+34   1.965761453E-11  -4.069007E-01   2.004065857E-11
    54       2.401403   4.311734E-01   7.083008E+14    8.84412E+34   2.065696758E-11  -4.069007E-01   2.105948480E-11
    55       2.441426   4.311734E-01   7.083008E+14    8.84412E+34   2.170712569E-11  -4.069007E-01   2.213010608E-11
    56       2.482117   4.311734E-01   7.083008E+14    8.84412E+34   2.281067170E-11  -4.069007E-01   2.325515555E-11
    57       2.523485   4.311734E-01   7.083008E+14    8.84412E+34   2.397031974E-11  -4.069007E-01   2.443740025E-11
    58       2.565543   4.311734E-01   7.083008E+14    8.84412E+34   2.518892192E-11  -4.069007E-01   2.567974786E-11
    59       2.608302   4.311734E-01   7.083008E+14    8.84412E+34   2.646947535E-11  -4.069007E-01   2.698525389E-11
    60       2.651774   4.311734E-01   7.083008E+14    8.84412E+34   2.781512949E-11  -4.069007E-01   2.835712918E-11
    61       2.695970   4.311734E-01   7.083008E+14    8.84412E+34   2.922919395E-11  -4.069007E-01   2.979874780E-11
    62       2.740903   4.311734E-01   7.083008E+14    8.84412E+34   3.071514656E-11  -4.069007E-01   3.131365538E-11
    63       2.786585   4.311734E-01   7.083008E+14    8.84412E+34   3.227664196E-11  -4.069007E-01   3.290557777E-11
    64       2.833028   4.311734E-01   7.083008E+14    8.84412E+34   3.391752060E-11  -4.069007E-01   3.457843024E-11
    65       2.880245   4.311734E-01   7.083008E+14    8.84412E+34   3.564181816E-11  -4.069007E-01   3.633632711E-11
    66       2.928249   4.311734E-01   7.083008E+14    8.84412E+34   3.745377549E-11  -4.069007E-01   3.818359188E-11
    67       2.977053   4.311734E-01   7.083008E+14    8.84412E+34   3.935784903E-11  -4.069007E-01   4.012476781E-11
    68       3.026671   4.311734E-01   7.083008E+14    8.84412E+34   4.135872177E-11  -4.069007E-01   4.216462917E-11
    69       3.077115   4.311734E-01   7.083008E+14    8.84412E+34   4.346131480E-11  -4.069007E-01   4.430819290E-11
    70       3.128401   4.311734E-01   7.083008E+14    8.84412E+34   4.567079936E-11  -4.069007E-01   4.656073105E-11
    71       3.180541   4.311734E-01   7.083008E+14    8.84412E+34   4.799260961E-11  -4.069007E-01   4.892778363E-11
    72       3.233550   4.311734E-01   7.083008E+14    8.84412E+34   5.043245594E-11  -4.069007E-01   5.141517233E-11
    73       3.287442   4.311734E-01   7.083008E+14    8.84412E+34   5.299633907E-11  -4.069007E-01   5.402901479E-11
    74       3.342233   4.311734E-01   7.083008E+14    8.84412E+34   5.569056477E-11  -4.069007E-01   5.677573966E-11
    75       3.397937   4.311734E-01   7.083008E+14    8.84412E+34   5.852175941E-11  -4.069007E-01   5.966210241E-11
    76       3.454569   4.311734E-01   7.083008E+14    8.84412E+34   6.149688619E-11  -4.069007E-01   6.269520194E-11
