       6    1002       0       0

     EOS file :  /home/forgane/Desktop/NSCool/EOS/Quark/strange_eos_03_145_150.dat     

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.058950E-01   8.651638E+14    1.17170E+35   0.000000000E+00  -4.423345E-01   0.000000000E+00
     1       1.000000   5.058950E-01   8.651638E+14    1.17170E+35   1.822016269E-12  -4.423345E-01   1.784272350E-12
     2       1.016667   5.058950E-01   8.651638E+14    1.17170E+35   1.914643865E-12  -4.423345E-01   1.874981123E-12
     3       1.033611   5.058950E-01   8.651638E+14    1.17170E+35   2.011980459E-12  -4.423345E-01   1.970301344E-12
     4       1.050838   5.058950E-01   8.651638E+14    1.17170E+35   2.114265448E-12  -4.423345E-01   2.070467451E-12
     5       1.068352   5.058950E-01   8.651638E+14    1.17170E+35   2.221750397E-12  -4.423345E-01   2.175725800E-12
     6       1.086158   5.058950E-01   8.651638E+14    1.17170E+35   2.334699661E-12  -4.423345E-01   2.286335268E-12
     7       1.104260   5.058950E-01   8.651638E+14    1.17170E+35   2.453391037E-12  -4.423345E-01   2.402567896E-12
     8       1.122665   5.058950E-01   8.651638E+14    1.17170E+35   2.578116440E-12  -4.423345E-01   2.524709554E-12
     9       1.141376   5.058950E-01   8.651638E+14    1.17170E+35   2.709182628E-12  -4.423345E-01   2.653060645E-12
    10       1.160399   5.058950E-01   8.651638E+14    1.17170E+35   2.846911954E-12  -4.423345E-01   2.787936845E-12
    11       1.179739   5.058950E-01   8.651638E+14    1.17170E+35   2.991643159E-12  -4.423345E-01   2.929669875E-12
    12       1.199401   5.058950E-01   8.651638E+14    1.17170E+35   3.143732203E-12  -4.423345E-01   3.078608324E-12
    13       1.219391   5.058950E-01   8.651638E+14    1.17170E+35   3.303553145E-12  -4.423345E-01   3.235118501E-12
    14       1.239714   5.058950E-01   8.651638E+14    1.17170E+35   3.471499057E-12  -4.423345E-01   3.399585335E-12
    15       1.260376   5.058950E-01   8.651638E+14    1.17170E+35   3.647982997E-12  -4.423345E-01   3.572413329E-12
    16       1.281383   5.058950E-01   8.651638E+14    1.17170E+35   3.833439022E-12  -4.423345E-01   3.754027546E-12
    17       1.302739   5.058950E-01   8.651638E+14    1.17170E+35   4.028323252E-12  -4.423345E-01   3.944874659E-12
    18       1.324451   5.058950E-01   8.651638E+14    1.17170E+35   4.233115000E-12  -4.423345E-01   4.145424051E-12
    19       1.346525   5.058950E-01   8.651638E+14    1.17170E+35   4.448317943E-12  -4.423345E-01   4.356168965E-12
    20       1.368967   5.058950E-01   8.651638E+14    1.17170E+35   4.674461365E-12  -4.423345E-01   4.577627722E-12
    21       1.391784   5.058950E-01   8.651638E+14    1.17170E+35   4.912101458E-12  -4.423345E-01   4.810344990E-12
    22       1.414980   5.058950E-01   8.651638E+14    1.17170E+35   5.161822689E-12  -4.423345E-01   5.054893130E-12
    23       1.438563   5.058950E-01   8.651638E+14    1.17170E+35   5.424239238E-12  -4.423345E-01   5.311873599E-12
    24       1.462539   5.058950E-01   8.651638E+14    1.17170E+35   5.699996510E-12  -4.423345E-01   5.581918432E-12
    25       1.486915   5.058950E-01   8.651638E+14    1.17170E+35   5.989772719E-12  -4.423345E-01   5.865691793E-12
    26       1.511697   5.058950E-01   8.651638E+14    1.17170E+35   6.294280561E-12  -4.423345E-01   6.163891614E-12
    27       1.536892   5.058950E-01   8.651638E+14    1.17170E+35   6.614268960E-12  -4.423345E-01   6.477251306E-12
    28       1.562506   5.058950E-01   8.651638E+14    1.17170E+35   6.950524917E-12  -4.423345E-01   6.806541566E-12
    29       1.588548   5.058950E-01   8.651638E+14    1.17170E+35   7.303875442E-12  -4.423345E-01   7.152572272E-12
    30       1.615024   5.058950E-01   8.651638E+14    1.17170E+35   7.675189588E-12  -4.423345E-01   7.516194474E-12
    31       1.641941   5.058950E-01   8.651638E+14    1.17170E+35   8.065380587E-12  -4.423345E-01   7.898302487E-12
    32       1.669307   5.058950E-01   8.651638E+14    1.17170E+35   8.475408101E-12  -4.423345E-01   8.299836093E-12
    33       1.697129   5.058950E-01   8.651638E+14    1.17170E+35   8.906280579E-12  -4.423345E-01   8.721782849E-12
    34       1.725414   5.058950E-01   8.651638E+14    1.17170E+35   9.359057735E-12  -4.423345E-01   9.165180518E-12
    35       1.754171   5.058950E-01   8.651638E+14    1.17170E+35   9.834853158E-12  -4.423345E-01   9.631119620E-12
    36       1.783407   5.058950E-01   8.651638E+14    1.17170E+35   1.033483705E-11  -4.423345E-01   1.012074612E-11
    37       1.813131   5.058950E-01   8.651638E+14    1.17170E+35   1.086023910E-11  -4.423345E-01   1.063526423E-11
    38       1.843349   5.058950E-01   8.651638E+14    1.17170E+35   1.141235153E-11  -4.423345E-01   1.117593939E-11
    39       1.874072   5.058950E-01   8.651638E+14    1.17170E+35   1.199253222E-11  -4.423345E-01   1.174410137E-11
    40       1.905306   5.058950E-01   8.651638E+14    1.17170E+35   1.260220812E-11  -4.423345E-01   1.234114755E-11
    41       1.937061   5.058950E-01   8.651638E+14    1.17170E+35   1.324287869E-11  -4.423345E-01   1.296854635E-11
    42       1.969346   5.058950E-01   8.651638E+14    1.17170E+35   1.391611965E-11  -4.423345E-01   1.362784081E-11
    43       2.002168   5.058950E-01   8.651638E+14    1.17170E+35   1.462358681E-11  -4.423345E-01   1.432065247E-11
    44       2.035538   5.058950E-01   8.651638E+14    1.17170E+35   1.536702016E-11  -4.423345E-01   1.504868525E-11
    45       2.069463   5.058950E-01   8.651638E+14    1.17170E+35   1.614824814E-11  -4.423345E-01   1.581372974E-11
    46       2.103954   5.058950E-01   8.651638E+14    1.17170E+35   1.696919215E-11  -4.423345E-01   1.661766753E-11
    47       2.139020   5.058950E-01   8.651638E+14    1.17170E+35   1.783187129E-11  -4.423345E-01   1.746247588E-11
    48       2.174671   5.058950E-01   8.651638E+14    1.17170E+35   1.873840727E-11  -4.423345E-01   1.835023255E-11
    49       2.210915   5.058950E-01   8.651638E+14    1.17170E+35   1.969102970E-11  -4.423345E-01   1.928312097E-11
    50       2.247764   5.058950E-01   8.651638E+14    1.17170E+35   2.069208150E-11  -4.423345E-01   2.026343554E-11
    51       2.285226   5.058950E-01   8.651638E+14    1.17170E+35   2.174402473E-11  -4.423345E-01   2.129358729E-11
    52       2.323314   5.058950E-01   8.651638E+14    1.17170E+35   2.284944662E-11  -4.423345E-01   2.237610986E-11
    53       2.362035   5.058950E-01   8.651638E+14    1.17170E+35   2.401106589E-11  -4.423345E-01   2.351366567E-11
    54       2.401403   5.058950E-01   8.651638E+14    1.17170E+35   2.523173952E-11  -4.423345E-01   2.470905249E-11
    55       2.441426   5.058950E-01   8.651638E+14    1.17170E+35   2.651446970E-11  -4.423345E-01   2.596521034E-11
    56       2.482117   5.058950E-01   8.651638E+14    1.17170E+35   2.786241127E-11  -4.423345E-01   2.728522870E-11
    57       2.523485   5.058950E-01   8.651638E+14    1.17170E+35   2.927887943E-11  -4.423345E-01   2.867235409E-11
    58       2.565543   5.058950E-01   8.651638E+14    1.17170E+35   3.076735794E-11  -4.423345E-01   3.012999811E-11
    59       2.608302   5.058950E-01   8.651638E+14    1.17170E+35   3.233150767E-11  -4.423345E-01   3.166174577E-11
    60       2.651774   5.058950E-01   8.651638E+14    1.17170E+35   3.397517557E-11  -4.423345E-01   3.327136436E-11
    61       2.695970   5.058950E-01   8.651638E+14    1.17170E+35   3.570240418E-11  -4.423345E-01   3.496281267E-11
    62       2.740903   5.058950E-01   8.651638E+14    1.17170E+35   3.751744158E-11  -4.423345E-01   3.674025076E-11
    63       2.786585   5.058950E-01   8.651638E+14    1.17170E+35   3.942475177E-11  -4.423345E-01   3.860805017E-11
    64       2.833028   5.058950E-01   8.651638E+14    1.17170E+35   4.142902571E-11  -4.423345E-01   4.057080469E-11
    65       2.880245   5.058950E-01   8.651638E+14    1.17170E+35   4.353519284E-11  -4.423345E-01   4.263334164E-11
    66       2.928249   5.058950E-01   8.651638E+14    1.17170E+35   4.574843321E-11  -4.423345E-01   4.480073376E-11
    67       2.977053   5.058950E-01   8.651638E+14    1.17170E+35   4.807419019E-11  -4.423345E-01   4.707831167E-11
    68       3.026671   5.058949E-01   8.651638E+14    1.17170E+35   5.051818391E-11  -4.423345E-01   4.947167699E-11
    69       3.077115   5.058949E-01   8.651638E+14    1.17170E+35   5.308642527E-11  -4.423345E-01   5.198671611E-11
    70       3.128401   5.058949E-01   8.651638E+14    1.17170E+35   5.578523077E-11  -4.423345E-01   5.462961468E-11
    71       3.180541   5.058949E-01   8.651638E+14    1.17170E+35   5.862123802E-11  -4.423345E-01   5.740687281E-11
    72       3.233550   5.058949E-01   8.651638E+14    1.17170E+35   6.160142209E-11  -4.423345E-01   6.032532107E-11
    73       3.287442   5.058949E-01   8.651638E+14    1.17170E+35   6.473311261E-11  -4.423345E-01   6.339213728E-11
    74       3.342233   5.058949E-01   8.651638E+14    1.17170E+35   6.802401188E-11  -4.423345E-01   6.661486415E-11
    75       3.397937   5.058949E-01   8.651638E+14    1.17170E+35   7.148221373E-11  -4.423345E-01   7.000142787E-11
    76       3.454569   5.058949E-01   8.651638E+14    1.17170E+35   7.511622349E-11  -4.423345E-01   7.356015756E-11
